Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),C2H6X(52),CH3OO(77),CH2X(27),CHX(28),CX(26),OCX(25),COX(50)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.221231717221184e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,4.1396111521795853e-73,8.0934957904183837e-42,1.7165157878188939e-94,3.9609964956831207e-57,8.2957808456542828e-144,7.3429566300857818e-25,-8.549948355556764e-118,7.3429566300639433e-25,1.2873492206646649e-79,3.7822237362678532e-73,3.7138495343671685e-122,2.2440796954366495e-123,4.7088227115326271e-58,8.3291886198275389e-95,2.912111820383841e-18,1.4001692419390023e-19,5.3970087778965514e-23,6.4538771356120982e-38,5.3970087778968006e-23,5.6028179785414618e-58,7.0998208256097018e-74,3.9636649407940805e-42,1.9253958079447323e-37,9.9203609811662406e-48,3.3284916415412674e-56,1.0697401365112633e-86,3.2874167210005103e-112
2.0219448808219315e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.2922002714221507e-71,4.8884714574127277e-41,2.2120720473884056e-92,5.9858579042586208e-56,3.4870356714205673e-141,2.056027856431094e-24,1.6503066619181877e-116,2.0560278564179042e-24,3.6305307781393001e-78,1.189191616106697e-71,8.6519995077872644e-120,5.2279383536362528e-121,5.5903140980393632e-57,4.3114279102429184e-93,8.1539130970747509e-18,3.9204738774292063e-19,1.5111624578109592e-22,3.8981416185154611e-37,1.5111624578111106e-22,6.651665504124427e-57,2.0022630699494196e-72,2.3940536242464285e-41,1.1629390679407147e-36,1.1777452549564703e-46,4.6254694452687984e-55,7.5993086702351382e-85,7.658556866327227e-110
4.621588299021558e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,2.8769397206575929e-70,2.3535885758537037e-40,2.6191156452528912e-90,6.4393127830806639e-55,1.6509177336656188e-138,4.6994922433044263e-24,1.7425636444077916e-114,4.6994922432409231e-24,7.8971974495692755e-77,2.6530208395298777e-70,2.0486684886641268e-117,1.2379002745126175e-118,5.4886030547767499e-56,1.8825381576478361e-91,1.8637515650456551e-17,8.9610831484096137e-19,3.4540856178532682e-22,1.876787213944648e-36,3.4540856178539956e-22,6.5306446357879435e-56,4.3553595261007934e-71,1.1526337647931245e-40,5.599051008634726e-36,1.1563172737092212e-45,5.9687307768047159e-54,4.4957182791552542e-83,1.8134356233492106e-107
9.820875135420811e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,0.0,5.3839277319482115e-69,1.0278739653831732e-39,2.9208188575392913e-88,5.9188378435472634e-54,7.3672333461555872e-136,9.9864210171642902e-24,1.3773514374374644e-112,9.9864210168869558e-24,1.4640073137779668e-75,4.9688135168932691e-69,4.5705100044136097e-115,2.7617135814956741e-116,4.854606397331994e-55,7.0082175523310693e-90,3.9604720757220076e-17,1.904230169037043e-18,7.3399319379366863e-22,8.1964213056172072e-36,7.3399319379398667e-22,5.7762812231571356e-55,8.0741025421514962e-70,5.033854474913941e-40,2.4452526751923023e-35,1.0227495309777321e-44,7.8185276621642368e-53,2.5054786482172859e-81,4.0457134498187161e-105
2.0219448808219317e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,0.0,9.296098084883565e-68,4.2911714680801717e-39,3.333928738398952e-86,5.0636903881005406e-53,3.3631786119387023e-133,2.056027856533682e-23,9.7621792177782593e-111,2.0560278564178999e-23,2.516254516897267e-74,8.5823865822324379e-68,1.0432828879529734e-112,6.3039978431708344e-114,4.0805877620886931e-54,2.4144372065000333e-88,8.1539130970746812e-17,3.9204738774292058e-18,1.5111624578098725e-21,3.4218432663532266e-35,1.5111624578111999e-21,4.8553124151164285e-54,1.387731932783276e-68,2.1015351517039339e-39,1.0208448565645406e-34,8.5968260145678209e-44,1.0843663441705521e-51,1.4302196397828998e-79,9.2349072808297233e-103
4.1016596153816325e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,0.0,1.5442992854197281e-66,1.7530835621880753e-38,3.9614016620232415e-84,4.1867571350460583e-52,1.5980485667680014e-130,4.1707993663493084e-23,6.5694990854871971e-109,4.1707993658763018e-23,4.170507328376241e-73,1.4259753325684621e-66,2.4788460813754657e-110,1.4978334765176444e-111,3.3455100461859528e-53,8.0126367946003301e-87,1.6540795139779909e-16,7.9529612942135291e-18,3.0655009858403604e-21,1.3979335787473037e-34,3.0655009858457846e-21,3.9806784635328346e-53,2.3000639071401842e-67,8.5854568091612016e-39,4.1704843290016014e-34,7.0481972894584068e-43,1.5895537607420193e-50,8.4999501013803946e-78,2.1942192274523763e-100
8.261089084501034e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,0.0,2.5173869313989494e-65,7.0862440523116335e-38,4.8586984871554642e-82,3.404601370306121e-51,7.8385365799853127e-128,8.4003423867050448e-23,4.310488641845197e-107,8.400342384793075e-23,6.7905900507745317e-72,2.3246963178557622e-65,6.0798552067880929e-108,3.6737297767394606e-109,2.7092769836955856e-52,2.6108010420586649e-85,3.3314559225189876e-16,1.6017936127782166e-17,6.1741780418936592e-21,5.6506625665677756e-34,6.1741780419155862e-21,3.2236566258276144e-52,3.7450578201117844e-66,3.470378912243394e-38,1.6857764432287602e-33,5.7078127793531418e-42,2.4218952551436865e-49,5.2140182139608587e-76,5.3817521362866411e-98
1.6579948022739839e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996466,0.022821567693054271,0.0,4.0654096375877437e-64,2.8493475670018994e-37,6.0782213847662321e-80,2.7459343452898338e-50,3.9219244221303422e-125,1.6859428430314443e-22,2.793132491119381e-105,1.6859428422626503e-22,1.0960039719482684e-70,3.7543798718905242e-64,1.5210549572386942e-105,9.1909177084032566e-107,2.1806557173398964e-51,8.4301183580171309e-84,6.6862087396007864e-16,3.2147885794919389e-17,1.239153215396955e-20,2.2720997547084749e-33,1.2391532154057712e-20,2.594679304254281e-51,6.044538420558617e-65,1.3954240976024783e-37,6.7784329120716029e-33,4.5941440961057894e-41,3.7758651999183593e-48,3.2618875822573368e-74,1.3464039004240896e-95
3.3217665899217445e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996399,0.022821567693054254,0.0,6.5348573791993176e-63,1.1427158145532653e-36,7.6882072702360027e-78,2.2056837964253955e-49,1.9841705658733486e-122,3.3777600529124967e-22,1.7986991353500619e-103,3.3777600498292897e-22,1.7612489598796234e-69,6.0350209794131383e-63,3.8477272864198488e-103,2.3249748265503163e-104,1.7498290891416222e-50,2.7097862175743809e-82,1.3395714373763604e-15,6.4407785129193685e-17,2.4826240377998495e-20,9.112081609531393e-33,2.4826240378352072e-20,2.082066734469412e-50,9.713410971704201e-64,5.5962747522363453e-37,2.7184547521066985e-32,3.6865109915435259e-40,5.9612210905757693e-47,2.0631270012379722e-72,3.4059223173776983e-93
