Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3X(21),CH3OO(77),H2X(49),C2H4(47),CH2X(27),CHX(28),CX(26),OCX(25),C2H6X(52),COX(50),C2H4X(205),C2H4X(65),acetyl(43)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.389668641139981e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,7.6473773827327764e-72,3.050277713364547e-36,1.4431416768376459e-90,1.9175322319943475e-54,5.0405437133540807e-134,5.6393892862449502e-20,-7.2674947674886955e-106,5.639389286244937e-20,2.8051395122376663e-72,8.6646682423987356e-73,3.2812772433417916e-114,3.8046334783257052e-115,1.478165241153224e-55,1.3344974691944336e-85,3.079825305287053e-18,9.1188153422013965e-20,3.6505675576477112e-22,9.2522640657421698e-38,3.6505675576459315e-22,3.42595504582215e-37,2.2332008570941473e-52,2.2451288014259424e-98,1.8313923951435395e-35,2.0046640878313956e-45,1.0913716853690614e-51,1.4149024203420435e-82,3.6349935055028706e-71,5.7786380444774585e-108,4.4062700968705748e-115,2.619073029897371e-102,-5.3332615033282682e-126
1.7891072195191947e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.885190692955518e-70,1.8423677388721857e-35,1.5960674564421737e-88,2.8977747023984109e-53,1.8203086616148103e-131,1.5790290001485905e-19,1.4029998351160704e-104,1.5790290001485816e-19,7.9109422294752509e-71,2.7243103079183841e-71,6.564986178478949e-112,7.6120864977384863e-113,1.7548777507833292e-54,6.9077432209574986e-84,8.6235108548037451e-18,2.553268295816391e-19,1.0221589161414372e-21,5.5883674139080801e-37,1.0221589161403622e-21,2.0692768476744457e-36,2.6512560575421637e-51,2.1143092727024261e-96,1.1061610065493355e-34,2.3799372037120397e-44,1.2968066180264364e-50,8.6149263272553766e-81,1.0251263261987631e-69,1.1561558527050931e-105,7.5132074076199197e-113,2.466464458152527e-100,9.8560010418439403e-124
4.089387930329588e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,3.8791090585652042e-69,8.8702075904640972e-35,1.4466584510646057e-86,3.1172937913619246e-52,6.6029721793123409e-129,3.6092091431967988e-19,1.4814197032965577e-102,3.6092091431967559e-19,1.7208027311317974e-69,6.0777862515359884e-70,1.1907033912984912e-109,1.3806178659485022e-110,1.7229493321954867e-53,3.0161910309351266e-82,1.9710881953837112e-17,5.8360418190088937e-19,2.336363236895082e-21,2.690558267617536e-36,2.336363236889905e-21,9.9626772732188167e-36,2.6030189190289108e-50,1.8479172183960119e-94,5.3256890833169771e-34,2.3366364565559574e-43,1.2756063112464543e-49,3.8963945028905635e-79,2.2298736745990408e-68,2.0969407356789197e-103,1.3131274132679172e-110,2.1557026680374564e-98,4.1157823473505152e-121
8.689949351950375e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,7.0287447976435519e-68,3.873852695972973e-34,1.0988891883678819e-84,2.8653300566493747e-51,2.0094711813660916e-126,7.6695694292932861e-19,1.1709388113611648e-100,7.6695694292931002e-19,3.1900782524149311e-68,1.1383020321097426e-68,1.8108622606431797e-107,2.0996906602311208e-108,1.5239290839446417e-52,1.1228522958599703e-80,4.1885624151903788e-17,1.2401588865393899e-18,4.9647718784036216e-21,1.1750374095589656e-35,4.9647718783810107e-21,4.3509629081610682e-35,2.302340755629727e-49,1.3786035807419095e-92,2.3258683400131774e-33,2.0667284791279891e-42,1.1325178497689806e-48,1.4766704547538186e-77,4.1338099866295606e-67,3.1890988711189847e-101,1.9611886885539148e-108,1.6082210755186914e-96,1.3296409439752389e-118
1.7891072195191946e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.1957613321887638e-66,1.617257243625883e-33,7.6903572696334686e-83,2.4513501890235249e-50,5.6299561293626396e-124,1.5790290001486546e-18,8.2991996142892649e-99,1.5790290001485766e-18,5.4829294473686506e-67,1.9661334474325007e-67,2.5360346431886294e-105,2.9405263835089202e-106,1.2809540696183392e-51,3.8683964078928138e-79,8.6235108548036881e-17,2.5532682958163906e-18,1.0221589161425701e-20,4.9055492665440169e-35,1.0221589161331305e-20,1.8164413652651479e-34,1.9352561315439761e-48,9.50952998149361e-91,9.7100424626789841e-33,1.7372098078098726e-41,9.5911347941044587e-48,5.1612045004419445e-76,7.1049631739806646e-66,4.4661956866664841e-99,2.7071299880847471e-106,1.1093418543668408e-94,3.8330004152580601e-116
3.6293317881675087e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996514,0.022821567693054285,0.0,1.9723393936893246e-65,6.607023538256144e-33,5.2003853412893542e-81,2.0268237407484285e-49,1.5234182992489744e-121,3.2031731145874192e-18,5.5849808794936707e-97,3.2031731145871006e-18,9.0875534599821467e-66,3.2667593402139997e-66,3.4307120378572115e-103,3.9779027816600078e-104,1.0502032938249297e-50,1.2837797276509283e-77,1.7493407734030208e-16,5.1794871143703893e-18,2.0735223727489858e-20,2.0040764395543376e-34,2.0735223727104223e-20,7.4207556672006744e-34,1.5866398998902981e-47,6.3153262214555333e-89,3.9668691697150351e-32,1.4242695440861517e-40,7.9808749073788671e-47,1.7441756853463752e-74,1.1775955407520242e-64,6.0418067815135107e-97,3.596659611431422e-104,7.3671944966389722e-93,1.0517792776769675e-113
7.309780925464137e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.022821567693054282,0.0,3.2039243605186039e-64,2.6706645513809058e-32,3.4937395924774344e-79,1.6481794053387813e-48,4.0941810384393888e-119,6.451461343465404e-18,3.6645102359925326e-95,6.451461343464116e-18,1.4796725015065043e-64,5.325639640377988e-65,4.6098957546344315e-101,5.3451636112611358e-102,8.5048145979243845e-50,4.1830093346677191e-76,3.5233201492482854e-16,1.0431924751478383e-17,4.1762492859698168e-20,8.1007933509416598e-34,4.1762492858139351e-20,2.9995880882522556e-33,1.2849021273483598e-46,4.1166966308329059e-87,1.6034719373807882e-31,1.1534103805604813e-39,6.6534057600431359e-46,5.8583128257256824e-73,1.9174090663924261e-63,8.1184602857887992e-95,4.6896967947845013e-102,4.802365489864379e-91,2.8464882963258205e-111
1.4670679200057396e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.1186699660299646,0.022821567693054275,0.0,5.1651764908971499e-63,1.0738624701008454e-31,2.3848949815945626e-77,1.3293163998035749e-47,1.1177110609358766e-116,1.2948037801223192e-17,2.3745480972256494e-93,1.2948037801218006e-17,2.3881973830124997e-63,8.6009139382108507e-64,6.2928715534416432e-99,7.2965702106791724e-100,6.8454083173377158e-49,1.3506683663591896e-74,7.0712789009386557e-16,2.0936800025694344e-17,8.3817031124434753e-20,3.2572901272709523e-33,8.381703111816685e-20,1.2061211775337799e-32,1.0342010160484376e-45,2.6588961471870132e-85,6.4474900903129281e-31,9.2836498181080403e-39,5.6615594461481125e-45,1.999977294564546e-71,3.0947059635640562e-62,1.1082339060442595e-92,6.0584088207356477e-100,3.101756625045198e-89,7.7990959916387731e-109
2.9392475749243913e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999844,0.11866996602996388,0.022821567693054264,0.0,8.2955316576963698e-62,4.3066688018331524e-31,1.6964990521853796e-75,1.0677792236467328e-46,3.1789298769734434e-114,2.5941190716746037e-17,1.5291425027580152e-91,2.5941190716725246e-17,3.8377690815828752e-62,1.382569125143572e-62,8.9502330790928313e-97,1.0377774837478025e-97,5.4929988377056458e-48,4.3416027725585595e-73,1.4167196404318762e-15,4.1946550574126189e-17,1.6792610765518789e-19,1.3063164196596463e-32,1.679261076300508e-19,4.8370853721120264e-32,8.2988118367353449e-45,1.7094802695735565e-83,2.5857318598504632e-30,7.4495437229962647e-38,5.0346499515232423e-44,7.1177076703206245e-70,4.9731094038099653e-61,1.5762202802724135e-90,7.7905293991741738e-98,1.9942079028878988e-87,2.2227117136643945e-106
5.883606884761695e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999699,0.11866996602996244,0.022821567693054243,0.0,1.3297870305403245e-60,1.7249138672525042e-30,1.2969878863793778e-73,8.5595721230499081e-46,9.7141300123385576e-112,5.1927496547820791e-17,9.8168027243501742e-90,5.1927496547737523e-17,6.1537836264861331e-61,2.2172559809079379e-61,1.3678341166298691e-94,1.5860005378223474e-95,4.4010670764176298e-47,1.3924347631099323e-71,2.8359031411076443e-15,8.3966051670989558e-17,3.3614426072181393e-19,5.2320585039091142e-32,3.3614426062113435e-19,1.9373571586334424e-31,6.6491482419854216e-44,1.0965654418288835e-81,1.03564142455183e-29,5.9686993329564176e-37,4.8216112030864808e-43,2.7234712062987066e-68,7.9742784340646762e-60,2.4088846122191268e-88,9.994826882501662e-96,1.2792071804087092e-85,6.8013946924454862e-104
1.17723255044363e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999405,0.11866996602995955,0.022821567693054202,0.0,2.1296512807235234e-59,6.9041507242818555e-30,1.0983284701921415e-71,6.8545998168308294e-45,3.2873377093848973e-109,1.0390010821008658e-16,6.2924642705844941e-88,1.0390010820975327e-16,9.8567484743936368e-60,3.5517106783386486e-60,2.3151660770691864e-92,2.6844297846996623e-93,3.5235034547911337e-46,4.4607923535361614e-70,5.6742701424581669e-15,1.6800505386471499e-16,6.7258056687554503e-19,2.094170196664408e-31,6.7258056647256422e-19,7.7544775286413723e-31,5.3233615603654787e-43,7.0260227542846077e-80,4.1452644177760304e-29,4.7785871716133473e-36,5.1216015862966974e-42,1.1546445307963195e-66,1.2772704008080607e-58,4.0772253495224903e-86,1.2808084796839142e-93,8.1962627403441027e-84,2.3041203662609762e-101
2.354976274378551e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998822,0.11866996602995376,0.022821567693054119,0.0,3.4089987352168876e-58,2.7625595969904995e-29,1.0456152698838265e-69,5.4864580578367418e-44,1.2505953650076722e-106,2.078453315350833e-16,4.0302873040976208e-86,2.0784533153374959e-16,1.5779358174706255e-58,5.6859542044851205e-59,4.4052118288238667e-90,5.1078330652975749e-91,2.8198316237581771e-45,1.4282542196637673e-68,1.1351004145155153e-14,3.360830582521605e-16,1.3454531792649234e-18,8.3792747795187611e-31,1.3454531776524751e-18,3.1028010754407725e-30,4.2603071265303813e-42,4.4992174353373573e-78,1.6586455208417899e-28,3.8243196154101432e-35,6.1178121270066643e-41,5.5033984741177909e-65,2.0447419545543393e-57,7.7579926095739444e-84,1.640376666256568e-91,5.2485975617900239e-82,8.7731860291312903e-99
4.710463722248394e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997651,0.1186699660299422,0.022821567693053952,0.0,5.4555225596984928e-57,1.1052037258741323e-28,1.1076003517567831e-67,4.3902779993249765e-43,5.2946753226289506e-104,4.1573577818693721e-16,2.5803795776619873e-84,4.1573577818160161e-16,2.5253823521322276e-57,9.0998903139113675e-58,9.3277179641319133e-88,1.0815467696781194e-88,2.2562265126358886e-44,4.5716949590281573e-67,2.2704472150532899e-14,6.7223906702703038e-16,2.6911984043713447e-18,3.3521484926623841e-30,2.6911983979205013e-18,1.2413224696571589e-29,3.4088929908081858e-41,2.880319535243087e-76,6.6356605925127025e-28,3.0600328481358959e-34,8.1261456449413621e-40,2.917956238286502e-63,3.2724748306768713e-56,1.6426989134527305e-81,2.1002850849133686e-89,3.3600590319953539e-80,3.7167202485743176e-96
9.421438617988079e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995314,0.11866996602991908,0.022821567693053615,0.0,8.7293483252520609e-56,4.4211747032751126e-28,1.269921338507888e-65,3.5126670747720878e-42,2.4269308146721134e-101,8.3151667149808715e-16,1.6517616261624332e-82,8.3151667147674254e-16,4.0411598760560295e-56,1.4561040667825105e-56,2.1381687467510376e-85,2.4792017823753444e-86,1.8050450469945882e-43,1.4631474501946779e-65,4.541140816122349e-14,1.3445510845766859e-15,5.3826888558948463e-18,1.3408828913589836e-29,5.3826888300893711e-18,4.9656939696162267e-29,2.7273733361126489e-40,1.8436670627277702e-74,2.6544790324952433e-27,2.4482524943310133e-33,1.1671551852892905e-38,1.6740076652773575e-61,5.2366699925732287e-55,3.7655163597931134e-79,2.6887508573316846e-87,2.1507435288048346e-78,1.7043505035460091e-93
