Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),HX(19),CH3X(22),CH2X(58),CHX(26),C2H6X(34),H2X(31),CX(24),C2H5X(33),HOCXO(25),C3H8X(38),C3H7X(36),C3H7(49),C3H7X(37),C3H7(50),CH2O2(65),CH2O2X(92),CHO2X(91)
2.0961622400576862e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,1.2115382110604226e-64,0.0,1.3261368062032891e-59,0.0,8.1166441608032556e-41,-1.1134957711477814e-114,2.5792964484769412e-49,3.0857428760011917e-94,0.0,0.0,0.0,0.0,0.0,3.0101409229128581e-18,1.0904364368863829e-18,1.4209062250337323e-25,1.4209062250337298e-25,6.8255615403365885e-41,4.2982231782219457e-53,4.6652061664811626e-76,4.1151633082413296e-81,8.4965682886361913e-76,3.2845978379496862e-81,9.8955026592698395e-50,-4.0433669049383416e-131,-2.5526615075663408e-136,-1.9715831441458082e-149,-1.804218525692447e-136,-1.3974260816856155e-149,9.939633667830335e-87,1.7664201418220279e-103,4.6100092804281707e-107
5.8692542721615216e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,1.8305646054716665e-63,0.0,2.0040579415344074e-58,0.0,4.9024530731251609e-40,2.0327544335057619e-113,1.5578950548800736e-48,1.5985656650023804e-92,0.0,0.0,0.0,0.0,0.0,8.4283945841551646e-18,3.0532220232817625e-18,3.9785374300944523e-25,3.9785374300944394e-25,4.1226391703607879e-40,5.102850557182249e-52,1.3156627822462385e-74,1.1603511772861989e-79,1.900648339893749e-74,9.2707571027624553e-80,5.9768836061928664e-49,1.2882206453622292e-129,8.1328044967975584e-135,1.1109511364814185e-147,5.761036866264263e-135,7.8920570367688458e-148,3.1251798593015082e-85,1.0173675609772139e-101,2.6551293130489359e-105
1.3415438336369193e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,0.0,0.10000000000000001,0.0,1.9691304854590653e-62,0.0,2.1558740831085485e-57,0.0,2.3603201219615785e-39,2.1528319087878714e-111,7.5005940721709565e-48,6.9814742666880404e-91,0.0,0.0,0.0,0.0,0.0,1.9264901906636437e-17,6.9787931960720811e-18,9.0937998402159009e-25,9.0937998402158366e-25,1.984873295926113e-39,5.0100089365266754e-51,2.8618539280848802e-73,2.5238714051950329e-78,3.7553608329874583e-73,2.0170067135045965e-78,2.8776121733064928e-48,2.8271615474956646e-127,1.7848458049033773e-132,4.9738900509305162e-145,1.2656532972996419e-132,3.5369351580773316e-145,6.9721043501831184e-84,4.5623031592301911e-100,1.1906714267018261e-103
2.850780646478453e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999964,0.0,0.099999999999999992,0.0,1.8099312451349004e-61,0.0,1.981619706773417e-56,0.0,1.0308138084220049e-38,1.7018245060273259e-109,3.2757064895657256e-47,2.5992545884573633e-89,0.0,0.0,0.0,0.0,0.0,4.0937916551585609e-17,1.4829935541650961e-17,1.9324324660458823e-24,1.9324324660458544e-24,8.6684631561885409e-39,4.4312961678011629e-50,5.3053948675286973e-72,4.6787247164546735e-77,6.6824639541260697e-72,3.7395067963314461e-77,1.2567288377177869e-47,4.4776757048881605e-125,2.826849673541832e-130,1.5769903084541466e-142,2.0059493706469822e-130,1.1221816386676559e-142,1.3057979830100443e-82,1.7164524741088003e-98,4.4796034916676263e-102
5.869254272161521e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999989,0.099999999999999922,0.0,0.099999999999999978,0.0,1.5484194359868266e-60,0.0,1.6953173794085472e-55,0.0,4.3034447340578116e-38,1.2062435660726234e-107,1.3675429769824831e-46,8.9552047982070994e-88,0.0,0.0,0.0,0.0,0.0,8.4283945841430463e-17,3.053222023280168e-17,3.9785374300944795e-24,3.9785374300943635e-24,3.618912728651426e-38,3.724771434642663e-49,9.1186182430282233e-71,8.0414498119282526e-76,1.1270952188045779e-70,6.427521144583799e-76,5.2465955098595273e-47,6.3522015669507807e-123,4.0102767840482823e-128,4.4760148222750476e-140,2.8466861929654988e-128,3.1862076648955269e-140,2.255441286606142e-81,5.9435299593792747e-97,1.55114446572138e-100
1.1906201523527658e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999978,0.099999999999999839,0.0,0.09999999999999995,0.0,1.2802573271658897e-59,0.0,1.4017211935185982e-54,0.0,1.7580975918065657e-37,8.1176357823548981e-106,5.5868592792590657e-46,2.971968997813609e-86,0.0,0.0,0.0,0.0,0.0,1.7097600442090623e-16,6.1936789615075026e-17,8.070747358191724e-24,8.0707473581912523e-24,1.4784439318534055e-37,3.0537926633017591e-48,1.5113441009976366e-69,1.3328048592052268e-74,1.8512572813241974e-69,1.0653364411585242e-74,2.1434054579362283e-46,8.552914833407238e-121,5.3996327778421703e-126,1.2055743908078414e-137,3.8335595300684069e-126,8.5832066452639643e-138,3.7474494306105224e-80,1.9774498545145867e-95,5.1607553407444309e-99
2.398009602625993e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999953,0.099999999999999672,0.0,0.099999999999999881,0.0,1.0410816998673252e-58,0.0,1.139856395372772e-53,0.0,7.1065115617024515e-37,5.3263336649960795e-104,2.2582978468711472e-45,9.6838315690094107e-85,0.0,0.0,0.0,0.0,0.0,3.44360121579002e-16,1.2474592837950916e-16,1.6255167214386408e-23,1.6255167214384498e-23,5.9761067552746356e-37,2.4730404736152935e-47,2.4608320780787479e-68,2.170122077601548e-73,3.000967829062044e-68,1.7346421678437386e-73,8.6639875617240265e-46,1.1226048376517586e-118,7.0872375044313164e-124,3.1650366250257931e-135,5.0321204348020959e-124,2.2535670349252769e-135,6.109288379089113e-79,6.4514405980296341e-94,1.6836991565583275e-97
4.812788503172447e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999905,0.099999999999999326,0.0,0.099999999999999756,0.0,8.3966919313445012e-58,0.0,9.1933547700172279e-53,0.0,2.8574970433870112e-36,3.4514031259829412e-102,9.0805163187214768e-45,3.126867272497168e-83,0.0,0.0,0.0,0.0,0.0,6.9112835589177072e-16,2.503642059079274e-16,3.2624006926776556e-23,3.2624006926768898e-23,2.4029662423237607e-36,1.9905181227471422e-46,3.9717928953229699e-67,3.5025816996401628e-72,4.8329661738393558e-67,2.7997339746777304e-72,3.4837512927244893e-45,1.4550117857097685e-116,9.1857916082541134e-122,8.2048279409111307e-133,6.5224172241161852e-122,5.8422378730894445e-133,9.8665170502999581e-78,2.0844614295943019e-92,5.440034512552946e-96
9.642346304265356e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999811,0.099999999999998632,0.0,0.099999999999999506,0.0,6.7446759466418651e-57,0.0,7.3846025073551272e-52,0.0,1.1459841190769782e-35,2.222612860985002e-100,3.6416931798262769e-44,1.0051062404910749e-81,0.0,0.0,0.0,0.0,0.0,1.3846648245036158e-15,5.0160076096296376e-16,6.5361686351560001e-23,6.5361686351529262e-23,9.636969383837905e-36,1.5972654349280916e-45,6.3825645570502077e-66,5.6285515035367983e-71,7.7579810489818224e-66,4.4991090236400771e-71,1.3971400827723807e-44,1.8740702209174641e-114,1.1831394547938713e-119,2.1136322689310891e-130,8.4011140215723396e-120,1.505040467512289e-130,1.586013799351185e-76,6.7024578333229405e-91,1.7492097198228907e-94
1.9301461906451174e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999622,0.099999999999997244,0.0,0.099999999999999006,0.0,5.4066911389245834e-56,0.0,5.9196729400804009e-51,0.0,4.5899138977323356e-35,1.4268768780562241e-98,1.4585767690071778e-43,3.2235716223786759e-80,0.0,0.0,0.0,0.0,0.0,2.7717377616725373e-15,1.0040738710658357e-15,1.3083704520113947e-22,1.3083704520101632e-22,3.8598143694339187e-35,1.2797560501355777e-44,1.0234310723465856e-64,9.0252637287237601e-70,1.2432998230290674e-64,7.2142379715308631e-70,5.595847773503926e-44,2.4062966152064717e-112,1.5191450318284667e-117,5.4278525367349134e-128,1.0787098682047986e-117,3.8650158272472451e-128,2.5435344261666099e-75,2.1499499986450703e-89,5.6109468023956982e-93
