Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH3OO(77),CH2X(27),CHX(28),CX(26),H2X(49),C2H4(47),C2H6X(52)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.863562081987375e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.6762061904810825e-75,2.5686549165175283e-36,0.0,1.4818090575021975e-54,0.0,5.175058526742665e-20,-4.3399417518631612e-106,5.1750585267426625e-20,1.9892402068695106e-72,5.190496552708493e-93,0.0,0.0,4.7171477061650557e-59,8.684277818165095e-86,2.8262415304222249e-18,8.367998855045083e-20,3.3499905411275009e-22,3.3499905411262026e-22,2.8850147754294268e-37,4.1807411888631257e-35,1.1384190984349227e-44,1.6790176478058956e-50,1.7257479191936824e-52,1.3407271562677522e-98,2.5777239247140827e-71
1.641797382956465e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,3.7496061998585793e-74,1.5514675695765961e-35,0.0,2.2393098439226596e-53,0.0,1.4490163874879476e-19,8.3783165259848831e-105,1.449016387487945e-19,5.6099756526838543e-71,3.1576323725072576e-91,0.0,0.0,5.6001977567591824e-58,4.4952322987152421e-84,7.9134762851822257e-18,2.3430396794126236e-19,9.3799735151585149e-22,9.3799735151506739e-22,1.7425489243577235e-36,2.5251676774087952e-34,1.3515311527472717e-43,1.9939187046264038e-49,2.0488079296667451e-51,1.2626054498179048e-96,7.2695938917022594e-70
3.75267973247192e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,7.4085899882350725e-73,7.4696484972331104e-35,0.0,2.4089473442785144e-52,0.0,3.3120374571153152e-19,8.8466177350469724e-103,3.3120374571153012e-19,1.2202922414594394e-69,1.4255061911013295e-89,0.0,0.0,5.498307366306081e-57,1.9627943466555079e-82,1.8087945794702216e-17,5.3555192672288529e-19,2.1439939463226597e-21,2.1439939463188835e-21,8.3896229669240143e-36,1.2157595367245982e-33,1.3269412983002735e-42,1.9588887250488156e-48,2.0115317746121723e-50,1.1035236807819432e-94,1.5812954589850749e-68
7.97444443150283e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.1186699660299653,0.022821567693054285,0.0,1.3183190044620322e-71,3.2621917439774043e-34,0.0,2.2142376344500171e-51,0.0,7.0380795963700735e-19,6.9925140273067975e-101,7.038079596370008e-19,2.2622161568356463e-68,5.3824401423587791e-88,0.0,0.0,4.8631905991481236e-56,7.306991221228436e-81,3.843688481374214e-17,1.1380478442861313e-18,4.5559871359386968e-21,4.5559871359222045e-21,3.6639687647697865e-35,5.3095412995559172e-33,1.1736645477679759e-41,1.7348341191802159e-47,1.7791770747719533e-49,8.2326290519233524e-93,2.9314552813751333e-67
1.641797382956465e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996525,0.022821567693054285,0.0,2.2235376905818624e-70,1.3619008367377234e-33,0.0,1.8943269139826504e-50,0.0,1.4490163874879677e-18,4.9560463070607456e-99,1.4490163874879407e-18,3.8881715748655446e-67,1.8674185249079265e-86,0.0,0.0,4.0878047277996994e-55,2.517369265481568e-79,7.9134762851821791e-17,2.3430396794126226e-18,9.3799735151804532e-21,9.3799735151116012e-21,1.5296348339096551e-34,2.216628969065003e-32,9.8653576519497998e-41,1.4619659549063377e-46,1.4955055348066007e-48,5.6788212281981892e-91,5.0384226386123892e-66
3.3305032625688286e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996517,0.022821567693054285,0.0,3.6521673336466854e-69,5.5638092953747285e-33,0.0,1.5662661251710869e-49,0.0,2.9394332431899235e-18,3.3351919641947506e-97,2.939433243189813e-18,6.44435924032165e-66,6.2192833666266554e-85,0.0,0.0,3.3514292906095343e-54,8.354230769743184e-78,1.6053051892798026e-16,4.7530233496656042e-18,1.9027946273702692e-20,1.902794627342141e-20,6.2490574039761911e-34,9.0556525662371706e-32,8.0882161477896593e-40,1.2047303794420823e-45,1.2261057920731623e-47,3.7713334601408609e-89,8.3508160230630764e-65
6.707915021793557e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.118669966029965,0.022821567693054282,0.0,5.9203206304165963e-68,2.2489806748479952e-32,0.0,1.273661601099086e-48,0.0,5.9202669545939759e-18,2.1883414384944273e-95,5.9202669545935291e-18,1.0492968431742299e-64,2.03007767506317e-83,0.0,0.0,2.7140743312082496e-53,2.722104465520219e-76,3.2332203108029386e-16,9.5729906901715634e-18,3.8323891790902066e-20,3.8323891789765106e-20,2.5259689164373091e-33,3.6604395218640943e-31,6.5500469836400485e-39,9.8553822805771184e-45,9.9293225936029512e-47,2.458374311112962e-87,1.3597139085780152e-63
1.3462738540243014e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996467,0.022821567693054278,0.0,9.5344938619730065e-67,9.0430523798039725e-32,0.0,1.027254222845812e-47,0.0,1.1881934377402642e-17,1.4180126849754288e-93,1.1881934377400844e-17,1.6935693353239616e-63,6.56086025350016e-82,0.0,0.0,2.1845231408876304e-52,8.7895103676609848e-75,6.4890505538490765e-16,1.921292537118347e-17,7.6915782825920441e-20,7.6915782821348776e-20,1.0156809916189497e-32,1.4718466061365471e-30,5.2720474057282569e-38,8.0921004522024073e-44,7.9919826548756983e-46,1.5878172647499179e-85,2.1945837303962733e-62
2.6972385577141923e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999855,0.11866996602996401,0.022821567693054268,0.0,1.5304974220347706e-65,3.6266684647075239e-31,0.0,8.2514645626960828e-47,0.0,2.3805269223022227e-17,9.131604740209901e-92,2.3805269223015011e-17,2.7215204567524317e-62,2.1098743338654395e-80,0.0,0.0,1.7529422441017205e-51,2.8253095676358632e-73,1.3000711039940819e-15,3.8492794733207211e-17,1.5409956489843568e-19,1.5409956488010121e-19,4.0733350502923294e-32,5.9027629782825553e-30,4.2304856232772498e-37,6.7495895685112555e-43,6.4130627630530845e-45,1.0208530666608671e-83,3.5266371395497547e-61
