Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH3OO(77),CH2X(27),CHX(28),CX(26),H2X(49),C2H4(47),HOX(22),H2OX(23),OCX(25),CH4OX(60),C2H6X(52),COX(50),C2H4X(206),CH2OH(40),CH2OX(54),C2H4X(65),CH2(T)(34),CH2O2(180),O(29),C3H6O(211),acetyl(43),C2H3(46),C2H2(334),C2H2(358),C2H2X(360),C4H6(374)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.402384275428015e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,6.6149750679790445e-54,4.0937937731998145e-36,2.0913787813375328e-82,2.9814157518479316e-54,1.0129143909384432e-64,6.5331911433937906e-20,-1.7591289647024906e-105,6.5331911433937846e-20,5.0677766133523225e-72,6.8183443884382789e-70,7.1142039342376855e-85,6.3874842654018129e-107,1.474585778958115e-37,2.7930199751822174e-85,3.5679550366879056e-18,1.0564080720092004e-19,4.2291557516980842e-22,4.2291557516960177e-22,4.5979922983394646e-37,6.6630562692740185e-35,2.2905114629580075e-44,3.3784977987764958e-50,3.4722233642402289e-52,5.4436580688846738e-98,1.241751248699626e-37,5.3684955498221305e-54,5.878466271021992e-81,1.4505547271642615e-86,6.5475194600976923e-71,9.7015809262043142e-100,1.2376959841588105e-114,6.0322056394256936e-86,2.2260667944186598e-81,6.3503430284223331e-102,9.9800601018120697e-41,2.7146124364403539e-56,1.0019859518789166e-28,-5.5622849350222583e-177,3.4576567553349244e-118,3.9977054954746406e-104,3.3633236845837525e-117,2.1547566127070262e-132,7.9375211841522214e-134,8.3610822069020997e-229
2.0726675971198443e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,7.8532984007343968e-53,2.472651439012708e-35,8.6301337280001902e-81,4.5055154772513488e-53,2.2658489687922514e-63,1.8292935201502641e-19,3.4033052937147659e-104,1.8292935201502592e-19,1.4296810198674314e-70,2.1437965723385671e-68,2.9356961641804941e-83,4.8083390687514247e-105,8.9064981049113717e-37,1.4462306325279516e-83,9.990274102726133e-18,2.9579426016257612e-19,1.1841636104757051e-21,1.184163610474456e-21,2.7771873481937159e-36,4.0244859853044614e-34,2.7192952065004536e-43,4.0124485507167626e-49,4.1222235780260153e-51,5.1281608003254023e-96,7.5001775421411216e-37,6.3734779167190934e-53,3.5774697694194383e-79,8.3544525563169108e-85,1.8465052453150254e-69,7.3031084943241207e-98,2.1111104047162505e-112,2.5105792237433455e-84,9.1859269287094122e-80,5.9822971562150614e-100,6.0279563014945021e-40,3.2227878738794384e-55,2.8055606700386239e-28,1.0597191657863656e-174,7.2257094536589047e-116,3.7660110818348221e-102,5.7367461119939665e-115,6.6371240027219098e-130,2.4449309988381678e-131,1.239831057976472e-226
4.73752593627393e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,7.7104149393283614e-52,1.1904752292465345e-34,3.4139955887459216e-79,4.8468279515169849e-52,4.4769357031587456e-62,4.1812423317720427e-19,3.5934573253052302e-102,4.1812423317720187e-19,3.1101318233322078e-69,4.7826922230114163e-67,1.161332200216844e-81,3.8018096826315301e-103,4.2880954452167317e-36,6.3153719921716626e-82,2.2834912234802568e-17,6.7610116608588819e-19,2.7066596810884628e-21,2.7066596810824484e-21,1.3370961603521346e-35,1.9376167610993172e-33,2.6698201540216464e-42,3.9426145226744057e-48,4.0472235533584537e-50,4.4824497926626608e-94,3.6110126312115772e-36,6.2575184127804643e-52,1.6163208446060119e-77,3.7464871847523221e-83,4.0165522351693782e-68,5.774349144247814e-96,3.6900550631506582e-110,9.9714443994297419e-83,3.6338613175683562e-78,5.2290377949923362e-98,2.9022014776069646e-39,3.1641522228609704e-54,6.4127101254686677e-28,4.2939225026162727e-171,1.3076787706485298e-113,3.2918147948609223e-100,1.0027381319936202e-112,2.3193386549920441e-127,8.5437954332353716e-129,4.1704330889272176e-222
1.0067242614582101e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,6.8197746962768523e-51,5.1991180919640593e-34,1.2184311386091684e-77,4.4550699223259543e-51,7.9664677713024352e-61,8.8851399550156348e-19,2.8404256998538027e-100,8.8851399550155308e-19,5.7658611476980735e-68,8.9574532228834368e-66,4.1447120757141263e-80,2.7173753959491789e-101,1.8727239392835583e-35,2.3511391509255277e-80,4.852418849895536e-17,1.4367149779325123e-18,5.7516518223178358e-21,5.7516518222915687e-21,5.8394502188396429e-35,8.4620814412538086e-33,2.361425682726552e-41,3.4928348162747455e-47,3.5797233995971964e-49,3.3441687063747833e-92,1.5770240858413573e-35,5.5347041718509772e-51,6.1126305450668242e-76,1.4095221148244862e-81,7.4460109246631178e-67,4.1272645402883574e-94,5.5113924651023857e-108,3.5652730785772682e-81,1.2968992749519793e-76,3.9011668534674991e-96,1.2674676329301471e-38,2.7986567680593452e-53,1.3627009112771274e-27,1.2691048191846155e-167,1.98559782875229e-111,2.4558856280279302e-98,1.4976696256729072e-110,6.9316029217141813e-125,2.5534088030127423e-126,1.0860098525526083e-217
2.0726675971198443e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996523,0.022821567693054285,0.0,5.73243155466003e-50,2.1705294585508052e-33,4.1168059002445525e-76,3.8114061138850697e-50,1.3436611926083793e-59,1.8292935201502959e-18,2.0132276526140662e-98,1.8292935201502528e-18,9.9102100854098505e-67,1.547177288112518e-64,1.4004044968869749e-78,1.8377633865548232e-99,7.818253800096696e-35,8.1001719568125888e-79,9.9902741027260593e-17,2.9579426016257599e-18,1.1841636104792013e-20,1.184163610468235e-20,2.4378555165332537e-34,3.5327524153173077e-32,1.9849205581755914e-40,2.9454209671467938e-46,3.0089732118769171e-48,2.3068294976150111e-90,6.5837651205408952e-35,4.6522523471957196e-50,2.1274972094049191e-74,4.8807275727904275e-80,1.2797790315458575e-65,2.7912726632951419e-92,7.6077947500429458e-106,1.2056923738378472e-79,4.3819294162654507e-75,2.6910504695527065e-94,5.2914278659808852e-38,2.3524395776848481e-52,2.8055607393146565e-27,3.1130689388326625e-164,2.7641469999579996e-109,1.6940860066975056e-96,2.0673474421649058e-108,1.9141723637394299e-122,7.0512760459207997e-124,2.2322828340193414e-213
4.2045542684431127e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996512,0.022821567693054285,0.0,4.6997937277454181e-49,8.8673210645039473e-33,1.3535173443024231e-74,3.1513442803265785e-49,2.2069674208765795e-58,3.7108525694478167e-18,1.3548215739022066e-96,3.7108525694476395e-18,1.6425585856738149e-65,2.5706582041558053e-63,4.6042233433773595e-77,1.2089435874499666e-97,3.1940117807058876e-34,2.6881752309010938e-77,2.0265984608386974e-16,6.0003978490122541e-18,2.402160466980209e-20,2.4021604669354074e-20,9.9594352375029456e-34,1.4432446243579913e-31,1.6273577732898639e-39,2.4303851005440592e-45,2.4669380336010724e-47,1.531990533943072e-88,2.6896828746787053e-34,3.814197551169595e-49,7.1303631286479983e-73,1.6238488060913448e-78,2.1211398902327983e-64,1.8361945893985567e-90,1.0107712745266268e-103,3.9657825354815582e-78,1.4406824422694097e-73,1.7871558540705219e-92,2.1617209382930068e-37,1.9286719833581407e-51,5.6912805176977435e-27,6.9686920646702642e-161,3.6882551519145688e-107,1.1250609239351011e-94,2.7466768987107254e-106,5.0870601885496981e-120,1.8739308085768931e-121,4.0872622068045697e-209
8.46832761108965e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999949,0.11866996602996491,0.022821567693054282,0.0,3.8060148116087782e-48,3.5843129505393765e-32,4.3901118725575484e-73,2.5626208325589391e-48,3.5775888959693598e-57,7.4739706680430824e-18,8.8895183413781676e-95,7.4739706680423675e-18,2.674492249412349e-64,4.190821673284525e-62,1.4933686415133762e-75,7.8440576415383739e-96,1.2910706296375428e-33,8.7590661019952768e-76,4.0817405619708271e-16,1.2085308343785235e-17,4.8381541800069102e-20,4.8381541798258157e-20,4.0257629605038474e-33,5.8338254605497206e-31,1.3178764777918397e-38,1.9933767366999232e-44,1.9977903792980789e-46,9.986449119762941e-87,1.0872128222515189e-33,3.0888360661857816e-48,2.3567879345743853e-71,5.2978153090733907e-77,3.4537264416117044e-63,1.1913886097537931e-88,1.317954050908785e-101,1.286570754139105e-76,4.6728184564695534e-72,1.1649772351414933e-90,8.7380216620222129e-37,1.5618883967937272e-50,1.1462720563696035e-26,1.4915705017299014e-157,4.8195848071832004e-105,7.3338336135840444e-93,3.5814175139601482e-104,1.3267082495139026e-117,4.8872224248277589e-119,7.074775255145306e-205
1.6995874296382724e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999905,0.11866996602996449,0.022821567693054275,0.0,3.0634118369922468e-47,1.4412364730315679e-31,1.4143402500742369e-71,2.0668465387718714e-47,5.7615953442495315e-56,1.5000206865234506e-17,5.7602880896888782e-93,1.500020686523164e-17,4.3166504979861021e-63,6.7681881962201515e-61,4.8110849502931237e-74,5.0547058774289038e-94,5.191338218596488e-33,2.8282556050881056e-74,8.192024764234874e-16,2.4255129333331166e-17,9.710141606159066e-20,9.7101416054308923e-20,1.6187415803378755e-32,2.3457555064591702e-30,1.0607415790180964e-37,1.644990013714809e-43,1.6079955010944024e-45,6.4500722170884999e-85,4.3716349407324504e-33,2.4861639879245113e-47,7.8062375869312012e-70,1.711724924690598e-75,5.5743284011302412e-62,7.6773008082170533e-87,1.7026095328604687e-99,4.1453060370031289e-75,1.5054103806942633e-70,7.5243834654888886e-89,3.5135200790840401e-36,1.2571433739587285e-49,2.3005602612621082e-26,3.1225897765577232e-154,6.233022234564982e-103,4.7367944169688799e-91,4.626682998721515e-102,3.4279609920456347e-115,1.2627650307499226e-116,1.1912219819895379e-200
3.405096766696887e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999821,0.11866996602996366,0.022821567693054261,0.0,2.4581950735383953e-46,5.7800028656301007e-31,4.5411997857997128e-70,1.6602035398748689e-46,9.2486324133023428e-55,3.0052679259620946e-17,3.709468311806693e-91,3.0052679259609428e-17,6.9367488904998868e-62,1.0879664851647515e-59,1.5447378035321882e-72,3.2461309956538495e-92,2.0819588140728092e-32,9.0911849671485591e-73,1.6412593168762117e-15,4.8594771312422916e-17,1.9454116458858384e-19,1.9454116455938085e-19,6.4918777359634623e-32,9.4075283195323482e-30,8.5117821292991981e-37,1.3850737831177657e-42,1.2903151216094269e-44,4.1469402945488597e-83,1.7532211372378737e-32,1.9949900258764827e-46,2.6322537887153854e-68,5.5039464702386928e-74,8.9577960937091569e-61,4.9303608782093966e-85,2.1893941167407676e-97,1.3310420695647359e-73,4.8335549027191414e-69,4.8376464090835553e-87,1.4090786977393434e-35,1.0087779216681008e-48,4.6091374538185068e-26,6.4655449390235366e-151,8.0195282068935395e-101,3.0454238299488845e-89,5.9494748161388938e-100,8.8162235717516793e-113,3.2476503845098869e-114,1.9784483476899823e-196
