Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),CO2X(24),COX(47),CH4OX(57),C2H6X(49),CH3OO(75),SX(187),CH3OX(55),DME(215),DMEX(217),CH3OX(56),CH2OX(181),CHOX(183),C2H5X(48),C3H8X(54),C2H6O(121),SX(246)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2354332692096386e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-3.973199698926571e-135,6.3275328404230884e-69,1.8323948738381659e-55,3.4628320048563118e-102,4.7595256666153471e-61,5.6515329816645995e-166,4.0821895051233589e-37,-1.2342839613788844e-114,4.0821858119096604e-37,3.7724250538970655e-95,8.3123967684319708e-72,5.0559296742056347e-140,1.5437132000784685e-141,1.6556615917182678e-59,9.92750591022114e-115,3.1736294395560789e-18,1.3885518279013415e-18,1.7030096691631523e-25,7.2899702477041232e-38,1.7030096691624242e-25,2.6671030572401266e-54,5.3016628980505574e-41,2.6244598985714837e-50,2.9059280113801491e-59,2.7729580401793226e-88,-1.6649051954939056e-122,8.3169827562234026e-119,1.866633740491891e-88,1.1033050113531156e-77,1.1853416378187337e-53,2.1970120110050291e-70,1.2340125297874675e-63,-3.3364496884284096e-99,-6.2484821189251933e-116,1.0384117215589454e-91,2.0308703396590939e-106,6.654206547560158e-116,1.2275513573595351e-80,-2.3627025944611298e-131,-2.0645254504223702e-126,-3.8664303573392327e-143
3.4592131537869886e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,1.3553883817581666e-132,1.4180931130471471e-67,1.1067667356670381e-54,7.1238021209592281e-100,7.1925951874194783e-60,3.7827903009616288e-163,1.1430142580358066e-36,2.2634922559020059e-113,1.1430120273347326e-36,1.0648268676717813e-93,2.6135504930138154e-70,1.8772633158491069e-137,5.7317968156957274e-139,1.9656014416878902e-58,5.1432281577214573e-113,8.8861624307570133e-18,3.8879451181237565e-18,4.7684270736591866e-25,4.403142029613198e-37,4.7684270736547904e-25,3.1663847495554123e-53,3.2022043888932741e-40,3.1157587871713803e-49,6.4999591049645179e-58,3.1538061367585971e-86,3.1645473715836788e-120,3.0880901501583115e-116,1.0750854429364207e-86,3.1114966608302547e-76,7.1594697466334531e-53,2.6082947460389056e-69,1.8648397522344396e-62,3.2966257973239376e-98,1.048817212038868e-114,5.9807092504020466e-90,1.5671105202953499e-104,8.6547245575775376e-114,3.4618986350789913e-79,7.5628477289769795e-130,1.0960132545596538e-124,3.6560278851270788e-141
7.906772922941689e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999992,0.10000000000000001,1.1350880752636459e-129,2.8042554736698596e-66,5.3286077126130621e-54,1.2906294271872869e-97,7.7374656857522967e-59,2.7412035629357474e-160,2.6126096594878122e-36,2.3961556291715402e-111,2.6125989196223765e-36,2.3207688015296823e-92,5.8306873752536695e-69,6.8025824733716275e-135,2.0770139292762441e-136,1.9298391513066942e-57,2.2500712045880656e-111,2.0311228413158841e-17,8.8867316985685833e-18,1.0899261882660691e-24,2.119923348032218e-36,1.0899261882639523e-24,3.1087753235188792e-52,1.5417235684592079e-39,3.0590704440955955e-48,1.2842277908473588e-56,2.855006824898533e-84,1.3196455024515577e-117,1.1190219163344204e-113,4.8211343633198492e-85,6.7681848732073823e-75,3.4469828640893271e-52,2.5608436684060398e-68,2.006109509141452e-61,1.8182369477273823e-96,1.2363539761931265e-112,2.6820047367005632e-88,1.7079136983947808e-102,1.9173329519285038e-111,7.5303897058588546e-78,1.6588077699772849e-127,2.7128222190726401e-122,1.8326563653209062e-138
1.6801892461251086e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999993,0.099999999999999964,0.10000000000000001,7.3201376809521942e-127,4.9919369155860214e-65,2.3271449959304811e-53,1.958430913565237e-95,7.1120640131824383e-58,1.6651610430411299e-157,5.5518196080120788e-36,1.8940075995776028e-109,5.5517727041981076e-36,4.3192139457097157e-91,1.0920232158907068e-67,2.0655845415637171e-132,6.3067928712654158e-134,1.7069208745976153e-56,8.4088399017245037e-110,4.3161360377962343e-17,1.8884304859458236e-17,2.316093150070146e-24,9.2582622145827815e-36,2.3160931500609011e-24,2.7496765678918347e-51,6.7331118568206348e-39,2.7057131483046732e-47,2.2851664683089369e-55,2.1637949836813689e-82,4.2536515621629399e-115,3.3978777634805941e-111,1.8138312419816396e-83,1.2547074096467338e-73,1.5053935740526552e-51,2.2650450864607559e-67,1.8439602612372166e-60,7.1559518856643193e-95,9.7728032060727986e-111,1.0090378200152517e-86,1.3971794421334891e-100,3.1690560572404964e-109,1.3960076452810739e-76,2.6269948421247148e-125,4.6502568148109113e-120,6.288786325902013e-136
3.459213153786988e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999987,0.099999999999999922,0.099999999999999992,4.1941492583712489e-124,8.4211890721974307e-64,9.7153890594138068e-53,2.7251499885973191e-93,6.0845204980016791e-57,9.2724334362969667e-155,1.1430316087541639e-35,1.3424060666093047e-107,1.1430120273351343e-35,7.4817412626005441e-90,1.8861985384600553e-66,5.7502321031001933e-130,1.7557026646074501e-131,1.43476984479713e-55,2.9192949979697123e-108,8.8861624307568756e-17,3.8879451181237525e-17,4.7684270736934025e-24,3.8651422253314166e-35,4.7684270736548073e-24,2.311268835754567e-50,2.8109416472131902e-38,2.2743149046254421e-46,3.8542268588705187e-54,1.5045529075252671e-80,1.2183494139716394e-112,9.4591072913347538e-109,6.2807217156848918e-82,2.1565214580700917e-72,6.2847686099206956e-51,1.9039201010671591e-66,1.5775468255382714e-59,2.5283591945091982e-93,6.9162652544552379e-109,3.4939785796203893e-85,1.0055601805470821e-98,4.5858468799576095e-107,2.3993807159760445e-75,3.7265992160158857e-123,6.8424492284433388e-118,1.8515762304582195e-133
7.017260969110747e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999973,0.099999999999999825,0.099999999999999978,2.2699861386347059e-121,1.3833088192842923e-62,3.9690671619160937e-52,3.6353925555506816e-91,5.0307992109146157e-56,4.9489853271683612e-152,2.3187615376524858e-35,9.033777954871005e-106,2.3186815411664897e-35,1.2593094747510253e-88,3.1339470821566866e-65,1.5344190364478895e-127,4.6849997402078929e-129,1.176311003907112e-54,9.8362385252509002e-107,1.8026215216677919e-16,7.8869743824796041e-17,9.6730949210003269e-24,1.5790367155325946e-34,9.673094920842652e-24,1.8949178325322265e-49,1.1483613723072212e-37,1.8646207212594924e-45,6.3305460608284915e-53,1.0032355076927557e-78,3.2966790175367302e-110,2.5241127723866768e-106,2.0896356757857545e-80,3.5742761650034353e-71,2.5675712696351077e-50,1.5609704194819107e-65,1.3043462221303822e-58,8.494229816660176e-92,4.6506495158271687e-107,1.1624688365291019e-83,6.8160141785941965e-97,6.2334981126953383e-105,3.9767977863868594e-74,5.0175702078272634e-121,9.3755280804239659e-116,5.0753437111902377e-131
1.4133356599758267e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999948,0.099999999999999645,0.099999999999999936,1.1947254911170846e-118,2.2425046036819229e-61,1.6043715027937933e-51,4.7499504232655222e-89,4.0909623690422429e-55,2.5868161107757601e-149,4.6703439274187763e-35,5.9273923047642091e-104,4.6700205688320357e-35,2.1131981796160084e-87,5.1091247113840334e-64,4.010016525347276e-125,1.2243673946441726e-126,9.5260714888562555e-54,3.3015490304207973e-105,3.6306320788519047e-16,1.5885032911191281e-16,1.9482430615855813e-23,6.3827188704277275e-34,1.9482430615218472e-23,1.5345535898459223e-48,4.6418601984868543e-37,1.5100181293354235e-44,1.0262060816138448e-51,6.5530245387922657e-77,8.6749866294890556e-108,6.5964600859857033e-104,6.8174474329736961e-79,5.8197821642557544e-70,1.0378842630696438e-49,1.2641494486847477e-64,1.060672685818909e-57,2.7845263675583431e-90,3.0502563929230003e-105,3.7925609697596104e-82,4.4879695991943426e-95,8.2198071112484658e-103,6.4751844509752814e-73,6.5856953995503144e-119,1.2411528218844333e-113,1.3439431332338588e-128
2.8365547861053304e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999896,0.099999999999999284,0.099999999999999853,6.2016266295136243e-116,3.6115659057817599e-60,6.4511964823948978e-51,6.1425805280335518e-87,3.2995093561244413e-54,1.3381763573256942e-146,9.373998834829962e-35,3.8408620539341637e-102,9.3726986241744647e-35,3.6132333333023521e-86,8.2512500562633966e-63,1.0371827578892707e-122,3.1668017900169481e-124,7.6674110837104585e-53,1.1284035964224984e-103,7.2866531932197437e-16,3.188114996861454e-16,3.9101102006533372e-23,2.5664631855778297e-33,3.9101102003970647e-23,1.2351422322512129e-47,1.8664715093990433e-36,1.215393839494837e-43,1.6526709567554323e-50,4.2368089349925626e-75,2.251462867642632e-105,1.7061612143079938e-101,2.2027182933388102e-77,9.3931518772587524e-69,4.1735355031100517e-49,1.0175540098627381e-63,8.5547094664603457e-57,9.0181539626890312e-89,1.9761317633260924e-103,1.2253770608661311e-80,2.9131791604060472e-93,1.0678224501901318e-100,1.0450973950637908e-71,8.5356960731554113e-117,1.6154878384354006e-111,3.4987872353367869e-126
5.6829930383643376e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999979,0.099999999999998548,0.099999999999999686,3.1970858603047749e-113,5.7974283246209741e-59,2.5872898985319785e-50,7.9028482755558654e-85,2.6503453501803858e-53,6.8868272659613814e-144,1.8783269161166942e-34,2.4734076609476403e-100,1.8778054734904682e-34,6.4572671947212305e-85,1.3263643479112082e-61,2.6688660484281955e-120,8.14877582103037e-122,6.1526145179775051e-52,4.0280116373636456e-102,1.4598695421953881e-15,6.3873384083460658e-16,7.8338444791754731e-23,1.0292665252852374e-32,7.833844478147709e-23,9.9112385483786704e-47,7.4853850650479159e-36,9.752768214169384e-43,2.6529006719303337e-49,2.7253623582183365e-73,5.8033356271604817e-103,4.3902732699377909e-99,7.0827055243076196e-76,1.5094542902574071e-67,1.6739737457047875e-48,8.1661377344297816e-63,6.8716078689403805e-56,2.9031550238714273e-87,1.2724485538693941e-101,3.940124819825032e-79,1.8776201649883629e-91,1.3769387636955619e-98,1.6794434689490939e-70,1.0994035621996768e-114,2.0851516184342089e-109,9.0322436119456767e-124
