Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CO2X(24),C2H4(47),COX(50),CH4OX(60),C2H6X(52),C2H4X(210),C2H4X(65),CH2OH(40),CH2OX(54),acetyl(43)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.797054720318162e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,-3.7714528770288884e-125,1.8099913826481999e-65,3.4516310344416007e-36,5.6651196928707316e-90,2.3081828129417415e-54,2.23041919579041e-101,5.9989415310302221e-20,-1.0530271056947824e-105,5.9989415310302149e-20,3.5919007086769259e-72,4.6632054976390485e-70,1.3702052007164643e-113,1.5887493124623659e-114,9.4375408617931701e-51,1.8177322591353336e-85,3.2761857155274795e-18,9.7002036171881398e-20,3.8833167794950288e-22,1.0469667386971576e-37,3.8767401961090643e-37,3.8833167794932853e-22,4.1562342453676085e-54,5.617871994443194e-35,1.7732911039515859e-44,2.6155086361910302e-50,3.8370267569282767e-81,2.6881605221438317e-52,-1.4329180561141718e-112,3.2530899459033654e-98,2.4130595686636071e-107,9.1093812638207634e-87,4.6545060458785449e-71,6.7915414364113041e-115,3.7949162681072909e-102,8.2192651545150753e-88,4.5009178240745274e-118,-2.3690704932694072e-125
1.9031753216890852e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,6.8348775505813993e-123,4.0491839161148811e-64,2.0847851448027429e-35,6.2622046247032985e-88,3.4881258738576625e-53,2.3345972658775893e-99,1.6797036286884645e-19,2.0328833728642273e-104,1.6797036286884602e-19,1.0129734722021729e-70,1.4661864243642072e-68,2.7400186082712614e-111,3.1770443435490842e-112,1.1204248511117102e-49,9.4091056978813985e-84,9.1733200034769381e-18,2.7160570128126797e-19,1.0873286982588118e-21,6.32367910172852e-37,2.3415510784473043e-36,1.0873286982577586e-21,4.934281296080186e-53,3.3931946836085643e-34,2.1052511969597399e-43,3.1061953047839455e-49,2.3350369193713088e-79,3.1913841718891695e-51,1.4506436178292468e-110,3.063538386144619e-96,4.8254291555786255e-105,5.2465372238724408e-85,1.3126451795535561e-69,1.1580374899823578e-112,3.5737934862546082e-100,4.7338759172776024e-86,8.5250719568165368e-116,4.3758308259118086e-123
4.3501150210036237e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,2.8873631037229513e-120,8.0007752678589938e-63,1.0037343048156398e-34,5.6696666539873133e-86,3.7523666432887393e-52,2.0972045076545503e-97,3.8393225798593567e-19,2.1465102145794393e-102,3.839322579859336e-19,2.2034385635406789e-69,3.2709812582730125e-67,4.9640980400914921e-109,5.7558585743704633e-110,1.1000397628494473e-48,4.1083837833495402e-82,2.0967588579375843e-17,6.2081303150004102e-19,2.4853227388782421e-21,3.0445792761278606e-36,1.1273560490246599e-35,2.4853227388731711e-21,4.8445066363377292e-52,1.6336771744313917e-33,2.0669481056460594e-42,3.051933567222486e-48,1.0549144665353893e-77,3.1333199046108826e-50,3.0400610417635402e-108,2.677548364828685e-94,8.7422411451330387e-103,2.352767502439253e-83,2.8552899836423878e-68,2.0239701794383013e-110,3.1235139560781261e-98,2.1228686547971084e-84,1.5320791465168307e-113,1.8252823684200688e-120
9.243994419632701e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,9.3006916463390614e-118,1.4237172899042026e-61,4.3835714137410617e-34,4.2971104760909702e-84,3.4490714210660631e-51,1.5814468706813624e-95,8.1585604822011703e-19,1.6966374307693498e-100,8.1585604822010817e-19,4.084803746073133e-68,6.126185890246776e-66,7.5328096953681581e-107,8.7342729587872264e-108,9.7297271268498194e-48,1.5294482731144379e-80,4.4556125731173582e-17,1.3192276919375873e-18,5.2813108201203566e-21,1.3296477581418003e-35,4.9234600490186602e-35,5.2813108200982077e-21,4.2849112574724009e-51,7.1346974168983937e-33,1.828192185778116e-41,2.7034078553889401e-47,3.9889765328571996e-76,2.7713859719094706e-49,4.8926603944608854e-106,1.9975341572804226e-92,1.3265982728061136e-100,8.8516993711971072e-82,5.2932264208754631e-67,3.0228501682429881e-108,2.3302383248529575e-96,7.9867624478137328e-83,2.3130650645988319e-111,5.8836250505907302e-118
1.9031753216890855e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,2.6682200153186001e-115,2.4013252733580966e-60,1.8300547744611411e-33,2.9939551460168321e-82,2.9507532161568495e-50,1.0965002455372072e-93,1.6797036286884913e-18,1.2025165255844843e-98,1.6797036286884549e-18,7.0207339676446606e-67,1.058146265051086e-64,1.0502926645464174e-104,1.2178115723315243e-105,8.1784219101317651e-47,5.2691811982963005e-79,9.1733200034768777e-17,2.7160570128126791e-18,1.0873286982617594e-20,5.5510176485400084e-35,2.0554476519411577e-34,1.0873286982525131e-20,3.6017260970485348e-50,2.9785957170137626e-32,1.5367056785199222e-40,2.2791183662067461e-46,1.3880020462734213e-74,2.3295168979216064e-48,7.0154468333654504e-104,1.3778878296267539e-90,1.8496636595462015e-98,3.0650624586028787e-80,9.0977037923087422e-66,4.1725961340459024e-106,1.6073852927907398e-94,2.7655622630535175e-81,3.2094244255194407e-109,1.6886098654186187e-115
3.860727081140716e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996514,0.022821567693054285,7.2567496354212232e-113,3.9441985040385958e-59,7.4763708858436079e-33,2.0069868889768608e-80,2.4397398210906433e-49,7.3006693238202259e-92,3.4073987896252878e-18,8.0923849465017943e-97,3.4073987896251388e-18,1.1636351675096008e-65,1.758125845279774e-63,1.4085234412058396e-102,1.6331792124357958e-103,6.7051644013263153e-46,1.7486491275543761e-77,1.8608734864195805e-16,5.5097156545628609e-18,2.2057239307664108e-20,2.2677718346602224e-34,8.3971743340763911e-34,2.2057239307286373e-20,2.9529126612750572e-49,1.2168535332584907e-31,1.2598841419283666e-39,1.87961386667846e-45,4.6495435280034624e-73,1.9098786963990587e-47,9.5381144591700002e-102,9.1506217001322716e-89,2.4805415774844031e-96,1.0197655861340161e-78,1.5078776841724281e-64,5.5436599114934888e-104,1.0674725771567612e-92,9.2011998461150123e-80,4.27506223511001e-107,4.5933813147128638e-113
7.775830600043978e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999949,0.11866996602996495,0.022821567693054282,1.9308924147845744e-110,6.3937274370846071e-58,3.0220686489446902e-32,1.325696532479878e-78,1.9839559043364931e-48,4.7651543846896844e-90,6.8627891114990696e-18,5.3097097572764829e-95,6.8627891114984687e-18,1.8946782175556493e-64,2.8661888557970866e-62,1.8609841438768904e-100,2.1578062032036659e-101,5.430015975257413e-45,5.6977185930498644e-76,3.7479564585633212e-16,1.1097032938063217e-17,4.4425143957965284e-20,9.1666963411030435e-34,3.3942721249730885e-33,4.4425143956438401e-20,2.3913452321904527e-48,4.918716488422997e-31,1.0202868150277294e-38,1.5400656117587804e-44,1.5352611666115264e-71,1.546669285293191e-46,1.2688579543832453e-99,5.9649069900723376e-87,3.2773672125113423e-94,3.3269906124787089e-77,2.4551879168948069e-63,7.228397159315877e-102,6.9584065787947925e-91,3.0018963112041757e-78,5.5815297750366183e-105,1.2222933136265698e-110
1.5606037637850502e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996456,0.022821567693054275,5.124534501602392e-108,1.0296910313293784e-56,1.2151605122004502e-31,8.7648794512847151e-77,1.6001323105843963e-47,3.0797187965572945e-88,1.3773569755247387e-17,3.4406129029536129e-93,1.3773569755244969e-17,3.0580182818905421e-63,4.6289026578950459e-61,2.4607745299895593e-98,2.8532615734929576e-99,4.3705492574985716e-44,1.8397588071976507e-74,7.5221224028506223e-16,2.2271667505063906e-17,8.9160953259400246e-20,3.6858882820702662e-33,1.3648218927983553e-32,8.9160953253260755e-20,1.9247626846514819e-47,1.9777942255600832e-30,8.2121554691616946e-38,1.2684028632409883e-43,5.0752831497192586e-70,1.2448939979909787e-45,1.6837403777216123e-97,3.8526201069639439e-85,4.3336542063291182e-92,1.0749511682621737e-75,3.962683196435652e-62,9.3380418875783301e-100,4.4943025985082156e-89,9.699131506257755e-77,7.2152401093788923e-103,3.2438256426106527e-108
3.1266451713463548e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999833,0.1186699660299638,0.022821567693054264,1.3795660246691875e-105,1.6528828986726127e-55,4.8733371477511238e-31,5.888200188653078e-75,1.2853132907870961e-46,1.9806824313790415e-86,2.7595131042747045e-17,2.2156583947872284e-91,2.7595131042737351e-17,4.9141532842451961e-62,7.4408258296386551e-60,3.3058746821017044e-96,3.8331529711114888e-97,3.5070905314010281e-43,5.9137402911792741e-73,1.5070454291424509e-15,4.4620936639065202e-17,1.7863257186560063e-19,1.478206056418977e-32,5.4735462208130365e-32,1.7863257184097851e-19,1.5445008362323531e-46,7.9318391046533595e-30,6.5897368620936095e-37,1.0640724810244943e-42,1.7051890767669506e-68,9.9894903270268142e-45,2.2665037995881087e-95,2.4769594953802785e-83,5.8219546530531751e-90,3.4564395266861515e-74,6.3679255155561225e-61,1.2007821196676807e-97,2.889515471013667e-87,3.1186962263242819e-75,9.2811405457288364e-101,8.7314621998850728e-106
