Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),COX(58)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.494490786932799e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,1.3193155154156471e-139,3.3910073087426593e-65,1.6657771377133327e-46,1.7167579488407543e-74,8.7792580939628418e-58,4.4834033304257434e-49,4.3960768064208284e-29,-3.5611475388182248e-114,4.3960768023791731e-29,3.0780825858618093e-74,3.584971869617784e-70,4.0541383303034105e-75,3.6882351487724407e-106,4.4834541554812562e-49,6.2860870433432219e-92,2.6725134708517623e-18,7.7953303112818144e-19,1.7666427745365589e-23,2.0444485413903583e-37,1.7666427745365595e-23,6.9311052104557908e-54,8.3366549672007096e-38,1.6170955259175732e-47,2.4277544703672166e-56,5.9618861360986421e-86,2.4520479543307955e-92
2.378457420341184e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,1.0180473540702761e-137,6.8579339712517214e-64,1.0061293912577054e-45,2.0381350385206365e-73,1.3267214831615737e-56,2.7079756139810732e-48,1.2309015071073321e-28,-3.3621300358198674e-114,1.230901504666172e-28,4.6515989737099412e-73,1.1271725226439236e-68,4.813073029648978e-74,8.250434504807124e-105,2.7080359534869787e-48,1.7727773331297208e-90,7.4830377183849315e-18,2.1826924871589081e-18,4.9465997687023923e-23,1.2348469189981071e-36,4.9465997687023947e-23,8.2286081058146097e-53,5.0353395992461634e-37,1.9198158067478993e-46,4.1743997150226007e-55,5.2260123719897189e-84,5.4851331961639569e-91
5.436474103636992e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,1.1095367092381228e-135,1.273212151999103e-62,4.8440799176505696e-45,2.0010530703051507e-72,1.4272264298215659e-55,1.3037736920936919e-47,2.8134891652758315e-28,6.4250217449244338e-114,2.813489153522696e-28,5.0039778365984205e-72,2.5146598928479293e-67,4.7255036499312325e-73,1.6301468292089675e-103,1.3038329337783979e-47,3.8561778836166621e-89,1.7104086213451246e-17,4.9890113992203615e-18,1.1306513757034166e-22,5.9452563583381182e-36,1.1306513757034173e-22,8.0788962331879006e-52,2.4242992630473663e-36,1.8848865399830454e-45,6.8355163877390495e-54,3.9196045450096747e-82,1.0837698889974761e-89
1.1552507470228608e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,9.0770154703022657e-134,2.1933043743585418e-61,2.115536966114262e-44,1.769908785723233e-71,1.3118669784667797e-54,5.6939222669015037e-47,5.9786645025648287e-28,3.8875836534742797e-112,5.9786644512357987e-28,4.5995177303899042e-71,4.7096796765183781e-66,4.1796544784817106e-72,2.9007591940744084e-102,5.6944462528938213e-47,7.1487038859445832e-88,3.6346183203583789e-17,1.0601649223343268e-17,2.4026341733698123e-22,2.5964496475398736e-35,2.4026341733698156e-22,7.1456922275208205e-51,1.0587551793727356e-35,1.6671607928443758e-44,1.0914941850777244e-52,2.6637219383808151e-80,1.9285106184292315e-88
2.378457420341184e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,6.5332503616428691e-132,3.6388645081397569e-60,8.8319503951158746e-44,1.4877149899077704e-70,1.1223298196243851e-53,2.3771004793264561e-46,1.2309015260950823e-27,1.3857344367577988e-110,1.2309015046662226e-27,3.9349843071912468e-70,8.1348004264793968e-65,3.5132514570413261e-71,4.8925543981205824e-101,2.377540921125518e-46,1.22867956303811e-86,7.4830377183848542e-17,2.1826924871589078e-17,4.9465997687027671e-22,1.0839666166218741e-34,4.9465997687027831e-22,6.0063848772428056e-50,4.4200944504540182e-35,1.4013490900808672e-43,1.7365668228104266e-51,1.7460089614426048e-78,3.2527150571612703e-87
4.82487076697783e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999853,0.099999999999999992,4.429068799407202e-130,5.9274304644122774e-59,3.6081399206497307e-43,1.219718649904088e-69,9.2796399859628148e-53,9.7112312337627222e-46,2.4969717112954805e-27,4.6566433930959927e-109,2.496971623751597e-27,3.2535212347613351e-69,1.3516092574526603e-63,2.8803758468694838e-70,8.0360354001822357e-100,9.7148422417350804e-46,2.0364463374129023e-85,1.517987651443766e-16,4.427747616808069e-17,1.0034530959369342e-21,4.4283573183959449e-34,1.0034530959369401e-21,4.9243972124526006e-49,1.8057528013769652e-34,1.148910633138714e-42,2.766995115987317e-50,1.1289535308302415e-76,5.3425943214225323e-86
9.717697460251123e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.0999999999999997,0.099999999999999964,2.917112954375968e-128,9.5686691211740797e-58,1.458467849000962e-42,9.8775981393132963e-69,7.5460491242266056e-52,3.9254350527007334e-45,5.0291122157890766e-27,1.5265237134711295e-107,5.0291118619227012e-27,2.645709631860447e-68,2.2034642181124995e-62,2.3326031054618615e-69,1.3026760036111175e-98,3.9283593405783279e-45,3.3158251845417395e-84,3.0573554106542723e-16,8.917857876106381e-17,2.0210393340705137e-21,1.7900128313550079e-33,2.0210393340705374e-21,3.9879045356152392e-48,7.299141491598858e-34,9.3041759093481403e-42,4.4164383639751861e-49,7.2591476143711524e-75,8.660575858887749e-85
1.950335084679771e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999927,0.099999999999999395,0.099999999999999922,1.8945812385987147e-126,1.5377917927721797e-56,5.8644351062922334e-42,7.950350763228448e-68,6.0861619930957718e-51,1.5784002655272462e-44,1.0093393761147463e-26,4.9439042471804145e-106,1.0093392338266332e-26,2.1338609872617986e-67,3.5586005976867111e-61,1.8774820172121379e-68,2.0979196592643808e-97,1.5807539868182276e-44,5.3517559968249877e-83,6.1360909290750631e-16,1.7898078394702975e-16,4.0562118103387312e-21,7.1975628665904761e-33,4.056211810338826e-21,3.2098125090729778e-47,2.9349526535058042e-33,7.488809777372903e-41,7.0570638129650032e-48,4.6561844414149172e-73,1.3947591189705888e-83
3.9074657619890876e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999849,0.099999999999998784,0.099999999999999839,1.222471577487593e-124,2.4659193785277767e-55,2.3519007959238781e-41,6.3796565126704169e-67,4.8887362925485214e-50,6.3300917877498902e-44,2.0221958997349013e-26,1.5915592467307429e-104,2.0221953290959281e-26,1.7140337078607328e-66,5.7203465268395154e-60,1.5065612493266717e-67,3.3676260405380853e-96,6.3489789187848744e-44,8.6001307327511952e-82,1.2293561965915748e-15,3.5858519431896056e-16,8.126556762879401e-21,2.8865446278377944e-32,8.1265567628797832e-21,2.5756723899250524e-46,1.1770472529628072e-32,6.0092975122637192e-40,1.1283654115161813e-46,2.9831812732039393e-71,2.2388975223923002e-82
