Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),H2OX(23),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),CH3OO(84),COX(57)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.114244592108348e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,2.1392547465967152e-133,1.5059085042835304e-63,1.268220900004678e-43,1.9749306572035849e-70,3.7875375280731554e-57,7.0141400140192452e-47,1.5046554985372298e-26,-1.0413449799045812e-108,1.5046554984862387e-26,4.96073997569995e-69,1.4955969674457388e-70,5.5588798503264153e-71,4.1351283774162005e-100,7.0141414372093936e-47,4.403912893324608e-86,2.8689670379048399e-18,1.3794248471137772e-19,5.3170486719248607e-23,6.2640575050929409e-38,2.2548814833331831e-54,5.3170486719250605e-23,7.7674283714449694e-37,1.6387942204031289e-46,1.9491245656604591e-54,6.3835508232604858e-85,8.0016696514246876e-44,3.7262871638992045e-88
1.9919884857903374e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.6507449287231258e-131,1.7966006035785003e-62,7.6600542361368538e-43,2.3446376763023552e-69,5.7237267124251039e-56,4.2365405686062551e-46,4.2130353960694579e-26,6.1943980007418209e-108,4.213035395761471e-26,7.4966702518469151e-68,4.7023961524034846e-69,6.5995021585052825e-70,9.2501167754128321e-99,4.2365422582175992e-46,1.2419738986147802e-84,8.0331077061335464e-18,3.8623895719185755e-19,1.4887736281389213e-22,3.7834907330709696e-37,2.6769952970010233e-53,1.4887736281390423e-22,4.6915267353969109e-36,1.9455764970028621e-45,2.4236736813652827e-53,3.9390972095650846e-83,4.8330084696185187e-43,8.3355553343786098e-87
4.5531165389493426e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,1.7990631215513034e-129,1.782523449705595e-61,3.6879863773764741e-42,2.3019791742543023e-68,6.1573240086384468e-55,2.0397119162847416e-45,9.629795191794771e-26,3.6202900894504402e-106,9.6297951903119458e-26,8.0645757655277333e-67,1.0490787136918478e-67,6.4794303541535313e-69,1.8276671971379996e-97,2.0397135751551776e-45,2.7015645109180983e-83,1.8361389042590942e-17,8.8283190215281738e-19,3.4029111500316334e-22,1.8215879224732773e-36,2.6282898569355499e-52,3.4029111500322151e-22,2.2587681689824227e-35,1.9101785387767171e-44,2.6118858839386871e-52,1.9292926723042871e-81,2.3268855348713105e-42,1.646965268048555e-85
9.675372645267353e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,1.4717462556751266e-127,1.6097279237295871e-60,1.610640543174226e-41,2.036074510807997e-67,5.659641577448435e-54,8.9079578199532063e-45,2.0463314785888821e-25,1.4262644790347062e-104,2.0463314779412929e-25,7.4127345348515631e-66,1.9648083269378977e-66,5.7309827717799512e-68,3.2522361258371711e-96,8.9079724924743506e-45,5.0082453035553673e-82,3.9017951715505652e-17,1.8760177920747369e-18,7.2311861938164216e-22,7.9553530313879478e-36,2.3246926139781993e-51,7.2311861938189634e-22,9.8646340169194471e-35,1.6895312799639543e-43,2.723440669392222e-51,8.5341540483444451e-80,1.016212045975847e-41,2.9306866978199626e-84
1.9919884857903373e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,1.0592277939298243e-125,1.4087668737430723e-59,6.7241072133393127e-41,1.7114433094719455e-66,4.8419425254357704e-53,3.7188970373668909e-44,4.2130353984650608e-25,5.0394432882863979e-103,4.2130353957615046e-25,6.3417504633595362e-65,3.3937177714228724e-65,4.8172363385510318e-67,5.4853715844461752e-95,3.7189093705049997e-44,8.6078940697481582e-81,8.0331077061334819e-17,3.862389571918576e-18,1.4887736281383458e-21,3.3212032891281995e-35,1.9540442152095119e-50,1.4887736281394064e-21,4.1182905092060261e-34,1.4201528334529302e-42,2.984427916035392e-50,3.8427245956998376e-78,4.2424852513895736e-41,4.9430314752079461e-83
4.0408909283175414e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,7.1798088574504082e-124,1.2463247660021312e-58,2.7470171995283925e-40,1.4031446268849539e-65,4.0034117140147385e-52,1.5192907852339814e-43,8.546443242446895e-25,1.6930434812812718e-101,8.5464432314019832e-25,5.2434819270138414e-64,5.6387128344324185e-64,3.9494613975606233e-66,9.0097393035797591e-94,1.5193008966857398e-43,1.4266953164585163e-79,1.6295732775299191e-16,7.8351331316062504e-18,3.0200836456507353e-21,1.3568199117721237e-34,1.6020435058814776e-49,3.0200836456550687e-21,1.6824560436789301e-33,1.1643270797105149e-41,3.5869011202829903e-49,1.8693642710394738e-76,1.7331936550434186e-40,8.1189440448393277e-82
8.13869581337195e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,4.727532215609802e-122,1.1572366291596306e-57,1.1103882736120476e-39,1.1363028990155239e-64,3.255507918852231e-51,6.141216274463099e-43,1.7213258947328471e-24,5.5500315323337732e-100,1.721325890268317e-24,4.2639124320424982e-63,9.1925250573405941e-63,3.1983762397759058e-65,1.4605175681998676e-92,6.1412981596210067e-43,2.323003481785982e-78,3.2820982913630138e-16,1.5780620250981591e-17,6.0827036806714459e-21,5.4844830199671099e-34,1.2973763666413398e-48,6.0827036806889644e-21,6.8007562828963618e-33,9.4290223178982602e-41,4.7513535661319007e-48,9.9542788367423356e-75,7.005845875316792e-40,1.3161158178106346e-80
1.6334305583480766e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996467,0.022821567693054271,3.0687122832768896e-120,1.1695807191996705e-56,4.4648224158576383e-39,9.1459543115003795e-64,2.6256850754192668e-50,2.4693560594200428e-42,3.4546890424763246e-24,1.7974704714529136e-98,3.4546890245246473e-24,3.4389998642791122e-62,1.4845952520725543e-61,2.5743314555760469e-64,2.3521185231282506e-91,2.469421967718969e-42,3.7493370031847979e-77,6.5871483190290144e-16,3.1671594489732221e-17,1.2207943750696594e-20,2.205286500490807e-33,1.0442413687371123e-47,1.220794375076703e-20,2.7345541525564165e-32,7.5892970721972393e-40,6.7969081008012139e-47,5.7076215516065475e-73,2.8170198199142031e-39,2.1195639549789317e-79
3.27255251236984e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996401,0.022821567693054254,1.9779052852869634e-118,1.320693654876659e-55,1.790593486282479e-38,7.339052373457765e-63,2.1090930434427029e-49,9.9032222889519184e-42,6.9214153650319346e-24,5.7864786091651482e-97,6.9214152930376766e-24,2.7623917391370219e-61,2.3864435079989867e-60,2.0657388759701113e-63,3.7756711606754903e-90,9.9037511615431114e-42,6.0250839681015178e-76,1.3197248374360257e-15,6.3453542967233345e-17,2.4458423890681793e-20,8.8441852038157829e-33,8.3793793385949688e-47,2.4458423890964282e-20,1.0966784906327041e-31,6.0899323082349874e-39,1.0224753404992139e-45,3.4374306971766045e-71,1.1297509471127205e-38,3.4023695731422847e-78
