Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),H2OX(23),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),CH3OO(77),COX(50),C2H6X(52)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.221231717221183e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,8.8837022232580253e-66,8.093495790420284e-42,6.0896589855100324e-94,3.9609964956553922e-57,2.9430825353929526e-143,7.3429566300691963e-25,-8.5499483555380775e-118,7.3429566300639433e-25,1.2873492206556533e-79,1.5876100596904882e-70,1.317557190460136e-121,7.961290061235515e-123,1.4883658965976634e-53,8.3291886197692315e-95,2.9121118203838406e-18,1.400169241939002e-19,5.3970087778966537e-23,6.4538774294887411e-38,2.3581486928637474e-54,5.3970087778968606e-23,8.0028035781245934e-37,1.7138458098891284e-46,2.0400316567513327e-54,6.5564345985807734e-85,3.9636649407851267e-42,1.1662722193539693e-111,7.0998208255599951e-74
2.0219448808219312e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.9873315820583479e-64,4.8884714574149871e-41,7.0445170595970741e-92,5.9858579042563161e-56,1.1113173120065738e-140,2.0560278564210773e-24,1.6503066619129271e-116,2.0560278564179042e-24,3.6305307781370493e-78,4.9917000487563499e-69,2.7566456790317591e-119,1.6656928447377505e-120,1.766987992438503e-52,4.3114279102397122e-93,8.1539130970747493e-18,3.9204738774292058e-19,1.5111624578110222e-22,3.8981419674057973e-37,2.7995941281549636e-53,1.5111624578111468e-22,4.8336933601876308e-36,2.0346777439508335e-45,2.5383460998720421e-53,4.1771770599709438e-83,2.3940536242357999e-41,2.4401212314191741e-109,2.0022630699481787e-72
4.6215882990215566e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.9267056357777233e-63,2.3535885758559207e-40,6.9911486043974328e-90,6.4393127830814637e-55,4.4121602504638336e-138,4.6994922432562016e-24,1.7425636443970121e-114,4.6994922432409224e-24,7.8971974495699873e-77,1.1136208215951183e-67,5.4729382398052677e-117,3.3070024686440504e-118,1.7348392890672835e-51,1.8825381576479691e-91,1.8637515650456547e-17,8.9610831484096137e-19,3.4540856178535724e-22,1.8767875564872216e-36,2.7486581163620624e-52,3.4540856178541724e-22,2.3272152790191956e-35,1.9976586712031928e-44,2.7387645011600643e-52,2.0697719576680924e-81,1.1526337647826901e-40,4.8445227831490847e-107,4.3553595261011859e-71
9.820875135420809e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,0.0,6.987422792001002e-62,1.0278739653851346e-39,6.2296395104383948e-88,5.9188378435492641e-54,1.5739787505463477e-135,9.9864210169536842e-24,1.377351437418988e-112,9.9864210168869529e-24,1.464007313778442e-75,2.0856885520335136e-66,9.7592014593214212e-115,5.8969609931350078e-116,1.5344457047417245e-50,7.0082175523332912e-90,3.9604720757220064e-17,1.9042301690370426e-18,7.3399319379380188e-22,8.1964243353669481e-36,2.4311569763109705e-51,7.3399319379406369e-22,1.0163560528724061e-34,1.7669064660757878e-43,2.8610885987251185e-51,9.2109367593222053e-80,5.0338544748216536e-40,8.6386273228456387e-105,8.074102542154115e-70
2.0219448808219312e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,0.0,1.1785358604725548e-60,4.2911714680966605e-39,5.6326473881747328e-86,5.0636903881040356e-53,5.6919110768135707e-133,2.0560278564457579e-23,9.7621792175051463e-111,2.0560278564178999e-23,2.5162545168989494e-74,3.6025082994842276e-65,1.7646559079577311e-112,1.0662867345146805e-113,1.2897940721106962e-49,2.4144372065016228e-88,8.1539130970746812e-17,3.9204738774292058e-18,1.511162457810429e-21,3.4218458130395515e-35,2.0435339267045305e-50,1.5111624578115221e-21,4.2430864431769032e-34,1.485191339015338e-42,3.1429015038445058e-50,4.1648065077875678e-78,2.1015351516263614e-39,1.5620340255491955e-102,1.3877319327842036e-68
4.1016596153816315e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,0.0,1.9357526332091017e-59,1.7530835622015939e-38,5.4934891138120545e-84,4.1867571350518706e-52,2.2191730296560011e-130,4.1707993659901114e-23,6.5694990851120964e-109,4.1707993658763012e-23,4.1705073283818498e-73,5.9856214195228959e-64,3.4407282074197024e-110,2.0790471548003968e-111,1.0574511063686031e-48,8.0126367946109385e-87,1.6540795139779909e-16,7.952961294213526e-18,3.0655009858426354e-21,1.397935666673157e-34,1.67541257809797e-49,3.0655009858471004e-21,1.7334392544295384e-33,1.2176495750979845e-41,3.786970026333786e-49,2.0326125207237224e-76,8.5854568085252193e-39,3.0456558177943172e-100,2.3000639071432767e-67
8.261089084501032e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,0.0,3.1379416091245984e-58,7.0862440524211145e-38,5.8592133216557686e-82,3.4046013703155982e-51,9.4613956052249255e-128,8.400342385253113e-23,4.310488641348059e-107,8.4003423847930739e-23,6.7905900507928347e-72,9.7580736062114904e-63,7.3363478810468864e-108,4.4329607772616135e-109,8.5635132217087223e-48,2.6108010420655914e-85,3.3314559225189871e-16,1.601793612778216e-17,6.174178041902857e-21,5.6506794751090133e-34,1.3567925435313412e-48,6.1741780419209051e-21,7.0068385701013434e-33,9.8608416952152522e-41,5.0269840086074452e-48,1.0849269916071596e-74,3.4703789117283612e-38,6.4939714086090052e-98,3.7450578201218775e-66
1.6579948022739835e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996466,0.022821567693054271,0.0,5.0535607697640895e-57,2.8493475670900188e-37,6.7250295830331234e-80,2.7459343453051407e-50,4.3416294762629724e-125,1.6859428424476296e-22,2.7931324904719414e-105,1.68594284226265e-22,1.0960039719541821e-70,1.5759314937703505e-61,1.6835260971155637e-105,1.0172643496477106e-106,6.8926604490358792e-47,8.4301183580619013e-84,6.6862087396007854e-16,3.2147885794919389e-17,1.2391532154006533e-20,2.2721133641353989e-33,1.0920646769685199e-47,1.2391532154079103e-20,2.817418932119192e-32,7.936862850156816e-40,7.2016459865251403e-47,6.2304022918158227e-73,1.3954240971879358e-37,1.4902197273246361e-95,6.0445384205912312e-65
3.3217665899217438e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996399,0.022821567693054254,0.0,8.1120862663824603e-56,1.1427158146239756e-36,8.1042676837816856e-78,2.2056837964500015e-49,2.0921673239872957e-122,3.3777600505711391e-22,1.7986991345141605e-103,3.3777600498292883e-22,1.7612489598986395e-69,2.5332638489168786e-60,4.0567551598830221e-103,2.451279137556052e-104,5.5309259247828017e-46,2.7097862176031756e-82,1.3395714373763602e-15,6.4407785129193661e-17,2.4826240378146822e-20,9.1121908160004623e-33,8.7631312687598201e-47,2.4826240378437869e-20,1.1299109720599725e-31,6.3688319170536571e-39,1.0843040232942407e-45,3.755667995852454e-71,5.5962747489099034e-37,3.5909491257209507e-93,9.7134109718090751e-64
6.649310165217264e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999972,0.11866996602996265,0.022821567693054223,0.0,1.3000491510012388e-54,4.5768236328258159e-36,1.0048493711889185e-75,1.7681285717203073e-48,1.037449939080005e-119,6.7613944679336457e-22,1.1547304803078363e-101,6.7613944649623768e-22,2.8241264081341654e-68,4.0626656667573857e-59,1.0058773090921135e-100,6.0779760314157926e-102,4.4314712876830957e-45,8.6908009042056671e-81,2.6814725642086117e-15,1.2892758379774161e-16,4.9695656826159123e-20,3.6496292185128925e-32,7.0211688060681203e-46,4.9695656827324852e-20,4.5255372173519661e-31,5.1028146455680987e-38,1.6802628808279589e-44,2.3288761891127559e-69,2.2414289013777217e-36,8.9038014358190019e-91,1.5575254301405381e-62
1.3304397315808305e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999437,0.11866996602995997,0.022821567693054157,0.0,2.0817726070748829e-53,1.8319222080239662e-35,1.2653264142521082e-73,1.4159368727086374e-47,5.2250222084074176e-117,1.3528663307120615e-21,7.4016973710738367e-100,1.3528663295227801e-21,4.5235103075788984e-67,6.507829780679454e-58,2.5330837071483168e-98,1.5306063590793509e-99,3.5478715519005395e-44,2.7841777044015736e-79,5.3652748178718675e-15,2.5796718113483488e-16,9.9434489721110674e-20,1.4608028071245183e-31,5.6212042016964338e-45,9.9434489725776649e-20,1.8113940716647132e-30,4.0853527167492357e-37,2.6446184202324362e-43,1.466466627016763e-67,8.9715569410455887e-36,2.2422291586402867e-88,2.4947475145744875e-61
2.6614571616990387e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998876,0.1186699660299546,0.022821567693054028,0.0,3.3321920075632945e-52,7.3300750231288746e-35,1.6062258320661408e-71,1.1333233845853181e-46,2.6529632028396043e-114,2.7063201003342379e-21,4.7407447510088652e-98,2.7063200955755629e-21,7.2415451745022414e-66,1.0418583375583388e-56,6.4308682200666975e-96,3.8858280774963875e-97,2.8393755081063276e-43,8.9143659693583043e-78,1.0732879325193391e-14,5.1604637580901121e-16,1.9891215550672154e-19,5.8451140034314268e-31,4.4986717370620149e-44,1.9891215552539143e-19,7.2479341016707458e-30,3.2695210272981544e-36,4.1963041042058385e-42,9.3083808388186334e-66,3.5897913784159332e-35,5.6924609979682703e-86,3.9937627190540361e-60
5.323492021935455e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997749,0.11866996602994385,0.022821567693053772,0.0,5.3325921119962582e-51,2.9325073165571844e-34,2.0473846760460036e-69,9.0688831823113539e-46,1.3526126056990637e-111,5.4132276467177211e-21,3.0352478695403546e-96,5.4132276276799209e-21,1.1589616119851096e-64,1.66745795322823e-55,1.6394016271716069e-93,9.9060230360258948e-95,2.2719318004862019e-42,2.8533969245573346e-76,2.1468088339816482e-14,1.0322047651573227e-15,3.9786748706077429e-19,2.3384262052669527e-30,3.5996208583573986e-43,3.9786748713546609e-19,2.8996442895577799e-29,2.616109146455284e-35,6.6859936571574301e-41,5.9326832838431315e-64,1.4361503066150213e-34,1.4511617192829993e-83,6.3917542004786877e-59
1.0647561742408289e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995501,0.11866996602992239,0.022821567693053255,0.0,8.53301528061298e-50,1.1730983957734693e-33,2.6151426142543137e-67,7.2560250990708202e-45,6.9107312046415476e-109,1.0827042768041206e-20,1.9429335174108493e-94,1.0827042691883808e-20,1.854590121962988e-63,2.66832046727129e-54,4.1880100977912976e-91,2.5305894427394636e-92,1.8177180087277288e-41,9.1321500554656139e-75,4.2938506368982849e-14,2.0645215438537819e-15,7.9577815010020395e-19,9.3544660406302722e-30,2.8799700591874538e-42,7.957781503989958e-19,1.1599510672553631e-28,2.093078951328597e-34,1.0675082764490598e-39,3.7889967367334569e-62,5.7450687826867475e-34,3.7071330057884925e-81,1.022819399656267e-57
2.1295701183353955e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990999,0.11866996602987945,0.022821567693052221,0.0,1.3653518407976287e-48,4.6925845353210467e-33,3.3438219792775503e-65,5.8051875211025239e-44,3.5345089883031818e-106,2.1654673124914255e-20,1.2435974306618997e-92,2.1654672820272266e-20,2.9675454427652783e-62,4.269622928620065e-53,1.0709857799905263e-88,6.4713915309502673e-90,1.4542434256893867e-40,2.9224928159686343e-73,8.5879342426996336e-14,4.1291551012460408e-15,1.5915994759043593e-18,3.7419386316347612e-29,2.3040853314876365e-41,1.5915994770995772e-18,4.6399846980828177e-28,1.6745313119966161e-33,1.7062040333113779e-38,2.4223983918266662e-60,2.2981210375971745e-33,9.4801267738470022e-79,1.6366220288452028e-56
4.2591980065245286e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981995,0.11866996602979356,0.022821567693050156,0.0,2.184618333993245e-47,1.8770720109556239e-32,4.2777274632500163e-63,4.6442969951124505e-43,1.8086633246523382e-103,4.3309934295564656e-20,7.9594075650177163e-91,4.3309933076971923e-20,4.748233709260722e-61,6.8316447188125709e-52,2.7402033221022664e-86,1.6557576112329352e-87,1.1634223290671987e-39,9.352304694944725e-72,1.7176101454174625e-13,8.2584222160279254e-15,3.1832421264138565e-18,1.4968058691116839e-28,1.8433118668860216e-40,3.1832421311948309e-18,1.8560249413268597e-27,1.3396386999095778e-32,2.7284521684645193e-37,1.5494846870957208e-58,9.1926712823444496e-33,2.4255666578391323e-76,2.6186840389984753e-55
