Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),H2OX(23),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),CH3OO(77),C2H6X(52),CH4OX(60),H2X(49),CO2X(24),C2H4X(65),C2H4(47)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7339992566023e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-4.0058622658179842e-129,1.1688677406193323e-65,9.2837157595998985e-42,9.2262089675910102e-94,4.866122001084143e-57,5.1146797394591222e-143,7.8643676511290014e-25,-1.2903752342459505e-117,7.8643676511229724e-25,1.6938219417103724e-79,2.088888305983821e-70,2.137925828419011e-121,1.2918336883355183e-122,1.8284717098438964e-53,1.1737265323878957e-94,3.1188959911479245e-18,1.499592908845299e-19,5.7802413093303949e-23,7.4029770514716251e-38,2.8970081767945429e-54,5.7802413093306323e-23,9.1796864571209605e-37,2.1054759353119978e-46,2.5158728338460192e-54,9.2748138529257027e-85,1.8924442284385604e-111,4.5465568438419891e-42,9.341546259235666e-74,3.8846502478745347e-87,6.883115363359326e-58,-4.2016883357921064e-117,2.3327681926595982e-111,2.0574979045923385e-111
2.1655197918486438e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,7.628931399383561e-127,2.614819495076625e-64,5.6073643187997347e-41,1.0704828482194549e-91,7.3536835680654085e-56,1.9370580944278438e-140,2.2020229423180725e-24,2.4907030816802197e-116,2.2020229423144326e-24,4.7768488871508709e-78,6.5677991109426746e-69,4.4863803097768504e-119,2.7108785280640071e-120,2.1707616139237245e-52,6.0755465649022148e-93,8.7329087752141831e-18,4.1988601447668371e-19,1.6184675666124637e-22,4.4713981390822265e-37,3.4393281074735383e-53,1.6184675666126064e-22,5.5445306188730113e-36,2.4996210283636047e-45,3.1400238185595383e-53,5.9269304397565273e-83,3.971243721808054e-109,2.7461203336825062e-41,2.6344655098539378e-72,2.2373596670251143e-85,8.17163455938202e-57,4.4688264604761787e-115,2.1968420822590393e-109,1.9376112874944873e-109
4.949759524225471e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,3.5497232829520583e-124,5.1665391626382013e-63,2.6997045428937421e-40,1.0683537085228607e-89,7.9107572147525837e-55,7.7336604825407363e-138,5.0331952967362276e-24,2.6299392772349656e-114,5.0331952967187017e-24,1.039068972387179e-76,1.4652398526180093e-67,8.9571045547457438e-117,5.4122969375040618e-118,2.131266624984898e-51,2.6528214028190702e-91,1.9960934343346682e-17,9.5973946166099134e-19,3.6993544379711246e-22,2.1527857265579925e-36,3.3767527308191929e-52,3.6993544379718121e-22,2.6694528198887034e-35,2.4541427438793881e-44,3.4073581039914346e-52,2.9533908716493411e-81,7.9286290444294109e-107,1.3221387301921676e-40,5.7305379231832234e-71,1.0033259829346932e-83,8.0229592675372898e-56,1.0320136627005022e-112,1.92005132028259e-107,1.6934822676732361e-107
1.0518238988979127e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,1.3563582333220908e-121,9.1936592271664826e-62,1.1790319014713471e-39,9.6026718135206474e-88,7.2713487838062206e-54,2.7828010093533416e-135,1.0695540005603775e-23,2.0787479625886529e-112,1.0695540005527233e-23,1.9262587580077401e-75,2.744232082732247e-66,1.6110730026591842e-114,9.7348483821898804e-116,1.8850811939614512e-50,9.8757889410698191e-90,4.2416985479611587e-17,2.0394463560296066e-18,7.8611281806876964e-22,9.4017808552660761e-36,2.9866995498377944e-51,7.8611281806906982e-22,1.165820178150888e-34,2.1706614569966783e-43,3.5909633839707003e-51,1.3258141334850934e-79,1.4260858655152477e-104,5.7741271917094748e-40,1.0623451528214555e-69,3.774763109037737e-82,7.0962166150208135e-55,1.9707505317664869e-110,1.4324178585818135e-105,1.2633903158480418e-105
2.165519791848644e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,5.1082200267387159e-119,1.5506514219454427e-60,4.9222260957593033e-39,8.7802375089234671e-86,6.2207919727415962e-53,1.0176471891478265e-132,2.2020229423463823e-23,1.4733429396602351e-110,2.2020229423144274e-23,3.3107466437742944e-74,4.7399784805418047e-65,2.9459115969841783e-112,1.7800560680141254e-113,1.5845243281685052e-49,3.4023590285003145e-88,8.732908775214107e-17,4.1988601447668364e-18,1.6184675666117833e-21,3.9250584325976521e-35,2.5105009336791891e-50,1.6184675666130368e-21,4.8670697424342672e-34,1.8245717338461626e-42,3.9894192621990104e-50,6.0624724710167179e-78,2.6076551978135242e-102,2.410584438632156e-39,1.8258998873396548e-68,1.3070806192606791e-80,5.9647976440629345e-54,3.7109083889076096e-108,9.8807378394852524e-104,8.7147953587093023e-104
4.392911577750106e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,2.0456021302733749e-116,2.5469548054314391e-59,2.0108899684088331e-38,8.6634890185223214e-84,5.1434711013797922e-52,4.0140484372354507e-130,4.4669608259683746e-23,9.9149225582698375e-109,4.4669608258378278e-23,5.4873197633806749e-73,7.8755451375989104e-64,5.8111472790871434e-110,3.511364016099418e-111,1.2990887771294752e-48,1.1291189129634728e-86,1.7715329229719861e-16,8.5176877222412943e-18,3.2831770636966085e-21,1.6035144411785546e-34,2.0582603433317505e-49,3.2831770637017306e-21,1.9883567908537556e-33,1.4958941221940981e-41,4.8631190570044714e-49,2.9933557261776162e-76,5.1438978761417664e-100,9.8480239862652349e-39,3.0262951581007583e-67,4.3487395504057847e-79,4.8903014865162233e-53,7.4313999890651452e-106,6.5618472025537584e-102,5.7875390004339463e-102
8.84769514955303e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996498,0.022821567693054278,8.8761024148247782e-114,4.1287276707385343e-58,8.1283387660215351e-38,9.3296631957043288e-82,4.1825852790281994e-51,1.7279775684913426e-127,8.9968365934122849e-23,6.5055433471592122e-107,8.9968365928845938e-23,8.9346777398386739e-72,1.2839126258607122e-62,1.2510647200412248e-107,7.5595117948070418e-109,1.0520357728207815e-47,3.6790695873839363e-85,3.5680170138730818e-16,1.7155342877190201e-17,6.6125960578614509e-21,6.4816617508169231e-34,1.6668325897478054e-48,6.6125960578821554e-21,8.0372559988483547e-33,1.2114138094992557e-40,6.5173978707498313e-48,1.6131461453721797e-74,1.1074145683820268e-97,3.9807287517011393e-38,4.9275371491383314e-66,1.4187785758723953e-77,3.9602929334396751e-52,1.6125961018925566e-103,4.2773933242696726e-100,3.7726542491379463e-100
1.775726229315888e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999925,0.11866996602996462,0.022821567693054271,4.1171451561532962e-111,6.6491919813785814e-57,3.2683692681399772e-37,1.0779088116272139e-79,3.3734065520815534e-50,7.9819224942137246e-125,1.8056588129099814e-22,4.2154952728249707e-105,1.8056588126977993e-22,1.4420605893957917e-70,2.0735223200632162e-61,2.8899345598020328e-105,1.7462321525861449e-106,8.4676991492988926e-47,1.1879492756999657e-83,7.1609851956750475e-16,3.4430653187087956e-17,1.3271434046171904e-20,2.6062476823556572e-33,1.3416118789277352e-47,1.3271434046255153e-20,3.2317452392007947e-32,9.7505116924441689e-40,9.3975881462515687e-47,9.32472712048339e-73,2.5581055731723242e-95,1.6006335232552271e-37,7.9530648250125615e-65,4.5840757166325528e-76,3.1875882905801939e-51,3.7405392939078339e-101,2.7626870783123114e-98,2.4366857088060078e-98
3.557639658037058e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999848,0.11866996602996389,0.022821567693054254,1.9961436678245884e-108,1.0673428382425544e-55,1.3107622579568942e-36,1.3041059377513347e-77,2.7097035963305824e-49,3.861628509620639e-122,3.6176091203673701e-22,2.7146609495544478e-103,3.6176091195164251e-22,2.3173526539821224e-69,3.3331265692914018e-60,6.9913911062774012e-103,4.2245219358523648e-104,6.7947952889631749e-46,3.8185567957340323e-82,1.4346921559278086e-15,6.8981273806883287e-17,2.658911002271588e-20,1.0452218876896555e-32,1.0765590403375403e-46,2.6589110023049737e-20,1.2960743451160592e-31,7.8241706805525801e-39,1.4204127294281751e-45,5.6429699045426526e-71,6.1886233677532774e-93,6.4192563297141226e-37,1.2780361667912051e-63,1.4739814205099373e-74,2.5578388559714521e-50,9.0686045449814486e-99,1.7762104101065056e-96,1.5666148325792268e-96
7.121466515479397e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999698,0.11866996602996245,0.022821567693054219,9.9308331742030642e-106,1.7105317978594161e-54,5.2498859318177598e-36,1.6204755089302947e-75,2.1721628264540821e-48,1.9190602435420328e-119,7.2415097365616783e-22,1.7427604661795418e-101,7.2415097331534584e-22,3.7158272203841284e-68,5.3454277498371014e-59,1.7373028716000012e-100,1.0497587645574339e-101,5.4441047733165404e-45,1.2246839487747036e-80,2.8718794286480582e-15,1.3808251504647318e-16,5.3224461975496111e-20,4.1863393974812645e-32,8.6255728910153119e-46,5.3224461976833272e-20,5.1910573548069691e-31,6.2688563080399072e-38,2.2057850754509148e-44,3.506733129723265e-69,1.5378217265274889e-90,2.571050798704991e-36,2.0493046533208125e-62,4.7280959174753344e-73,2.0493837031284802e-49,2.2559382483333928e-96,1.1393702276912213e-94,1.0049227924616469e-94
1.4249120230364076e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999398,0.11866996602995958,0.02282156769305415,5.0100894600623232e-103,2.7390797009068193e-53,2.1013225327709764e-35,2.0428645689092014e-73,1.7394919626829068e-47,9.6762673744058702e-117,1.4489310974068423e-21,1.1170905922346839e-99,1.4489310960426661e-21,5.9517812956763214e-67,8.5626376257508709e-58,4.380033244469113e-98,2.6466187114295809e-99,4.3585940641276891e-44,3.9233872489940916e-79,5.7462539740871285e-15,2.7628499752565007e-16,1.0649516587982571e-19,1.6756267491688148e-31,6.9057030114851547e-45,1.0649516588517783e-19,2.0777755195127314e-30,5.0188945039086001e-37,3.4756289681011803e-43,2.2106516112613076e-67,3.8771076642095998e-88,1.0290903550549989e-35,3.2824489356852034e-61,1.5148101051980223e-71,1.6407530757337254e-48,5.6907451699845216e-94,7.3002856010575568e-93,6.4388408913744137e-93
2.850442766013343e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998793,0.11866996602995383,0.022821567693054011,2.5460396140726139e-100,4.3843114532369438e-52,8.4080272327134716e-35,2.5947633998555986e-71,1.3922985950835498e-46,4.9159398530761015e-114,2.8984913469554413e-21,7.1549012290637872e-98,2.8984913414969605e-21,9.5280192130931475e-66,1.3708187985220437e-56,1.1126347091842534e-95,6.7230536297492554e-97,3.4881999117448437e-43,1.2561881277055508e-77,1.1495003064959544e-14,5.5268996248399206e-16,2.1303657368356148e-19,6.7046895907316105e-31,5.526661163039563e-44,2.1303657370497701e-19,8.3138064973469582e-30,4.0166373053930524e-36,5.5180506547464871e-42,1.4040238113515976e-65,9.8487940793559153e-86,4.1177018756636512e-35,5.2547691138675764e-60,4.8503054303837776e-70,1.3131011192681711e-47,1.4459892748419105e-91,4.6748454197800556e-91,4.1232068584717269e-91
5.701504251967215e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997588,0.11866996602994234,0.022821567693053733,1.2986659105127366e-97,7.0163257707144849e-51,3.3637583927622707e-34,3.3084095581162571e-69,1.1141209548263818e-45,2.5071376343198641e-111,5.7976118542416415e-21,4.5809044474220351e-96,5.7976118324041636e-21,1.5248967230130014e-64,2.1939477039693787e-55,2.8372494248489066e-93,1.7143973566668286e-94,2.7910899004842194e-42,4.0209290852032258e-76,2.2992501246681493e-14,1.1054998924006287e-15,4.2611938927133918e-19,2.6823124107718515e-30,4.4221685750501688e-43,4.2611938935701518e-19,3.3260623543262913e-29,3.2139142832901976e-35,8.7944848035416043e-41,8.9511565927054944e-64,2.5114698452494237e-83,1.6473488814547687e-34,8.4099118847466819e-59,1.552563990382325e-68,1.0506804019069025e-46,3.6878269498161787e-89,2.9927531104112994e-89,2.639604206341123e-89
