Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),C2H6X(52),CH4OX(60),C2H4X(210),C2H4X(65),acetyl(43)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.555661702806983e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.5380925722831958e-65,3.2108186456469124e-36,4.5601308185781575e-90,2.070891120241528e-54,1.6765716294032247e-133,5.7858913266682576e-20,-8.4764480346745548e-106,5.7858913266682528e-20,3.1081878327423598e-72,4.0352170202449793e-70,1.0637742087054082e-113,1.2334437682864424e-114,1.3812773951752354e-51,1.5170809059622633e-85,3.1598340914285671e-18,9.355707137760608e-20,3.7454032869712602e-22,9.739225479985797e-38,3.6062684692863672e-37,3.745403286969639e-22,3.7289565269609875e-54,5.2259264859107912e-35,1.5909890567215913e-44,2.3465910445512556e-50,3.2023412892028137e-81,2.4118060370911807e-52,2.6186077350963727e-98,1.8734064991406415e-107,4.0276936446875226e-71,7.6026848758931319e-87,5.2727659936527212e-115,3.0547578787032246e-102,-1.7739346061733295e-125
1.8355852767859552e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,3.440915999491102e-64,1.9393344619707484e-35,5.0406938436417025e-88,3.1295306466932279e-53,6.0514895310518137e-131,1.620049571467114e-19,1.6363899539985187e-104,1.6200495714671102e-19,8.7655869599808788e-71,1.2687367942233662e-68,2.1272191676470593e-111,2.4665057722220992e-112,1.6398525235494346e-50,7.8528476548184728e-84,8.8475354559999847e-18,2.6195979985729702e-19,1.0487129203521419e-21,5.8824921899012171e-37,2.1781861554466591e-36,1.0487129203511624e-21,4.4270171887849664e-53,3.1564595965614069e-34,1.8888222067107044e-43,2.7867931273898401e-49,1.9487734143881911e-79,2.8632961272346589e-51,2.466026270126502e-96,3.7462331584546777e-105,1.135874045923484e-69,4.3787572296388892e-85,8.9906845399034064e-113,2.8767627454727914e-100,3.2765362157217252e-123
4.195623489796469e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,6.7989039796325267e-63,9.3370606215414164e-35,4.563619840045338e-86,3.366606260078555e-52,2.1926202374798235e-128,3.7029704490676974e-19,1.7278550265061193e-102,3.7029704490676781e-19,1.9067066273411858e-69,2.8304819947582903e-67,3.8537894150515892e-109,4.4684600353923186e-110,1.6100169318081772e-49,3.4288606133955988e-82,2.0222938185142804e-17,5.9876525681667887e-19,2.3970581036629307e-21,2.8321667695645606e-36,1.0487028708650154e-35,2.3970581036582133e-21,4.3464717277540558e-52,1.519699420709791e-33,1.8544568400842631e-42,2.7380392633500335e-48,8.8038702523520716e-78,2.811201116833507e-50,2.1553196891203286e-94,6.7868858610843276e-103,2.4707741547430221e-68,1.9636185296381318e-83,1.5713547742714283e-110,2.5143054883776429e-98,1.3667007430019226e-120
8.915699915817497e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,1.2098477423864801e-61,4.077739679971781e-34,3.4586463212272777e-84,3.0944911681116583e-51,6.6576387406802544e-126,7.8688122042688919e-19,1.3657253959645263e-100,7.8688122042688101e-19,3.5347127450684592e-68,5.3011795206248341e-66,5.8476640090636206e-107,6.7803530786705756e-108,1.4240417433128966e-48,1.2764788345104283e-80,4.2973743643428376e-17,1.2723761707354426e-18,5.0937484702875326e-21,1.2368816359423751e-35,4.5799609559579294e-35,5.0937484702669311e-21,3.8444050208851858e-51,6.6369266227116772e-33,1.6402460686138014e-41,2.425232261095801e-47,3.3288589466519346e-76,2.4864755519995787e-49,1.6079353617116158e-92,1.0298286675519708e-100,4.580398877165333e-67,7.3876236754420646e-82,2.3468577213228464e-108,1.8757499058225631e-96,4.4052047936936975e-118
1.8355852767859552e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,2.0406006017527149e-60,1.7023760459221752e-33,2.4095197728518417e-82,2.6474023445459523e-50,1.8568915607199414e-123,1.6200495714671389e-18,9.6797779434818979e-99,1.620049571467105e-18,6.0752680857294831e-67,9.1564693114855925e-65,8.1525128246963684e-105,9.4528200225104546e-106,1.1969928901897576e-47,4.3976631266301637e-79,8.8475354559999255e-17,2.61959799857297e-18,1.048712920354884e-20,5.1637373493460748e-35,1.91204354238345e-34,1.0487129203462831e-20,3.2314540626868825e-50,2.7707862098743781e-32,1.3787256438501083e-40,2.0443871999860701e-46,1.1581884774703492e-74,2.0900325228467228e-48,1.1091447711325689e-90,1.4357342361598508e-98,7.8725353728350559e-66,2.5580995282457581e-80,3.2394888631658377e-106,1.2938817370916079e-94,1.2641717855765771e-115
3.723615847194366e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996514,0.022821567693054285,0.0,3.3517051906943316e-59,6.9547616192185785e-33,1.6148851010617414e-80,2.1889234542110563e-49,4.980178738831525e-121,3.286386273547682e-18,6.5140468050670159e-97,3.2863862735475437e-18,1.006931131300115e-65,1.5213610707112405e-63,1.093093884899304e-102,1.2674398659445689e-103,9.8136709061479448e-47,1.4594240547542096e-77,1.7947857639313996e-16,5.3140416542480221e-18,2.1273890670119864e-20,2.1095551957462806e-34,7.8113217549405717e-34,2.1273890669768478e-20,2.6493412765814301e-49,1.1319565695852112e-31,1.1303625670664627e-39,1.6856783327873095e-45,3.8789184703387119e-73,1.7135349366761518e-47,7.3658856643304192e-89,1.9250412082774942e-96,1.3048150036035916e-64,8.5109582593771675e-79,4.3039450662166667e-104,8.5927330471043772e-93,3.4381223491059215e-113
7.499676988011188e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.022821567693054282,0.0,5.4332686687312804e-58,2.8112258435601298e-32,1.0662718307088656e-78,1.7799962002428319e-48,1.3155452186141509e-118,6.6190596777089443e-18,4.2741043720578151e-95,6.6190596777083858e-18,1.6395263174591009e-64,2.4802025168035432e-62,1.4436550654839247e-100,1.6739147551175528e-101,7.9473651359601047e-46,4.7553208021485522e-76,3.6148502005941724e-16,1.0702928965598121e-17,4.2847413603455537e-20,8.5271593895588658e-34,3.1574611455226094e-33,4.2847413602035188e-20,2.1455052541974837e-48,4.5755493926572702e-31,9.1539688937581276e-39,1.3806002867428511e-44,1.2802889349321689e-71,1.387665018113825e-46,4.8015123263824128e-87,2.5424124403902976e-94,2.1245529821528865e-63,2.7767046285894186e-77,5.6119287234770307e-102,5.6012427343591045e-91,9.1451601515301858e-111
1.5051799269644832e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.11866996602996459,0.022821567693054275,0.0,8.7501198118350496e-57,1.1303815474756061e-31,7.0442467266987857e-77,1.4356314202853364e-47,3.4764047093248055e-116,1.3284406486032171e-17,2.7695560253405018e-93,1.3284406486029923e-17,2.6462020864416114e-63,4.0055336890652921e-61,1.9074739448174551e-98,2.211711687613528e-99,6.3967308658550565e-45,1.5354642711696867e-74,7.2549790739195498e-16,2.1480703588298296e-17,8.5994459470901408e-20,3.4287332863265053e-33,1.2696012395043474e-32,8.5994459465190232e-20,1.7268892826900786e-47,1.8398082498851329e-30,7.3679101556260575e-38,1.1361696251782553e-43,4.2291034993960095e-70,1.1169135307063792e-45,3.1012055952015845e-85,3.3592411390915289e-92,3.4290370787432824e-62,8.9715368386454988e-76,7.249798860654978e-100,3.6177362582393397e-89,2.4251510362987768e-108
3.015604383291212e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999838,0.11866996602996385,0.022821567693054264,0.0,1.4045886655693689e-55,4.5333355808852839e-31,4.7254464481185176e-75,1.1531772297570209e-46,9.3266127566115268e-114,2.6615100102681438e-17,1.7835165508194965e-91,2.6615100102672425e-17,4.2523757136689863e-62,6.4387784173634218e-60,2.5588627899158376e-96,2.9669955674967949e-97,5.132973666676568e-44,4.9356126958418567e-73,1.453523682056964e-15,4.3036252833698556e-17,1.7228855120889126e-19,1.37507540133594e-32,5.0916688127102226e-32,1.722885511859869e-19,1.3857198926648068e-46,7.3784536603790575e-30,5.9122832634422184e-37,9.5173403481217065e-43,1.4188219389461701e-68,8.9625276763503425e-45,1.9938536458051576e-83,4.5063982001631771e-90,5.5103705305436042e-61,2.8847426240847176e-74,9.322542078821191e-98,2.3259459420538959e-87,6.5184000260985529e-106
