Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.356359779848937e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,1.1957021816397419e-139,3.1864873880681057e-65,1.6120430529945792e-46,1.634363243335915e-74,8.3579001823579205e-58,4.3387791973228886e-49,4.324592893571392e-29,-3.3348259435247318e-114,4.3245928896601141e-29,2.9303531739964396e-74,3.3574199166271982e-70,3.8595626067417285e-75,3.4541261377470217e-106,4.3387815538753304e-49,5.8870770752622289e-92,2.6290550709978456e-18,7.6685685249125653e-19,1.737914961213181e-23,1.9784985883889519e-37,1.737914961213181e-23,6.59844851723919e-54,8.067732274325429e-38,1.5394840222728793e-47,2.2921800894707789e-56,5.447380869317005e-86
2.3397807383577024e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,9.2265756258838114e-138,6.4353498748760421e-64,9.7367400408379335e-46,1.940316044040119e-73,1.263045875553802e-56,2.6206226374715729e-48,1.2108860114672483e-28,-3.1514718079598736e-114,1.2108860091048351e-28,4.4283502578815284e-73,1.0556265801648523e-68,4.5820727303881814e-74,7.7267420109992778e-105,2.6206254351706322e-48,1.6602501242158344e-90,7.3613541987939628e-18,2.1471991869755188e-18,4.8661618913969305e-23,1.1950131473542095e-36,4.8661618913969316e-23,7.8336780794434383e-53,4.8729102927947532e-37,1.8276754297238387e-46,3.9314251092467094e-55,4.7631970195067824e-84
5.34807025910332e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,1.0055581689883042e-135,1.193642368779117e-62,4.6878211992317894e-45,1.9050138012426747e-72,1.3587271168408638e-55,1.2617169940143173e-47,2.7677394607564989e-28,5.8653971967701353e-114,2.7677394493824965e-28,4.7638170586762377e-72,2.3550448330566004e-67,4.4987061857778021e-73,1.5266740171877082e-103,1.2617197408118441e-47,3.6114066273299963e-89,1.6825952454386176e-17,4.9078838559440424e-18,1.1122655751764531e-22,5.753473894544307e-36,1.1122655751764538e-22,7.6911515910029187e-52,2.3460965440271254e-36,1.7944225716538447e-45,6.423226717521199e-54,3.5644862683292258e-82
1.1364649300594553e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,8.2261039553391342e-134,2.0551844167632973e-61,2.0472946784629709e-44,1.6849631394512926e-71,1.2489043084450865e-54,5.5102496160725536e-47,5.8814463796111289e-28,3.5810778108053744e-112,5.8814463299378723e-28,4.3787685992646616e-71,4.4107383341875141e-66,3.9790546889017016e-72,2.7166348528339166e-102,5.5102739111856106e-47,6.6949392288924443e-88,3.5755148965570521e-17,1.0429253193881091e-17,2.3635643472500138e-22,2.5126932067468444e-35,2.3635643472500171e-22,6.8027364818816437e-51,1.0246019974477301e-35,1.587146437716859e-44,1.0241215328523818e-52,2.418735196874669e-80
2.339780738357702e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,5.9204066458978444e-132,3.4088067860381501e-60,8.5470522774110277e-44,1.416313055190376e-70,1.068463929828828e-53,2.3004207623458313e-46,1.2108860298424908e-27,1.2766669363213791e-110,1.2108860091048837e-27,3.7461287742796199e-70,7.618453597452456e-65,3.3446352452809113e-71,4.5820017818073856e-101,2.3004411838522409e-46,1.1506890109189417e-86,7.3613541987938867e-17,2.1471991869755184e-17,4.8661618913972945e-22,1.0489999511074088e-34,4.8661618913973086e-22,5.7181099072301772e-50,4.2775116393229462e-35,1.3340922040220382e-43,1.6279435156870861e-51,1.5840170380776777e-78
4.746412354954195e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999867,0.099999999999999992,4.0130713715489051e-130,5.5519315019948356e-59,3.4917497433402679e-43,1.161179028806278e-69,8.8342663924913045e-53,9.3979695628695983e-46,2.4563688460470548e-27,4.2901488683633397e-109,2.4563687613271633e-27,3.0973718206429174e-69,1.2658174590065247e-63,2.7421340865240428e-70,7.525951786711205e-100,9.3981369907172267e-46,1.9071827113302615e-85,1.493303280326742e-16,4.3557469221503358e-17,9.8713569796924983e-22,4.2855070785297019e-34,9.8713569796925528e-22,4.6880519732790312e-49,1.7475030709439965e-34,1.0937693755276882e-42,2.5926759565425042e-50,1.0237143372040415e-76
9.559675588147182e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.099999999999999714,0.099999999999999964,2.6424219102691609e-128,8.9618864434025983e-58,1.4114210782274114e-42,9.4035290925334517e-69,7.1838787145928764e-52,3.7988096710014784e-45,4.9473346082234129e-27,1.40638099523467e-107,4.9473342657720662e-27,2.518731509013727e-68,2.0636019321478883e-62,2.2206513395926785e-69,1.2199892489649754e-98,3.7989452584132274e-45,3.1053528600465969e-84,3.007639001221395e-16,8.7728423924999607e-17,1.9881747156285466e-21,1.7322704788880655e-33,1.9881747156285691e-21,3.7965060301632002e-48,7.0636867700947162e-34,8.8576277262066988e-42,4.1371701599470082e-49,6.5807916380334319e-75
1.9186202054533154e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999927,0.099999999999999409,0.099999999999999922,1.7152647538243146e-126,1.4402255026123578e-56,5.6752621087062304e-42,7.5687787227985378e-68,5.7940584372017943e-51,1.527484751879853e-44,9.9292666516450528e-27,4.5548018135673066e-106,9.9292652746632474e-27,2.0314485106430034e-67,3.3327226265600613e-61,1.7873734897253673e-68,1.9647551809690315e-97,1.5275938844244778e-44,5.0120527550385433e-83,6.0363104430104855e-16,1.7607033333199186e-16,3.9902527509481624e-21,6.965383394584005e-33,3.9902527509482557e-21,3.0557583355929003e-47,2.8402773473550902e-33,7.1293889786628408e-41,6.6099734422772435e-48,4.2205232788315006e-73
3.843925498730511e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999849,0.099999999999998798,0.099999999999999839,1.1055926336046398e-124,2.309427543819193e-55,2.2760339617214821e-41,6.0734689350389093e-67,4.6541028311812579e-50,6.125897768729633e-44,1.9893132814764019e-26,1.466297997354843e-104,1.9893127292451114e-26,1.6317704042873886e-66,5.3572542669392583e-60,1.434254820051769e-67,3.1538675324030052e-96,6.1267734886679166e-44,8.0542365445871421e-82,1.2093653326587802e-15,3.5275415214597516e-16,7.994408821591495e-21,2.7934302651864496e-32,7.9944088215918636e-21,2.452053609678069e-46,1.1390782221824627e-32,5.7208850015999292e-40,1.0568110669058134e-46,2.7038789582894476e-71
7.6945360852849e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999693,0.099999999999997591,0.099999999999999659,7.1015006485488349e-123,3.6991405269782265e-54,9.1160077678697664e-41,4.8661669968626977e-66,3.7308394815756848e-49,2.4535549431135984e-43,3.982087344610471e-26,4.7062227341305369e-103,3.9820851328048865e-26,1.3080667309077796e-65,8.5915775565763491e-59,1.1491494472520721e-66,5.054412694281888e-95,2.4542565847174916e-43,1.2914809747790463e-80,2.4208339093738985e-15,7.0612178977393751e-16,1.6002720962894549e-20,1.1188291432106479e-31,1.6002720962896032e-20,1.9646267610178689e-45,4.5622540599608177e-32,4.5836686522464375e-39,1.6902597382738816e-45,1.7313476761384986e-69
1.539575725839368e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999383,0.099999999999995162,0.099999999999999312,4.5539383088137618e-121,5.9218711677917989e-53,3.6487789601361934e-40,3.895894174611858e-65,2.9876974292368432e-48,9.8206185987138307e-43,7.9676387929197129e-26,1.5082479862741886e-101,7.9676299399332432e-26,1.0475155217758958e-64,1.3762521483597354e-57,9.2001869885121518e-66,8.0936492249161858e-94,9.8262359977480186e-43,2.0686164123916455e-79,4.8437710628027534e-15,1.4128570650298442e-15,3.2019345245566228e-20,4.4782322588670204e-31,3.201934524557215e-20,1.5728959611105749e-44,1.8260903982040572e-31,3.6697202937214857e-38,2.7039003121496356e-44,1.1083366937084878e-67
3.079819960461124e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559998755,0.099999999999990319,0.099999999999998604,2.9183375318917941e-119,9.4775911998609347e-52,1.4599869818040081e-39,3.1179022478212792e-64,2.3913688725109422e-47,3.9295303775480131e-42,1.5938754977702611e-25,4.8300188715731326e-100,1.5938719554225181e-25,8.384389791492102e-64,2.2032840199752088e-56,7.3629522617745251e-65,1.2955121242556196e-92,3.9340260038922953e-42,3.3115904977465659e-78,9.6896453696549396e-15,2.8263276155415853e-15,6.4052593811171838e-20,1.7918761667963586e-30,6.4052593811195539e-20,1.2587947642554338e-43,7.3067387172177666e-31,2.9368888251086309e-37,4.325823786682697e-43,7.0942205171025789e-66
