Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(56),CH3OO(84),COX(57)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.221231717221643e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,2.3396832662433261e-133,1.5750056684645444e-63,1.306651406990926e-43,2.0653762301104466e-70,3.960995884588342e-57,7.2266873366607086e-47,1.5272826648517514e-26,-1.1160280788334795e-108,1.5272826647992152e-26,5.1879244596980053e-69,1.5876100820536828e-70,5.813458875340896e-71,4.3895356083966329e-100,7.2266874482854267e-47,4.6748589550802503e-86,2.9121118203840255e-18,1.4001692419390909e-19,5.3970087778969981e-23,6.4538774293748886e-38,5.3970087778972038e-23,2.3581486928222973e-54,8.0028035781256124e-37,1.7138458098894559e-46,2.0400316567517294e-54,6.878633394975004e-85,9.0454485729673478e-60,8.2441406892595352e-44,3.9555432010619428e-88
2.02194488082206e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.8054044367234983e-131,1.8791729972629742e-62,7.8921744983387668e-43,2.4520146604617041e-69,5.9858569808146439e-56,4.3649191514880479e-46,4.2763914617551249e-26,6.680390482267691e-108,4.2763914614378057e-26,7.839991444098557e-68,4.9917000508251265e-69,6.9017383770146441e-70,9.8192155748475811e-99,4.3649192840089131e-46,1.3183850231737095e-84,8.1539130970752701e-18,3.9204738774294557e-19,1.5111624578111186e-22,3.8981419672701528e-37,1.5111624578112436e-22,2.7995941280617703e-53,4.8336933601882469e-36,2.0346777439512231e-45,2.5383460998725443e-53,4.2492516320003214e-83,1.0738756545968315e-58,4.979460976478004e-43,8.8483919192874233e-87
4.6215882990218517e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,1.967618116024585e-129,1.8647378378819713e-61,3.7997422916999424e-42,2.4074025340479417e-68,6.4393117896852512e-55,2.1015206777184028e-45,9.7746090562427545e-26,3.900875364903129e-106,9.7746090547149964e-26,8.4339050375853498e-67,1.1136208215403237e-67,6.776167665748132e-69,1.9401115297802958e-97,2.1015208078281732e-45,2.8677753971419928e-83,1.863751565045774e-17,8.9610831484101838e-19,3.4540856178537929e-22,1.8767875563537962e-36,3.4540856178543929e-22,2.7486581161773951e-52,2.3272152790194928e-35,1.9976586712035757e-44,2.7387645011606214e-52,2.0840126784308657e-81,1.0543374857089252e-57,2.3973961126845393e-42,1.7482931351984202e-85
9.820875135421434e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,1.6096338654561292e-127,1.6844812673461698e-60,1.6594472870544679e-41,2.1293202786801968e-67,5.9188369304470127e-54,9.1778929198062754e-45,2.0771044247941542e-25,1.5367819495708263e-104,2.0771044241269413e-25,7.7522117658431684e-66,2.0856885517437677e-66,5.993443563488094e-68,3.4523248079285578e-96,9.1778940706124577e-45,5.3163722748088727e-82,3.9604720757222603e-17,1.9042301690371643e-18,7.3399319379384871e-22,8.1964243341857438e-36,7.3399319379411052e-22,2.4311569759818939e-51,1.0163560528725361e-34,1.7669064660761267e-43,2.8610885987257238e-51,9.2362773609507336e-80,9.3254956617072027e-57,1.0470058677920895e-41,3.1109942235126495e-84
2.02194488082206e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,1.1584652940689049e-125,1.4750260813541805e-59,6.9278657614497532e-41,1.7898219958749212e-66,5.0636896069258388e-53,3.831589627919962e-44,4.2763914642233209e-25,5.4299343869827617e-103,4.2763914614378401e-25,6.6321803819376076e-65,3.6025082984704793e-65,5.0378504485078901e-67,5.822850392478092e-95,3.8315905952419005e-44,9.1374856069500391e-81,8.1539130970752014e-17,3.9204738774294554e-18,1.5111624578105257e-21,3.421845812046234e-35,1.5111624578116188e-21,2.0435339261490996e-50,4.2430864431774455e-34,1.4851913390156228e-42,3.1429015038452028e-50,4.1690805706106827e-78,7.8386410078268297e-56,4.3710433957505584e-41,5.2471464716806651e-83
4.101659615381893e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,7.8524564818822047e-124,1.3062639777461461e-58,2.8302592149396027e-40,1.4674042094838234e-65,4.1867564891586344e-52,1.5653293855823996e-43,8.6749655474392991e-25,1.8242322402132549e-101,8.6749655360596964e-25,5.4836150004567546e-64,5.985621416144416e-64,4.1303341739728418e-66,9.5640492595130561e-94,1.5653301786513674e-43,1.5144712300413582e-79,1.6540795139780964e-16,7.9529612942140344e-18,3.0655009858428317e-21,1.3979356658585958e-34,3.0655009858472964e-21,1.6754125771853515e-49,1.7334392544297601e-33,1.217649575098218e-41,3.7869700263346672e-49,2.0333145368169998e-76,6.426591490428587e-55,1.7857138518080662e-40,8.6184538400416293e-82
8.261089084501559e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,5.1704119319196143e-122,1.2148729946511451e-57,1.1440360271911427e-39,1.1883419751190564e-64,3.4046008450859461e-51,6.3273116583240116e-43,1.7472113731301829e-24,5.9800864919938428e-100,1.7472113685303648e-24,4.4591846599855238e-63,9.7580735951809722e-63,3.3448517037627878e-65,1.5503736008556543e-92,6.3273180808021264e-43,2.4659238030656485e-78,3.3314559225191996e-16,1.6017936127783183e-17,6.1741780419032513e-21,5.6506794685117644e-34,6.1741780419212986e-21,1.3567925420516873e-48,7.0068385701022411e-33,9.8608416952171445e-41,5.0269840086086625e-48,1.0850407914383294e-74,5.2044204119665892e-54,7.2181409082540607e-40,1.3970885082426289e-80
1.6579948022740892e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996466,0.022821567693054271,3.3561611409716375e-120,1.2306141248890678e-56,4.600118553314765e-39,9.5648100701262532e-64,2.7459339216884005e-50,2.5441841950455727e-42,3.5066410168749155e-24,1.9367509579837311e-98,3.5066409983792495e-24,3.5964939913833999e-62,1.5759314902050704e-61,2.6922276523998381e-64,2.4968288939844426e-91,2.5441893644146959e-42,3.9800109793314598e-77,6.6862087396012133e-16,3.2147885794921435e-17,1.2391532154007325e-20,2.2721133588250665e-33,1.2391532154079896e-20,1.0920646745853726e-47,2.8174189321195522e-32,7.9368628501583381e-40,7.2016459865269275e-47,6.2305855629276173e-73,4.1889703257269587e-53,2.9023827192383566e-39,2.2499679769794823e-79
3.321766589921956e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996399,0.022821567693054254,2.1631373373726215e-118,1.3931687484547981e-55,1.8448532888288874e-38,7.6751577430210529e-63,2.2056834561780041e-49,1.0203316582535534e-41,7.0255003322532985e-24,6.2348551311008459e-97,7.0255002580773994e-24,2.8888995886056131e-61,2.5332638374508165e-60,2.1603431496073322e-63,4.0079633556041697e-90,1.0203358063467096e-41,6.3957708596264827e-76,1.339571437376446e-15,6.440778512919779e-17,2.4826240378148408e-20,9.1121907733872278e-33,2.4826240378439449e-20,8.7631312305033494e-47,1.1299109720601168e-31,6.3688319170548773e-39,1.0843040232945132e-45,3.755697414922658e-71,3.3613848804116331e-52,1.1639852879213378e-38,3.6116969095789691e-78
