Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),H2OX(23),C2H4(47),COX(50),C2H6X(52),C2H4X(210),C2H4X(65)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.389668641139981e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.3839838880133404e-65,3.0502777133645677e-36,3.9097051760235195e-90,1.9175322319919922e-54,1.3655651529139719e-133,5.6393892862449418e-20,-7.2674947674861551e-106,5.639389286244937e-20,2.8051395122342218e-72,3.6417833367936021e-70,8.8895129481489095e-114,1.0307369984406472e-114,2.0864206977220458e-52,1.3344974691927951e-85,3.079825305287053e-18,9.1188153422013965e-20,3.6505675576480248e-22,9.2522642059039119e-38,3.4259550458221446e-37,3.6505675576464835e-22,4.9646301616535574e-35,1.47316909839908e-44,2.1727947779158364e-50,2.8169070705535345e-81,2.2332008570941629e-52,3.4528103769266088e-54,2.2451288014231876e-98,1.5655268942386478e-107,3.6349935054984067e-71,4.4062700968651667e-115,2.6190730298941557e-102
1.7891072195191947e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,3.0961552543052795e-64,1.84236773887221e-35,4.3216887979648578e-88,2.8977747023982023e-53,4.9288895799158255e-131,1.5790290001485852e-19,1.4029998351159269e-104,1.5790290001485816e-19,7.9109422294743581e-71,1.1450349565273788e-68,1.777613041601445e-111,2.0611382666023062e-112,2.4769986523121245e-51,6.9077432209565677e-84,8.6235108548037451e-18,2.553268295816391e-19,1.0221589161416264e-21,5.5883675803080966e-37,2.0692768476744391e-36,1.0221589161406956e-21,2.9986366167788116e-34,1.7489463523295624e-43,2.5803724763087074e-49,1.7142046987411796e-79,2.6512560575421969e-51,4.0991764794338809e-53,2.1143092727021172e-96,3.1305438671442628e-105,1.0251263261986472e-69,7.5132074076187725e-113,2.4664644581521666e-100
4.089387930329588e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,6.1176920478641764e-63,8.8702075904643378e-35,3.9125957080664711e-86,3.1172937913619631e-52,1.7858402277620253e-128,3.6092091431967737e-19,1.4814197032965596e-102,3.6092091431967559e-19,1.720802731131809e-69,2.5545100001562016e-67,3.2203667890609344e-109,3.7340079455355899e-110,2.4319319651920013e-50,3.0161910309351365e-82,1.9710881953837112e-17,5.8360418190088937e-19,2.3363632368959938e-21,2.6905584309900561e-36,9.9626772732187552e-36,2.3363632368915115e-21,1.4437144497189502e-33,1.7171258970955099e-42,2.5351841926324918e-48,7.7440341593157237e-78,2.6030189190289778e-50,4.0245957751801474e-52,1.8479172183960149e-94,5.6713690018512285e-103,2.2298736745990552e-68,1.3131274132679181e-110,2.1557026680374596e-98
8.689949351950375e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,1.0886278559965284e-61,3.8738526959731868e-34,2.9651477049344842e-84,2.8653300566494881e-51,5.4223077271008587e-126,7.6695694292931763e-19,1.1709388113611983e-100,7.6695694292931002e-19,3.1900782524150514e-68,4.784314517024657e-66,4.8863491252150817e-107,5.6657106638240646e-108,2.1510162823706065e-49,1.1228522958600117e-80,4.1885624151903788e-17,1.2401588865393899e-18,4.9647718784076021e-21,1.1750375540601016e-35,4.3509629081610137e-35,4.9647718783880291e-21,6.3050802919710083e-33,1.5187784052887547e-41,2.2454711631603195e-47,2.928016798026027e-76,2.3023407556298459e-49,3.5597093858486894e-51,1.3786035807419597e-92,8.6053206904769741e-101,4.1338099866297174e-67,1.9611886885539859e-108,1.6082210755187497e-96
1.7891072195191946e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.836144029322109e-60,1.6172572436260616e-33,2.0655709323091092e-82,2.4513501890237234e-50,1.5122378219233659e-123,1.5790290001486087e-18,8.2991996142897538e-99,1.5790290001485766e-18,5.4829294473690809e-67,8.2637135524467289e-65,6.8118195093764153e-105,7.8982891818218312e-106,1.8080587936373291e-48,3.8683964078931134e-79,8.6235108548036881e-17,2.5532682958163906e-18,1.0221589161442314e-20,4.9055504811629895e-35,1.8164413652651024e-34,1.0221589161360603e-20,2.632246899712608e-32,1.2766247547329448e-40,1.8927184138055617e-46,1.0186538033767225e-74,1.9352561315441766e-48,2.9921502270479783e-50,9.5095299814943415e-91,1.1996255253388782e-98,7.1049631739812223e-66,2.7071299880849543e-106,1.109341854366926e-94
3.6293317881675087e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996514,0.022821567693054285,0.0,3.0158834300964808e-59,6.6070235382576096e-33,1.3841738022943625e-80,2.0268237407487574e-49,4.0552554073992939e-121,3.203173114587232e-18,5.5849808794943215e-97,3.2031731145871006e-18,9.0875534599835762e-66,1.3730283659276348e-63,9.13205921008991e-103,1.0588601821792561e-103,1.4823558370908715e-47,1.2837797276511271e-77,1.7493407734030208e-16,5.1794871143703893e-18,2.0735223727557729e-20,2.0040774353721246e-34,7.4207556672003015e-34,2.0735223727223911e-20,1.0753587413781021e-31,1.046654090940844e-39,1.5603983949600122e-45,3.4111194521714189e-73,1.5866398998906275e-47,2.4531455336812267e-49,6.315326221456503e-89,1.6082415736403596e-96,1.1775955407522094e-64,3.5966596114319723e-104,7.3671944966401048e-93
7.309780925464137e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.022821567693054282,0.0,4.8888861352945968e-58,2.6706645513820926e-32,9.1368744781035145e-79,1.6481794053393176e-48,1.0709284741292463e-118,6.451461343464646e-18,3.6645102359933868e-95,6.451461343464116e-18,1.4796725015069705e-64,2.2383827701445858e-62,1.2057461143803422e-100,1.3980598690384929e-101,1.2004501891511161e-46,4.1830093346690169e-76,3.5233201492482854e-16,1.0431924751478383e-17,4.1762492859972499e-20,8.1008014153285267e-34,2.9995880882519528e-33,4.1762492858623168e-20,4.34677192522836e-31,8.4760759746664896e-39,1.2776346538183389e-44,1.1255740647782928e-71,1.284902127348893e-46,1.9866208543691064e-48,4.116696630834173e-87,2.1234323866217632e-94,1.9174090663930298e-63,4.68969679478594e-102,4.8023654898658565e-91
1.4670679200057396e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.1186699660299646,0.022821567693054275,0.0,7.8734077283650866e-57,1.0738624701018009e-31,6.0329998699403747e-77,1.3293163998044398e-47,2.8284943794548738e-116,1.2948037801220144e-17,2.3745480972267506e-93,1.2948037801218006e-17,2.3881973830140035e-63,3.6149941502750149e-61,1.5922854606754932e-98,1.8462513592714676e-99,9.6622674839828403e-46,1.3506683663600267e-74,7.0712789009386557e-16,2.0936800025694344e-17,8.3817031125537841e-20,3.257296618185038e-33,1.2061211775335362e-32,8.3817031120112232e-20,1.74781783916481e-30,6.8222829967581721e-38,1.0508620416024796e-43,3.7160514431629012e-70,1.0342010160492966e-45,1.5990052942573855e-47,2.6588961471886488e-85,2.8041645545057449e-92,3.0947059635660054e-62,6.0584088207393592e-100,3.1017566250471057e-89
2.9392475749243913e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999844,0.11866996602996388,0.022821567693054264,0.0,1.2638568952431518e-55,4.3066688018408184e-31,4.0430382569312188e-75,1.0677792236481226e-46,7.5808415386677089e-114,2.5941190716733806e-17,1.5291425027594322e-91,2.5941190716725246e-17,3.8377690815877101e-62,5.8109975084648579e-60,2.1339146976656834e-96,2.4742692239478731e-97,7.7533611373273e-45,4.3416027725639433e-73,1.4167196404318762e-15,4.1946550574126189e-17,1.6792610765961171e-19,1.3063216281997073e-32,4.8370853721100712e-32,1.679261076378526e-19,7.0095309915948046e-30,5.474451891462148e-37,8.7937719900889973e-43,1.2454449341385641e-68,8.2988118367491363e-45,1.2831010444831569e-46,1.7094802695756592e-83,3.7580246157933036e-90,4.9731094038162303e-61,7.7905293991837181e-98,1.994207902890352e-87
