Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(56),CH3OO(84)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.114244592108348e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,2.139252909007436e-133,1.5059069156770359e-63,1.2682204832556189e-43,1.9749300082231957e-70,3.7875373604648287e-57,7.0141377091082867e-47,1.5046550040935854e-26,-1.0413440769806477e-108,1.5046550040425947e-26,4.9607367153383879e-69,1.5240310843455081e-71,5.5588779502261673e-71,4.1351248075618312e-100,7.0141377171133276e-47,4.403911247406557e-86,2.8689670379048399e-18,1.3794248471137772e-19,5.3170486719248607e-23,6.2640575035211945e-38,5.3170486719250605e-23,2.2548814827673999e-54,7.7674270023230324e-37,1.6387936832613735e-46,1.9491241848621278e-54,6.3835495356749723e-85,8.6493335035829205e-60,8.0016659631007643e-44
1.9919884857903374e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.6507433838992718e-131,1.796596846615712e-62,7.6600517189725356e-43,2.3446369058328373e-69,5.7237264591354038e-56,4.2365391764400346e-46,4.2130340116272537e-26,6.1943917704659004e-108,4.2130340113192673e-26,7.4966653248908036e-68,4.7917975641044995e-70,6.5994999027062667e-70,9.2501087897914015e-99,4.2365391859436182e-46,1.2419734344558994e-84,8.0331077061335464e-18,3.8623895719185755e-19,1.4887736281389213e-22,3.7834907312049915e-37,1.4887736281390423e-22,2.6769952957353865e-53,4.6915259084472622e-36,1.9455758593081705e-45,2.4236731933343748e-53,3.9390964081129357e-83,1.0268488735586917e-58,4.8330062418708695e-43
4.5531165389493426e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,1.7990608924947849e-129,1.7825159707852868e-61,3.6879851654702077e-42,2.3019784178027611e-68,6.1573237361609447e-55,2.0397112460166346e-45,9.6297920273554471e-26,3.6202865192326779e-106,9.6297920258726218e-26,8.0645704653402495e-67,1.0690236763134155e-68,6.4794281393966825e-69,1.8276656193137742e-97,2.0397112553473105e-45,2.7015635012746544e-83,1.8361389042590942e-17,8.8283190215281738e-19,3.4029111500316334e-22,1.8215879206412487e-36,3.4029111500322151e-22,2.6282898544348654e-52,2.2587677708417645e-35,1.910177912684289e-44,2.6118853286440545e-52,1.9292922610136022e-81,1.0081663132189334e-57,2.326884462306714e-42
9.675372645267353e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,1.4717435195747878e-127,1.609714608547996e-60,1.6106400139029197e-41,2.0360738417351746e-67,5.6596413269946685e-54,8.9079548927162847e-45,2.0463308061455257e-25,1.4262630729718831e-104,2.0463308054979366e-25,7.412729663066715e-66,2.002163032577518e-67,5.7309808128525984e-68,3.2522333181832643e-96,8.907954975245052e-45,5.0082434318472552e-82,3.9017951715505652e-17,1.8760177920747369e-18,7.2311861938164216e-22,7.9553530151838654e-36,7.2311861938189634e-22,2.3246926095283659e-51,9.8646322781345921e-35,1.6895307261922936e-43,2.72344004278857e-51,8.5341520858635559e-80,8.9171168697212573e-57,1.0162115775587086e-41
1.9919884857903373e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,1.0592245078119497e-125,1.4087444214814354e-59,6.7241050037357942e-41,1.7114427470759235e-66,4.8419423111672994e-53,3.7188958153030989e-44,4.2130340140228569e-25,5.0394383202644592e-103,4.2130340113193007e-25,6.3417462954450833e-65,3.4582387290467007e-66,4.8172346919545573e-67,5.485366848927483e-95,3.7188958846735015e-44,8.6078908527602681e-81,8.0331077061334819e-17,3.862389571918576e-18,1.4887736281383458e-21,3.3212032755076922e-35,1.4887736281394064e-21,1.9540442077042176e-50,4.11828978329758e-34,1.4201523679744857e-42,2.9844271614701239e-50,3.8427236257933402e-78,7.4953740264425738e-56,4.2424832958402289e-41
4.0408909283175414e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,7.1797687230451341e-124,1.2462878958908875e-58,2.747016296833254e-40,1.4031441657987167e-65,4.0034115368534237e-52,1.5192902859810479e-43,8.5464404340069958e-25,1.6930418122328029e-101,8.546440422962084e-25,5.2434784809015764e-64,5.7459153475538333e-65,3.9494600475813512e-66,9.0097315254760869e-94,1.5192903428550949e-43,1.4266947832663693e-79,1.6295732775299191e-16,7.8351331316062504e-18,3.0200836456507353e-21,1.3568199006052088e-34,3.0200836456550687e-21,1.6020434935540079e-49,1.6824557471216459e-33,1.1643266980831685e-41,3.5869001279625975e-49,1.8693637547773037e-76,6.1451604796870912e-55,1.7331928561377035e-40
8.13869581337195e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,4.7274822679308471e-122,1.1571768670159503e-57,1.1103879087282371e-39,1.1363025256159351e-64,3.2555077747875917e-51,6.1412142564029195e-43,1.7213253290893181e-24,5.5500260609612648e-100,1.721325324624788e-24,4.2639096297212331e-63,9.3672921353723296e-64,3.1983751465276912e-65,1.4605163073357437e-92,6.1412147169836941e-43,2.3230026136207914e-78,3.2820982913630138e-16,1.5780620250981591e-17,6.0827036806714459e-21,5.4844829295345402e-34,6.0827036806889644e-21,1.2973763466579816e-48,6.8007550841644184e-33,9.4290192273811559e-41,4.7513521572755261e-48,9.954275888902652e-75,4.9765102827384203e-54,7.0058426460121567e-40
1.6334305583480766e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996467,0.022821567693054271,3.0686493254823203e-120,1.1694844739826747e-56,4.4648209486758645e-39,9.1459513060556401e-64,2.6256849592259165e-50,2.4693552479669202e-42,3.4546879072337179e-24,1.7974686994574879e-98,3.4546878892820405e-24,3.4389976041054871e-62,1.5128201576730218e-62,2.5743305756347737e-64,2.352116492545448e-91,2.4693556186823924e-42,3.7493356019626812e-77,6.5871483190290144e-16,3.1671594489732221e-17,1.2207943750696594e-20,2.2052864277028082e-33,1.220794375076703e-20,1.04424133655453e-47,2.7345536705515872e-32,7.5892945846803472e-40,6.7969059925107511e-47,5.7076197825906817e-73,4.0055284257688266e-53,2.8170185214250118e-39
3.27255251236984e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996401,0.022821567693054254,1.9778253442638468e-118,1.3205391429610253e-55,1.7905928978769496e-38,7.3390499617776335e-63,2.1090929501098844e-49,9.903219034661959e-42,6.9214130905911694e-24,5.7864729046966967e-97,6.9214130185969144e-24,2.762389923642641e-61,2.4318141416604293e-61,2.0657381698726543e-63,3.7756679011403753e-90,9.9032220094200666e-42,6.0250817163751844e-76,1.3197248374360257e-15,6.3453542967233345e-17,2.4458423890681793e-20,8.8441846197379494e-33,2.4458423890964282e-20,8.3793788219932652e-47,1.0966782973272193e-31,6.0899303121595716e-39,1.0224750149558717e-45,3.4374296032241732e-71,3.2141843081059959e-52,1.1297504263604773e-38
