Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3OO(77),COX(50),C2H6X(52)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.326656734914361e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,9.4127224475685282e-66,8.3315425220777564e-42,6.6482187067177637e-94,4.1370252193088832e-57,3.3075319498132872e-143,7.4501611959825199e-25,-9.3267415945326306e-118,7.4501611959771098e-25,1.3641889995670892e-79,1.7143627367233072e-71,1.4594073134919485e-121,8.8184109902056062e-123,8.7437032472416033e-56,8.955200346216793e-95,2.9546266505694328e-18,1.4206107501034383e-19,5.4758013950263725e-23,6.6436973521685523e-38,5.4758013950265841e-23,2.4629459252574896e-54,8.2381816060250557e-37,1.7900105075377798e-46,2.1323830833465335e-54,7.0548077243361603e-85,5.8518117581652232e-58,4.0802452021622204e-42,1.2918343230325885e-111,7.5235993912328758e-74
2.051463885776021e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,2.1055952590511722e-64,5.0322516833361518e-41,7.6954069903629784e-92,6.251872511391278e-56,1.2496999224356985e-140,2.0860451348768578e-24,1.800247193955996e-116,2.0860451348735907e-24,3.8472312490023191e-78,5.390230762109921e-70,3.0553062890602659e-119,1.8461567451943962e-120,1.0380524492740002e-54,4.6354696089519239e-93,8.2729546215944087e-18,3.9777101002896271e-19,1.5332243906073423e-22,4.0127931997029383e-37,1.5332243906074702e-22,2.9240094017839328e-53,4.9758616889950863e-36,2.1251004729068221e-45,2.6549347294522083e-53,4.4974952443767117e-83,6.9472709192952261e-57,2.4644681021076347e-41,2.7044879761043654e-109,2.1217754059086514e-72
4.6890603103451914e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,4.1603075064895174e-63,2.4228125654219888e-40,7.6459952060925469e-90,6.7254791584929655e-55,4.9673210213442235e-138,4.7681031654410786e-24,1.9008860705068844e-114,4.768103165425349e-24,8.3685683069993383e-77,1.2025308309376463e-68,6.0729290035492832e-117,3.6695433394460912e-118,1.019166049759059e-53,2.0240274449993918e-91,1.8909610563644344e-17,9.0919088006620048e-19,3.504512892816584e-22,1.9319871885003126e-36,3.5045128928172009e-22,2.8708097683666772e-52,2.3956632094660144e-35,2.0864362424957407e-44,2.8679512733276874e-52,2.231095953376999e-81,6.8208717853219429e-56,1.1865353047912544e-40,5.3756193048705534e-107,4.6153249615713171e-71
9.964253159483531e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,0.0,7.4030499005976105e-62,1.0581059003057117e-39,6.8254671328043453e-88,6.1818740446769798e-54,1.7752152062165291e-135,1.0132219226597552e-23,1.5024921282626525e-112,1.0132219226528862e-23,1.5513915266190525e-75,2.2522071573646171e-67,1.0848609029785584e-114,6.5552291133711004e-116,9.014408284248327e-53,7.5349466935480412e-90,4.0182922447744138e-17,1.9320306201406762e-18,7.447089897234395e-22,8.4374956216475927e-36,7.4470898972370874e-22,2.539198726665208e-51,1.0462490623469079e-34,1.8454292221615292e-43,3.0015373188947275e-51,9.9468891365086736e-80,6.0329838502075908e-55,5.1819114067716508e-40,9.6029431756783848e-105,8.5560346469136513e-70
2.0514638857760212e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,0.0,1.2486329742017089e-60,4.4173838452221528e-39,6.1859098188255729e-86,5.2887233960322872e-53,6.4347238941472633e-133,2.0860451349022638e-23,1.0649132117125681e-110,2.0860451348735867e-23,2.6664456520089912e-74,3.8901277719345851e-66,1.9662561996900138e-112,1.188102534542863e-113,7.5771533066356069e-52,2.5959033820020985e-88,8.2729546215943406e-17,3.9777101002896277e-18,1.5332243906067317e-21,3.5224883220739412e-35,1.5332243906078562e-21,2.134349523641074e-50,4.3678838729500133e-34,1.5511944462700927e-42,3.3050065984574107e-50,4.5081917901328002e-78,5.071086440655216e-54,2.1633460062094773e-39,1.7404854854927889e-102,1.4705637481738181e-68
4.161541025431357e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,0.0,2.0508837295660331e-59,1.8046454364661214e-38,6.0479692107629459e-84,4.3728187777184314e-52,2.5149739433211718e-130,4.2316915594321372e-23,7.1663777259120082e-109,4.2316915593149798e-23,4.4194381203298033e-73,6.4635054480996669e-65,3.8432698402075403e-110,2.3222806055495191e-111,6.2122080483050339e-51,8.6148568692837222e-87,1.678227937523407e-16,8.069069060587526e-18,3.1102551923722373e-21,1.4390514093769836e-34,3.1102551923768332e-21,1.7498686843605687e-49,1.7844230762601976e-33,1.2717629092037389e-41,3.9921108776730638e-49,2.2056271409299074e-76,4.1575830462022851e-53,8.8379743178867669e-39,3.4019754773263117e-100,2.4373515665534919e-67
8.381695304742029e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,0.0,3.3245711421831894e-58,7.2946653922352171e-38,6.463894361468871e-82,3.555903608098143e-51,1.0744670647069387e-127,8.522984408671304e-23,4.7021225495206933e-107,8.5229844081977349e-23,7.1959093143829831e-72,1.0537145097719657e-63,8.2115541759802278e-108,4.9617991442565678e-109,5.0308070997268359e-50,2.8070256855644029e-85,3.3800928882513025e-16,1.6251786981183313e-17,6.2643167958989325e-21,5.8168758314740764e-34,6.2643167959175132e-21,1.4170890175256102e-48,7.2129233273575161e-33,1.0299065489060129e-40,5.3101144748866126e-48,1.179693066429181e-74,3.3669185434590403e-52,3.5724505264233874e-38,7.268681902912064e-98,3.9685951839679122e-66
1.6822003863363374e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996464,0.022821567693054271,0.0,5.354119461624222e-57,2.9331528711609054e-37,7.4295827620783602e-80,2.8679650813761932e-50,4.9375126256856258e-125,1.7105570107867324e-22,3.046905434634483e-105,1.7105570105963124e-22,1.1614226645097864e-70,1.7017517197215434e-62,1.8870443149405546e-105,1.1402390663664511e-106,4.0492311595361978e-49,9.0637158412901138e-84,6.7838227897068934e-16,3.2617222822374845e-17,1.2572440002935065e-20,2.3389401482755136e-33,1.2572440003009774e-20,1.1405965067842587e-47,2.900284704852887e-32,8.2895834589827433e-40,7.6178819420585628e-47,6.7841718878943216e-73,2.7099889591089168e-51,1.4364666445323312e-37,1.6703689175260913e-95,6.40532862707188e-65
3.370262098060606e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996396,0.022821567693054254,0.0,8.594547394800497e-56,1.1763254898418338e-36,8.9609391847633302e-78,2.3037055199775027e-49,2.3813494667069142e-122,3.4270741509130109e-22,1.9621218065824898e-103,3.427074150149342e-22,1.8663750426224606e-69,2.7355160973042285e-61,4.551051225499305e-103,2.7499547091996471e-104,3.2492528901014689e-48,2.9134504669806062e-82,1.3591282592617271e-15,6.5348094504757748e-17,2.5188686416938295e-20,9.3801957902106721e-33,2.5188686417237907e-20,9.1525683477957871e-47,1.1631438517725067e-31,6.6518679518360188e-39,1.1479318402804756e-45,4.0929379454415581e-71,2.1745954706055836e-50,5.7608737205113151e-37,4.0284875383639676e-93,1.0293191147943849e-63
