Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),H2OX(23),C2H4X(210),C2H4X(65)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531594134e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.3112526669964372e-65,2.9700072472233931e-36,3.6090782291257601e-90,1.8423403295051667e-54,1.227390732279604e-133,5.5646920903778534e-20,-6.7087114431336408e-106,5.5646920903778486e-20,2.6594431780088779e-72,6.9803357828125876e-71,8.097282980846439e-114,9.3887811445734187e-115,3.2701312877951223e-53,1.2484267572994181e-85,3.0390311159895404e-18,8.9980309981672622e-20,3.6022135345369008e-22,9.0087835684181535e-38,3.3357983340900286e-37,3.6022135345354014e-22,4.8339819995237955e-35,1.41540195645427e-44,2.0875832588351243e-50,2.6352131117241232e-81,2.1456307125139226e-52,2.0725052467392514e-98,1.4260077408870684e-107,3.3174158810144906e-54,4.0136043279994378e-115,2.4176976361502976e-102
1.7654093888463576e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,2.9332578752485431e-64,1.793884377322941e-35,3.989366846970605e-88,2.7841447288682389e-53,4.43014268563255e-131,1.5581137853058009e-19,1.2951259393886439e-104,1.558113785305797e-19,7.5000553324469076e-71,2.1947292695536663e-69,1.6191861650274319e-111,1.8774426646220267e-112,3.8822998646474893e-52,6.4622164930082553e-84,8.5092871247707105e-18,2.5194486794868334e-19,1.0086197896705074e-21,5.4413052749834506e-37,2.014822193788326e-36,1.0086197896696011e-21,2.9197251268861575e-34,1.6803652014796768e-43,2.4791662246389873e-49,1.6036296771839412e-79,2.5472927818965358e-51,1.9517441944578157e-96,2.8515392270778141e-105,3.9384361337005344e-53,6.8436662756049543e-113,2.2768228608724975e-100
4.035221460220246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,5.795656959705425e-63,8.6367810749258022e-35,3.6116990478958874e-86,2.9950558531109811e-52,1.6051193930876759e-128,3.5614029378418377e-19,1.3675162600476911e-102,3.5614029378418209e-19,1.6314258577859761e-69,4.8963202688474284e-68,2.9333305478470191e-109,3.4011900786422606e-110,3.8116650283630635e-51,2.8216566287244672e-82,1.9449799142333041e-17,5.7587398388270478e-19,2.3054166621048414e-21,2.6197542611843257e-36,9.7005015555030243e-36,2.305416662100478e-21,1.4057219642221974e-33,1.6497925166523169e-42,2.4357279237192641e-48,7.244438554075105e-78,2.5009471585062503e-50,1.7058345029979237e-94,5.1658711665248039e-103,3.8667799501668914e-52,1.19610777634136e-110,1.9899549356149326e-98
8.574845602968022e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,1.0313089430364168e-61,3.7719092039738897e-34,2.7370648816453621e-84,2.752972331825903e-51,4.8735017486751883e-126,7.5679812429139369e-19,1.08090763250827e-100,7.5679812429138618e-19,3.0243885924497756e-68,9.170265974993139e-67,4.45074148317956e-107,5.1606245966030605e-108,3.3713745510143048e-50,1.0504320156122327e-80,4.1330823177457633e-17,1.2237322157507477e-18,4.8990104069763088e-21,1.1441155126603763e-35,4.2364638842625272e-35,4.8990104069572511e-21,6.1391571265888818e-33,1.4592227930654539e-41,2.1573406786771722e-47,2.7390701559525079e-76,2.2120594393734001e-49,1.2726054667955559e-92,7.8381746354418256e-101,3.4201230751291427e-51,1.7864169294578054e-108,1.4845681246764629e-96
1.7654093888463574e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.7394555116935852e-60,1.574697842478005e-33,1.9066162482959929e-82,2.3552257899163629e-50,1.3591317802559319e-123,1.5581137853058235e-18,7.6610905026583142e-99,1.5581137853057924e-18,5.1981512558422868e-67,1.5839353979495842e-65,6.2043385014022604e-105,7.1939163388774335e-106,2.8338434492702007e-49,3.6188975620152422e-79,8.5092871247706566e-17,2.5194486794868328e-18,1.0086197896730437e-20,4.7764570432167402e-35,1.7686402767059036e-34,1.0086197896650876e-20,2.5629772446218107e-32,1.2265646745890905e-40,1.8183659929012221e-46,9.5288501382686725e-75,1.859369245373249e-48,8.778360951879924e-91,1.0926424025007984e-98,2.874819520999951e-50,2.4658835069093311e-106,1.0240467442385216e-94
3.581259045945468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,0.0,2.8570627105372115e-59,6.4331544977771287e-33,1.2775646391974563e-80,1.947346228704716e-49,3.6444243825488986e-121,3.1607451073347244e-18,5.155562700265533e-97,3.1607451073345965e-18,8.615554492185161e-66,2.631732350718526e-64,8.3170683662353309e-103,9.6436217975232546e-104,2.323356071004439e-48,1.200980157330923e-77,1.7261696738820348e-16,5.1108816069590024e-18,2.046057287628347e-20,1.9513385520247262e-34,7.2254726233299662e-34,2.0460572875958442e-20,1.0470598272664208e-31,1.0056118134326694e-39,1.4989913729862315e-45,3.1906535758745664e-73,1.5244232457151522e-47,5.8297532274272287e-89,1.46471401571914e-96,2.3569507301018531e-49,3.2761425032606e-104,6.8007454229480457e-93
7.21295836014369e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,0.0,4.6314232220375132e-58,2.6003839052930751e-32,8.431970198807889e-79,1.5835496124744061e-48,9.623004531188735e-119,6.3660077513926888e-18,3.3827532618416869e-95,6.3660077513921703e-18,1.4028197053761038e-64,4.2903879377110088e-63,1.0979859977755108e-100,1.2731122596610149e-101,1.8815139796206318e-47,3.9132189897255466e-76,3.4766515966919347e-16,1.0293747461903335e-17,4.1209322835568648e-20,7.8876224026202563e-34,2.9206515596164627e-33,4.1209322834254827e-20,4.2323831914480912e-31,8.1437049817559068e-39,1.2271793615062379e-44,1.052677843409839e-71,1.2345174677218968e-46,3.8001719354441272e-87,1.9336566794033353e-94,1.9087198052720152e-48,4.2717734388804698e-102,4.4331210666814576e-91
1.4476356988540132e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996462,0.022821567693054278,0.0,7.4587654602542339e-57,1.0456029314148989e-31,5.5660462590526704e-77,1.2771901304839265e-47,2.540904165359938e-116,1.2776533039509267e-17,2.1919737711189304e-93,1.2776533039507187e-17,2.2641566602122476e-63,6.9289879508337857e-62,1.4495873325318294e-98,1.6807932052175083e-99,1.5144061327744489e-46,1.2635546988280738e-74,6.9776154423115806e-16,2.0659479171791989e-17,8.2706822754855462e-20,3.1715782635147527e-33,1.1743811465479998e-32,8.2706822749572612e-20,1.7018226337516764e-30,6.5547619241986319e-38,1.009082057646439e-43,3.4744361564358145e-70,9.9364705861515814e-46,2.4544588595935259e-85,2.5528597207879713e-92,1.5363037476515315e-47,5.5185123931881801e-100,2.8632686679001681e-89
2.9003154245333017e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996391,0.022821567693054268,0.0,1.1972971270954457e-55,4.1933354123185935e-31,3.7282039128121887e-75,1.025908569381852e-46,6.8065939087549872e-114,2.5597583615745026e-17,1.4115697476361077e-91,2.5597583615736684e-17,3.6384389700101184e-62,1.1138145669578915e-60,1.9416886268944226e-96,2.2513835334052417e-97,1.2152155378895152e-45,4.061583672462988e-73,1.3979543133550254e-15,4.1390942591569213e-17,1.6570182259629477e-19,1.2719447251017481e-32,4.7097936518089412e-32,1.6570182257510826e-19,6.8250696567776062e-30,5.2597831077627413e-37,8.4397501208782035e-43,1.1638685017120578e-68,7.9733918683303008e-45,1.5780416987699677e-83,3.419496413838771e-90,1.2327869940257278e-46,7.096274667325587e-98,1.8408771855651698e-87
