Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),CH3OO(84),CH2X(27),CHX(28),CX(26),OCX(25),H2X(56)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.005623792274171e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.9506091005980066e-133,1.4299875557193366e-63,1.2297895595203256e-43,1.8858440090522633e-70,3.6166874828900161e-57,6.801588081556034e-47,1.4816818229063815e-26,-9.6964116619991573e-109,1.4816818228569352e-26,4.736965652528831e-69,1.074772539052602e-72,5.3081256732324628e-71,3.8883083589909226e-100,6.8015880821293157e-47,4.1410515310740993e-86,2.8251634421301292e-18,1.3583636890013839e-19,5.2358675890953002e-23,6.0742375605798003e-38,5.2358675890954936e-23,7.7591912369421885e-44,7.5320504265193315e-37,1.5648702672117778e-46,1.8596790779494896e-54,5.910632821962363e-85,8.2591756174218082e-60
1.961574661836768e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.5051773694123892e-131,1.6976812356564113e-62,7.4279289396064668e-43,2.2388740076129139e-69,5.4655381241251692e-56,4.1081592013922212e-46,4.1487091042980755e-26,5.7303279366342917e-108,4.1487091039994208e-26,7.1585024947343681e-68,3.3792568193438565e-71,6.3018067994475388e-70,8.6979902669763901e-99,4.1081592020728222e-46,1.1678427886869686e-84,7.9104576379643625e-18,3.8034183292038749e-19,1.4660429249466454e-22,3.6688394748533138e-37,1.4660429249467625e-22,4.686551507263962e-43,4.5493584567049437e-36,1.8578139798612197e-45,2.310937826075993e-53,3.6431620939554117e-83,9.8052932931284932e-59
4.48359922705547e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,1.6404159263544299e-129,1.6667935233783267e-61,3.5762280392406298e-42,2.1981397771561228e-68,5.8795765071631995e-55,1.9779018143150593e-45,9.4827636677222941e-26,3.3521700337781733e-106,9.4827636662844028e-26,7.7007903238369877e-67,7.5389360220699169e-70,6.1871512852962285e-69,1.7185763031898031e-97,1.9779018149832768e-45,2.5403131545390092e-83,1.8081046029632814e-17,8.6935276096088575e-19,3.3509552570207219e-22,1.7663882650112764e-36,3.3509552570212867e-22,2.2563728119291089e-42,2.1903202626627233e-35,1.8240127792069783e-44,2.4873350894381069e-52,1.7818870870074945e-81,9.6268951000552959e-58
9.527648357492874e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,1.3419620821286733e-127,1.4742600293110288e-60,1.5618327407515071e-41,1.9442297400026104e-67,5.4043437719119818e-54,8.6380168656279991e-45,2.0150872797134053e-25,1.3206555370983826e-104,2.0150872790854399e-25,7.0783530390897346e-66,1.4119592633043934e-68,5.4724652452863264e-68,3.0581147087298176e-96,8.6380168715383041e-45,4.7093124647983885e-82,3.8422222812969647e-17,1.847374617041882e-18,7.1207799211682591e-22,7.7142815200146046e-36,7.1207799211707238e-22,9.8541728732552213e-42,9.5657040275322037e-35,1.6133186417490071e-43,2.5886103680966017e-51,7.8666305118583156e-80,8.5148796953528294e-57
1.961574661836768e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,9.6581985772067835e-126,1.2392044421211752e-59,6.5203442460229527e-41,1.6342422455208504e-66,4.6235298778570239e-53,3.606202002687661e-44,4.1487091066210845e-25,4.6662953653313659e-103,4.1487091039994538e-25,6.0556800535614391e-65,2.4388084335547973e-67,4.5999367806088299e-67,5.1579574410084201e-95,3.6062020076556285e-44,8.094104897214629e-81,7.9104576379643036e-17,3.8034183292038752e-18,1.4660429249460871e-21,3.2205605908898442e-35,1.4660429249471159e-21,4.1139231959315241e-41,3.9934931234079368e-34,1.3560915194296336e-42,2.8295990477861636e-50,3.5332465111964305e-78,7.1572694447276059e-56
3.9791943140117295e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,6.5466414956939326e-124,1.0159747641169057e-58,2.6637733787278189e-40,1.3398505303224288e-65,3.8228239133103509e-52,1.4732511863808612e-43,8.4159527645377524e-25,1.5676813065678628e-101,8.415952753827535e-25,5.0069533797467437e-64,4.052116474007186e-66,3.771306091150593e-66,8.4719605894804595e-94,1.4732511904539006e-43,1.3415385289362729e-79,1.6046928351298862e-16,7.715505753527857e-18,2.9739727906036222e-21,1.3157040139474663e-34,2.973972790607825e-21,1.6806718604686685e-40,1.6314722398055139e-33,1.1118057449583771e-41,3.391913450741868e-49,1.7142855116583974e-76,5.8679619160960732e-55
8.014433618361652e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,4.3106027466473707e-122,8.2276285534728363e-58,1.0767397902660709e-39,1.0850456985383119e-64,3.1086569184460395e-51,5.9551168544912521e-43,1.6950440096776331e-24,5.1390769243404832e-100,1.6950440053483925e-24,4.0715713449425401e-63,6.6059718568772659e-65,3.0541014534580788e-65,1.3733413210884482e-92,5.9551168874757764e-43,2.1843477283510125e-78,3.2319869777967529e-16,1.5539680602175811e-17,5.9898325219147483e-21,5.3182854073934704e-34,5.9898325219317348e-21,6.7935443837809974e-40,6.594671598161657e-33,9.003690946669901e-41,4.4832281751529601e-48,9.1083344288754677e-75,4.7520276989504313e-54
1.6084912227061498e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,2.7980491032936619e-120,6.6223136690845421e-57,4.3295233440429079e-39,8.7333917681665291e-64,2.5072444235493569e-50,2.3945263008958511e-42,3.4019414826874462e-24,1.6643759530638974e-98,3.401941465279759e-24,3.2838698084838409e-62,1.0668659942504015e-63,2.4582065556047855e-64,2.2117238642945688e-91,2.3945263274446612e-42,3.5255460567946861e-77,6.4865752631303021e-16,3.1188030299471677e-17,1.2021551984521221e-20,2.1384587052449383e-33,1.2021551984589525e-20,2.7316543236203101e-39,2.6516884089313494e-32,7.24695340525523e-40,6.4036683126738964e-47,5.214597510008511e-73,3.824845312577299e-53
3.222586944446119e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996403,0.022821567693054254,1.8034161829546926e-118,5.3139935472770016e-56,1.7363325069297793e-38,7.0079969128895927e-63,2.013955070782664e-49,9.6031214868492364e-42,6.8157364549554608e-24,5.3580161682615662e-97,6.8157363851428499e-24,2.637782840357684e-61,1.7149552027980014e-62,1.972555956520463e-63,3.5503066393819176e-90,9.6031216998866273e-42,5.6654579208139146e-76,1.2995751833796667e-15,6.2484729694063279e-17,2.4084990909671044e-20,8.5761721161217568e-33,2.4084990909944972e-20,1.0955155648065519e-38,1.0634456225523748e-31,5.8152231134651662e-39,9.6244514913928431e-46,3.1376174156537984e-71,3.0691974884488809e-52
6.4507783879260575e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999726,0.11866996602996273,0.022821567693054223,1.1582552483539866e-116,4.2576676315619746e-55,6.9543867164533741e-38,5.6149255642982633e-62,1.6144342668448216e-48,3.846257590108646e-41,1.3643326504485048e-23,1.7197048782308246e-95,1.3643326224870469e-23,2.1145094797443769e-60,2.7503190185855294e-61,1.5804451692757775e-62,5.6897479184935737e-89,3.8462577607976658e-41,9.0844451831425286e-75,2.6014104975126463e-15,1.2507812848324582e-16,4.821186875971819e-20,3.4349391574168555e-32,4.821186876081532e-20,4.3877764765933575e-38,4.2593291600846469e-31,4.6592540429138344e-38,1.4899648551463436e-44,1.9436778262266403e-69,2.4590928868609849e-51
1.2907161274885934e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999454,0.11866996602996012,0.02282156769305416,7.4258802660121443e-115,3.4087329217648572e-54,2.7835670732528093e-37,4.4953546402991757e-61,1.2928567772464981e-47,1.5395054267560862e-40,2.7298507023518441e-23,5.5112934382771394e-94,2.7298505904331428e-23,1.6933225923907199e-59,4.4056241085540909e-60,1.2653171344987061e-61,9.1110100137087872e-88,1.5395055634108656e-40,1.4550900716087971e-73,5.2050811257774322e-15,2.5026492606160858e-16,9.6465624458802531e-20,1.3748684350656095e-31,9.6465624463193928e-20,1.7562541090265606e-37,1.7048414906956454e-30,3.7302347282723792e-37,2.3438914860516395e-43,1.2232681059490377e-67,1.9687695572224323e-50
2.5819927048805686e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999891,0.11866996602995492,0.022821567693054035,4.7567428905138752e-113,2.728038282629745e-53,1.1137894226588374e-36,3.5976500603220675e-60,1.0348094232283949e-46,6.1600272222265022e-40,5.460886974148213e-23,1.764933221813594e-92,5.4608865263276239e-23,1.3553444918162103e-58,7.0530743279464668e-59,1.0126382965278751e-60,1.4583550007523575e-86,6.1600283158764969e-40,2.3294080404090067e-72,1.0412422382302307e-14,5.0063852121832443e-16,1.9297313585293145e-19,5.5012453921324516e-31,1.9297313587050272e-19,7.0273043098065328e-37,6.8215851287549608e-30,2.9853190250014473e-36,3.7181448407641602e-42,7.7625875076464574e-66,1.5756140174190084e-49
5.1645458596645193e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997816,0.11866996602994451,0.022821567693053785,3.0456541211501078e-111,2.1828706538053332e-52,4.455883082421812e-36,2.8786668461179528e-59,8.2805719028532206e-46,2.4644121790191768e-39,1.0922960189699709e-22,5.6498990342901443e-91,1.0922958398125746e-22,1.0845503544139653e-57,1.1288123405369256e-57,8.1026454554812121e-60,2.3338429508877842e-85,2.4644130540996359e-39,3.7280647150690592e-71,2.0827104895333281e-14,1.0013857115317169e-15,3.8598815862502995e-19,2.2008410163309821e-30,3.8598815869532644e-19,2.8113795119597127e-36,2.7290770519315776e-29,2.388704870237636e-35,5.9233444705980055e-41,4.9467989406604086e-64,1.2607306406095243e-48
