Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),H2OX(23),C2H6X(52),CH3OO(77)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.326656734914361e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,9.4126493657029798e-66,8.3315397842562056e-42,6.6482126189002466e-94,4.1370250362344324e-57,3.3075277449309885e-143,7.4501587477909855e-25,-9.3267403738290293e-118,7.4501587477855755e-25,1.3641892693053615e-79,1.2857386290894482e-72,1.4594054581399608e-121,8.8184029151287664e-123,6.5576070103611353e-57,8.9552046556487357e-95,2.9546266505694328e-18,1.4206107501034383e-19,5.4758013950263725e-23,6.6436973308746275e-38,5.4758013950265841e-23,5.8518098352060243e-58,8.2381801539260324e-37,1.7900099208323996e-46,2.132382666294088e-54,7.0548063445461431e-85,1.2918331400914074e-111,2.4629459173634215e-54,7.5235990582934506e-74,4.0802433213964993e-42
2.051463885776021e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,2.1055725237440017e-64,5.0322500296919336e-41,7.6953998975113334e-92,6.251872234729169e-56,1.2496983262521063e-140,2.086044449383228e-24,1.8002469583373109e-116,2.0860444493799612e-24,3.8472320097074024e-78,4.0425679707851134e-71,3.0553023866114051e-119,1.8461550436457653e-120,7.785191018848013e-56,4.6354718396380083e-93,8.2729546215944087e-18,3.9777101002896271e-19,1.5332243906073423e-22,4.0127931744227896e-37,1.5332243906074702e-22,6.9472686363580651e-57,4.9758608119272779e-36,2.1250997763701958e-45,2.6549341938911521e-53,4.4974943375623231e-83,2.7044854834569437e-109,2.9240093841252183e-53,2.1217753120144055e-72,2.4644669661251389e-41
4.6890603103451914e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,4.1602569183948722e-63,2.4228117692634826e-40,7.645988072497613e-90,6.7254788608724943e-55,4.9673146209622305e-138,4.7681015985984963e-24,1.9008858217163781e-114,4.7681015985827681e-24,8.368569961699052e-77,9.0187467006874282e-70,6.0729211784216553e-117,3.6695399160279415e-118,7.6435466573334842e-55,2.0240284190042364e-91,1.8909610563644344e-17,9.0919088006620048e-19,3.504512892816584e-22,1.9319871636801138e-36,3.5045128928172009e-22,6.8208695439207021e-56,2.3956627871956196e-35,2.0864355586319518e-44,2.8679506618585379e-52,2.2310954782111412e-81,5.3756142898070608e-107,2.8708097334760344e-52,4.6153247573308221e-71,1.1865347578645826e-40
9.964253159483531e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,0.0,7.4029551830530974e-62,1.0581055526023747e-39,6.8254606453769004e-88,6.1818737711124909e-54,1.7752128879182855e-135,1.0132215897057067e-23,1.5024919316144768e-112,1.0132215896988375e-23,1.5513918333724927e-75,1.6891114213615025e-68,1.0848594861783337e-114,6.5552228834416689e-116,6.7606303681206534e-54,7.5349503195238644e-90,4.0182922447744138e-17,1.9320306201406762e-18,7.447089897234395e-22,8.4374954021157467e-36,7.4470898972370874e-22,6.0329818677135745e-55,1.0462488779303323e-34,1.8454286172917541e-43,3.0015366256894197e-51,9.9468868432843942e-80,9.6029340492759727e-105,2.5391986645791739e-51,8.5560342682861969e-70,5.1819090181991852e-40
2.0514638857760212e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,0.0,1.2486165937252946e-60,4.417382393629167e-39,6.1859037986006098e-86,5.2887231619921071e-53,6.4347153448091302e-133,2.0860444494086342e-23,1.0649130723353053e-110,2.0860444493799571e-23,2.666446179239779e-74,2.9175198475703876e-67,1.9662535871484445e-112,1.1881013784124674e-113,5.6827170317422194e-53,2.595904631205747e-88,8.2729546215943406e-17,3.9777101002896277e-18,1.5332243906067317e-21,3.5224881375442023e-35,1.5332243906078562e-21,5.0710847742495404e-54,4.367883103047116e-34,1.5511939378406043e-42,3.3050057594521996e-50,4.5081906480072285e-78,1.7404837918441935e-102,2.1343494189239056e-50,1.4705636830974325e-68,2.1633450090274916e-39
4.161541025431357e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,0.0,2.0508564234140729e-59,1.8046448434430224e-38,6.0479631810269881e-84,4.3728185842094834e-52,2.5149705420691178e-130,4.2316901688593459e-23,7.1663767879669241e-109,4.2316901687421885e-23,4.4194389941761673e-73,4.8475025944394533e-66,3.8432646423330461e-110,2.3222782905539644e-111,4.6590345099670387e-52,8.6148610149351749e-87,1.678227937523407e-16,8.069069060587526e-18,3.1102551923722373e-21,1.4390512580883629e-34,3.1102551923768332e-21,4.1575816799822326e-53,1.7844227617297447e-33,1.2717624923625329e-41,3.9921097694563238e-49,2.2056265297376821e-76,3.4019720860228884e-100,1.749868512362314e-49,2.4373514586941543e-67,8.8379702440729844e-39
8.381695304742029e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,0.0,3.3245263167202071e-58,7.2946629951410358e-38,6.4638877890665079e-82,3.5559034507398803e-51,1.074465590274352e-127,8.5229816079401905e-23,4.7021219341006151e-107,8.5229816074666203e-23,7.1959107372152573e-72,7.9026518032136671e-65,8.2115429073296933e-108,4.9617940996274574e-109,3.7730065381846418e-51,2.807027036364572e-85,3.3800928882513025e-16,1.6251786981183313e-17,6.2643167958989325e-21,5.8168746062997417e-34,6.2643167959175132e-21,3.3669174370586209e-52,7.2129220559751539e-33,1.0299062113372069e-40,5.3101128965876487e-48,1.1796927162386674e-74,7.2686745128901151e-98,1.4170887387090582e-48,3.9685950083469416e-66,3.5724488797227217e-38
1.6822003863363374e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996464,0.022821567693054271,0.0,5.3540460552670655e-57,2.9331519072998781e-37,7.4295751066597337e-80,2.8679649544610535e-50,4.9375057827575749e-125,1.7105564486819562e-22,3.04690503585143e-105,1.7105564484915363e-22,1.161422894155489e-70,1.2762800953998153e-63,1.8870416996184216e-105,1.1402378915357087e-106,3.0368432595710382e-50,9.0637202029420012e-84,6.7838227897068934e-16,3.2617222822374845e-17,1.2572440002935065e-20,2.3389391621488466e-33,1.2572440003009774e-20,2.7099880685816044e-51,2.9002841936356446e-32,8.289580741935477e-40,7.6178795757077696e-47,6.7841697821461817e-73,1.6703671964828237e-95,1.1405960577588959e-47,6.4053283436189259e-65,1.4364659824012363e-37
3.370262098060606e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996396,0.022821567693054254,0.0,8.5944261285900253e-56,1.1763251032904519e-36,8.9609298782774157e-78,2.3037054180323615e-49,2.3813461468466501e-122,3.4270730247449054e-22,1.9621215497773687e-103,3.4270730239812366e-22,1.8663754116569399e-69,2.0515820724337882e-62,4.5510448807611438e-103,2.7499518532964974e-104,2.436874424529369e-49,2.9134518689946322e-82,1.3591282592617271e-15,6.5348094504757748e-17,2.5188686416938295e-20,9.3801878771688331e-33,2.5188686417237907e-20,2.1745947560134989e-50,1.1631436467515385e-31,6.6518657715769623e-39,1.1479314745015782e-45,4.0929366418214073e-71,4.0284833546694874e-93,9.1525611399474738e-47,1.0293190692442566e-63,5.760871065069478e-37
