Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),CH2X(27),CHX(28),CX(26),OCX(25)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.895292112840976e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,3.4413203750643162e-73,7.3793638089125318e-42,4.6044138197474895e-94,3.4484872400431708e-57,2.0289278047222192e-143,7.0115228147991904e-25,-6.4805976689560955e-118,7.0115228147944003e-25,1.0701925614669565e-79,7.5646813302008373e-74,9.5124467651962694e-122,5.7478603918013509e-123,4.099553000730226e-58,6.6116467075560754e-95,2.780669898587693e-18,1.3369707978709934e-19,5.153407827977128e-23,5.8844174004466914e-38,5.1534078279773149e-23,4.8778751327834258e-58,7.2966738507135518e-37,1.4920930663506304e-46,1.7717160394558562e-54,5.1916776630568712e-85
1.9306817915954733e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.0742253166544256e-71,4.4571357405841574e-41,5.3161858632324208e-92,5.2113539171498297e-56,7.6467337043681125e-141,1.9632263881453254e-24,1.2508718393003771e-116,1.9632263881424319e-24,3.0181142541447439e-78,2.3784567486631385e-72,1.9864390783769871e-119,1.2002983860160726e-120,4.8669891353444522e-57,3.4223787512540769e-93,7.785875716045541e-18,3.7435182340387818e-19,1.4429541918335586e-22,3.5541879606520781e-37,1.4429541918336721e-22,5.7910133576416368e-57,4.4071910049607035e-36,1.7714128870833133e-45,2.2001633900237759e-53,3.3012860830842755e-83
4.412986952218225e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,2.3916428147135948e-70,2.145918995633246e-40,5.2568186247050922e-90,5.6061367363889356e-55,3.0249656472242846e-138,4.4873746014823455e-24,1.3207997491425276e-114,4.4873746014684151e-24,6.5650577413816599e-77,5.3062057106298323e-71,3.9295639400819798e-117,2.3744243185554669e-118,4.77843839757153e-56,1.4943445010073546e-91,1.7796287350961222e-17,8.5566131063743596e-19,3.2981810099051012e-22,1.711188356223331e-36,3.2981810099056476e-22,5.6856512547759376e-56,2.1218727544820758e-35,1.7391836741450119e-44,2.3651367498748141e-52,1.6298195152303473e-81
9.377597273463728e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,4.4757393029999945e-69,9.3717920373342226e-40,4.6577768978524842e-88,5.1530055130465747e-54,1.0730456204016265e-135,9.5356710281812158e-24,1.0439822071606641e-112,9.5356710281203766e-24,1.2170510627518318e-75,9.9379343278673525e-70,6.9676336850331698e-115,4.210166602908849e-116,4.2264739434658213e-55,5.5630699004138849e-90,3.7817110620792512e-17,1.8182802851045512e-18,7.00863464604759e-22,7.4732077856931525e-36,7.0086346460499757e-22,5.0288941469019084e-55,9.266775776916816e-35,1.5382882592989507e-43,2.4566198881105257e-51,7.2119082476955043e-80
1.9306817915954735e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,7.727984905212014e-68,3.9125386914992003e-39,4.1801972695385036e-86,4.4085047058181483e-53,3.8516967612060838e-133,1.9632263881678289e-23,7.3993761721045724e-111,1.9632263881424282e-23,2.0917998189792248e-74,1.7165304219268237e-68,1.250557458442355e-112,7.5564466855678457e-114,3.5526048274825056e-54,1.9165619288540531e-88,7.7858757160454815e-17,3.7435182340387825e-18,1.4429541918330178e-21,3.1199160241307985e-35,1.4429541918340142e-21,4.2270885440816131e-54,3.8686964635078669e-34,1.293023962595984e-42,2.678434237481558e-50,3.2366920193863404e-78
3.9165259200936747e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.2837990572118445e-66,1.5983997184773528e-38,4.0449441757284166e-84,3.6450369428896776e-52,1.4899261369084655e-130,3.9825449589069713e-23,4.9794409537050632e-109,3.9825449588032028e-23,3.4670047946152757e-73,2.8520389939784701e-67,2.4192108539282068e-110,1.4617991133027218e-111,2.9126381317170881e-53,6.360370271355296e-87,1.5794205023977832e-16,7.5939941319072389e-18,2.9271356462885795e-21,1.2745865841980181e-34,2.9271356462926511e-21,3.4656225783828463e-53,1.5804887324810363e-33,1.0600991523627189e-41,3.2020239935355071e-49,1.5672630752867346e-76
7.888214177090077e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,2.0927414854463634e-65,6.4609872242616787e-38,4.2856901442022738e-82,2.9640835067115437e-51,6.3101531516685608e-128,8.0211821005441748e-23,3.267193342005968e-107,8.0211821001247243e-23,5.6451185456858944e-72,4.6495369382018755e-66,5.1240860242967169e-108,3.0962098217432592e-109,2.3587267236974773e-52,2.0724340511162454e-85,3.1810863639842088e-16,1.5294945927644146e-17,5.8954985551958817e-21,5.1520753889157914e-34,5.8954985552123386e-21,2.806551016326893e-52,6.3885881120921232e-33,8.584957568209404e-41,4.2226233988901107e-48,8.310233138364835e-75
1.5831590691082882e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,0.0,3.379636404202856e-64,2.5979345464607011e-37,4.8963914521306332e-80,2.3906407294544685e-50,2.8822433909488178e-125,1.609845638445425e-22,2.1170926629196063e-105,1.6098456382767663e-22,9.1112440921131823e-71,7.508993775207718e-65,1.1704475758566883e-105,7.072385715259656e-107,1.8985034000407509e-51,6.6917639677237784e-84,6.3844180871568824e-16,3.0696849519117916e-17,1.18322243729952e-20,2.0716209246797471e-33,1.183222437306137e-20,2.2589564223913152e-51,2.5688231472576975e-32,6.9099203761784207e-40,6.0219420717608267e-47,4.7504966724385829e-73
3.171834371906849e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996405,0.022821567693054257,0.0,5.4325270124691721e-63,1.0418879486247503e-36,5.8842217286835401e-78,1.9202926425055453e-49,1.3850390540693093e-122,3.225300495481708e-22,1.3633484102376079e-103,3.2253004948053112e-22,1.4641524657989655e-69,1.2070421316205298e-63,2.8125515350130898e-103,1.699473749182048e-104,1.5234212754522201e-50,2.151007732157824e-82,1.2791081533501516e-15,6.1500656702065314e-17,2.3705676008532684e-20,8.3080789030316717e-33,2.3705676008798056e-20,1.8126702649129181e-50,1.0302129477347999e-31,5.5447753699634981e-39,9.0421515805551232e-46,2.8556892445595647e-71
