Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),CH3OO(77),C2H6X(52)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.221231717221184e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,4.1396111521864898e-73,8.0934957904202865e-42,6.0896589854899369e-94,3.9609964956553854e-57,2.9430825353832418e-143,7.3429566300691982e-25,-8.5499483555334917e-118,7.3429566300639433e-25,1.2873492206556503e-79,9.099658206316854e-74,1.3175571904557882e-121,7.9612900612092441e-123,4.7088227115326271e-58,8.3291886197692155e-95,2.912111820383841e-18,1.4001692419390023e-19,5.3970087778966561e-23,6.4538771356120982e-38,5.3970087778968618e-23,5.6028179785427798e-58,8.0028035781245967e-37,1.71384580988913e-46,2.0400316567513342e-54,6.5564345985591367e-85,1.166272219350121e-111,3.9636649407851286e-42,7.0998208255599857e-74
2.0219448808219315e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.2922002714222411e-71,4.8884714574149861e-41,7.0445170595965195e-92,5.9858579042563161e-56,1.1113173120064603e-140,2.0560278564210781e-24,1.6503066619129747e-116,2.0560278564179042e-24,3.6305307781370507e-78,2.8610780331797647e-72,2.7566456790315004e-119,1.665692844737594e-120,5.5903140980393632e-57,4.3114279102397147e-93,8.1539130970747509e-18,3.9204738774292063e-19,1.5111624578110224e-22,3.8981416185154611e-37,1.5111624578111473e-22,6.6516655041273724e-57,4.8336933601876315e-36,2.0346777439508338e-45,2.5383460998720431e-53,4.1771770599707316e-83,2.4401212314189439e-109,2.3940536242358014e-41,2.0022630699481792e-72
4.621588299021558e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,2.8769397206577135e-70,2.3535885758559207e-40,6.9911486043974275e-90,6.4393127830814658e-55,4.4121602504638283e-138,4.6994922432562031e-24,1.7425636443970139e-114,4.6994922432409231e-24,7.8971974495699888e-77,6.3829071301380069e-71,5.4729382398052627e-117,3.3070024686440469e-118,5.4886030547767499e-56,1.8825381576479705e-91,1.8637515650456551e-17,8.9610831484096137e-19,3.4540856178535733e-22,1.876787213944648e-36,3.4540856178541728e-22,6.5306446357937627e-56,2.3272152790191961e-35,1.9976586712031938e-44,2.7387645011600658e-52,2.0697719576680919e-81,4.8445227831490798e-107,1.1526337647826907e-40,4.3553595261011875e-71
9.820875135420811e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,0.0,5.3839277319486634e-69,1.0278739653851344e-39,6.2296395104384026e-88,5.9188378435492629e-54,1.5739787505463502e-135,9.9864210169536857e-24,1.3773514374189887e-112,9.9864210168869558e-24,1.464007313778442e-75,1.1954476479320374e-69,9.7592014593214339e-115,5.8969609931350157e-116,4.854606397331994e-55,7.0082175523332938e-90,3.9604720757220076e-17,1.904230169037043e-18,7.3399319379380197e-22,8.1964213056172072e-36,7.3399319379406369e-22,5.7762812231674924e-55,1.0163560528724064e-34,1.766906466075789e-43,2.8610885987251203e-51,9.2109367593222143e-80,8.6386273228456495e-105,5.0338544748216569e-40,8.0741025421541163e-70
2.0219448808219317e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,0.0,9.2960980848851678e-68,4.2911714680966572e-39,5.6326473881747392e-86,5.0636903881040366e-53,5.6919110768135801e-133,2.0560278564457579e-23,9.7621792175051522e-111,2.0560278564178999e-23,2.5162545168989502e-74,2.0648377763610927e-68,1.7646559079577334e-112,1.0662867345146818e-113,4.0805877620886931e-54,2.4144372065016242e-88,8.1539130970746812e-17,3.9204738774292058e-18,1.5111624578104294e-21,3.4218432663532266e-35,1.5111624578115223e-21,4.8553124151338977e-54,4.2430864431769049e-34,1.4851913390153389e-42,3.1429015038445082e-50,4.1648065077875711e-78,1.5620340255491973e-102,2.1015351516263621e-39,1.3877319327842043e-68
4.1016596153816325e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,0.0,1.5442992854202682e-66,1.7530835622015905e-38,5.4934891138120599e-84,4.1867571350518728e-52,2.2191730296560035e-130,4.170799365990112e-23,6.5694990851121021e-109,4.1707993658763018e-23,4.1705073283818517e-73,3.4307563597088099e-67,3.4407282074197054e-110,2.0790471548003994e-111,3.3455100461859528e-53,8.0126367946109448e-87,1.6540795139779909e-16,7.9529612942135291e-18,3.0655009858426361e-21,1.3979335787473037e-34,3.0655009858471008e-21,3.9806784635615267e-53,1.7334392544295391e-33,1.2176495750979852e-41,3.786970026333789e-49,2.0326125207237243e-76,3.0456558177943192e-100,8.5854568085252232e-39,2.3000639071432783e-67
8.261089084501034e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,0.0,2.5173869314007218e-65,7.0862440524210853e-38,5.8592133216557732e-82,3.4046013703155999e-51,9.4613956052249399e-128,8.4003423852531153e-23,4.3104886413480633e-107,8.400342384793075e-23,6.7905900507928377e-72,5.5929906322537049e-66,7.3363478810468955e-108,4.4329607772616183e-109,2.7092769836955856e-52,2.6108010420655931e-85,3.3314559225189876e-16,1.6017936127782166e-17,6.1741780419028585e-21,5.6506625665677756e-34,6.1741780419209066e-21,3.223656625874126e-52,7.0068385701013489e-33,9.8608416952152603e-41,5.0269840086074495e-48,1.0849269916071606e-74,6.4939714086090117e-98,3.4703789117283627e-38,3.7450578201218796e-66
1.6579948022739839e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996466,0.022821567693054271,0.0,4.0654096375934881e-64,2.8493475670899937e-37,6.7250295830331234e-80,2.7459343453051407e-50,4.341629476262975e-125,1.6859428424476298e-22,2.7931324904719441e-105,1.6859428422626503e-22,1.0960039719541826e-70,9.0326686080011737e-65,1.6835260971155643e-105,1.0172643496477108e-106,2.1806557173398964e-51,8.4301183580619049e-84,6.6862087396007864e-16,3.2147885794919389e-17,1.2391532154006536e-20,2.2720997547084749e-33,1.2391532154079106e-20,2.5946793043291865e-51,2.8174189321191931e-32,7.9368628501568226e-40,7.2016459865251481e-47,6.2304022918158214e-73,1.4902197273246364e-95,1.3954240971879366e-37,6.0445384205912329e-65
3.3217665899217445e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996399,0.022821567693054254,0.0,6.5348573792178184e-63,1.1427158146239554e-36,8.1042676837816693e-78,2.2056837964500019e-49,2.0921673239872922e-122,3.3777600505711395e-22,1.7986991345141615e-103,3.3777600498292897e-22,1.7612489598986403e-69,1.4519666738480393e-63,4.0567551598830147e-103,2.4512791375560476e-104,1.7498290891416222e-50,2.7097862176031773e-82,1.3395714373763604e-15,6.4407785129193685e-17,2.4826240378146825e-20,9.112081609531393e-33,2.4826240378437875e-20,2.0820667345896513e-50,1.1299109720599727e-31,6.368831917053661e-39,1.0843040232942415e-45,3.7556679958524452e-71,3.5909491257209439e-93,5.5962747489099059e-37,9.7134109718090792e-64
