Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),H2OX(23),C2H4X(210),acetyl(43),C2H4X(65)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.389668641139981e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.3829175854366698e-65,3.0502777133645677e-36,3.9097051760235187e-90,1.9175322319919922e-54,1.3655651529139721e-133,5.6393892862449418e-20,-7.2674947674861551e-106,5.639389286244937e-20,2.8051395122342218e-72,1.9593453284532234e-72,8.8895129481489109e-114,1.030736998440647e-114,9.0581062945789285e-55,1.3344974691927951e-85,3.079825305287053e-18,9.1188153422013965e-20,3.6505675576480248e-22,9.2522641831223827e-38,3.4259550458221446e-37,3.6505675576464835e-22,4.9646301616535574e-35,1.47316909839908e-44,2.1727947779158364e-50,2.816907070553534e-81,2.2332008570941629e-52,2.2451288014231876e-98,1.5655268942386472e-107,3.4528103684247507e-54,4.4062700968651667e-115,-1.4448671561258744e-125,2.6190730298941557e-102
1.7891072195191947e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,3.0935323851589681e-64,1.84236773887221e-35,4.3216887979648561e-88,2.8977747023982023e-53,4.9288895799158235e-131,1.5790290001485852e-19,1.4029998351159269e-104,1.5790290001485816e-19,7.9109422294743581e-71,6.1604952308848777e-71,1.7776130416014442e-111,2.0611382666023053e-112,1.0753783769410437e-53,6.9077432209565677e-84,8.6235108548037451e-18,2.553268295816391e-19,1.0221589161416264e-21,5.5883675532618676e-37,2.0692768476744391e-36,1.0221589161406956e-21,2.9986366167788116e-34,1.7489463523295624e-43,2.5803724763087074e-49,1.714204698741179e-79,2.6512560575421969e-51,2.1143092727021172e-96,3.130543867144262e-105,4.0991764604155648e-53,7.5132074076187725e-113,2.6687121238908099e-123,2.4664644581521666e-100
4.089387930329588e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,6.1122996060994002e-63,8.8702075904643378e-35,3.9125957080664682e-86,3.1172937913619639e-52,1.7858402277620246e-128,3.6092091431967737e-19,1.4814197032965598e-102,3.6092091431967559e-19,1.7208027311318093e-69,1.3743725907020588e-69,3.2203667890609325e-109,3.734007945535587e-110,1.0558128624068822e-52,3.0161910309351371e-82,1.9710881953837112e-17,5.8360418190088937e-19,2.3363632368959938e-21,2.6905584044359078e-36,9.9626772732187552e-36,2.3363632368915115e-21,1.4437144497189502e-33,1.7171258970955099e-42,2.5351841926324918e-48,7.7440341593157189e-78,2.6030189190289778e-50,1.8479172183960151e-94,5.6713690018512256e-103,4.0245957376031561e-52,1.3131274132679184e-110,1.1131471245220957e-120,2.1557026680374603e-98
8.689949351950375e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,1.0876511242937929e-61,3.8738526959731868e-34,2.9651477049344797e-84,2.8653300566494887e-51,5.4223077271008508e-126,7.6695694292931763e-19,1.1709388113611985e-100,7.6695694292931002e-19,3.1900782524150522e-68,2.5740477323194682e-68,4.8863491252150745e-107,5.6657106638240562e-108,9.3385451123850906e-52,1.1228522958600119e-80,4.1885624151903788e-17,1.2401588865393899e-18,4.9647718784076021e-21,1.1750375305732581e-35,4.3509629081610137e-35,4.9647718783880291e-21,6.3050802919710083e-33,1.5187784052887547e-41,2.2454711631603195e-47,2.9280167980260227e-76,2.3023407556298459e-49,1.3786035807419601e-92,8.6053206904769601e-101,3.559709318982442e-51,1.9611886885539866e-108,3.5878141180848923e-118,1.6082210755187501e-96
1.7891072195191946e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.834482624682085e-60,1.6172572436260616e-33,2.0655709323091042e-82,2.4513501890237239e-50,1.5122378219233616e-123,1.5790290001486087e-18,8.2991996142897522e-99,1.5790290001485766e-18,5.4829294473690802e-67,4.4460272495715023e-67,6.8118195093763975e-105,7.8982891818218108e-106,7.8496097074614042e-51,3.8683964078931134e-79,8.6235108548036881e-17,2.5532682958163906e-18,1.0221589161442314e-20,4.9055502837419216e-35,1.8164413652651024e-34,1.0221589161360603e-20,2.632246899712608e-32,1.2766247547329448e-40,1.8927184138055617e-46,1.0186538033767198e-74,1.9352561315441766e-48,9.5095299814943415e-91,1.1996255253388755e-98,2.9921501142682789e-50,2.7071299880849543e-106,1.0295309904647453e-115,1.109341854366926e-94
3.6293317881675087e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996514,0.022821567693054285,0.0,3.0131431595739909e-59,6.6070235382576096e-33,1.3841738022943556e-80,2.0268237407487582e-49,4.0552554073992733e-121,3.203173114587232e-18,5.5849808794943235e-97,3.2031731145871006e-18,9.0875534599835793e-66,7.3871404801575864e-66,9.1320592100898644e-103,1.058860182179251e-103,6.4355840471873851e-50,1.2837797276511277e-77,1.7493407734030208e-16,5.1794871143703893e-18,2.0735223727557729e-20,2.0040772735144112e-34,7.4207556672003015e-34,2.0735223727223911e-20,1.0753587413781021e-31,1.046654090940844e-39,1.5603983949600122e-45,3.4111194521714019e-73,1.5866398998906275e-47,6.3153262214565058e-89,1.6082415736403515e-96,2.4531453484402386e-49,3.5966596114319735e-104,2.7995881949582959e-113,7.3671944966401074e-93
7.309780925464137e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.022821567693054282,0.0,4.884434588076317e-58,2.6706645513820926e-32,9.136874478103427e-79,1.6481794053393195e-48,1.0709284741292362e-118,6.451461343464646e-18,3.6645102359933902e-95,6.451461343464116e-18,1.4796725015069718e-64,1.2042902451918699e-64,1.2057461143803305e-100,1.3980598690384792e-101,5.2117024192915968e-49,4.1830093346690206e-76,3.5233201492482854e-16,1.0431924751478383e-17,4.1762492859972499e-20,8.1008001045628997e-34,2.9995880882519528e-33,4.1762492858623168e-20,4.34677192522836e-31,8.4760759746664896e-39,1.2776346538183389e-44,1.1255740647782819e-71,1.284902127348893e-46,4.1166966308341766e-87,2.1234323866217425e-94,1.986620554085505e-48,4.689696794785944e-102,7.4446638472419811e-111,4.8023654898658614e-91
1.4670679200057396e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.1186699660299646,0.022821567693054275,0.0,7.86623019969104e-57,1.0738624701018009e-31,6.0329998699402581e-77,1.3293163998044427e-47,2.8284943794548197e-116,1.2948037801220144e-17,2.3745480972267561e-93,1.2948037801218006e-17,2.3881973830140089e-63,1.9449316563659848e-63,1.5922854606754627e-98,1.8462513592714323e-99,4.1948308775885724e-48,1.3506683663600299e-74,7.0712789009386557e-16,2.0936800025694344e-17,8.3817031125537841e-20,3.2572955631669897e-33,1.2061211775335362e-32,8.3817031120112232e-20,1.74781783916481e-30,6.8222829967581721e-38,1.0508620416024796e-43,3.7160514431628291e-70,1.0342010160492966e-45,2.6588961471886551e-85,2.8041645545056918e-92,1.5990048106599749e-47,6.0584088207393734e-100,1.9731587447616301e-108,3.1017566250471123e-89
2.9392475749243913e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999844,0.11866996602996388,0.022821567693054264,0.0,1.2627037884626609e-55,4.3066688018408184e-31,4.0430382569310622e-75,1.0677792236481275e-46,7.5808415386674175e-114,2.5941190716733806e-17,1.5291425027594393e-91,2.5941190716725246e-17,3.837769081587727e-62,3.1264198485044819e-62,2.1339146976656015e-96,2.474269223947778e-97,3.3660865752238219e-47,4.3416027725639622e-73,1.4167196404318762e-15,4.1946550574126189e-17,1.6792610765961171e-19,1.3063207816144246e-32,4.8370853721100712e-32,1.679261076378526e-19,7.0095309915948046e-30,5.474451891462148e-37,8.7937719900889973e-43,1.2454449341385155e-68,8.2988118367491363e-45,1.7094802695756669e-83,3.7580246157931588e-90,1.2831002682024419e-46,7.7905293991837532e-98,5.2982352432849463e-106,1.9942079028903607e-87
