Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3X(21),CH3OO(77),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),C2H4X(210),acetyl(43),C2H4X(65)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531594134e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,7.2501798046391656e-72,2.9700072472233931e-36,3.6090782291257374e-90,1.8423403295051667e-54,1.2273907322795964e-133,5.5646920903778534e-20,-6.7087114431336408e-106,5.5646920903778486e-20,2.6594431780088779e-72,3.0302795752200116e-73,8.0972829808463885e-114,9.3887811445733556e-115,1.4202021865388194e-55,1.2484267572994181e-85,3.0390311159895404e-18,8.9980309981672622e-20,3.6022135345369008e-22,9.0087834342421149e-38,3.6022135345354014e-22,3.3357983340900286e-37,4.8339819995237955e-35,1.41540195645427e-44,2.0875832588351243e-50,2.6352131117241059e-81,2.1456307125139226e-52,2.0725052467392514e-98,1.4260077408870596e-107,4.0136043279994378e-115,-1.2986685803471014e-125,2.4176976361502976e-102
1.7654093888463576e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.7872756645535056e-70,1.793884377322941e-35,3.989366846970561e-88,2.7841447288682389e-53,4.4301426856325009e-131,1.5581137853058009e-19,1.2951259393886439e-104,1.558113785305797e-19,7.5000553324469076e-71,9.5276837576217904e-72,1.619186165027414e-111,1.8774426646220056e-112,1.6860640135663918e-54,6.4622164930082553e-84,8.5092871247707105e-18,2.5194486794868334e-19,1.0086197896705074e-21,5.4413051156896632e-37,1.0086197896696011e-21,2.014822193788326e-36,2.9197251268861575e-34,1.6803652014796768e-43,2.4791662246389873e-49,1.6036296771839235e-79,2.5472927818965358e-51,1.9517441944578157e-96,2.8515392270777831e-105,6.8436662756049543e-113,2.3986690425013585e-123,2.2768228608724975e-100
4.035221460220246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,3.6776317903011069e-69,8.6367810749258022e-35,3.6116990478958074e-86,2.9950558531109811e-52,1.60511939308764e-128,3.5614029378418377e-19,1.3675162600476911e-102,3.5614029378418209e-19,1.6314258577859761e-69,2.1255737720696159e-70,2.9333305478469539e-109,3.4011900786421844e-110,1.655387599522916e-53,2.8216566287244672e-82,1.9449799142333041e-17,5.7587398388270478e-19,2.3054166621048414e-21,2.6197541047887469e-36,2.305416662100478e-21,9.7005015555030243e-36,1.4057219642221974e-33,1.6497925166523169e-42,2.4357279237192641e-48,7.244438554074942e-78,2.5009471585062503e-50,1.7058345029979237e-94,5.1658711665246889e-103,1.19610777634136e-110,1.0005004448191676e-120,1.9899549356149326e-98
8.574845602968022e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,6.6636784228686767e-68,3.7719092039738897e-34,2.73706488164524e-84,2.752972331825903e-51,4.8735017486749724e-126,7.5679812429139369e-19,1.08090763250827e-100,7.5679812429138618e-19,3.0243885924497756e-68,3.9809641964132185e-69,4.4507414831793622e-107,5.1606245966028305e-108,1.4641715011099305e-52,1.0504320156122327e-80,4.1330823177457633e-17,1.2237322157507477e-18,4.8990104069763088e-21,1.1441153743302658e-35,4.8990104069572511e-21,4.2364638842625272e-35,6.1391571265888818e-33,1.4592227930654539e-41,2.1573406786771722e-47,2.7390701559523846e-76,2.2120594393734001e-49,1.2726054667955559e-92,7.8381746354414792e-101,1.7864169294578054e-108,3.2246816524041005e-118,1.4845681246764629e-96
1.7654093888463574e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.133654618258702e-66,1.574697842478005e-33,1.9066162482958217e-82,2.3552257899163629e-50,1.3591317802558106e-123,1.5581137853058235e-18,7.6610905026583142e-99,1.5581137853057924e-18,5.1981512558422868e-67,6.876124834474458e-68,6.2043385014017058e-105,7.1939163388767907e-106,1.2307242283229463e-51,3.6188975620152422e-79,8.5092871247706566e-17,2.5194486794868328e-18,1.0086197896730437e-20,4.7764558804689435e-35,1.0086197896650876e-20,1.7686402767059036e-34,2.5629772446218107e-32,1.2265646745890905e-40,1.8183659929012221e-46,9.5288501382678105e-75,1.859369245373249e-48,8.778360951879924e-91,1.0926424025007008e-98,2.4658835069093311e-106,9.2529620794811447e-116,1.0240467442385216e-94
3.581259045945468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,0.0,1.8698979546246264e-65,6.4331544977771287e-33,1.2775646391972275e-80,1.947346228704716e-49,3.644424382548248e-121,3.1607451073347244e-18,5.155562700265533e-97,3.1607451073345965e-18,8.615554492185161e-66,1.1424781531852779e-66,8.3170683662338448e-103,9.6436217975215333e-104,1.0090218478674142e-50,1.200980157330923e-77,1.7261696738820348e-16,5.1108816069590024e-18,2.046057287628347e-20,1.9513375987340524e-34,2.0460572875958442e-20,7.2254726233299662e-34,1.0470598272664208e-31,1.0056118134326694e-39,1.4989913729862315e-45,3.1906535758739902e-73,1.5244232457151522e-47,5.8297532274272287e-89,1.4647140157188784e-96,3.2761425032606e-104,2.5159653310358823e-113,6.8007454229480457e-93
7.21295836014369e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,0.0,3.0375155839712586e-64,2.6003839052930751e-32,8.4319701988048652e-79,1.5835496124744061e-48,9.6230045311853032e-119,6.3660077513926888e-18,3.3827532618416869e-95,6.3660077513921703e-18,1.4028197053761038e-64,1.8625268488300119e-65,1.0979859977751185e-100,1.27311225966056e-101,8.1713167771793802e-50,3.9132189897255466e-76,3.4766515966919347e-16,1.0293747461903335e-17,4.1209322835568648e-20,7.8876146826287871e-34,4.1209322834254827e-20,2.9206515596164627e-33,4.2323831914480912e-31,8.1437049817559068e-39,1.2271793615062379e-44,1.0526778434094585e-71,1.2345174677218968e-46,3.8001719354441272e-87,1.9336566794026447e-94,4.2717734388804698e-102,6.6895184156168485e-111,4.4331210666814576e-91
1.4476356988540132e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996462,0.022821567693054278,0.0,4.8969022086323881e-63,1.0456029314148989e-31,5.566046259048681e-77,1.2771901304839265e-47,2.5409041653581274e-116,1.2776533039509267e-17,2.1919737711189304e-93,1.2776533039507187e-17,2.2641566602122476e-63,3.0079829694097794e-64,1.4495873325307942e-98,1.6807932052163082e-99,6.5769805885662706e-49,1.2635546988280738e-74,6.9776154423115806e-16,2.0659479171791989e-17,8.2706822754855462e-20,3.1715720497997298e-33,8.2706822749572612e-20,1.1743811465479998e-32,1.7018226337516764e-30,6.5547619241986319e-38,1.009082057646439e-43,3.4744361564333051e-70,9.9364705861515814e-46,2.4544588595935259e-85,2.5528597207861485e-92,5.5185123931881801e-100,1.7725320444815333e-108,2.8632686679001681e-89
2.9003154245333017e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996391,0.022821567693054268,0.0,7.8646699417716512e-62,4.1933354123185935e-31,3.7282039128068437e-75,1.025908569381852e-46,6.8065939087452839e-114,2.5597583615745026e-17,1.4115697476361077e-91,2.5597583615736684e-17,3.6384389700101184e-62,4.8352355561494645e-63,1.9416886268916495e-96,2.2513835334020256e-97,5.2776030215968463e-48,4.061583672462988e-73,1.3979543133550254e-15,4.1390942591569213e-17,1.6570182259629477e-19,1.2719397389959731e-32,1.6570182257510826e-19,4.7097936518089412e-32,6.8250696567776062e-30,5.2597831077627413e-37,8.4397501208782035e-43,1.1638685017103766e-68,7.9733918683303008e-45,1.5780416987699677e-83,3.4194964138338876e-90,7.096274667325587e-98,4.7570969145099229e-106,1.8408771855651698e-87
