Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH2X(27),CHX(28),CX(26),H2X(49),CH3OO(77),C2H4(47),HOX(22),H2OX(23),C2H6X(52)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.044021451600136e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,2.0206109878153037e-65,2.7291958488002208e-36,0.0,1.6228771813063824e-54,0.0,5.3343282311283282e-20,-5.2055989613339692e-106,5.3343282311283258e-20,2.245665705859694e-72,2.9154442980222261e-70,0.0,0.0,2.4934627343121878e-49,1.0105459269946854e-85,2.9132230883595338e-18,8.6255357885996291e-20,3.4530912114729621e-22,3.4530912114703487e-22,1.2041697600631264e-34,9.1623435283107707e-44,3.6624795357461752e-49,1.8900390034132487e-52,3.0653281988936716e-37,1.6081524729553086e-98,8.2783416579780022e-38,2.922238840765924e-54,2.9100086540148109e-71
1.6923260064480382e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,4.5202170124711763e-64,1.6484342926755462e-35,0.0,2.4524919886118694e-53,0.0,1.4936119047159327e-19,1.0049479772248764e-104,1.493611904715931e-19,6.3331365776630707e-71,9.1666233383321581e-69,0.0,0.0,2.9602389581676044e-48,5.2308767396577363e-84,8.1570246474066938e-18,2.4151500208078961e-19,9.6686553921283658e-22,9.6686553921125803e-22,7.2731853454350222e-34,1.0877534224602394e-42,4.3485842979830055e-48,2.2438543048524675e-51,1.8514582321299689e-36,1.5144483828612147e-96,5.0001183614042816e-37,3.4692819517365127e-53,8.206689980600923e-70
3.868173729024087e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,8.9313560215951428e-63,7.9365015283142356e-35,0.0,2.6382789672006516e-52,0.0,3.4139700679221338e-19,1.0611189681042094e-102,3.4139700679221261e-19,1.3775955382328862e-69,2.0450232412040469e-67,0.0,0.0,2.9063801630900237e-47,2.2840054993131127e-82,1.8644627765501e-17,5.5203429047037622e-19,2.2099783753455444e-21,2.2099783753379456e-21,3.5017256542441812e-33,1.0679627578753746e-41,4.2705007856121182e-47,2.2030294623792846e-50,8.9139744023556659e-36,1.3236357040535884e-94,2.4073417541183498e-36,3.406161592732299e-52,1.7851343267744431e-68
8.219869174176185e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,1.5893008877871123e-61,3.4660787279795825e-34,0.0,2.4250329062514461e-51,0.0,7.2546863943345443e-19,8.3872610879474176e-101,7.2546863943345115e-19,2.5538299583073956e-68,3.8301022036148914e-66,0.0,0.0,2.5706603405155373e-46,8.5027798051554898e-81,3.9619834001689556e-17,1.1730728672495495e-18,4.6962040476174728e-21,4.6962040475842866e-21,1.5292955869934679e-32,9.4460096044721682e-41,3.779050643525267e-46,1.9485546109606072e-49,3.8929668125669267e-35,9.8747330400883825e-93,1.0513493905408292e-35,3.0127113551406613e-51,3.3093381887459562e-67
1.692326006448038e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,2.6805994785818585e-60,1.4470196390368489e-33,0.0,2.0746667070095454e-50,0.0,1.4936119047159403e-18,5.9445936295389673e-99,1.4936119047159264e-18,4.3893811919383464e-67,6.6155490774213296e-65,0.0,0.0,2.1607949100587407e-45,2.9293365633754857e-79,8.1570246474066441e-17,2.415150020807896e-18,9.6686553921873748e-21,9.6686553920488282e-21,6.3845079932743704e-32,7.939940159947111e-40,3.1796169395471031e-45,1.6378775597369235e-48,1.6252370110281918e-34,6.8115353257175862e-91,4.3891767468585324e-35,2.532365423340682e-50,5.6879068068714919e-66
3.433004184508877e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,0.0,4.4029017780627558e-59,5.9115473763603952e-33,0.0,1.7153745534748959e-49,0.0,3.0298984352809253e-18,4.0004389941610929e-97,3.0298984352808694e-18,7.27507742364221e-66,1.0991833735465886e-63,0.0,0.0,1.7715502169144618e-44,9.7214000298807474e-78,1.6547107141881932e-16,4.8993043279245866e-18,1.9613558081431355e-20,1.961355808086536e-20,2.6082798039424604e-31,6.509642527195764e-39,2.6119211574358825e-44,1.3428309798691154e-47,6.6396234917180086e-34,4.5235745336090738e-89,1.7931219163141408e-34,2.0761861729130334e-49,9.4272884010335858e-65
6.914360540630555e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996499,0.022821567693054282,0.0,7.137300827350002e-58,2.3895419670460365e-32,0.0,1.3949140986651562e-48,0.0,6.1024714964109492e-18,2.6248343474892458e-95,6.102471496410725e-18,1.1845577643638938e-64,1.7919463182525744e-62,0.0,0.0,1.4346472960665798e-43,3.1675766640627864e-76,3.3327272130832156e-16,9.8676129421579647e-18,3.9503363460336045e-20,3.9503363458048209e-20,1.0543083731421647e-30,5.2716770868515023e-38,2.1234280203978861e-43,1.0874593427465858e-46,2.6838419737092199e-33,2.9487287574426156e-87,7.2480854805565913e-34,1.6813493912364039e-48,1.5349895296047651e-63
1.3877073252873912e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996464,0.022821567693054278,0.0,1.1494408816583944e-56,9.6082431537030383e-32,0.0,1.1250487548054922e-47,0.0,1.2247617618671216e-17,1.7008535940612639e-93,1.2247617618670313e-17,1.9118810074530862e-63,2.8939980899037828e-61,0.0,0.0,1.1547289551561625e-42,1.0227913102443876e-74,6.6887602108731189e-16,1.9804230170624702e-17,7.9282974219812347e-20,7.9282974210613022e-20,4.2393273857886883e-30,4.2431040141463918e-37,1.7223625593912754e-42,8.752818858741249e-46,1.0791610535907709e-32,1.9045278861570908e-85,2.9144232929200098e-33,1.3532962635945662e-47,2.4774792893897936e-62
2.7802498677360627e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999855,0.11866996602996396,0.022821567693054268,0.0,1.845107646931636e-55,3.8533352438811904e-31,0.0,9.0370034263323302e-47,0.0,2.453790986319263e-17,1.0953021017707745e-91,2.4537909863188997e-17,3.0723414531227044e-62,4.652017405111248e-60,0.0,0.0,9.2659726388286442e-42,3.2876712736525093e-73,1.3400826206452356e-15,3.9677464627558113e-17,1.5884219574543251e-19,1.5884219570853918e-19,1.7001597198492912e-29,3.4048232189532627e-36,1.4033407800480335e-41,7.023585900975032e-45,4.3279184909005941e-32,1.2244753702351325e-83,1.168814090768424e-32,1.0859350230083129e-46,3.981242708310601e-61
