Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH2X(27),CHX(28),CX(26),H2X(49),CH3OO(77),C2H4(47),HOX(22),H2OX(23),OCX(25),COX(50),CH4OX(60),C2H6X(52),C2H4X(206),C2H4X(65),CH2OH(40),CH2OX(54),acetyl(43)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.717554270695001e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.9170451655911627e-65,3.3713595779297349e-36,1.430703919369731e-89,2.2281335496876701e-54,2.0783958276430716e-101,5.928774356156225e-20,-9.8125480264546576e-106,5.9287743561562238e-20,3.4267771130602221e-72,4.4488267010627739e-70,3.4199249300389558e-113,3.9653951394046396e-114,5.5846235829021521e-50,1.7138862457237072e-85,3.2378664363469204e-18,9.5867470421369731e-20,3.8378963080267283e-22,3.8378963080235009e-22,1.4875038211282572e-34,1.2579463836135547e-43,5.0284821991436172e-49,2.5949340605077002e-52,3.7865818927505791e-37,3.031365803633909e-98,1.0226186753997543e-37,4.0120955637226368e-54,7.2053722193003693e-80,6.0228096463137147e-107,8.588953098674256e-87,4.4405322788538897e-71,6.2546217092453093e-115,3.5362641176668946e-102,7.7496896664281666e-88,4.145083361972112e-118,-5.8438541989983708e-125
1.8809151957946003e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,4.2886448976276312e-64,2.0363011850698532e-35,1.5811601102468815e-87,3.3671553797943942e-53,2.1754732361090881e-99,1.6600568197237442e-19,1.89432592337966e-104,1.6600568197237423e-19,9.6640596310680224e-71,1.3987823149966531e-68,6.8374293580475412e-111,7.9279837138511507e-112,6.6300651176180565e-49,8.8715687061841768e-84,9.0660260217713752e-18,2.684289171798353e-19,1.0746109662479867e-21,1.0746109662460375e-21,8.9845230722745164e-34,1.4934339447631071e-42,5.9705596362936284e-48,3.0807057166351378e-51,2.2870954632188671e-36,2.8547336638391645e-96,6.1766167994110776e-37,4.7631598532313532e-53,4.3839179973828571e-78,1.2041356563199541e-104,4.9467972963023757e-85,1.2523011366270232e-69,1.0664863637115948e-112,3.3302124765818734e-100,4.4634245231865696e-86,7.8510951909927658e-116,1.0791686729697772e-122
4.299234733244801e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,8.4738973932075039e-63,9.8039136526240576e-35,1.430891880492796e-85,3.6222321026950312e-52,1.9542609538731799e-97,3.7944155879399898e-19,2.0002081752535276e-102,3.7944155879399806e-19,2.1021440568193223e-69,3.1206063991706126e-67,1.2381721512983766e-108,1.4356577796530032e-109,6.5094372482202609e-48,3.8736740896396859e-82,2.0722345192620263e-17,6.1355181069676632e-19,2.4562536371406258e-21,2.4562536371312391e-21,4.3256611008307315e-33,1.4662622989649526e-41,5.8635101166737484e-47,3.0246551409289996e-50,1.1011380144081437e-35,2.4950519554009106e-94,2.9737751080573226e-36,4.6764985890125935e-52,1.9796354933238821e-76,2.1805376816413873e-102,2.218351539125428e-83,2.7240285058318241e-68,1.8639608923135847e-110,2.9106228912951405e-98,2.0015868991059171e-84,1.4109557418421844e-113,4.4994614934016699e-120
9.135873808145201e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,1.5079058292074384e-61,4.2816266639752991e-34,1.0834934897031267e-83,3.3294553577779712e-51,1.4736568888775863e-95,8.0631331243724911e-19,1.5809978615201962e-100,8.0631331243724516e-19,3.8970208014749842e-68,5.8445504215325589e-66,1.8771531595738827e-106,2.1765547984230712e-107,5.7575235290067684e-47,1.4420717387719921e-80,4.4034983534317978e-17,1.3037975977306284e-18,5.2195389789339481e-21,5.2195389788929536e-21,1.8891298414556369e-32,1.2968923915227147e-40,5.1890176652427475e-46,2.6752732190235905e-49,4.8089590037547435e-35,1.8613861731262017e-92,1.2987257177523517e-35,4.1363100422442115e-51,7.4787125376952227e-75,3.3058433711432142e-100,8.3459929228373504e-82,5.0498897621227751e-67,2.7838722887642822e-108,2.1714149847296535e-96,7.5304701711390764e-83,2.1301983266849808e-111,1.4490278310440277e-117
1.8809151957946004e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,2.5433207240678492e-60,1.7874948482224271e-33,7.5352570362181275e-82,2.848419155637408e-50,1.0217637850801939e-93,1.6600568197237539e-18,1.120555294183559e-98,1.6600568197237369e-18,6.6979830645232807e-67,1.0095007416085261e-64,2.6125170839189722e-104,3.0292075881091953e-105,4.8395454429256941e-46,4.9681557892161618e-79,9.0660260217713104e-17,2.6842891717983521e-18,1.0746109662552763e-20,1.074610966238162e-20,7.8867451572267661e-32,1.0901161868945893e-39,4.3664081389150936e-45,2.2487283378956713e-48,2.0076457195017141e-34,1.283973715684097e-90,5.421924216921459e-35,3.4768178217548326e-50,2.5974798528127039e-73,4.6008884463311009e-98,2.8899523712662831e-80,8.6794702485592357e-66,3.8427226302970047e-106,1.4978298458652979e-94,2.6075627345130853e-81,2.9556931387251736e-109,4.1511229607649328e-115
3.815570825754761e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996514,0.022821567693054285,0.0,4.1774257901427552e-59,7.3024997002134754e-33,5.0328339226324645e-80,2.3551280409036831e-49,6.8030623360535896e-92,3.3675438342967802e-18,7.5408234327141663e-97,3.3675438342967105e-18,1.1101415722581452e-65,1.6773005805166669e-63,3.4908750896643458e-102,4.0476616883949264e-103,3.9677517470952874e-45,1.6487497695380422e-77,1.8391081358450232e-16,5.445272319933798e-18,2.1799251029919091e-20,2.1799251029219921e-20,3.2219926900220028e-31,8.9374309269655559e-39,3.5875956387397813e-44,1.8436433538545966e-47,8.2018878426801525e-34,8.5269333921675974e-89,2.2150329556222076e-34,2.8505053105499679e-49,8.6691248063624308e-72,6.1477595558445561e-96,9.6150535709241292e-79,1.4385585414727037e-64,5.1053940309933695e-104,9.9471625931536033e-93,8.6755254625593768e-80,3.9370835516182116e-107,1.125089626039558e-112
7.684882085675081e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996495,0.022821567693054282,0.0,6.7717983806221277e-58,2.9517871357656466e-32,3.300500107532087e-78,1.9151510098845408e-48,4.4403657913744754e-90,6.7825178634428999e-18,4.9478100736999452e-95,6.782517863442621e-18,1.8075777649974276e-64,2.7344232749635381e-62,4.5792301631610664e-100,5.3096069088537698e-101,3.2131882356516433e-44,5.3722110794846427e-76,3.704119203180764e-16,1.0967238616204684e-17,4.3905533765166529e-20,4.3905533762340365e-20,1.3023809242678655e-30,7.2377629695399018e-38,2.9178812772498527e-43,1.493030187639953e-46,3.3153342027927084e-33,5.5583507068225402e-87,8.9535173597544352e-34,2.308413104484729e-48,2.8417802004091439e-70,8.0644552641386146e-94,3.1369163073940189e-77,2.3423196628221044e-63,6.6569407755857854e-102,6.4841386197072585e-91,2.8303947658021922e-78,5.1402641321717777e-105,2.9723750921343526e-110
1.5423504605515724e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.11866996602996457,0.022821567693054275,0.0,1.0905781481078119e-56,1.1869006248715282e-31,2.1515953683898248e-76,1.5446386705794898e-47,2.8698079615093097e-88,1.3612465921735407e-17,3.2061072938301613e-93,1.3612465921734289e-17,2.9174378002978004e-63,4.4161008928006284e-61,5.9706767641697582e-98,6.9229860628942682e-99,2.5862534330193958e-43,1.7346544035463819e-74,7.4341413378520689e-16,2.2011171208746434e-17,8.8118099237720506e-20,8.8118099226356641e-20,5.2368161240044975e-30,5.8255808041063625e-37,2.3687728084136914e-42,1.2017205857140682e-45,1.3330813014747102e-32,3.5900331271374396e-85,3.6001699512204414e-33,1.8580116933439884e-47,9.2619230425325103e-69,1.0514923675625595e-91,1.0135381316255952e-75,3.7805133793096517e-62,8.5998030317702049e-100,4.1879819350976911e-89,9.1450097543693014e-77,6.6448162839445311e-103,7.7781468505285718e-108
3.090074964519701e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999838,0.11866996602996381,0.022821567693054264,0.0,1.7506201709889152e-55,4.7600023601072203e-31,1.4070159150974535e-74,1.2407377812600964e-46,1.8456809163591306e-86,2.7272362038321504e-17,2.0646433471364369e-91,2.727236203831702e-17,4.688244224306937e-62,7.0987532070920399e-60,7.808753689745226e-96,9.0542320578469019e-97,2.0753055032987595e-42,5.575891577407643e-73,1.4894185607193983e-15,4.409903639382984e-17,1.7654323019106488e-19,1.7654323014549076e-19,2.1001972540956067e-29,4.6746609026865072e-36,1.9332224982715182e-41,9.6430508833375829e-45,5.3462522533067799e-32,2.3081348267151594e-83,1.4438291718662344e-32,1.4909373695420876e-46,3.0285217510713376e-67,1.3751950119514763e-89,3.2589696753203184e-74,6.0751835099088153e-61,1.1058517232550476e-97,2.6925731700814508e-87,2.9405217767241664e-75,8.5473903701602761e-101,2.038113044803694e-105
