Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),CO2X(24),COX(47),CH4OX(57),C2H6X(49),CHOX(50)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0846747632619236e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-2.185933864094271e-132,3.9523197398217985e-69,1.4131645854563484e-55,1.6882594139830243e-101,4.7155484078404917e-59,2.4492973974095137e-164,3.5840452541557401e-37,-3.8217500926534221e-143,3.5840424073031437e-37,3.2779962205792791e-93,6.8086018805185163e-72,2.164158217649863e-139,6.607765443866853e-141,1.1205012252133961e-59,7.5736995283665262e-113,2.7863550762509331e-18,1.2191084397211798e-18,1.8090954010634784e-24,5.6193520659346666e-38,1.8090954010634347e-24,1.8050138027194715e-54,5.9827420509963457e-39,3.1460969443431283e-47,3.064643603361286e-56,2.254233560742547e-85,-1.043291353269373e-119,3.5600311800803452e-118,1.3423662688082986e-88,9.5971960915233102e-76,-8.6032894281437239e-119
3.037089337133386e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,7.4498352218501679e-130,9.0316485701613567e-68,8.5396301086374636e-55,3.4698544175869061e-99,7.1261367539316277e-58,1.4287804266840192e-161,1.0035335935441083e-36,7.3415970536149795e-142,1.0035318740451401e-36,9.2444738214327008e-92,2.1407334437104554e-70,8.0279786052240474e-137,2.4511592997981763e-138,1.3302590545733241e-58,3.9203649984305286e-111,7.8017942135026057e-18,3.4135036312193031e-18,5.0654671229779028e-24,3.3940886478244829e-37,5.0654671229776361e-24,2.1429123865885212e-53,3.6135761804538523e-38,3.7350462717467901e-46,6.8484416917300817e-55,2.5614168402752408e-83,1.9811401274078094e-117,1.3205982580275649e-115,7.7313426824198169e-87,2.7065628529481529e-74,1.6337068116257729e-116
6.941918484876311e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999992,0.10000000000000001,6.2356242165456219e-127,1.8013420881279733e-66,4.1156508332437211e-54,6.2829491795417476e-97,7.6659727356625649e-57,2.5515397834478684e-158,2.2937954193231814e-36,7.7538336589325842e-140,2.2937871406758315e-36,2.0108749807291107e-90,4.7758585565751428e-69,2.9074827051491581e-134,8.8773285753313595e-136,1.3060562281086717e-57,1.7117847857141903e-109,1.7832672488005919e-17,7.8022940142155496e-18,1.1578210566807397e-23,1.6341075807737162e-36,1.1578210566806111e-23,2.1039240884497023e-52,1.7397813609078264e-37,3.6670905345365003e-45,1.3523448566914345e-53,2.317478279291256e-81,8.2570868545533831e-115,4.782791821602884e-113,3.4670585692803464e-85,5.8873653924423311e-73,6.8090383153776827e-114
1.475157678036216e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999993,0.099999999999999978,0.10000000000000001,4.020231853709757e-124,3.2191532140041061e-65,1.8010901428029498e-53,9.5312854117033113e-95,7.0463496748737274e-56,3.4167169684047904e-155,4.8743338289693459e-36,6.1287893546599087e-138,4.8742976739413758e-36,3.7278233166666173e-89,8.9446545223950204e-68,8.8260750720360714e-132,2.694836515733604e-133,1.1551919431458703e-56,6.3725455616009722e-108,3.7894429037012436e-17,1.6579874780208037e-17,2.4603697454468986e-23,7.1365771237361496e-36,2.4603697454463373e-23,1.8608970300514271e-51,7.5980821203722862e-37,3.2434999717813102e-44,2.4057254449420155e-52,1.7559267556116813e-79,2.6608050346312429e-112,1.4518829553997471e-110,1.3043940860462151e-83,1.0914183225714323e-71,2.194178617961828e-111
3.037089337133386e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999987,0.099999999999999936,0.099999999999999992,2.3031204550192376e-121,5.4407720646211704e-64,7.5499271034939917e-53,1.3260943737274979e-92,6.0283004980103769e-55,3.9906919913659375e-152,1.0035469680613745e-35,4.343891743760109e-136,1.00353187404891e-35,6.4071758183794699e-88,1.5449666308993692e-66,2.4566955421003028e-129,7.5009357914046871e-131,9.7100843375008499e-56,2.1954385675351908e-106,7.8017942135025007e-17,3.4135036312192997e-17,5.0654671229802548e-23,2.97938046535777e-35,5.0654671229779103e-23,1.5641960812154155e-50,3.1720495794845084e-36,2.726357031377336e-43,4.0570221413413844e-51,1.2207842396793566e-77,7.620158439577074e-110,4.0412398902507864e-108,4.5167025864685377e-82,1.8758692379146152e-70,6.2838082767751708e-109
6.160952655327726e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999976,0.099999999999999853,0.099999999999999978,1.2464259307783352e-118,8.9455418939715964e-63,3.109504326132654e-52,1.7689101610454739e-90,4.9843154276614414e-54,4.3613597979686226e-149,2.0357977513310829e-35,2.9232706376126885e-134,2.0357360873651101e-35,1.0619424038932878e-86,2.5669851641705187e-65,6.5551354737376828e-127,2.0014483597070744e-128,7.9609137984665584e-55,7.2858601578874421e-105,1.5826496833104825e-16,6.9245359376162881e-17,1.027566187805112e-22,1.2171741348890432e-34,1.0275661878041542e-22,1.2824224521266806e-49,1.2958856425065177e-35,2.2352319999684681e-42,6.6631921155202608e-50,8.1396361249843974e-76,2.0617659111664148e-107,1.0783098501911873e-105,1.5027354002922437e-80,3.1091156921057112e-69,1.70019321491001e-106
1.2408679291716406e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999954,0.099999999999999686,0.099999999999999936,6.5598909736929801e-116,1.4508398594197649e-61,1.2772140309053608e-51,2.3111531869579743e-88,4.0531625283665364e-53,4.6129968954449143e-146,4.100393769633814e-35,1.9181049787744619e-132,4.1001445140241337e-35,1.7290979141418806e-85,4.1848336912023021e-64,1.7130568626491579e-124,5.230361560449965e-126,6.4469543946231986e-54,2.373991456272796e-103,3.1875902072308741e-16,1.3946600550410249e-16,2.0696051388209475e-22,4.920012462619461e-34,2.0696051388170749e-22,1.038538950778937e-48,5.2381760546721308e-35,1.8101484794120495e-41,1.0800932848404315e-48,5.3165412932177915e-74,5.4252124844779613e-105,2.8179345039495801e-103,4.9026821831905105e-79,5.0623889189618372e-68,4.4737908287660649e-104
2.4904132564493765e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999907,0.099999999999999367,0.099999999999999867,3.4050746063260189e-113,2.3371178876138981e-60,5.2988949513104987e-51,2.9887048322983172e-86,3.2690224150368916e-52,4.800589848833948e-143,8.2299636132925371e-35,1.242955563168507e-130,8.2289613674486697e-35,2.7907710046337335e-84,6.7585175895540676e-63,4.4307674751002429e-122,1.3527991488149469e-123,5.1890697691435531e-53,7.6654745555463691e-102,6.3974712550713591e-16,2.7990729775998084e-16,4.153683040859264e-22,1.9783153722160977e-33,4.1536830408436934e-22,8.3590649843263131e-48,2.1062468241404443e-34,1.4569644178554549e-40,1.7394251944652522e-47,3.4373111271612821e-72,1.4080084639895663e-102,7.2884051213233299e-101,1.5840573524394956e-77,8.1707161252493809e-67,1.1610854558314966e-101
4.9895039110048485e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999815,0.099999999999998729,0.099999999999999728,1.7553810238319764e-110,3.7520605773782079e-59,2.2560539679395305e-50,3.845137644577083e-84,2.6258565808437417e-51,4.9555889969584696e-140,1.6490614528823028e-34,8.0049566664104564e-129,1.6486595074723694e-34,4.4846940842126567e-83,1.0864119635131065e-61,1.1401386110982767e-119,3.4809747707973521e-121,4.1639016935295998e-52,2.463998299909302e-100,1.2817233350751142e-15,5.6078988227173453e-16,8.3218388449624864e-22,7.9339294657447883e-33,8.3218388449000403e-22,6.7076232143812462e-47,8.4469859586145473e-34,1.1691212938219236e-39,2.7921356487400439e-46,2.2110589684562119e-70,3.629228018452373e-100,1.8754265456814528e-98,5.0934392265748639e-76,1.3130121464579617e-65,2.992768807171696e-99
