Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CO2X(24),C2H4(47),COX(50),CH4OX(60),C2H6X(52),C2H4X(210),C2H4X(65),acetyl(43),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.71755426940278e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,-6.836622679676919e-124,1.7267846398030866e-65,3.3713605452690201e-36,1.4307053163772452e-89,2.2281348030207179e-54,5.5231193872160827e-133,5.9287760584312905e-20,-9.8125540311711924e-106,5.9287760584312869e-20,3.4267782340249331e-72,4.4488342658269027e-70,3.4199292787326135e-113,3.965399010642699e-114,9.1102458540223694e-51,1.7138863064641745e-85,3.2378664357240685e-18,9.5867470402928194e-20,3.8378963072884535e-22,1.0226186750065311e-37,3.7865834473623911e-37,3.8378963072852251e-22,4.0120955614080979e-54,1.4875040917744151e-34,1.257946808057217e-43,5.0284831149580741e-49,7.2053735550224313e-80,2.5949348045691703e-52,-2.6282329970161632e-111,3.0313674505530691e-98,6.0228155261136474e-107,8.5889677016377491e-87,4.4405347758148879e-71,6.2546251061329768e-115,3.5362642423125386e-102,-5.8438615685105182e-125,-1.5366333923296472e-110
1.8809151954327785e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,1.2387090315268751e-121,3.8630397122919354e-64,2.0363017693427813e-35,1.5811616485904061e-87,3.3671572691127599e-53,1.9931424598409051e-130,1.6600572963607622e-19,1.8943270840999459e-104,1.6600572963607601e-19,9.6640627793054306e-71,1.3987846691047586e-68,6.8374380297629216e-111,7.927991425766023e-112,1.081568387789178e-49,8.8715690088347712e-84,9.0660260200273917e-18,2.68428917128199e-19,1.0746109660412697e-21,6.1766167970372182e-37,2.2870964022044025e-36,1.0746109660393203e-21,4.7631598504843837e-53,8.984524706977307e-34,1.4934344486626224e-42,5.9705607237999717e-48,4.3839187944647971e-78,3.080706599984915e-51,2.6601700389994687e-109,2.8547352110514997e-96,1.2041368276381686e-104,4.9468056221569142e-85,1.2523018391173019e-69,1.0664869415303363e-112,3.3302125895972158e-100,1.0791700325528474e-122,1.5553058333008388e-108
4.2992347324177797e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,5.2304871611062912e-119,7.6329732679859951e-63,9.8039164656466994e-35,1.4308932725671622e-85,3.6222341348112581e-52,7.2185869009955781e-128,3.794416677396031e-19,2.0002094005100918e-102,3.7944166773960208e-19,2.1021447413494347e-69,3.1206116493511792e-67,1.2381737215897277e-108,1.4356591760883364e-109,1.0618902567437371e-48,3.8736742211852783e-82,2.0722345188634013e-17,6.1355181057874052e-19,2.4562536366681293e-21,2.9737751069156424e-36,1.1011384664892589e-35,2.4562536366587427e-21,4.6764985863174124e-52,4.325661887869754e-33,1.4662627936964826e-41,5.8635111849264787e-47,1.9796358532260113e-76,3.0246560082070495e-50,5.5722700416236052e-107,2.4950533072534886e-94,2.180539802606372e-102,2.2183552709467594e-83,2.7240300335384128e-68,1.8639619018758819e-110,2.9106229895823585e-98,4.4994671618264756e-120,3.2579060632734412e-106
9.135873806387781e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,1.6832773989060777e-116,1.3582678741979516e-61,4.2816278924961918e-34,1.0834945438897654e-83,3.3294572256154965e-51,2.1899488089183681e-125,8.063135439466579e-19,1.5809988299592102e-100,8.0631354394665386e-19,3.8970220704244309e-68,5.8445602544021133e-66,1.8771555404209355e-106,2.1765569156855411e-107,9.3922990656395787e-48,1.4420717877185424e-80,4.4034983525847195e-17,1.3037975974798236e-18,5.2195389779298923e-21,1.298725717254832e-35,4.8089609781117468e-35,5.2195389778888978e-21,4.1363100398635712e-51,1.8891301851762527e-32,1.296892829107147e-40,5.1890186110475564e-46,7.4787138979500165e-75,2.6752739861212047e-49,8.9597079472433769e-105,1.8613871816153032e-92,3.3058465869309091e-100,8.3460069625368281e-82,5.0498925941633257e-67,2.7838737965162908e-108,2.1714150580142952e-96,1.4490296566453324e-117,5.2384192835873302e-104
1.8809151954327786e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,4.8201823831392512e-114,2.2909344414316141e-60,1.7874953611057157e-33,7.5352643688915118e-82,2.8484207536092082e-50,6.0975038856689491e-123,1.6600572963607718e-18,1.1205559805768726e-98,1.6600572963607545e-18,6.6979852455125756e-67,1.0095024399924209e-64,2.6125203979099206e-104,3.0292105352909458e-105,7.8947932931197963e-47,4.9681559578345557e-79,9.0660260200273276e-17,2.6842891712819895e-18,1.074610966048559e-20,5.4219242148534575e-35,2.0076465437568974e-34,1.0746109660314449e-20,3.4768178197591752e-50,7.8867465921926598e-32,1.0901165547106664e-39,4.3664089355147606e-45,2.5974803256802262e-73,2.2487289826874358e-48,1.282342268421397e-102,1.2839744113313672e-90,4.6008929226352648e-98,2.8899572327658656e-80,8.6794751160996378e-66,3.8427247115159886e-106,1.4978298964133153e-94,4.1511281913603011e-115,7.4973944500756858e-102
3.8155708250207796e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996514,0.022821567693054285,1.3061591279220504e-111,3.7628805630801322e-59,7.3025017955090616e-33,5.0328388218031595e-80,2.355129362137427e-49,1.6297558664664686e-120,3.3675448011890167e-18,7.5408280518249174e-97,3.3675448011889466e-18,1.1101419337409173e-65,1.6773034024117938e-63,3.4908795190478834e-102,4.0476656277692771e-103,6.4726285249824687e-46,1.6487498254959432e-77,1.8391081354912435e-16,5.4452723188863193e-18,2.1799251025725685e-20,2.2150329547847513e-34,8.201891210031522e-34,2.1799251025026512e-20,2.8505053089226824e-49,3.2219932762523768e-31,8.9374339425438964e-39,3.5875962944539008e-44,8.6691263874173251e-72,1.8436438824938423e-47,1.7370814860410652e-100,8.5269380119934707e-89,6.1477655391327579e-96,9.6150697454663666e-79,1.4385593482315576e-64,5.1053967960738695e-104,9.9471629288428251e-93,1.1250910440680496e-112,1.0156091240881193e-99
7.6848820841967815e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996495,0.022821567693054282,3.4504315409730931e-109,6.0998027036523514e-58,2.9517879827176229e-32,3.3005033225185679e-78,1.9151520842898541e-48,4.2760348237690714e-118,6.7825198108455718e-18,4.9478131044673336e-95,6.7825198108452945e-18,1.8075783535783713e-64,2.734427875381131e-62,4.5792359765800821e-100,5.3096120798447635e-101,5.2417023936974132e-45,5.3722112618151553e-76,3.7041192024682214e-16,1.0967238614094973e-17,4.3905533756720646e-20,8.9535173564290523e-34,3.3153355639299717e-33,4.3905533753894482e-20,2.3084131031812887e-48,1.3023811612315434e-30,7.2377654116332885e-38,2.9178818124973458e-43,2.8417807205450541e-70,1.4930306157457207e-46,2.2941723679123513e-98,5.5583537182933274e-87,8.0644631180582115e-94,3.1369215843653872e-77,2.3423209764197043e-63,6.6569443809834898e-102,6.4841388385287749e-91,2.9723788403500398e-110,1.3413201414445773e-97
1.5423504602548784e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.11866996602996457,0.022821567693054275,9.0289447216475654e-107,9.8235531599600157e-57,1.186900965427193e-31,2.1515974669965313e-76,1.5446395371262958e-47,1.1150965630772752e-115,1.3612469830158954e-17,3.2061092577223142e-93,1.3612469830157836e-17,2.9174387502698088e-63,4.4161083225401008e-61,5.9706843519738455e-98,6.9229928139836421e-99,4.2189781041525328e-44,1.7346544624197929e-74,7.4341413364220021e-16,2.2011171204512257e-17,8.8118099220769675e-20,3.600169949931372e-33,1.3330818487820169e-32,8.8118099209405834e-20,1.858011692318012e-47,5.2368170768249252e-30,5.8255827697153605e-37,2.3687732460419683e-42,9.2619247497208517e-69,1.2017209302908345e-45,3.0015385231756764e-96,3.590035072189197e-85,1.0514933929465369e-91,1.0135398366277587e-75,3.7805154994614627e-62,8.5998076894216586e-100,4.1879820764303214e-89,7.7781566688544737e-108,1.7548917061025628e-95
3.090074963925279e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999838,0.11866996602996381,0.022821567693054264,2.3659488518789289e-104,1.5768985577586141e-55,4.7600037258877537e-31,1.407017290979922e-74,1.2407384773176149e-46,2.9167257484739302e-113,2.7272369868786793e-17,2.0646446118280059e-91,2.7272369868782312e-17,4.6882457508864483e-62,7.0987651503509047e-60,7.8087636336586224e-96,9.0542409098178592e-97,3.3854642264663134e-43,5.5758917666509591e-73,1.4894185604328864e-15,4.4099036385346732e-17,1.7654323015710417e-19,1.443829171387801e-32,5.3462544482538692e-32,1.7654323011153002e-19,1.4909373687559513e-46,2.1001976362191352e-29,4.6746624799635867e-36,1.9332228603771207e-41,3.0285223169279118e-67,9.6430536483491251e-45,3.9326437098109973e-94,2.3081360772444812e-83,1.3751963564262249e-89,3.2589751577268158e-74,6.0751869169358552e-61,1.1058523221840994e-97,2.6925732609482157e-87,2.0381156225926906e-105,2.2992754290857522e-93
6.185523971266081e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999683,0.1186699660299623,0.022821567693054243,6.2769538787152012e-102,2.5271499496011082e-54,1.9064842951898468e-30,9.3234935900932271e-73,9.9460546218140091e-46,7.7298211661914491e-111,5.4592169946046796e-17,1.3254623956631978e-89,5.4592169946028831e-17,7.5175054375063151e-61,1.1384487040229802e-58,1.0347795305523671e-93,1.1998241458943826e-94,2.7124911313225411e-42,1.7882947699099257e-71,2.9814274140139784e-15,8.82747667470153e-17,3.5339349206271897e-19,5.7828476579500384e-32,2.1412903701806327e-31,3.5339349188018463e-19,1.1945642060864838e-45,8.4117432434900279e-29,3.7454172531968351e-35,1.6009001537995677e-40,1.0036183205078837e-65,7.7261774910727607e-44,5.2169738085973175e-92,1.4805799764879085e-81,1.8223435953525791e-87,1.0453827249503187e-72,9.7414370127168446e-60,1.4187485793914711e-95,1.7271815247474442e-85,5.4066117758874256e-103,3.05017702875486e-91
1.2376421985947684e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999377,0.11866996602995926,0.022821567693054198,1.7120000395854169e-99,4.0467330054432411e-53,7.6309056228204661e-30,6.3538346117310172e-71,7.9649103025952391e-45,2.1064467895607893e-108,1.0923177010058402e-16,8.4960704629286614e-88,1.0923177010051215e-16,1.2041073386652821e-59,1.8236377270448799e-57,1.4100811339563942e-91,1.6349853682881955e-92,2.1716422153896973e-41,5.7289661582448977e-70,5.9654451211750407e-15,1.7662622747035107e-16,7.0709401600573202e-19,2.3146461163166385e-31,8.5707418394014261e-31,7.0709401527511894e-19,9.5637770889118727e-45,3.3668879607035888e-28,2.9986090973749908e-34,1.3649076025458115e-39,3.4212103612617061e-64,6.1856398399774848e-43,7.1152196806875114e-90,9.4865187315090322e-80,2.4832848403307768e-85,3.3492474419180373e-71,1.560322888211689e-58,1.8180857281148279e-93,1.1066568239159046e-83,1.4743017118371121e-100,4.1600130164736721e-89
2.4758218015310887e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998761,0.11866996602995318,0.022821567693054112,4.9110731715763172e-97,6.4774085714952792e-52,3.0533562210936697e-29,4.5548276348239178e-69,6.3751564609329431e-44,6.0368447546133823e-106,2.185109704097275e-16,5.4416844416914852e-86,2.1851097040943991e-16,1.9276175126924817e-58,2.9195173135996014e-56,2.0209343172117943e-89,2.343268027661156e-90,1.7379737780740126e-40,1.8342974613489721e-68,1.1933480535492681e-14,3.5332914891701666e-16,1.4144950644188921e-18,9.2615994277968308e-31,3.4294131225218642e-30,1.4144950614954864e-18,7.653928263726414e-44,1.3471925411597577e-27,2.3997952884147715e-33,1.2255337225696874e-38,1.2271704186158494e-62,4.9503918149128973e-42,1.0207269929022309e-87,6.074832372347972e-78,3.5590544573851068e-83,1.072403267047373e-69,2.4978717663395952e-57,2.32848661833382e-91,7.0866399392139683e-82,4.2276424218116041e-98,5.9678232065043347e-87
4.95218100740373e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997534,0.11866996602994102,0.022821567693053935,1.5264998625715106e-94,1.0365962784008185e-50,1.2215413114371783e-28,3.5380501298380473e-67,5.1014167714998394e-43,1.874175957589049e-103,4.3706937102829053e-16,3.4840224385200162e-84,4.3706937102713993e-16,3.0850248750567802e-57,4.6725857010490752e-55,3.1379025341752188e-87,3.6383897357845266e-88,1.3906430804169346e-39,5.8713976417442131e-67,2.386955136411003e-14,7.0673499181032458e-16,2.8292971633537548e-18,3.7052428473306336e-30,1.3719885557303094e-29,2.8292971516582189e-18,6.1243054550790523e-43,5.3896377974986924e-27,1.9201955177374538e-32,1.1937613032278885e-37,4.7713414635103381e-61,3.9610655906593181e-41,1.5867813760295088e-85,3.8890003886573429e-76,5.5261399985599959e-81,3.4327213409349396e-68,3.9976792510688386e-56,2.98131875154421e-89,4.5367411196276077e-80,1.3133499999416911e-95,9.277338220037531e-85
9.904899419149011e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995075,0.11866996602991671,0.022821567693053581,5.2848631109215687e-92,1.6587227707698199e-49,4.8865629223650303e-28,3.0610443943884926e-65,4.0816501210848991e-42,6.479560877477958e-101,8.7418617226652036e-16,2.2302046637784605e-82,8.7418617226191804e-16,4.9367093782078282e-56,7.4772236805500185e-54,5.4261003722187469e-85,6.2915491011473021e-86,1.1126200975709057e-38,1.879110606689761e-65,4.7741693021272983e-14,1.4135466775968473e-15,5.6589013696577006e-18,1.4822177610093327e-29,5.4884008486676929e-29,5.658901322871673e-18,4.8999094851289185e-42,2.1560228934221284e-26,1.5362937524473157e-31,1.2961663560765343e-36,2.0667813781302893e-59,3.1691533615162392e-40,2.7476872207532931e-83,2.4893147566378476e-74,9.5558704522154604e-79,1.098635791927071e-66,6.3971544646529779e-55,3.8166358491597495e-87,2.9039270991103606e-78,4.5438764838997368e-93,1.606473186895865e-82
1.9810336242639574e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990157,0.11866996602986808,0.022821567693052873,2.0577431275372378e-89,2.6540913538266727e-48,1.9547047089391695e-27,2.9785953005778495e-63,3.2655267905630166e-41,2.5195775406457408e-98,1.7484197747473964e-15,1.427468696727267e-80,1.748419774728986e-15,7.8992707024110072e-55,1.1964427147912541e-52,1.0553090574562395e-82,1.2236280708768386e-83,8.901383316405117e-38,6.0135753431952567e-64,9.5485976335311926e-14,2.8271700491695189e-15,1.1318109816002877e-17,5.9291122827390988e-29,2.1954496521939223e-28,1.1318109628850538e-17,3.9201135404384828e-41,8.6243810184110647e-26,1.229079713121019e-30,1.5827060445266268e-35,1.0068600512145124e-57,2.5354430534054746e-39,5.3509899845442748e-81,1.5932748924942567e-72,1.8584979667294006e-76,3.5158984470261109e-65,1.0236141321377159e-53,4.8856445273527874e-85,1.858644700094405e-76,1.7680746467414471e-90,3.128528458816218e-80
3.96212098896207e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998032,0.11866996602977084,0.022821567693051461,8.8760980222404631e-87,4.2466538881026627e-47,7.8189779332782132e-27,3.2111774581932241e-61,2.6125041116914416e-40,1.0857063383511601e-95,3.4968869797268128e-15,9.1362403542863661e-79,3.4968869796531699e-15,1.2639261686177243e-53,1.9143778682751888e-51,2.2742782138097844e-80,2.6370195783902944e-81,7.1212756404848616e-37,1.9244115312436001e-62,1.9097454296224185e-13,5.6544167923133684e-15,2.2636526843645604e-17,2.3716931504610896e-28,8.7819771125847021e-28,2.2636526095016097e-17,3.1361650456248389e-40,3.4497734051229679e-25,9.8326529244283952e-30,2.1393454637312822e-34,5.4328908892570924e-56,2.0284025931567639e-38,1.1543670049589341e-78,1.01973223193715e-70,4.0052165727321947e-74,1.1251296984302135e-63,1.6378381470385147e-52,6.2538493886311396e-83,1.1895736913055255e-74,7.6227236991589219e-88,6.7491556744717049e-78
