Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),CHOX(50),COX(47),CO2X(24),C2H6X(49),CH4OX(57)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0846747632619236e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-2.1859313463392707e-132,3.7504409952499931e-69,1.4131641706787099e-55,1.6882609893097064e-101,4.7155448356850098e-59,2.4492962005411184e-164,3.5840442026083095e-37,-3.8217471444262731e-143,3.5840413557568206e-37,3.277994640320777e-93,7.3180674508620517e-74,2.1641595948721294e-139,6.6077716096190618e-141,1.2043451358550484e-61,7.5736985683023204e-113,2.7863550762509331e-18,1.2191084397211798e-18,1.809093839586256e-24,5.6193520659246207e-38,1.8090938395862119e-24,5.982739178922869e-39,3.1460953596261463e-47,3.0646420597644842e-56,2.2542324253324909e-85,1.8050138027162442e-54,-8.6033056798494346e-119,3.5600345019703708e-118,-1.043290827785256e-119,9.5971888213876513e-76,1.4428111778732798e-90
3.037089337133386e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,7.449826641035319e-130,8.3969114807764889e-68,8.5396276011510493e-55,3.4698576552842417e-99,7.1261313556902687e-58,1.4287797508149491e-161,1.0035332991104692e-36,7.3415913588277337e-142,1.0035315796121695e-36,9.2444693648509048e-92,2.3009175760721765e-72,8.0279837139380022e-137,2.4511615869581828e-138,1.429798545284832e-60,3.9203645014736541e-111,7.8017942135026057e-18,3.4135036312193031e-18,5.0654627508416797e-24,3.3940886478125569e-37,5.0654627508414123e-24,3.6135744457214823e-38,3.735044390370801e-46,6.848438242217681e-55,2.5614155501077278e-83,2.1429123865813026e-53,1.6337098976925628e-116,1.3205994902687823e-115,1.9811391295204368e-117,2.7065608026535764e-74,8.3098539507020254e-89
6.941918484876311e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999992,0.10000000000000001,6.2356170342207925e-127,1.6597358612201593e-66,4.115649623735039e-54,6.2829550420680728e-97,7.6659669284808498e-57,2.5515383907205359e-158,2.2937947463303159e-36,7.7538276459941161e-140,2.2937864676861843e-36,2.0108740113252272e-90,5.133220544531199e-71,2.9074845553415984e-134,8.8773368586346642e-136,1.4037846903455704e-59,1.7117845687233713e-109,1.7832672488005919e-17,7.8022940142155496e-18,1.1578200573353173e-23,1.6341075807620068e-36,1.1578200573351887e-23,1.7397805257088731e-37,3.6670886873904186e-45,1.3523441755139703e-53,2.3174771119753234e-81,2.1039240884354397e-52,6.8090511775747903e-114,4.7827962843548204e-113,8.2570826954410754e-115,5.8873609326037918e-73,3.7264873040308211e-87
1.475157678036216e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999993,0.099999999999999978,0.10000000000000001,4.0202272230989904e-124,2.9539405141780974e-65,1.8010896125930204e-53,9.531294305165539e-95,7.0463443370732429e-56,3.4167150106890357e-155,4.8743323988522913e-36,6.1287846019203876e-138,4.8742962438383751e-36,3.7278215195551935e-89,9.6139539757835563e-70,8.8260806885180995e-132,2.6948390302346457e-133,1.2416316612462648e-58,6.372544753798558e-108,3.7894429037012436e-17,1.6579874780208037e-17,2.4603676218378763e-23,7.1365771236325827e-36,2.4603676218373147e-23,7.5980784728391142e-37,3.2434983380015599e-44,2.4057242331661613e-52,1.7559258711427476e-79,1.8608970300260487e-51,2.1941827627318764e-111,1.4518843101243035e-110,2.6608036943634593e-112,1.0914174957925294e-71,1.4019976599584928e-85
3.037089337133386e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999987,0.099999999999999936,0.099999999999999992,2.3031178022119793e-121,4.9826831499745317e-64,7.5499248733798146e-53,1.3260956110784347e-92,6.0282959314096796e-55,3.9906896577306662e-152,1.0035466736225368e-35,4.3438883751668342e-136,1.0035315796159393e-35,6.4071727296040953e-88,1.660571467146996e-68,2.4566971054142589e-129,7.500942790371112e-131,1.0436662251828586e-57,2.1954382892350107e-106,7.8017942135025007e-17,3.4135036312192997e-17,5.065462750844032e-23,2.9793804652707164e-35,5.0654627508416881e-23,3.1720480567112788e-36,2.7263556580870795e-43,4.057020097791213e-51,1.2207836247619093e-77,1.5641960811726114e-50,6.2838201467809359e-109,4.0412436610472691e-108,7.6201546012074199e-110,1.8758678168929235e-70,4.8546727745929832e-84
6.160952655327726e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999976,0.099999999999999853,0.099999999999999978,1.2464244950967675e-118,8.18442036654792e-63,3.1095034014996075e-52,1.7689118115768002e-90,4.9843116519076773e-54,4.3613572236154161e-149,2.0357971540288016e-35,2.9232683706771705e-134,2.0357354900867984e-35,1.0619418919514216e-86,2.7590643285340309e-67,6.5551396450702672e-127,2.0014502272147083e-128,8.5566062703859216e-57,7.2858592343106108e-105,1.5826496833104825e-16,6.9245359376162881e-17,1.0275653008860498e-22,1.2171741348176714e-34,1.027565300885092e-22,1.2958850204040231e-35,2.2352308740622569e-42,6.6631887592177068e-50,8.1396320249854433e-76,1.2824224520563744e-49,1.700196426544064e-106,1.0783108563384939e-105,2.0617648726147414e-107,3.1091133368664724e-69,1.6151802106402122e-82
1.2408679291716406e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999954,0.099999999999999686,0.099999999999999936,6.5598834176761842e-116,1.3267578451018013e-61,1.2772136461923573e-51,2.3111553434432446e-88,4.0531594579862813e-53,4.6129941603233712e-146,4.100392566567931e-35,1.9181034913201538e-132,4.1001433110551389e-35,1.7290970805772637e-85,4.4979712071367553e-66,1.7130579527395429e-124,5.230366440783191e-126,6.9293616023729913e-56,2.3739911553387329e-103,3.1875902072308741e-16,1.3946600550410249e-16,2.0696033524910049e-22,4.9200124620414741e-34,2.0696033524871326e-22,5.238173540034834e-35,1.810147567624188e-41,1.0800927407883796e-48,5.3165386152313668e-74,1.0385389506649677e-48,4.4737992796733471e-104,2.8179371333011511e-103,5.4252097516258141e-105,5.0623850840652924e-68,5.2695339707602069e-81
2.4904132564493765e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999907,0.099999999999999367,0.099999999999999867,3.4050706841061809e-113,2.1367251063653847e-60,5.2988933162441479e-51,2.9887076209911199e-86,3.2690199386639838e-52,4.8005869962292127e-143,8.2299611985525903e-35,1.2429545992748987e-130,8.2289589530983083e-35,2.7907696592570812e-84,7.2642355133939995e-65,4.4307702945565499e-122,1.3528004110812007e-123,5.5773530578061491e-55,7.6654735838485148e-102,6.3974712550713591e-16,2.7990729775998084e-16,4.1536794557075612e-22,1.9783153717508838e-33,4.1536794556919916e-22,2.1062458130162119e-34,1.4569636839695483e-40,1.7394243183017686e-47,3.4373093957580137e-72,8.3590649824908724e-48,1.1610876490999463e-101,7.2884119219691172e-101,1.4080077546972359e-102,8.1707099357108959e-67,1.7025872201132038e-79
4.9895039110048485e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999815,0.099999999999998729,0.099999999999999728,1.7553790017694952e-110,3.4299350363191695e-59,2.2560532414987306e-50,3.8451412323875091e-84,2.6258545916863515e-51,4.9555860490492649e-140,1.6490609690147526e-34,8.0049504586213332e-129,1.6486590237610602e-34,4.484691922228496e-83,1.1677046424985633e-63,1.1401393365953748e-119,3.4809780188156906e-121,4.475474578470161e-54,2.4639979875657097e-100,1.2817233350751142e-15,5.6078988227173453e-16,8.321831662167264e-22,7.9339294620117374e-33,8.321831662104818e-22,8.4469819035570632e-34,1.1691207049251653e-39,2.7921342423169074e-46,2.2110578547264837e-70,6.7076232114349586e-47,2.9927744604549944e-99,1.8754282955992814e-98,3.6292261900357665e-100,1.3130111518157437e-65,5.4745647424259062e-78
