Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),H2OX(23),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),CO2X(24),H2X(49),CH4OX(60)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.326656734914361e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-1.7822947072964076e-127,9.4139578057841939e-66,8.3315397843988702e-42,2.6476409066616606e-93,4.1370250362354285e-57,1.3172180643714579e-142,7.4501587477868786e-25,-9.3267403738287951e-118,7.4501587477855755e-25,1.3641892693056899e-79,1.6823722462388586e-70,5.8120607926884373e-121,3.5119160032793305e-122,1.5545095745481447e-53,8.9552046556508859e-95,2.9546266505694328e-18,1.4206107501034383e-19,5.4758013950261527e-23,6.6436973538853317e-38,2.4629459258939326e-54,5.4758013950268451e-23,3.4241550390073445e-36,3.0924288004211779e-45,1.467113106443039e-52,4.8538186997550631e-83,5.1447064983505094e-111,-1.9733568202664304e-115,5.8518098353062268e-58,2.9638793351039892e-87
2.051463885776021e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,3.2683505635521464e-125,2.1059525847933375e-64,5.032250029861308e-41,2.9606109023896216e-91,6.2518722347282643e-56,4.8091513715272776e-140,2.0860444493807473e-24,1.800246958335902e-116,2.0860444493799612e-24,3.8472320097068976e-78,5.289647542455924e-69,1.1756478534337342e-118,7.1038081980985157e-120,1.8455137669011811e-52,4.6354718396374334e-93,8.2729546215944087e-18,3.9777101002896271e-19,1.5332243906072097e-22,4.0127932017410985e-37,2.9240094032076304e-53,1.5332243906076274e-22,2.0681896417568047e-35,3.6713314667966681e-44,1.7630700449708626e-51,2.9883535681926923e-81,1.0406572413918137e-108,2.0213619627000191e-113,6.9472686365822158e-57,1.7070427529675646e-85
4.6890603103451914e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,1.4146606488916538e-122,4.1610851244172668e-63,2.4228117694297739e-40,2.7469150125212162e-89,6.7254788608701949e-55,1.7855245058379165e-137,4.7681015985865525e-24,1.9008858217128408e-114,4.7681015985827681e-24,8.3685699616962722e-77,1.1800912685529801e-67,2.182551363060874e-116,1.3187985007924288e-117,1.8119363600859495e-51,2.0240284190035731e-91,1.8909610563644344e-17,9.0919088006620048e-19,3.5045128928159469e-22,1.9319871905013905e-36,2.8708097711796639e-52,3.5045128928179574e-22,9.9574428263788826e-35,3.604534994074525e-43,1.7761384681837549e-50,1.3837606585735447e-79,1.9319457557256114e-106,4.340815688921862e-111,6.8208695443635882e-56,7.6550961962636454e-84
9.964253159483531e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,4.7780625289301252e-120,7.4044921454986359e-62,1.058105552749458e-39,2.1827928500339059e-87,6.18187377110815e-54,5.6830510541296937e-135,1.0132215897004907e-23,1.5024919316084214e-112,1.0132215896988375e-23,1.5513918333714345e-75,2.2101803427674802e-66,3.471801600430557e-114,2.0978231363476947e-115,1.6026371909606813e-50,7.534950319518797e-90,4.0182922447744138e-17,1.9320306201406762e-18,7.4470898972316124e-22,8.4374956393468998e-36,2.5391987316707678e-51,7.4470898972403891e-22,4.3486768715830363e-34,3.1881703631197782e-42,1.6512849331731715e-49,5.4878783538122055e-78,3.0731612919338703e-104,7.3258444875083979e-109,6.0329818685016714e-55,2.8800385128044427e-82
2.0514638857760212e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,1.4971792229989606e-117,1.2488809940114659e-60,4.4173823948654884e-39,1.6608482964659972e-85,5.2887231619846089e-53,1.7303928588159827e-132,2.0860444493868587e-23,1.0649130723264065e-110,2.0860444493799571e-23,2.6664461792361121e-74,3.817536909051803e-65,5.2847690288815097e-112,3.1933019264882901e-113,1.347113125122155e-49,2.5959046312022304e-88,8.2729546215943406e-17,3.9777101002896277e-18,1.5332243906055707e-21,3.5224883369512755e-35,2.1343495320836822e-50,1.5332243906092352e-21,1.8154869765210311e-33,2.6798492597809019e-41,1.5231088931619849e-48,2.0866342255683233e-76,4.6779595971381008e-102,1.1474907400315727e-106,5.071084775578779e-54,9.9726589830194348e-81
4.161541025431357e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,4.7536747503002238e-115,2.0512949616572696e-59,1.804644844456634e-38,1.2994567976949557e-83,4.3728185841970175e-52,5.4140278577698913e-130,4.2316901687703863e-23,7.166376787845068e-109,4.2316901687421885e-23,4.419438994163962e-73,6.342894670329874e-64,8.2681849868338705e-110,4.9960198643912746e-111,1.104444729097323e-48,8.614861014911749e-87,1.678227937523407e-16,8.069069060587526e-18,3.110255192367494e-21,1.4390514215743207e-34,1.7498686982275779e-49,3.1102551923824658e-21,7.4168565676645168e-33,2.1971022802057493e-40,1.4702961115265219e-47,8.1659607532862992e-75,7.3188128180020461e-100,1.8217681372055628e-104,4.1575816821655122e-53,3.3179664592348661e-79
8.381695304742029e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,1.6215085483970099e-112,3.325240892007173e-58,7.2946630033495232e-38,1.1000286694907643e-81,3.5559034507195527e-51,1.8319219955650551e-127,8.5229816075805986e-23,4.7021219339393428e-107,8.5229816074666203e-23,7.1959107371754261e-72,1.0340519176092162e-62,1.3991734573700567e-107,8.454453302481371e-109,8.9440797624628247e-48,2.8070270363492771e-85,3.3800928882513025e-16,1.6251786981183313e-17,6.264316795879762e-21,5.8168759302512733e-34,1.4170890400046297e-48,6.2643167959402798e-21,2.9980119208609589e-32,1.7792703049811706e-39,1.5495416391595239e-46,3.4597534675453446e-73,1.2385171171204968e-97,3.1077623355408965e-102,3.3669174405978089e-52,1.0824883102967805e-77
1.6822003863363374e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996464,0.022821567693054271,6.1332746597088646e-110,5.3552006426514965e-57,2.9331519139067825e-37,1.0362210070029385e-79,2.8679649544282221e-50,6.8964220778123125e-125,1.7105564485373664e-22,3.0469050356415491e-105,1.7105564484915363e-22,1.161422894142619e-70,1.6699966088699061e-61,2.634442095496098e-105,1.5918517862900464e-106,7.1989735095392671e-47,9.0637202028431483e-84,6.7838227897068934e-16,3.2617222822374845e-17,1.2572440002857979e-20,2.3389402277799942e-33,1.1405965429860253e-47,1.2572440003101321e-20,1.2054873359702037e-31,1.4321113972284933e-38,1.8248888261058362e-45,1.6315085870560433e-71,2.3319493460263269e-95,5.8791742826655828e-100,2.7099880742813569e-51,3.4975213618151927e-76
3.370262098060606e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996396,0.022821567693054254,2.5733676499773793e-107,8.5962851869715288e-56,1.1763251085920762e-36,1.0847262452541415e-77,2.3037054179795806e-49,2.8853826090389663e-122,3.4270730241650359e-22,1.9621215495064858e-103,3.4270730239812366e-22,1.8663754116155525e-69,2.6844707741130403e-60,5.5125703547544946e-103,3.3309500259090262e-104,5.7767228648557996e-46,2.9134518689310462e-82,1.3591282592617271e-15,6.5348094504757748e-17,2.5188686416629141e-20,9.3801964281840374e-33,9.1525689289143021e-47,2.5188686417605046e-20,4.834542809750383e-31,1.1491789847996824e-37,2.3914676055389518e-44,8.5485696606894961e-70,4.8796042441697717e-93,1.2336988167109021e-97,2.1745947651628635e-50,1.1246065344226655e-74
6.746385521509144e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999714,0.1186699660299626,0.022821567693054223,1.1709403277084251e-104,1.3776472404143616e-54,4.7114361351008424e-36,1.2326175619748485e-75,1.8467050339754894e-48,1.3107649875501414e-119,6.8601061756965977e-22,1.2596445483847306e-101,6.8601061749604429e-22,2.9926945067556734e-68,4.3051604166281472e-59,1.2523559033294958e-100,7.5673137214996725e-102,4.6284079484185735e-45,9.3439954679169915e-81,2.7206202198434821e-15,1.3080983786952289e-16,5.042117924343037e-20,3.7569712543100551e-32,7.3331928379268036e-46,5.0421179247339081e-20,1.9363383475368961e-30,9.2074126367479109e-37,3.4017150774203849e-43,4.8607307080222878e-68,1.1085574939660885e-90,2.8073263391268289e-95,1.742322070434237e-49,3.6074047408658788e-73
