Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),C2H4X(210),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531594134e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.3160304571583555e-65,2.9700072472237876e-36,9.7814514000992356e-90,1.8423403516278772e-54,3.3265177517723347e-133,5.564692090377851e-20,-6.7087114750016905e-106,5.5646920903778486e-20,2.6594432099433098e-72,3.4526325387209316e-70,2.1945542579482795e-113,2.5445806558218798e-114,1.2288348051254888e-51,1.2484267722904504e-85,3.0390311159895404e-18,8.9980309981672622e-20,3.6022135345377288e-22,9.0087835689874827e-38,3.3357983340900282e-37,3.6022135345348851e-22,3.3174158812241442e-54,1.3104200329667921e-34,1.0401375652232156e-43,4.1577828226986977e-49,5.24848231882326e-80,2.1456307125142075e-52,2.0725052716257675e-98,3.8648165897559205e-107,4.0136043761945529e-115,-9.8605166074397183e-111
1.7654093888463576e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,2.9441337520656245e-64,1.7938843773234098e-35,1.0810011051135179e-87,2.7841447310804642e-53,1.2004402154522576e-130,1.5581137853057992e-19,1.2951259406939858e-104,1.558113785305797e-19,7.5000553413884307e-71,1.085562919315035e-68,4.3875226597896945e-111,5.0873225150994952e-112,1.4588726806427517e-50,6.4622165020627409e-84,8.5092871247707105e-18,2.5194486794868334e-19,1.008619789671007e-21,5.4413052756593628e-37,2.0148221937883244e-36,1.0086197896692893e-21,3.9384361341695251e-53,7.9149369930501859e-34,1.2348513159872434e-42,4.9366983864985526e-48,3.1932760521919035e-78,2.5472927818971735e-51,1.9517441974123134e-96,7.7268403376371104e-105,6.8436662863859064e-113,9.9802609326941139e-109
4.035221460220246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,5.8173122175779057e-63,8.6367810749304036e-35,9.782505052146332e-86,2.9950558533321017e-52,4.3475780787253095e-128,3.5614029378418286e-19,1.3675162602303914e-102,3.5614029378418209e-19,1.6314258579902999e-69,2.4218311567403527e-67,7.94512158104818e-109,9.2123503486081292e-110,1.432329848847359e-49,2.821656629160309e-82,1.9449799142333041e-17,5.7587398388270478e-19,2.305416662107247e-21,2.6197542618479405e-36,9.7005015555030016e-36,2.3054166620989775e-21,3.8667799510935401e-52,3.8107014467635726e-33,1.2123843415423288e-41,4.8481053782442298e-47,1.4419566291674277e-76,2.5009471585075108e-50,1.7058345032879427e-94,1.3992106863018108e-102,1.1961077765543346e-110,2.0905359638015097e-106
8.574845602968022e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,1.0351759745811602e-61,3.77190920397796e-34,7.4072238887791546e-84,2.7529723318478277e-51,1.3189099651457502e-125,7.5679812429138975e-19,1.0809076325253445e-100,7.5679812429138618e-19,3.0243885924929945e-68,4.5358217273301243e-66,1.204495502816114e-106,1.3966097877869117e-107,1.2668795306776602e-48,1.0504320156311991e-80,4.1330823177457633e-17,1.2237322157507477e-18,4.8990104069868111e-21,1.144115513247336e-35,4.236463884262508e-35,4.8990104069506985e-21,3.4201230767780641e-51,1.6642334324605053e-32,1.0723402148306391e-40,4.2902745910948337e-46,5.4472787595932174e-75,2.2120594393756437e-49,1.2726054668211258e-92,2.1212299420978724e-100,1.7864169294955885e-108,3.3612838627285995e-104
1.7654093888463574e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.745988889880505e-60,1.5746978424814268e-33,5.1510892592888403e-82,2.3552257899182316e-50,3.6720220065730223e-123,1.5581137853058073e-18,7.6610905026718948e-99,1.5581137853057924e-18,5.1981512558504939e-67,7.8345040546320081e-65,1.6762413961085079e-104,1.9435980748940764e-105,1.0648885807385326e-47,3.6188975620226867e-79,8.5092871247706566e-17,2.5194486794868328e-18,1.0086197896774283e-20,4.7764570481504879e-35,1.7686402767058876e-34,1.0086197896623519e-20,2.8748195237810945e-50,6.9478469301240439e-32,9.0136655474554203e-40,3.6099021431308981e-45,1.8918058508841841e-73,1.8593692453770326e-48,8.7783609519002772e-91,2.9520188587285882e-98,2.4658835069153844e-106,4.8104645805878981e-102
3.581259045945468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,0.0,2.8678027538070337e-59,6.433154497805182e-33,3.4399921412660146e-80,1.9473462287043662e-49,9.8134093832279323e-121,3.1607451073346574e-18,5.1555627002652232e-97,3.1607451073345965e-18,8.6155544921845274e-66,1.301714566124707e-63,2.2395243933032363e-102,2.5967234251477509e-103,8.7305999632439393e-47,1.2009801573309126e-77,1.7261696738820348e-16,5.1108816069590024e-18,2.0460572876462608e-20,1.951338556069711e-34,7.2254726233298345e-34,2.0460572875846672e-20,2.35695073466989e-49,2.8384221365236041e-31,7.3899474482470408e-39,2.9656308164131645e-44,6.3131053393088761e-72,1.5244232457213672e-47,5.8297532274273815e-89,3.944013230316593e-96,3.2761425032607457e-104,6.5154869450430827e-100
7.21295836014369e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,0.0,4.6488405047454608e-58,2.6003839053157936e-32,2.2553449749272534e-78,1.583549612473497e-48,2.5741130858383545e-118,6.3660077513924161e-18,3.3827532618397762e-95,6.3660077513921703e-18,1.4028197053753416e-64,2.1221232784314572e-62,2.9369920539024276e-100,3.4054355864836501e-101,7.0702662059493345e-46,3.9132189897234884e-76,3.4766515966919347e-16,1.0293747461903335e-17,4.1209322836292737e-20,7.8876224353775922e-34,2.9206515596163557e-33,4.1209322833803039e-20,1.9087198126770002e-48,1.1473355800583149e-30,5.9845707974910724e-38,2.4113870641039743e-43,2.0689298607075227e-70,1.234517467731972e-46,3.8001719354421614e-87,5.1723194228254884e-94,4.2717734388782785e-102,8.6028167070726114e-98
1.4476356988540132e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996462,0.022821567693054278,0.0,7.4868212642019477e-57,1.0456029314331852e-31,1.469512525261549e-76,1.2771901304824249e-47,6.709336771744727e-116,1.2776533039508172e-17,2.1919737711163305e-93,1.2776533039507187e-17,2.264156660209674e-63,3.4272347626786207e-61,3.8274908874433849e-98,4.4379669524203514e-99,5.6907653412020315e-45,1.2635546988266641e-74,6.9776154423115806e-16,2.0659479171791989e-17,8.270682275776701e-20,3.1715782898807068e-33,1.1743811465479139e-32,8.2706822747755991e-20,1.5363037595770321e-47,4.6133856645836361e-30,4.8169028318511952e-37,1.9565771440430824e-42,6.7396013102884689e-69,9.9364705863138403e-46,2.454458859590811e-85,6.7405716776180376e-92,5.5185123931821023e-100,1.1249601786675152e-95
2.9003154245333017e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996391,0.022821567693054268,0.0,1.2018011770421937e-55,4.1933354124653261e-31,9.6002191798698425e-75,1.0259085693794347e-46,1.7532125222802547e-113,2.5597583615740629e-17,1.4115697476327482e-91,2.5597583615736684e-17,3.638438970001822e-62,5.5091797832666984e-60,5.0008448943387047e-96,5.7984682464007054e-97,4.5664807934619843e-44,4.0615836724538924e-73,1.3979543133550254e-15,4.1390942591569213e-17,1.6570182260797146e-19,1.2719447462587658e-32,4.7097936518082482e-32,1.6570182256782278e-19,1.2327870131687978e-46,1.8501737967676593e-29,3.8652605357263009e-36,1.5951992820408058e-41,2.201556975171485e-67,7.9733918685907588e-45,1.5780416987664612e-83,8.8069585124551581e-90,7.0962746673098821e-98,1.47246723487839e-93
