Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),CHOX(50),H2OX(23),COX(47),H2X(46),CO2X(24),C2H6X(49),CH3OO(75),CH4OX(57)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1136044998869734e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-2.7700958170027796e-132,4.1579779135876349e-69,1.4895709148144028e-55,2.0297146055689876e-101,5.1030074567839295e-59,3.1794468945004125e-164,3.6796355659377986e-37,-4.4750484861247921e-143,3.6796325652024449e-37,3.6419502176251526e-93,8.7389817482098275e-76,2.6712597083406876e-139,8.1560871308610159e-141,1.4008252009034275e-63,8.6390348049367964e-113,2.8606709184093665e-18,1.2516237035339438e-18,1.857344808523563e-24,5.9231008252331667e-38,1.8573448085235167e-24,6.306130485007215e-39,3.4046008757591329e-47,3.4047154534522979e-56,2.6397490515950088e-85,-1.0619209407192453e-118,1.953326543219231e-54,4.3942123460613468e-118,1.2020768237725053e-71,-1.2877519652208344e-119,1.0662764205502797e-75,9.6308999480417716e-54,1.7689084802464509e-92
3.118092599683526e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,9.4409567786841932e-130,9.3013177447317863e-68,9.0014625363348683e-55,4.1717518634132832e-99,7.7116648686938877e-58,1.8541443105329227e-161,1.0302989307011121e-36,8.5976867594246556e-142,1.0302971182569588e-36,1.0270882325740338e-91,2.7476757836626901e-74,9.9093394726305176e-137,3.0255906007001284e-138,1.6630596782587188e-62,4.471813219238769e-111,8.0098785715462203e-18,3.5045463698950427e-18,5.2005654638661477e-24,3.5775528978445722e-37,5.2005654638658663e-24,3.8089027930888297e-38,4.0419421368391794e-46,7.6085900782248053e-55,2.9995455800141566e-83,2.0165700256219285e-116,2.3189892717559235e-53,1.6300816014357569e-115,1.4277526201353127e-70,2.4454193432980063e-117,3.0070701101798218e-74,5.8170681490593124e-53,1.0188007523296224e-90
7.12706879927663e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999992,0.10000000000000001,7.9023413503465778e-127,1.8377913792063289e-66,4.3383472600190862e-54,7.5540074117121241e-97,8.2958571623478232e-57,3.316307715646309e-158,2.3549735678698915e-36,9.0803971486689895e-140,2.3549648417314833e-36,2.2341412499822462e-90,6.1299135287359483e-73,3.5889078073087944e-134,1.0957906171959603e-135,1.6328018533861611e-61,1.952568660395882e-109,1.8308293877819895e-17,8.0103917026172399e-18,1.1887006774551999e-23,1.7224377190834144e-36,1.1887006774550646e-23,1.8338227152568061e-37,3.9684027099124491e-45,1.5024723065982255e-53,2.7139228871210827e-81,8.4048799669654202e-114,2.2767974176790965e-52,5.9037337163318629e-113,1.4031446686908903e-69,1.0192284816690347e-114,6.5410343159170445e-73,2.8006725755536699e-52,4.5687301970983464e-89
1.514502119846284e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999993,0.099999999999999978,0.10000000000000001,5.0948367061875677e-124,3.2702578842471999e-65,1.8986496737180369e-53,1.1459578903388225e-94,7.6253219825280991e-56,4.4433808886716841e-155,5.0043383980239089e-36,7.1773324565394283e-138,5.0043002886849165e-36,4.1417213522596949e-89,1.1480649621342042e-71,1.0894721198776637e-131,3.3264502965330778e-133,1.4441947474709623e-60,7.2689235553262585e-108,3.890512449036712e-17,1.7022082368061631e-17,2.5259889395926447e-23,7.5223380388040848e-36,2.5259889395920529e-23,8.0087854081984925e-37,3.5100071700406082e-44,2.6728117032193426e-52,2.0563239682151879e-79,2.708451303445255e-111,2.0138015306930955e-51,1.7921742040095702e-110,1.2434995368173909e-68,3.2844379952192525e-112,1.2125975245437966e-71,1.2231313930865316e-51,1.7188704853807622e-87
3.118092599683526e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999987,0.099999999999999936,0.099999999999999992,2.9187538774714889e-121,5.5157730491072909e-64,7.9597439420720283e-53,1.5943852721973872e-92,6.5236234966707033e-55,5.1911356685112374e-152,1.0303130281597776e-35,5.0870665855412361e-136,1.0302971182609322e-35,7.1185607901593011e-88,1.9829967157746953e-70,3.0325049751795781e-129,9.2590349816891596e-131,1.2139327029017061e-59,2.5042543774013047e-106,8.009878571546109e-17,3.5045463698950402e-17,5.2005654638686285e-23,3.1404280492207901e-35,5.2005654638661571e-23,3.343510106166234e-36,2.9503723752950414e-43,4.5074540386903031e-51,1.4296367448495909e-77,7.7566399072264463e-109,1.6927215249486108e-50,4.9884417829714872e-108,1.0493305648030314e-67,9.406188258249584e-110,2.0841453246853229e-70,5.1063670496187856e-51,5.9519027567488197e-86
6.325273559358009e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999976,0.099999999999999853,0.099999999999999978,1.5796036268862501e-118,9.0596779323892019e-63,3.2789913040823952e-52,2.1267940869400367e-90,5.3938580615619737e-54,5.6739725152524593e-149,2.0900962941808837e-35,3.4233994339574464e-134,2.0900312970528287e-35,1.1798492459154099e-86,3.2947786924289019e-69,8.0915686279186162e-127,2.4705605088185134e-128,9.9525536992486571e-59,8.3107072378746439e-105,1.6248610816564706e-16,7.1092226360727888e-17,1.0549718512424974e-22,1.2829673241063704e-34,1.0549718512414877e-22,1.3659328530609016e-35,2.4188932895990867e-42,7.4029884710130013e-50,9.5321879937166023e-76,2.0986973106478704e-106,1.3877953724003664e-49,1.3310509457971827e-105,8.670187221459838e-67,2.545012050476487e-107,3.4543180316830775e-69,2.0861455519470643e-50,1.9802355316164831e-84
1.2739635478706975e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999951,0.099999999999999686,0.099999999999999936,8.3134000216151002e-116,1.4686131608869438e-61,1.3473915761786164e-51,2.7787457451463876e-88,4.3861957967434001e-53,6.0016846730797266e-146,4.2097623834484275e-35,2.2462659062727035e-132,4.2094996546646825e-35,1.9210786410213934e-85,5.3713207983371342e-68,2.1145760846964341e-124,6.4562929787269829e-126,8.0598359802934449e-58,2.7079229563500874e-103,3.2726075306601118e-16,1.4318575168428266e-16,2.1248024609555184e-22,5.1859590234015462e-34,2.1248024609514366e-22,5.5213180048239221e-35,1.958882115027572e-41,1.2000142564880166e-48,6.2261159964781054e-74,5.5223968361985735e-104,1.1238726676351294e-48,3.4784231533692573e-103,7.1300899597289693e-66,6.6968049526883262e-105,5.6244614410986456e-68,8.4327602005585005e-50,6.4605288495657543e-83
2.556835931740491e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999904,0.099999999999999353,0.099999999999999867,4.3152791061596018e-113,2.3651564651847541e-60,5.594491384369738e-51,3.5933813257095363e-86,3.537625810942961e-52,6.2459247742172422e-143,8.4494927908848436e-35,1.4556094977147483e-130,8.4484363700006362e-35,3.1006286718268009e-84,8.6746973414671857e-67,5.4692886898417392e-122,1.6698791522648545e-123,6.487257118024348e-57,8.7437191340499665e-102,6.5681004286670802e-16,2.873728023313914e-16,4.2644636803885653e-22,2.0852512909392121e-33,4.2644636803721536e-22,2.2200968970846736e-34,1.5766781254078497e-40,1.9325515764113642e-47,4.0253816342008417e-72,1.4332314284362086e-101,9.0459048803156652e-48,8.9967204488701825e-101,5.9139763610367647e-65,1.7380263822460616e-102,9.0779034420881263e-67,3.3909578051754623e-49,2.0873978225948452e-81
5.1225806994800776e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999809,0.099999999999998701,0.099999999999999728,2.2246093196443469e-110,3.7966000671194014e-59,2.3853618854472881e-50,4.623089129025328e-84,2.8416134357171066e-51,6.4476794150376808e-140,1.6930546521363008e-34,9.3745241884292414e-129,1.6926309801121523e-34,4.9826270370433401e-83,1.3944322315517705e-65,1.407375331110508e-119,4.2968747264935434e-121,5.2056151736181745e-56,2.8105903848574269e-100,1.3159086224679768e-15,5.7574690362560571e-16,8.543786119282685e-22,8.3627901380525025e-33,8.5437861192168648e-22,8.9035751912922565e-34,1.2651839054451931e-39,3.1021439222338318e-46,2.5893373507428534e-70,3.6942425044241437e-99,7.2587688212990246e-47,2.3150046915413373e-98,5.0265423052786787e-64,4.4798703798588404e-100,1.4587947128652359e-65,1.3600717385331193e-48,6.7118994805390744e-80
