Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),COX(50),H2X(49),CHOX(53),CH4OX(60)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.326656734914361e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,9.4136381551237042e-66,8.3315397843988702e-42,2.6476409066616606e-93,4.1370250362354285e-57,1.3172180656719975e-142,7.4501587477868786e-25,-9.3267403738287951e-118,7.4501587477855755e-25,1.3641892693056899e-79,5.4995763222271687e-71,5.8120607925987123e-121,3.5119160032793305e-122,1.1658537218420128e-54,8.9552046556508859e-95,2.9546266505694328e-18,1.4206107501034383e-19,5.4758013950261527e-23,6.6436973537655605e-38,5.4758013950268451e-23,3.4241550390073445e-36,3.0924288004211779e-45,1.467113106443039e-52,4.8538186997550631e-83,2.4629459258495311e-54,5.1447064983505094e-111,5.8518098353062268e-58,-1.1410316704002083e-114,9.6887479270518474e-88
2.051463885776021e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,2.1058810801871186e-64,5.032250029861308e-41,2.9606109023896216e-91,6.2518722347282643e-56,4.8091513756988973e-140,2.0860444493807473e-24,1.800246958335902e-116,2.0860444493799612e-24,3.8472320097068976e-78,1.7291547956739895e-69,1.1756478534501877e-118,7.1038081980985157e-120,1.3841015385469925e-53,4.6354718396374334e-93,8.2729546215944087e-18,3.9777101002896271e-19,1.5332243906072097e-22,4.0127932015989065e-37,1.5332243906076274e-22,2.0681896417568047e-35,3.6713314667966681e-44,1.7630700449708626e-51,2.9883535681926923e-81,2.9240094031083067e-53,1.0406572413918137e-108,6.9472686365822158e-57,1.1687891369045105e-112,5.5802227634713021e-86
4.6890603103451914e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,4.1609438432262589e-63,2.4228117694297739e-40,2.7469150125212162e-89,6.7254788608701949e-55,1.7855245099168153e-137,4.7681015985865525e-24,1.9008858217128408e-114,4.7681015985827681e-24,8.3685699616962722e-77,3.8576492288012133e-68,2.1825513631320906e-116,1.3187985007924288e-117,1.3589190981051277e-52,2.0240284190035731e-91,1.8909610563644344e-17,9.0919088006620048e-19,3.5045128928159469e-22,1.9319871903617853e-36,3.5045128928179574e-22,9.9574428263788826e-35,3.604534994074525e-43,1.7761384681837549e-50,1.3837606585735447e-79,2.8708097709834165e-52,1.9319457557256114e-106,6.8208695443635882e-56,2.5099404834240667e-110,2.5024061040761343e-84
9.964253159483531e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,0.0,7.4042407426720711e-62,1.058105552749458e-39,2.1827928500339059e-87,6.18187377110815e-54,5.683051083372521e-135,1.0132215897004907e-23,1.5024919316084214e-112,1.0132215896988375e-23,1.5513918333714345e-75,7.2249500707108497e-67,3.4718016006710927e-114,2.0978231363476947e-115,1.2019485529150028e-51,7.534950319518797e-90,4.0182922447744138e-17,1.9320306201406762e-18,7.4470898972316124e-22,8.4374956381121066e-36,7.4470898972403891e-22,4.3486768715830363e-34,3.1881703631197782e-42,1.6512849331731715e-49,5.4878783538122055e-78,2.5391987313215543e-51,3.0731612919338703e-104,6.0329818685016714e-55,4.235939732754275e-108,9.4146771890666655e-83
2.0514638857760212e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,0.0,1.2488385910828685e-60,4.4173823948654884e-39,1.6608482964659972e-85,5.2887231619846089e-53,1.7303928776725348e-132,2.0860444493868587e-23,1.0649130723264065e-110,2.0860444493799571e-23,2.6664461792361121e-74,1.2479304527023354e-65,5.2847690296352134e-112,3.1933019264882901e-113,1.0103101814070909e-50,2.5959046312022304e-88,8.2729546215943406e-17,3.9777101002896277e-18,1.5332243906055707e-21,3.5224883359133587e-35,1.5332243906092352e-21,1.8154869765210311e-33,2.6798492597809019e-41,1.5231088931619849e-48,2.0866342255683233e-76,2.1343495314946845e-50,4.6779595971381008e-102,5.071084775578779e-54,6.6350051850090216e-106,3.2600038024174232e-81
4.161541025431357e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,0.0,2.0512253141700472e-59,1.804644844456634e-38,1.2994567976949557e-83,4.3728185841970175e-52,5.4140279792058258e-130,4.2316901687703863e-23,7.166376787845068e-109,4.2316901687421885e-23,4.419438994163962e-73,2.0734551108980525e-64,8.2681849892269498e-110,4.9960198643912746e-111,8.283133268397689e-50,8.614861014911749e-87,1.678227937523407e-16,8.069069060587526e-18,3.110255192367494e-21,1.4390514207233736e-34,3.1102551923824658e-21,7.4168565676645168e-33,2.1971022802057493e-40,1.4702961115265219e-47,8.1659607532862992e-75,1.7498686972601463e-49,7.3188128180020461e-100,4.1575816821655122e-53,1.053380267124867e-103,1.0846237988043548e-79
8.381695304742029e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,0.0,3.3251279886469619e-58,7.2946630033495232e-38,1.1000286694907643e-81,3.5559034507195527e-51,1.8319220789959588e-127,8.5229816075805986e-23,4.7021219339393428e-107,8.5229816074666203e-23,7.1959107371754261e-72,3.3802551417081651e-63,1.3991734581863506e-107,8.454453302481371e-109,6.7078960714657023e-49,2.8070270363492771e-85,3.3800928882513025e-16,1.6251786981183313e-17,6.264316795879762e-21,5.8168759233600836e-34,6.2643167959402798e-21,2.9980119208609589e-32,1.7792703049811706e-39,1.5495416391595239e-46,3.4597534675453446e-73,1.4170890384363812e-48,1.2385171171204968e-97,3.3669174405978089e-52,1.7969660600141989e-101,3.5385908719603412e-78
1.6822003863363374e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996464,0.022821567693054271,0.0,5.3550188095304095e-57,2.9331519139067825e-37,1.0362210070029385e-79,2.8679649544282221e-50,6.8964227112300276e-125,1.7105564485373664e-22,3.0469050356415491e-105,1.7105564484915363e-22,1.161422894142619e-70,5.4591210761798214e-62,2.6344420985836903e-105,1.5918517862900464e-106,5.399098325621362e-48,9.0637202028431483e-84,6.7838227897068934e-16,3.2617222822374845e-17,1.2572440002857979e-20,2.3389402222333644e-33,1.2572440003101321e-20,1.2054873359702037e-31,1.4321113972284933e-38,1.8248888261058362e-45,1.6315085870560433e-71,1.1405965404604093e-47,2.3319493460263269e-95,2.7099880742813569e-51,3.3994480460430402e-99,1.1433192426830309e-76
3.370262098060606e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996396,0.022821567693054254,0.0,8.5959932861139963e-56,1.1763251085920762e-36,1.0847262452541413e-77,2.3037054179795806e-49,2.8853831415546136e-122,3.4270730241650359e-22,1.9621215495064858e-103,3.4270730239812366e-22,1.8663754116155525e-69,8.7753776683446314e-61,5.5125703677092522e-103,3.3309500259090262e-104,4.3324363726025138e-47,2.9134518689310462e-82,1.3591282592617271e-15,6.5348094504757748e-17,2.5188686416629141e-20,9.38019638367583e-33,2.5188686417605046e-20,4.834542809750383e-31,1.1491789847996822e-37,2.3914676055389513e-44,8.5485696606894948e-70,9.152568888372571e-47,4.8796042441697709e-93,2.1745947651628635e-50,7.1334762202015797e-97,3.6762728667902377e-75
