Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),H2OX(23)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.494490786932799e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,1.3193016759933862e-139,3.3908262595125486e-65,1.665777838831282e-46,1.7167586522034044e-74,8.7792585407341644e-58,4.4834051672941558e-49,4.3960786075112121e-29,-3.5611504670065601e-114,4.396078606744361e-29,3.0780851076611306e-74,4.7371883746564116e-72,4.0541400608840924e-75,3.688239128835294e-106,4.4834052878523899e-49,6.2860900653812347e-92,2.6725134708517623e-18,7.7953303112818144e-19,1.7666427745365269e-23,2.0444485401831285e-37,1.7666427745365948e-23,4.3937405505528335e-37,4.4918043120198471e-46,2.0940247730925856e-54,5.1420906641525353e-84,1.2558568022408281e-62,6.9311052063630307e-54
2.378457420341184e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,1.0180322885292783e-137,6.8573709940030677e-64,1.0061298248814673e-45,2.0381358722102603e-73,1.3267215506774238e-56,2.7079767215017901e-48,1.2309020103516034e-28,-3.3621327391409762e-114,1.2309020098884247e-28,4.6516023244524171e-73,1.4894478288116636e-70,4.8130750810240012e-74,8.2504434028569258e-105,2.7079768646285238e-48,1.7727780162246004e-90,7.4830377183849315e-18,2.1826924871589081e-18,4.9465997687021966e-23,1.2348469175648833e-36,4.9465997687026092e-23,2.6538192899142572e-36,5.3326700708200859e-45,2.8449520059811553e-53,3.5723982655343159e-82,1.490953209499351e-61,8.2286080966592679e-53
5.436474103636992e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,1.1095014325977706e-135,1.2730869411163327e-62,4.8440821087293754e-45,2.0010538859828597e-72,1.4272265024519061e-55,1.3037742233333195e-47,2.8134903105464223e-28,6.4250302098482651e-114,2.8134903083164157e-28,5.0039815042241787e-72,3.3228761684470748e-69,4.7255056572679586e-73,1.6301485850687294e-103,1.3037743638559954e-47,3.8561794029453257e-89,1.7104086213451246e-17,4.9890113992203615e-18,1.130651375703322e-22,5.9452563442666422e-36,1.1306513757035207e-22,1.2776997481712809e-35,5.2356470800197063e-44,3.5534652374629108e-52,2.0461692170424458e-80,1.4638267317162301e-60,8.0788962150984865e-52
1.1552507470228608e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,9.0764113706309582e-134,2.1930701419268757e-61,2.1155380138361274e-44,1.7699095021222204e-71,1.3118670452263595e-54,5.6939245695334238e-47,5.9786669149114799e-28,3.8875881017716415e-112,5.9786669051724529e-28,4.5995211149784236e-71,6.2233792990732978e-68,4.1796562420021286e-72,2.9007623105070966e-102,5.6939258124405735e-47,7.148706725066502e-88,3.6346183203583789e-17,1.0601649223343268e-17,2.4026341733694014e-22,2.5964496350938128e-35,2.4026341733702675e-22,5.5800504585974388e-35,4.6308705187716623e-43,4.4954626846679605e-51,1.1014064141798363e-78,1.2947382191885748e-59,7.145692195331672e-51
2.378457420341184e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,6.5323602802328774e-132,3.6384601289189618e-60,8.831955528161859e-44,1.4877155835741481e-70,1.1223298767382436e-53,2.3771014260622204e-46,1.230902013954327e-27,1.3857359993257108e-110,1.2309020098884751e-27,3.9349871681776949e-70,1.074934004336596e-66,3.5132529192897359e-71,4.8925596273541397e-101,2.377102470800566e-46,1.2286800410435038e-86,7.4830377183848542e-17,2.1826924871589078e-17,4.9465997687010537e-22,1.0839666061602097e-34,4.9465997687046704e-22,2.3295612033589182e-34,3.8925256485983124e-42,6.0539208346894354e-50,6.1041157932414354e-77,1.0883055750338287e-58,6.0063848229510994e-50
4.82487076697783e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999853,0.099999999999999992,4.4278479910871263e-130,5.9267587003848921e-59,3.6081426379410004e-43,1.2197191226717713e-69,9.2796404581851566e-53,9.7112349824380299e-46,2.4969726652413553e-27,4.6566484822679455e-109,2.4969726486310232e-27,3.2535235204867692e-69,1.7860189083672332e-65,2.8803770127521444e-70,8.0360439002314629e-100,9.7112435478341145e-46,2.036447081781797e-85,1.517987651443766e-16,4.427747616808069e-17,1.0034530959362342e-21,4.4283572326249034e-34,1.0034530959377116e-21,9.5170174727119489e-34,3.1913276157914321e-41,8.6945213743856026e-49,3.5536035897462387e-75,8.9225880733868471e-58,4.9243971232783124e-49
9.717697460251123e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.0999999999999997,0.099999999999999964,2.9154959047709093e-128,9.5675739444147232e-58,1.4584694488428507e-42,9.8776017418664601e-69,7.5460495082200804e-52,3.9254364717282866e-45,5.0291139932580943e-27,1.5265252708274818e-107,5.0291139261164758e-27,2.6457113520957409e-68,2.9116615336407929e-64,2.332603996243829e-69,1.3026773526564235e-98,3.9254434082079821e-45,3.3158262289600922e-84,3.0573554106542723e-16,8.917857876106381e-17,2.0210393340676835e-21,1.7900127618953961e-33,2.0210393340736546e-21,3.8469304970428066e-33,2.5844197024248239e-40,1.3084359820835683e-47,2.1527203169706922e-73,7.2257454923165127e-57,3.9879043910598803e-48
1.950335084679771e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999927,0.099999999999999395,0.099999999999999922,1.8924758526184647e-126,1.5376148784392775e-56,5.8644455719945555e-42,7.9503532989980564e-68,6.0861623027844521e-51,1.5784007587103344e-44,1.0093396751062297e-26,4.9439085641376045e-106,1.00933964810888e-26,2.133862147919667e-67,4.7023409769595439e-63,1.8774826482606964e-68,2.0979217389381794e-97,1.5784063417924507e-44,5.3517571324025691e-83,6.1360909290750631e-16,1.7898078394702975e-16,4.0562118103273509e-21,7.1975623075191093e-33,4.0562118103513596e-21,1.5468337293463201e-32,2.0801655880005519e-39,2.0259847469158087e-46,1.3374130250766562e-71,5.8159123595587713e-56,3.2098122762710356e-47
3.9074657619890876e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999849,0.099999999999998784,0.099999999999999839,1.2197536848608604e-124,2.4656348297635775e-55,2.3519082278182144e-41,6.3796579634863642e-67,4.8887365412816625e-50,6.3300931448028219e-44,2.0221962673753608e-26,1.5915601672266918e-104,2.0221961591039141e-26,1.7140342745086961e-66,7.558875213265439e-62,1.5065616177959652e-67,3.3676290805541751e-96,6.3301379455174459e-44,8.6001307823369398e-82,1.2293561965915748e-15,3.5858519431896056e-16,8.1265567628337595e-21,2.8865441792182645e-32,8.1265567629300469e-21,6.2034942579999177e-32,1.6692015142965176e-38,3.1870149899141626e-45,8.4280860899204245e-70,4.6669094322276156e-55,2.5756720162264053e-46
