Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.356359779848937e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,1.195701531995007e-139,6.6000901919531866e-66,1.6120430695608427e-46,1.6343632421382148e-74,8.3579001823255153e-58,4.3387791941433281e-49,4.3245928904022289e-29,-3.3348259410725948e-114,4.3245928896601141e-29,2.9303531685343985e-74,2.1607218494073853e-73,3.8595626039133489e-75,3.4541261352157577e-106,4.3387791997331151e-49,5.8870770642879035e-92,2.6290550709978456e-18,7.6685685249125653e-19,1.7379149612131487e-23,1.9784985647912154e-37,1.7379149612132151e-23,4.2520069844766538e-37,4.2762212668942483e-46,1.9882294959335224e-54,4.7248061128716885e-84,1.1955822631165167e-62
2.3397807383577024e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,9.2265687013832979e-138,7.8356354870152887e-65,9.7367402375126162e-46,1.9403160413609105e-73,1.2630458755533841e-56,2.6206226336967976e-48,1.2108860095530728e-28,-3.1514718241022356e-114,1.2108860091048351e-28,4.4283498127300963e-73,6.7936553895184666e-72,4.5820727240612098e-74,7.7267420005539385e-105,2.6206226403329934e-48,1.6602499631304972e-90,7.3613541987939628e-18,2.1471991869755188e-18,4.8661618913967418e-23,1.1950131193389768e-36,4.8661618913971391e-23,2.5682122161299736e-36,5.0767298801807927e-45,2.6965688420210865e-53,3.2769270838156415e-82,1.419395275769989e-61
5.34807025910332e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,1.0055565932027878e-135,7.693090267555659e-64,4.687821392328158e-45,1.9050137959490119e-72,1.3587271168406182e-55,1.2617169903082215e-47,2.7677394515405679e-28,5.8653963682584504e-114,2.7677394493824965e-28,4.7638166401605807e-72,1.5156271114574032e-70,4.4987061732767719e-73,1.5266740130556356e-103,1.2617169968236776e-47,3.6114063085343259e-89,1.6825952454386176e-17,4.9078838559440424e-18,1.1122655751763621e-22,5.7534736194890964e-36,1.1122655751765542e-22,1.2364836273449227e-35,4.9843634842761552e-44,3.3595229288543467e-52,1.8721742043592327e-80,1.3935707261819402e-60
1.1364649300594553e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,8.2260773261965371e-134,6.8044810212573715e-63,2.0472948492545208e-44,1.6849631300315023e-71,1.2489043084446857e-54,5.5102495832925542e-47,5.8814463393627376e-28,3.5810774864426007e-112,5.8814463299378723e-28,4.3787682278230267e-71,2.8386017072025463e-69,3.9790546666567869e-72,2.7166348380868435e-102,5.5102496409210244e-47,6.6949386597302063e-88,3.5755148965570521e-17,1.0429253193881091e-17,2.3635643472496165e-22,2.5126929634636357e-35,2.3635643472504548e-22,5.4000488316295033e-35,4.4086130260441564e-43,4.2380745864878028e-51,1.0049041361743367e-78,1.2325975745979353e-59
2.339780738357702e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,5.9203676556821463e-132,5.7196263698503801e-62,8.5470537130169099e-44,1.4163130393025227e-70,1.0684639298281432e-53,2.3004207347922667e-46,1.2108860130395797e-27,1.2766668045024913e-110,1.2108860091048837e-27,3.7461284243774305e-70,4.902978072116896e-68,3.3446352077616115e-71,4.5820017319803586e-101,2.3004207832324626e-46,1.1506889040020579e-86,7.3613541987938867e-17,2.1471991869755184e-17,4.8661618913956366e-22,1.0489997466132323e-34,4.8661618913991349e-22,2.2544140683792579e-34,3.7057048373261593e-42,5.693150206028965e-50,5.5554357625698465e-77,1.036072613416366e-58
4.746412354954195e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999867,0.099999999999999992,4.0130180562166162e-130,4.6893773553300271e-61,3.4917509203366878e-43,1.1611790027104316e-69,8.8342663924799469e-53,9.3979693369688261e-46,2.4563687774016791e-27,4.2901482794285195e-109,2.4563687613271633e-27,3.0973714567178735e-69,8.146369846002525e-67,2.74213402489848e-70,7.5259516228908429e-100,9.3979697341107491e-46,1.9071824900745419e-85,1.493303280326742e-16,4.3557469221503358e-17,9.8713569796857237e-22,4.2855054019632001e-34,9.8713569797000177e-22,9.2100169140982382e-34,3.038160633021776e-41,8.1619029528230501e-49,3.2284039583620514e-75,8.4943506046428677e-58
9.559675588147182e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.099999999999999714,0.099999999999999964,2.6423513959603095e-128,3.7977123195889558e-60,1.4114220313895987e-42,9.4035286695085444e-69,7.1838787145743719e-52,3.7988094880611734e-45,4.9473343307478271e-27,1.4063807016392764e-107,4.9473342657720662e-27,2.5187310834304387e-68,1.3280633829192859e-65,2.2206512396949845e-69,1.2199891958302343e-98,3.7988098096768809e-45,3.1053523454430582e-84,3.007639001221395e-16,8.7728423924999607e-17,1.9881747156258074e-21,1.7322691211615445e-33,1.9881747156315859e-21,3.7228359689472101e-33,2.4603811176438315e-40,1.2269429161955113e-47,1.9535615566419893e-73,6.8789475389937343e-57
1.9186202054533154e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999927,0.099999999999999409,0.099999999999999922,1.7151730129812886e-126,3.056943297344012e-59,5.6752697805842687e-42,7.568778041530062e-68,5.7940584371719201e-51,1.5274846046335802e-44,9.9292655359279216e-27,4.5548002040373196e-106,9.9292652746632474e-27,2.0314479550321225e-67,2.1448242773075061e-64,1.7873733288432105e-68,1.9647550097884093e-97,1.5274848634976913e-44,5.0120514176906808e-83,6.0363104430104855e-16,1.7607033333199186e-16,3.99025275093715e-21,6.9653724664278183e-33,3.9902527509603838e-21,1.4969358703828777e-32,1.9803285583246595e-39,1.8986403880748953e-46,1.21293088549311e-71,5.5367789572090975e-56
3.843925498730511e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999849,0.099999999999998798,0.099999999999999839,1.1054742470314988e-124,2.4533479649038273e-58,2.276040117919685e-41,6.073467841452757e-67,4.654102831133235e-50,6.1258965871710252e-44,1.9893128340239308e-26,1.4662970539422486e-104,1.9893127292451114e-26,1.6317696155518078e-66,3.4477371320253916e-63,1.4342545618002763e-67,3.153866982778234e-96,6.1258986643894354e-44,8.0542327600050992e-82,1.2093653326587802e-15,3.5275415214597516e-16,7.994408821547325e-21,2.7934214960422522e-32,7.9944088216405084e-21,6.0033815662679786e-32,1.5890886087188155e-38,2.98572545250724e-45,7.6411124760235821e-70,4.4429220728447395e-55
