Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(56),H2OX(23),COX(57)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.114244592108348e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,2.1392529066337913e-133,1.5059068514984466e-63,1.2682204845617589e-43,1.9749300081723691e-70,3.7875373604657116e-57,7.0141377089277716e-47,1.5046550040548622e-26,-1.041344076947127e-108,1.5046550040425947e-26,4.9607367150531391e-69,2.7499345028854034e-73,5.5588779500831046e-71,4.1351248074554097e-100,7.0141377095281351e-47,4.4039112471533253e-86,2.8689670379048399e-18,1.3794248471137772e-19,5.317048671924655e-23,6.2640574840261322e-38,5.3170486719253062e-23,3.2284890368633002e-36,2.8311869812486113e-45,1.3426356109121696e-52,4.1912024560432343e-83,8.6493335124908667e-60,2.2548814757497331e-54,3.7262859393110217e-88
1.9919884857903374e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.6507433813624799e-131,1.7965966462715499e-62,7.6600517344790311e-43,2.3446369057191401e-69,5.7237264591346051e-56,4.2365391762257279e-46,4.2130340113933631e-26,6.1943917694243411e-108,4.2130340113192673e-26,7.4966653240112516e-68,8.6462340232991462e-72,6.5994999023862405e-70,9.2501087893522507e-99,4.2365391769384787e-46,1.2419734343128182e-84,8.0331077061335464e-18,3.8623895719185755e-19,1.4887736281387967e-22,3.7834907080604536e-37,1.4887736281391902e-22,1.9500073766141676e-35,3.3611851796371316e-44,1.6129241437971979e-51,2.5783333887594331e-81,1.0268488755513638e-58,2.6769952800371484e-53,8.3355525948426187e-87
4.5531165389493426e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,1.799060886726074e-129,1.7825155245673047e-61,3.6879851806945766e-42,2.3019784175781138e-68,6.1573237361588981e-55,2.0397112458062251e-45,9.629792026229358e-26,3.6202865181224789e-106,9.6297920258726218e-26,8.0645704634825218e-67,1.92892723476509e-70,6.4794281387643627e-69,1.8276656191400502e-97,2.0397112465060088e-45,2.701563500666633e-83,1.8361389042590942e-17,8.8283190215281738e-19,3.4029111500310325e-22,1.8215878979178048e-36,3.4029111500329279e-22,9.3884460944294995e-35,3.3000315313896006e-43,1.6237122221329757e-50,1.1928744989726317e-79,1.008166317156118e-57,2.6282898234177918e-52,1.6469647266840504e-85
9.675372645267353e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,1.4717435098318028e-127,1.6097137727789374e-60,1.6106400273687016e-41,2.0360738413354269e-67,5.6596413269908086e-54,8.9079548908552384e-45,2.0463308056537333e-25,1.4262630720821855e-104,2.0463308054979366e-25,7.412729659658395e-66,3.6126671838382158e-69,5.7309808117274205e-68,3.2522333175632555e-96,8.9079548970447415e-45,5.0082434296079146e-82,3.9017951715505652e-17,1.8760177920747369e-18,7.2311861938137988e-22,7.9553528141975774e-36,7.2311861938220762e-22,4.100181051221784e-34,2.9188405008851297e-42,1.5075495322446833e-49,4.7242923204072134e-78,8.9171169397813505e-57,2.3246925543351413e-51,2.9306857342106118e-84
1.9919884857903373e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,1.0592244935505664e-125,1.4087429759097351e-59,6.724105116923801e-41,1.7114427464016909e-66,4.8419423111606275e-53,3.7188958137387767e-44,4.2130340119697201e-25,5.0394383139117122e-103,4.2130340113193007e-25,6.3417462896079425e-65,6.2399839860420549e-68,4.8172346900567798e-67,5.4853668468326147e-95,3.7188958189414276e-44,8.6078908450743375e-81,8.0331077061334819e-17,3.862389571918576e-18,1.488773628137251e-21,3.3212031065666118e-35,1.4887736281407064e-21,1.7117448643097768e-33,2.4534612857944457e-41,1.3872912814130497e-48,1.7921144574505232e-76,7.4953741446091603e-56,1.9540441146127793e-50,4.9430298489945254e-83
4.0408909283175414e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,7.1797685280635767e-124,1.2462854861236712e-58,2.7470163896316203e-40,1.4031441646912864e-65,4.0034115368423368e-52,1.5192902846985211e-43,8.5464404256192577e-25,1.6930418079412793e-101,8.546440422962084e-25,5.2434784712402339e-64,1.0367826164117578e-66,3.9494600444642425e-66,9.009731518588608e-94,1.5192902889639684e-43,1.4266947807193657e-79,1.6295732775299191e-16,7.8351331316062504e-18,3.0200836456462628e-21,1.3568197620971122e-34,3.0200836456603789e-21,6.9930361983764893e-33,2.0114957471899605e-40,1.3343470109770863e-47,6.9881501016001433e-75,6.1451606737760598e-55,1.6020433406510506e-49,8.1189413706730212e-82
8.13869581337195e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,4.7274820100693991e-122,1.1571729116229137e-57,1.1103879838787582e-39,1.1363025238207425e-64,3.2555077747695163e-51,6.1412142460166866e-43,1.7213253256988603e-24,5.5500260327480963e-100,1.721325324624788e-24,4.2639096139994671e-63,1.6902171540314681e-65,3.1983751414747246e-65,1.460516305101807e-92,6.1412142805593783e-43,2.3230026053268291e-78,3.2820982913630138e-16,1.5780620250981591e-17,6.08270368065337e-21,5.4844818078601861e-34,6.0827036807104295e-21,2.8266969588189571e-32,1.6289613318354529e-39,1.3996060026616588e-46,2.9467610019071483e-73,4.9765105973649955e-54,1.2973760987957245e-48,1.3161153833097876e-80
1.6334305583480766e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996467,0.022821567693054271,3.0686489900107083e-120,1.169477998444486e-56,4.4648215535526046e-39,9.1459512771446206e-64,2.6256849591967224e-50,2.4693552396071771e-42,3.4546878936008354e-24,1.7974686811578042e-98,3.4546878892820405e-24,3.4389975787372964e-62,2.7297046334702892e-64,2.5743305674971266e-64,2.3521164853485222e-91,2.4693552674101344e-42,3.7493355751894389e-77,6.5871483190290144e-16,3.1671594489732221e-17,1.2207943750623912e-20,2.2052855248819058e-33,1.2207943750853345e-20,1.136602349258434e-31,1.3111296742919655e-38,1.6400729936706518e-45,1.3826424286748719e-71,4.0055289324651989e-53,1.0442409373800923e-47,2.1195632519853311e-79
3.27255251236984e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996401,0.022821567693054254,1.9778249113640107e-118,1.320528451566049e-55,1.7905933832523876e-38,7.3390499153690465e-63,2.1090929500629551e-49,9.9032189675802869e-42,6.9214130359172153e-24,5.7864727867937222e-97,6.9214130185969144e-24,2.7623898828818534e-61,4.3879185931855639e-63,2.0657381568099301e-63,3.7756678780325572e-90,9.9032191906814204e-42,6.0250816303263986e-76,1.3197248374360257e-15,6.3453542967233345e-17,2.4458423890390306e-20,8.8441773751720046e-33,2.4458423891310441e-20,4.5582832520374115e-31,1.052098795758218e-37,2.1402365052421471e-44,7.2139425252793521e-70,3.2141851214658049e-52,8.3793724143622648e-47,3.402368434269162e-78
