Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),H2OX(23),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2192467651223754e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.2411781100030065e-65,2.8897367810825996e-36,9.0095862894956164e-90,1.7681578265267842e-54,2.9812072569665993e-133,5.4889784659455037e-20,-6.1793308399199537e-106,5.4889784659455013e-20,2.5176321309346493e-72,6.486991096643526e-73,1.9938765184321082e-113,2.3118952746436719e-114,8.35248624228197e-55,1.1657757407037513e-85,2.9976818271489012e-18,8.8756031030454665e-20,3.5532015428139071e-22,8.7653029109046132e-38,3.2456416223579119e-37,3.5532015428111395e-22,1.2750032753328178e-34,9.9825603986356867e-44,3.9903609555261912e-49,4.9010022037153281e-80,2.0592360949734911e-52,1.9089650285833531e-98,3.5114042035878749e-107,3.1838388909985879e-54,-8.9588363670585474e-111
1.7413890942342651e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,2.7764667393730149e-64,1.7454010157741223e-35,9.9569656700249984e-88,2.672040108775335e-53,1.0758263815014276e-130,1.5369139704647415e-19,1.1929282735662013e-104,1.5369139704647396e-19,7.1001254337801724e-71,2.0396137875709417e-71,3.9863060246268323e-111,4.6221127418936348e-112,9.9160716457334703e-54,6.0343909801318927e-84,8.3935091160169208e-18,2.4851688688527303e-19,9.9489643198832492e-22,5.2942429458818255e-37,1.9603675399022077e-36,9.9489643198665365e-22,7.7010197771853591e-34,1.1851295691573634e-42,4.7379042917259903e-48,2.9818578860026264e-78,2.444725091952819e-51,1.7977331496992043e-96,7.0202600824242816e-105,3.7798535233354363e-53,9.0676164835125844e-109
3.9803179296783205e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,5.4858312267574247e-63,8.4033545593916788e-35,9.01051245459874e-86,2.8744588169484316e-52,3.8962569462679462e-128,3.5129462182051253e-19,1.2596063142236962e-102,3.5129462182051176e-19,1.5444323680593706e-69,4.5502661393443515e-70,7.2185564042106601e-109,8.3698996835244789e-110,9.7356578985824454e-53,2.634851263987108e-82,1.9185163693752944e-17,5.6803859859490978e-19,2.274048987403917e-21,2.5489500680342184e-36,9.4383258377872453e-36,2.274048987395871e-21,3.7077095159305443e-33,1.1635672358221125e-41,4.6528628022656258e-47,1.3464840204150131e-76,2.4002455923019998e-50,1.5712280532486866e-94,1.2712557205590575e-102,3.7110825863678821e-52,1.8993606341149951e-106
8.458175600566431e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,9.7617441674140883e-62,3.6699657119784983e-34,6.8226320586915932e-84,2.6421228784274016e-51,1.1819862766840997e-125,7.4650107136859009e-19,9.9561381365075292e-101,7.4650107136858682e-19,2.8631173234868411e-68,8.5221448096624333e-69,1.0943394853169846e-106,1.2688841367876645e-107,8.6110790789580381e-52,9.8088906199020228e-81,4.0768472849224944e-17,1.2070820220141834e-18,4.8323540982419954e-21,1.113193450612814e-35,4.1219648603640001e-35,4.8323540982068577e-21,1.6192541506441463e-32,1.0291620379477326e-40,4.1174684829510006e-46,5.0865773349923431e-75,2.1229900444757586e-49,1.1721848786772167e-92,1.9272348278988349e-100,3.2824104906057547e-51,3.0538804862512967e-104
1.741389094234265e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.6464608614396077e-60,1.5321384413332323e-33,4.7444917672092569e-82,2.2603917487402093e-50,3.2907639959109567e-123,1.536913970464749e-18,7.0565581207914906e-99,1.5369139704647349e-18,4.9209671494366226e-67,1.4719885568808251e-67,1.5229218374342985e-104,1.7658243963687869e-105,7.2381306885260711e-51,3.3793115425329714e-79,8.3935091160168672e-17,2.4851688688527302e-18,9.9489643199457291e-21,4.647363431712977e-35,1.7208391881466724e-34,9.9489643197990364e-21,6.7600672845578124e-32,8.6507269588382338e-40,3.4644526144308825e-45,1.7665124897280247e-73,1.7845010521299352e-48,8.0856653815484637e-91,2.6820086861678183e-98,2.7590637463430484e-50,4.370468429717633e-102
3.532532162589509e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,0.0,2.7043168576669595e-59,6.2592854573235707e-33,3.1683736444872932e-80,1.8689356095483661e-49,8.7942694152629375e-121,3.1177397686570818e-18,4.7487401208924036e-97,3.1177397686570229e-18,8.1561421635286501e-66,2.4457309089389147e-66,2.0346289280095112e-102,2.3591476005552902e-103,5.9342566285105865e-50,1.1214702926699169e-77,1.7026832778205523e-16,5.0413425625298211e-18,2.0182184763463507e-20,1.8985995263843975e-34,7.0301895794593641e-34,2.0182184762864221e-20,2.7617080257044838e-31,7.0923884734868265e-39,2.8460617669681309e-44,5.8948317181739477e-72,1.4630417775515149e-47,5.3697306492974304e-89,3.5831730321202238e-96,2.2620470710958645e-49,5.9193786067264758e-100
7.114818299299997e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,0.0,4.3838138857356703e-58,2.5301032592258614e-32,2.0771540113296208e-78,1.5197873991865545e-48,2.3066642428947011e-118,6.2793913650418036e-18,3.1158220872288656e-95,6.2793913650415671e-18,1.3280163171413655e-64,3.9871583464349234e-65,2.6681427161269363e-100,3.0937053926467701e-101,4.8057145184335551e-49,3.6541476717156196e-76,3.4293480102582457e-16,1.0153689949884001e-17,4.06486256509403e-20,7.674442237587047e-34,2.8417150309807554e-33,4.0648625648517883e-20,1.1163265111196787e-30,5.7435998379731763e-38,2.3140374512703853e-43,1.9317491859670115e-70,1.1848091633857196e-46,3.5003024859343987e-87,4.6988504361714724e-94,1.8318642300284472e-48,7.8153169339289686e-98
1.4279390572720972e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996463,0.022821567693054278,0.0,7.0599961349546763e-57,1.0173433927455469e-31,1.3532657960218308e-76,1.2257635955217994e-47,6.0116087893869541e-116,1.2602694557811481e-17,2.0190063424716145e-93,1.2602694557810522e-17,2.1434236900161164e-63,6.4392703921700339e-64,3.4767600634286301e-98,4.0312953620922356e-99,3.8680565601498367e-48,1.1799021401380736e-74,6.8826774751334837e-16,2.0378384724592344e-17,8.1581507427658837e-20,3.0858589813532486e-33,1.1426411155622901e-32,8.1581507417918411e-20,4.4886995719209334e-30,4.6229484605270096e-37,1.8773854299262899e-42,6.2920608667903768e-69,9.5363749076833522e-46,2.2607788789041215e-85,6.1229016874642781e-92,1.4744434825046464e-47,1.0218731558090319e-95
2.8608535119562925e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996392,0.022821567693054268,0.0,1.1332854124362787e-55,4.080002022937193e-31,8.8389618658408045e-75,9.8459997980427139e-47,1.5705670594407168e-113,2.5249300943351755e-17,1.3001835655453406e-91,2.5249300943347915e-17,3.4444243280667807e-62,1.035093591433516e-62,4.5416595343788095e-96,5.2660438690878528e-97,3.1038708698388702e-47,3.79268999745726e-73,1.3789336404883359e-15,4.0827774274008945e-17,1.6344727098815575e-19,1.2375670777507284e-32,4.5825019315064258e-32,1.6344727094909218e-19,1.8001691046773496e-29,3.7096244010929654e-36,1.5303107990114229e-41,2.0549357995550739e-67,7.6523402836283938e-45,1.4535193077947511e-83,7.9982898774682404e-90,1.1831476869845518e-46,1.3372587205075719e-93
