Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(56),COX(57)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.005623792274171e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.9506103823190876e-133,1.4299880207297924e-63,1.2297899648878481e-43,1.8858446287103709e-70,3.6166876429144922e-57,6.8015903164488333e-47,1.4816823097632739e-26,-9.6964200578741449e-109,1.4816823097513786e-26,4.7369687655513992e-69,1.4544412479204393e-75,5.3081274874876409e-71,3.8883117156700429e-100,6.8015903164520567e-47,4.1410530785156199e-86,2.8251634421301292e-18,1.3583636890013839e-19,5.2358675890950986e-23,6.0742340027474098e-38,5.2358675890957304e-23,3.1306565876118072e-36,2.7034774574253409e-45,1.281808521634864e-52,3.8801151332119854e-83,8.259178339840071e-60,3.5038733294162011e-88
1.961574661836768e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.5051783583520305e-131,1.6976817782756521e-62,7.4279313953001037e-43,2.238874743220847e-69,5.4655383659862455e-56,4.1081605511669435e-46,4.1487104673757107e-26,5.7303337010907499e-108,4.148710467303862e-26,7.1585071986149751e-68,4.5729934805167842e-74,6.301808953190065e-70,8.6979977755471128e-99,4.1081605511707722e-46,1.1678432250085525e-84,7.9104576379643625e-18,3.8034183292038749e-19,1.4660429249465246e-22,3.6688352509969138e-37,1.4660429249469061e-22,1.8909165773407533e-35,3.2095684332228138e-44,1.5395793160027692e-51,2.3865267263833053e-81,9.8052965339765138e-59,7.8380244830092376e-87
4.48359922705547e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,1.6404170038077138e-129,1.6667940371590576e-61,3.5762292289600861e-42,2.1981404992740812e-68,5.8795767673475521e-55,1.977902464071093e-45,9.4827667827547628e-26,3.3521733385925606e-106,9.482766782408838e-26,7.7007953831934916e-67,1.0202084993921321e-72,6.1871533995542868e-69,1.718577786676331e-97,1.9779024640748517e-45,2.5403141033557408e-83,1.8081046029632814e-17,8.6935276096088575e-19,3.3509552570201408e-22,1.7663841180087025e-36,3.3509552570219778e-22,9.1039493331234505e-35,3.1511733112540651e-43,1.5493063539299103e-50,1.1037311818427106e-79,9.6268983005644954e-58,1.54866155585019e-85
9.527648357492874e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,1.3419629629832473e-127,1.4742604502593221e-60,1.5618332668426519e-41,1.9442303785187173e-67,5.4043440110645668e-54,8.6380197023836676e-45,2.0150879414129576e-25,1.3206568382381815e-104,2.0150879412618824e-25,7.0783576879103199e-66,1.9107331333827545e-71,5.4724671147915129e-68,3.0581173482269735e-96,8.6380197024169097e-45,4.7093142227143229e-82,3.8422222812969647e-17,1.847374617041882e-18,7.1207799211657181e-22,7.7142448403298376e-36,7.1207799211737435e-22,3.9759338418269178e-34,2.7871770919533106e-42,1.4374770291577324e-49,4.3682766326163624e-78,8.5148825592999536e-57,2.7557604940252788e-84
1.961574661836768e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,9.6582049085719663e-126,1.2392047396921105e-59,6.520346496751078e-41,1.6342427819140787e-66,4.6235300824539429e-53,3.606203186225457e-44,4.1487104679346032e-25,4.6662999597053192e-103,4.1487104673038935e-25,6.0556840279784283e-65,3.3003008444634887e-70,4.5999383511454112e-67,5.1579618919347215e-95,3.6062031862533979e-44,8.09410791506995e-81,7.9104576379643036e-17,3.8034183292038752e-18,1.4660429249450256e-21,3.2205297595449202e-35,1.4660429249483762e-21,1.6598741007557088e-33,2.3427902589747969e-41,1.3212223520516541e-48,1.6550996994317697e-76,7.157271907786492e-56,4.6479928637953492e-83
3.9791943140117295e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,6.5466457761669979e-124,1.0159749158412511e-58,2.6637743426809475e-40,1.3398509695684576e-65,3.8228240824698027e-52,1.4732516692802438e-43,8.4159555219646222e-25,1.567682848119154e-101,8.4159555193879716e-25,5.0069566613250963e-64,5.4834477742777159e-69,3.7713073773033585e-66,8.4719678969488341e-94,1.4732516693031512e-43,1.3415390279448133e-79,1.6046928351298862e-16,7.715505753527857e-18,2.9739727905992866e-21,1.3156787367781225e-34,2.9739727906129746e-21,6.7811272087972688e-33,1.9207609557342803e-40,1.2684235577957536e-47,6.4419163006546049e-75,5.8679640268672589e-55,7.6343422364901912e-82
8.014433618361652e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,4.3106055504420228e-122,8.227628288210636e-58,1.0767402158534038e-39,1.0850460534063894e-64,3.1086570559951769e-51,5.9551188014803683e-43,1.695044563397159e-24,5.1390819648619198e-100,1.6950445623556354e-24,4.0715740060717051e-63,8.9392361056235731e-68,3.0541024926402138e-65,1.3733425046258556e-92,5.9551188016658742e-43,2.1843485370172869e-78,3.2319869777967529e-16,1.5539680602175811e-17,5.9898325218972208e-21,5.3180807100473772e-34,5.9898325219525514e-21,2.741039960778347e-32,1.5554819497799018e-39,1.327178149490208e-46,2.7097571654593395e-73,4.7520295563582449e-54,1.2375597753622707e-80
1.6084912227061498e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,2.7980509042273047e-120,6.6223110506463331e-57,4.3295253443563981e-39,8.7333946108549859e-64,2.5072445344739765e-50,2.3945270797768376e-42,3.401942587377323e-24,1.6643775771665819e-98,3.4019425831894003e-24,3.2838719428502271e-62,1.4436348486559887e-66,2.4582073882013595e-64,2.2117257670123425e-91,2.3945270799261428e-42,3.5255473495897812e-77,6.4865752631303021e-16,3.1188030299471677e-17,1.2021551984450741e-20,2.1382939530083378e-33,1.2021551984673225e-20,1.1021600500393635e-31,1.2519870823338881e-38,1.55112435392177e-45,1.2681021917864651e-71,3.8248470459099592e-53,1.9930518670654063e-79
3.222586944446119e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996403,0.022821567693054254,1.8034173191685827e-118,5.3139875865376374e-56,1.7363335409858078e-38,7.0079991721440512e-63,2.0139551598612713e-49,9.6031245784686216e-42,6.8157386416527315e-24,5.3580213428386239e-97,6.8157386248572888e-24,2.6377845356298198e-61,2.3204267205792807e-65,1.9725566184839303e-63,3.5503096829657739e-90,9.6031245796666165e-42,5.6654599584617854e-76,1.2995751833796667e-15,6.2484729694063279e-17,2.4084990909388387e-20,8.5748501793954714e-33,2.408499091028064e-20,4.4201542512151578e-31,1.0046406020688967e-37,2.0196675312019458e-44,6.6015487850424531e-70,3.0691992618280596e-52,3.1992896432510105e-78
