Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3OO(77),C2H4(47),COX(50),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.1322600076950634e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,6.4875710472188455e-72,2.8094671210574811e-36,8.2794427617913375e-90,1.6949995539806839e-54,2.6635085919712868e-133,5.4122073093323074e-20,-5.6785617132687378e-106,5.412207309332305e-20,2.379707079836755e-72,1.0002546477249692e-73,1.8066641190416564e-113,2.0948222978651677e-114,1.3066232515270268e-55,1.086497893923065e-85,2.9557541417248723e-18,8.7514626784404417e-20,3.5035039681126509e-22,8.5218221677407042e-38,3.5035039681099595e-22,1.239586743236729e-34,9.5695255972117678e-44,3.8252496363395367e-49,4.5677049337022872e-80,1.9740337884969115e-52,3.1554862061356354e-37,1.7542635509260526e-98,3.1817045967306042e-107,-8.1176544559850679e-111
1.7170328021546178e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.5992814014180543e-70,1.6969181411189411e-35,9.1500313970594627e-88,2.5614833188465122e-53,9.611771616850186e-131,1.5154180466130465e-19,1.0962540947636224e-104,1.5154180466130448e-19,6.7111547002560645e-71,3.1449606090975963e-72,3.6120114270718825e-111,4.1881177568185066e-112,1.5512231042651913e-54,5.6240259955322482e-84,8.2761115968296408e-18,2.4504095499633239e-19,9.8098111107196125e-22,5.1471805170081631e-37,9.8098111107033625e-22,7.487103923565993e-34,1.1360940776072966e-42,4.5418541250136878e-48,2.7790694127050616e-78,2.3435729137038078e-51,1.9059136685040345e-36,1.6520458373550551e-96,6.3610901660180567e-105,8.2162075654379025e-109
3.924646404924841e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,3.2908007536118798e-69,8.1699303880384896e-35,8.2802525679223117e-86,2.7555268667531143e-52,3.4810268083470787e-128,3.46381267797268e-19,1.15752858807352e-102,3.4638126779726718e-19,1.4598227368746519e-69,7.0162339125941283e-71,6.5407470933323947e-109,7.5839790647151047e-110,1.5230000001420473e-53,2.4556698507620837e-82,1.8916826507039161e-17,5.6009361142018827e-19,2.2422425395950288e-21,2.4781457779181615e-36,2.2422425395872066e-21,3.6047182409566321e-33,1.1154238996005805e-41,4.4603160220428295e-47,1.2549087993328613e-76,2.30093378387285e-50,9.1761538874140908e-36,1.4438965896128599e-94,1.1518867770419988e-102,1.7210132479483001e-106
8.339873610465288e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,5.9627606084274275e-68,3.5680232437464489e-34,6.2696467306467806e-84,2.5328039259781832e-51,1.0560129820163639e-125,7.3606019406919553e-19,9.1492987843449869e-101,7.3606019406919225e-19,2.7062653266468705e-68,1.3140628856067598e-69,9.9157623819409268e-107,1.1497300421825405e-107,1.3470761775348143e-52,9.1418431442336056e-81,4.0198256327458146e-17,1.1901989242679001e-18,4.764765396647867e-21,1.0822713032268786e-35,4.7647653966137058e-21,1.5742751552556764e-32,9.8657980254825508e-41,3.9470499615079559e-46,4.7406033252310249e-75,2.0351498745905616e-49,4.007467481762975e-35,1.0771916560070053e-92,1.7462585556358547e-100,2.7671062386552127e-104
1.7170328021546178e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.0144113638010958e-66,1.4895794675877803e-33,4.3598834368470175e-82,2.166867083355954e-50,2.9400022010322452e-123,1.5154180466130541e-18,6.4846989616604717e-99,1.5154180466130401e-18,4.6513786427099153e-67,2.2697165876035352e-68,1.3798940424582578e-104,1.5999835156678728e-105,1.1322985681991051e-51,3.1495035732695213e-79,8.2761115968295869e-17,2.4504095499633236e-18,9.8098111107803545e-21,4.5182691046505143e-35,9.8098111106377379e-21,6.5722888347464063e-32,8.2927976173370178e-40,3.3210153557458854e-45,1.6463368206837053e-73,1.7106660965740475e-48,1.6730387864667593e-34,7.4304074729685242e-91,2.4301225510146665e-98,3.9600057935763396e-102
3.483123684370796e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,0.0,1.6732130887755232e-65,6.0854181629216276e-33,2.9114526310893412e-80,1.7916076076185654e-49,7.8566771873016937e-121,3.0741337517007862e-18,4.3639051225837136e-97,3.0741337517007284e-18,7.7093189843118643e-66,3.7711671829747345e-67,1.8434932090266119e-102,2.1375255308857445e-103,9.2832656944491871e-51,1.0452054063740515e-77,1.6788683524997048e-16,4.9708308013541691e-18,1.9899902539152578e-20,1.8458599148010161e-34,1.9899902538569939e-20,2.6849944033696105e-31,6.7989363819386272e-39,2.7281512872182456e-44,5.4936558908722037e-72,1.4025074200665131e-47,6.8349093417148999e-34,4.9345706087956267e-89,3.2465640708276706e-96,5.3632996400577839e-100
7.015305448803153e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996499,0.022821567693054282,0.0,2.7180151101038259e-64,2.4598233189292558e-32,1.9086156622006067e-78,1.456905552248213e-48,2.060630441576173e-118,6.1915651618763066e-18,2.8633177687899803e-95,6.1915651618760731e-18,1.2552627455409898e-64,6.1479514525569481e-66,2.417363288912138e-100,2.8029263802636132e-101,7.5178258856485999e-50,3.405649643267516e-76,3.3813827381331597e-16,1.0011673304135854e-17,4.0080085396326009e-20,7.4612573303185484e-34,4.0080085393970873e-20,1.0853176396175192e-30,5.5059547386027937e-38,2.2180452268983095e-43,1.8001846012665718e-70,1.1357868712348945e-46,2.7627796366260985e-33,3.2166398832774025e-87,4.257202988938631e-94,7.0807439918295387e-98
1.4079668977667868e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996464,0.022821567693054278,0.0,4.3818226308466351e-63,9.8908413785430715e-32,1.2433297573373979e-76,1.1750471079147699e-47,5.3698251430224392e-116,1.2426427982227568e-17,1.855387301924049e-93,1.2426427982226636e-17,2.025999132133374e-63,9.928948815096166e-65,3.1496420767407365e-98,3.6520017101191179e-99,6.050994902178169e-49,1.0996636325772616e-74,6.7864115093999237e-16,2.0093358309699211e-17,8.0440451112388801e-20,3.0001358833893029e-33,8.0440451102918919e-20,4.3640142730075874e-30,4.4316710302202039e-37,1.7993091765469511e-42,5.8628974362490896e-69,9.1418008520189096e-46,1.1109015406659992e-32,2.0775665927097182e-85,5.5468144665912502e-92,9.2572617886614549e-96
2.8208396035397293e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996395,0.022821567693054268,0.0,7.0374267218627411e-62,3.9666697715595931e-31,8.1192043127289928e-75,9.4386173887754322e-47,1.4026051045697789e-113,2.4896153622930995e-17,1.194817483698592e-91,2.4896153622927257e-17,3.2557262158984094e-62,1.5960465647760225e-63,4.1134894270488402e-96,4.7695801794115876e-97,4.8555336536491465e-48,3.5347704847427617e-73,1.3596469051932868e-15,4.0256728320825849e-17,1.6116118255137807e-19,1.2031863689296387e-32,1.6116118251339963e-19,1.7501647308085268e-29,3.5561363421192213e-36,1.4663541809634735e-41,1.9143702543113643e-67,7.3357194533568153e-45,4.4552120403264532e-32,1.3357268965633516e-83,7.244239853915387e-90,1.2111826321888532e-93
