Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),CO2X(24),H2X(46),CHOX(50),COX(47),CH4OX(57),C2H6X(49),CH3OX(56),CH2OX(182),CHOX(183),CHO3(116)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1556420043412732e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-7.0045354772768349e-129,8.0963009058850125e-69,1.899813641773253e-54,3.2554157725150581e-100,5.0375240238426467e-57,7.6414963717642904e-161,3.8185395260404056e-37,-4.9162933490122563e-141,3.8185362944881151e-37,3.7309304604507019e-91,9.3168698677426725e-70,4.4460909181938201e-138,1.357518274941752e-139,1.1730225676379935e-55,9.1841836709999136e-111,2.9686585086957972e-18,1.2988713008791014e-18,2.3321097809147416e-23,2.3321097809149335e-23,9.9420351176937418e-37,6.7396079840273677e-44,7.1532495215966671e-53,6.3787239660808521e-38,2.1829906555318822e-54,5.9726887953646817e-82,-3.1377919609045403e-116,1.5910154013743521e-70,-2.5875164643194656e-115,7.3138301100067043e-117,1.9570724479817907e-86,1.0923280206361894e-73,1.091859370847187e-89,8.1992903001891907e-100,2.5752221960493336e-109,1.0462886471416703e-199
3.235797612155565e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,2.3624086534478471e-126,2.108057506348055e-67,2.1620798682670945e-53,6.6222214678189722e-98,7.6127063047823598e-56,4.3506653058908651e-158,1.0691921143178281e-36,9.4873413353754745e-140,1.0691901624602452e-36,1.0521820847279792e-89,2.9293729511986635e-68,1.6324359702109171e-135,4.9842508581931686e-137,1.3926123922999437e-54,4.7539979725705394e-109,8.3122438243482246e-18,3.6368396424614846e-18,6.5299073865609737e-23,6.5299073865621351e-23,6.004988818032922e-36,8.0012621117051317e-43,1.5818970164042504e-51,3.8527492755131909e-37,2.5916465062476655e-53,6.7166761241497455e-80,5.8967552606047377e-114,3.4182760869453505e-69,4.8626395989758151e-113,2.6853387298998664e-114,1.1271735259856676e-84,3.0805397906583545e-72,6.2854588050686699e-88,6.3269394196015466e-98,3.316528017111929e-107,5.1930758629451606e-196
7.396108827784148e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999992,0.10000000000000001,1.9656991871618176e-123,4.4277179183460606e-66,2.074343983133588e-52,1.1918755854533157e-95,8.189402055023399e-55,8.2263543579925552e-155,2.4438726258514621e-36,1.0017831898115629e-137,2.4438632284974031e-36,2.2887258595979474e-88,6.5352699091842888e-67,5.8765074058193002e-133,1.7942409253919988e-134,1.3672751048392018e-53,2.0757815672805594e-107,1.8999414455653042e-17,8.3127763256262482e-18,1.492550259785223e-22,1.4925502597857825e-22,2.8911432226442694e-35,7.8556855566927996e-42,3.1050384967087208e-50,1.8549329293368334e-36,2.5444939080886101e-52,6.040489296595621e-78,2.4430767354384481e-111,6.5956660633966653e-68,2.0146336668772325e-110,9.6667378605276995e-112,5.0547191943562005e-83,6.700846918737388e-71,2.8197500272752677e-86,6.8954072481704633e-96,7.2932747336212827e-105,1.0755584026643152e-191
1.5716731259041315e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999993,0.099999999999999964,0.10000000000000001,1.2634883374508378e-120,8.0934310831498597e-65,1.8138785798011317e-51,1.8025992612242982e-93,7.52747139829212e-54,1.1232850248138994e-151,5.1932504013429652e-36,7.9182847645016089e-136,5.1932093606288838e-36,4.2429120192086507e-87,1.2239837267541506e-65,1.778489545682145e-130,5.4301058917848137e-132,1.2093393463328091e-52,7.7276143144940634e-106,4.0373755718262549e-17,1.7664649691955777e-17,3.1716693020429912e-22,3.1716693020454352e-22,1.2626378507134906e-34,6.9482630772857053e-41,5.5071072309810603e-49,8.1009794369280281e-36,2.2505760462284997e-51,4.5629849089552408e-76,7.8488740253530094e-109,1.1596714646159184e-66,6.4724147304139902e-108,2.9255497111860452e-109,1.9017116934738087e-81,1.2422240877455732e-69,1.0610393282862489e-84,5.6408699085419254e-94,1.2010984723092168e-102,1.3422189590682287e-187
3.235797612155565e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999987,0.099999999999999922,0.099999999999999992,7.2273429017808778e-118,1.3825362120980601e-63,1.5160673514850206e-50,2.5041637228653766e-91,6.4399102617400578e-53,1.3226844937363219e-148,1.0692072962022908e-35,5.6122311774984089e-134,1.0691901625120501e-35,7.2924816923088003e-86,2.1141275047123408e-64,4.9429008447927844e-128,1.5091413019083244e-129,1.0165225887553455e-51,2.6622802986747554e-104,8.3122438243481029e-17,3.6368396424614816e-17,6.5299073865565935e-22,6.5299073865667987e-22,5.2712615363015407e-34,5.8404306940797222e-40,9.273366859388648e-48,3.3819994468208593e-35,1.8917447742358782e-50,3.1675692315605985e-74,2.2444042083983562e-106,1.9442541383445558e-65,1.850802394939338e-105,8.1307215511502431e-107,6.5850238179370206e-80,2.1350658172070377e-68,3.6743281338576823e-83,4.0597730860845361e-92,1.7349601711090288e-100,1.3480393959914619e-183
6.564046584658432e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999976,0.099999999999999839,0.099999999999999978,3.9084035903125531e-115,2.2849408438917501e-62,1.2394691771348567e-49,3.3378308604738892e-89,5.3246423400529562e-52,1.4509014886333836e-145,2.1689986122170555e-35,3.7768164635200038e-132,2.1689286155018362e-35,1.2086753599683048e-84,3.5126544685337124e-63,1.3179468932847744e-125,4.0237219905445702e-127,8.3340663397077833e-51,8.835137654967594e-103,1.6861980329391588e-16,7.3775889889932839e-17,1.324638355557607e-21,1.3246383555617758e-21,2.1534799322800397e-33,4.7883328851609068e-39,1.5219119626021223e-46,1.381657125953025e-34,1.5509666603258629e-49,2.1103998154456129e-72,6.0680323895675025e-104,3.1838775264672753e-64,5.0038797881507351e-103,2.1678396226370691e-104,2.1908789019296578e-78,3.538715013697267e-67,1.2225178773872522e-81,2.7518437402872166e-90,2.3562136510744196e-98,1.220642735619864e-179
1.3220544529664166e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999951,0.099999999999999672,0.099999999999999936,2.0561959050819599e-112,3.7153525402654991e-61,1.0023449500703125e-48,4.3593515325693078e-87,4.3299107214965393e-51,1.5373267774819639e-142,4.3686884597616869e-35,2.4781627469453673e-130,4.3684055218472586e-35,1.9680144950649177e-83,5.7265133319309538e-62,3.4431435900097055e-123,1.0511127197331615e-124,6.7491429971757869e-50,2.8788009724677294e-101,3.396145333947772e-16,1.485908768205687e-16,2.6679335893584096e-21,2.6679335893752607e-21,8.704690776209642e-33,3.8777079177818923e-38,2.4660775075064175e-45,5.5848790110874246e-34,1.2560130130614866e-48,1.3779224209945627e-70,1.5961015655241443e-101,5.1534611596360111e-63,1.3161927650025029e-100,5.6630249481669801e-102,7.1477539931137461e-77,5.7618800477919323e-66,3.9885443054003978e-80,1.8119339963492391e-88,3.1056386689102498e-96,1.0508425338023653e-175
2.6533540419675635e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999901,0.099999999999999326,0.099999999999999867,1.067113938359122e-109,5.9925814722444003e-60,8.0620618411229602e-48,5.6362767886936738e-85,3.4922298586550608e-50,1.6012204995059325e-139,8.7684970169113536e-35,1.6058842717352577e-128,8.7673593360015055e-35,3.1763833294543266e-82,9.2483343273921119e-61,8.9052137762726697e-121,2.7181080574200762e-122,5.4322974463283343e-49,9.2954738933120736e-100,6.8160399359646611e-16,2.9822085068183944e-16,5.3545240569476436e-21,5.3545240570154017e-21,3.5001022575398639e-32,3.1211034874147685e-37,3.9707194860050218e-44,2.2456552871815973e-33,1.0109485435800154e-47,8.9069941917400726e-69,4.1415745329758887e-99,8.2932395070089974e-62,3.4152653606251051e-98,1.4644208420268657e-99,2.3094403926631173e-75,9.2996976272336837e-65,1.2887109850516672e-78,1.1761373105094062e-86,4.0335784142878431e-94,8.8238624446309804e-172
5.315953219969857e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999804,0.099999999999998646,0.099999999999999714,5.5006158239825256e-107,9.6267288245908271e-59,6.4669795935179178e-47,7.2506484810847932e-83,2.805148938046371e-49,1.6536134996193851e-136,1.7569829579452296e-34,1.0342368512136145e-126,1.7565266970163597e-34,5.1043627380662369e-81,1.4866427323397236e-59,2.2919807467621763e-118,6.9934229120225287e-120,4.3590765865844255e-48,2.9879470218809675e-98,1.3655829139997092e-15,5.9748079840437751e-16,1.0727704992076632e-20,1.0727704992348368e-20,1.4036850235045355e-31,2.5044678078716252e-36,6.3731854604683178e-43,9.0060820955829427e-33,8.1122253891649124e-47,5.7288655488784764e-67,1.0674076243411964e-96,1.330739192676946e-60,8.8021601274093952e-96,3.7678098343057337e-97,7.42586388641325e-74,1.4944364429674509e-63,4.1437897850744212e-77,7.5804555386841138e-85,5.2006153345471009e-92,7.3181252539032363e-168
1.0641151575974443e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999607,0.099999999999997272,0.099999999999999409,2.8257910127512839e-104,1.5433718849847926e-57,5.1804608643130058e-46,9.3039652183408354e-81,2.2486740815824771e-48,1.7004677582690523e-133,3.5179356497500487e-34,6.6407885303875377e-125,3.5161082261902195e-34,8.1847404503041649e-80,2.384170283848965e-58,5.8860428188280993e-116,1.794796868946753e-117,3.4925658025823793e-47,9.5829156228491121e-97,2.7335407548056559e-15,1.1960006938494396e-15,2.1474066862136677e-20,2.1474066863225059e-20,5.6219613266410906e-31,2.0065879780106433e-35,1.021302943292746e-41,3.6071303857982055e-32,6.4996520281884283e-46,3.6755411178205884e-65,2.7417393484688496e-94,2.1322187094238307e-59,2.2609195761592137e-93,9.6697330884212939e-95,2.3819972395492714e-72,2.3962980361745781e-62,1.3292079988421544e-75,4.8685194876619937e-83,6.680896985211226e-90,6.0319420960230135e-164
2.1291548287983617e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999213,0.099999999999994538,0.099999999999998812,1.449200677032157e-101,2.471874195496814e-56,4.1470178905688318e-45,1.192361514326375e-78,1.8007630201114374e-47,1.7449161892154573e-130,7.042585750546107e-34,4.2581933873827165e-123,7.0352712939037026e-34,1.3109808995979074e-78,3.8191118000057645e-57,1.5106670766204027e-113,4.6003125287592754e-115,2.7961762717197235e-46,3.069974829007061e-95,5.4694564364153918e-15,2.3930404847395077e-15,4.2966790601465065e-20,4.2966790605821506e-20,2.2501693280957211e-30,1.6064361317721103e-34,1.6353203765429343e-40,1.4437921996975703e-31,5.2036736894684666e-45,2.3551947704110539e-63,7.0304514420873913e-92,3.4138981921147054e-58,5.7975183532140665e-91,2.4784862869832236e-92,7.6315573049211305e-71,3.8382413886382172e-61,4.2585849102484349e-74,3.1212400142128337e-81,8.5668106451381101e-88,4.9564365274244762e-160
