Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH2X(27),CHX(28),CX(26),CH3OO(77),H2X(49),C2H4(47),HOX(22),H2OX(23),OCX(25),COX(50),O(29),C2H4X(206),CH4OX(60)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.389668641139981e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,4.2544981822401515e-54,3.0502777133731647e-36,2.8722243695324168e-89,1.9175322319898861e-54,1.0031982806368461e-132,5.6393892862449382e-20,-7.267494765160774e-106,5.639389286244937e-20,2.8051395122311403e-72,3.785347656266388e-70,6.530588515862474e-113,7.5722024864058796e-114,1.098710972559417e-37,1.3344974691913304e-85,3.079825305287053e-18,9.1188153422013965e-20,3.650567557651177e-22,3.6505675576437691e-22,3.648361723596631e-34,7.9556300556261338e-43,8.6201543430438645e-48,3.4259550458221429e-37,2.2332008571004571e-52,2.2451288014207226e-98,9.2522642059738361e-38,3.4528103769527048e-54,1.1175548651785561e-78,1.1500981005846555e-106,8.6490487065726961e-29,4.4062700968603284e-115,6.9513261885231236e-87
1.7891072195191947e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,5.050940241982004e-53,1.8423677388824176e-35,3.1740234572227322e-87,2.8977747023977664e-53,3.6199839401922084e-130,1.5790290001485825e-19,1.4029998351389078e-104,1.5790290001485816e-19,7.9109422294729007e-71,1.1901738754364597e-68,1.3055528531294135e-110,1.5137855549442922e-111,6.6362142742760584e-37,6.9077432209551769e-84,8.6235108548037451e-18,2.553268295816391e-19,1.0221589161435302e-21,1.0221589161390561e-21,2.2036104764104341e-33,9.4449239793342845e-42,1.0234295724449364e-46,2.069276847674436e-36,2.6512560575562782e-51,2.1143092727016706e-96,5.5883675803911427e-37,4.0991764794922786e-53,6.7989246532640841e-77,2.2992014470792449e-104,2.4217336414001779e-28,7.5132074076171487e-113,4.0036079989746701e-85
4.089387930329588e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,4.9590430813012569e-52,8.8702075905645568e-35,2.8718834133418333e-85,3.1172937913614249e-52,1.3108305218701306e-127,3.6092091431967612e-19,1.4814197032965323e-102,3.6092091431967559e-19,1.720802731131511e-69,2.6552124451769436e-67,2.3637883101789675e-108,2.7408071533200122e-109,3.1950515082285547e-36,3.0161910309346122e-82,1.9710881953837112e-17,5.8360418190088937e-19,2.3363632369051589e-21,2.3363632368836175e-21,1.0609435822590036e-32,9.2730823224521326e-41,1.0049042216246729e-45,9.9626772732187244e-36,2.6030189190568003e-50,1.8479172183956931e-94,2.6905584310716058e-36,4.0245957752955519e-52,3.0696455070642848e-75,4.1628536832590069e-102,5.5353911971252869e-28,1.3131274132676891e-110,1.7953858691225218e-83
8.689949351950375e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,4.3862174461347957e-51,3.8738526960618285e-34,2.1738882772514548e-83,2.8653300566485142e-51,3.9753933588742619e-125,7.6695694292931195e-19,1.1709388113608092e-100,7.6695694292931002e-19,3.1900782524139963e-68,4.9729190517236947e-66,3.5824386430741266e-106,4.1538294342950939e-107,1.3953629351770894e-35,1.1228522958596452e-80,4.1885624151903788e-17,1.2401588865393899e-18,4.9647718784476306e-21,4.9647718783535534e-21,4.6334193170177919e-32,8.2019362143383773e-40,8.8899539808640889e-45,4.3509629081609859e-35,2.3023407556793547e-49,1.3786035807415126e-92,1.1750375541322373e-35,3.5597093860540643e-51,1.15925665159803e-73,6.3090116132979095e-100,1.1762706365532675e-27,1.9611886885533516e-108,6.7546903602636497e-82
1.7891072195191946e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,3.6868800530713456e-50,1.6172572437005706e-33,1.5108140975903124e-81,2.451350189022046e-50,1.1061194112241618e-122,1.5790290001485854e-18,8.2991996142841988e-99,1.5790290001485766e-18,5.4829294473654405e-67,8.5894809839593381e-65,4.9824321904741136e-104,5.7771187588006217e-105,5.8253655767497018e-35,3.8683964078905846e-79,8.6235108548036881e-17,2.5532682958163906e-18,1.0221589161609428e-20,1.0221589161216673e-20,1.9343613210959981e-31,6.894221447955255e-39,7.4753849273719693e-44,1.8164413652650791e-34,1.9352561316276796e-48,9.5095299814881675e-91,4.9055504817693564e-35,2.9921502273943856e-50,4.0235058191911695e-72,8.7745320112129789e-98,2.4217336930176134e-27,2.7071299880832034e-106,2.3389348162448696e-80
3.6293317881675087e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996514,0.022821567693054285,0.0,3.0227270196937743e-49,6.6070235388684786e-33,1.007699120073148e-79,2.0268237407459722e-49,2.952441341530828e-120,3.2031731145871372e-18,5.5849808794868326e-97,3.2031731145871006e-18,9.087553459971478e-66,1.4271551120512352e-63,6.6485082227752528e-102,7.7089301175465953e-103,2.3798519152055233e-34,1.2837797276494452e-77,1.7493407734030208e-16,5.1794871143703893e-18,2.0735223728240444e-20,2.0735223726635909e-20,7.9024968795208073e-31,5.6522990383226687e-38,6.1334343908322507e-43,7.4207556672001133e-34,1.5866399000277815e-47,6.315326221448292e-89,2.00407743586927e-34,2.4531455342502136e-49,1.3409986079726336e-70,1.1708648707339761e-95,4.9126598970777793e-27,3.5966596114273134e-104,7.7817834576410382e-79
7.309780925464137e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.022821567693054282,0.0,2.4478827104844009e-48,2.6706645518767898e-32,6.5904297526847845e-78,1.6481794053347771e-48,7.7254281236134052e-118,6.4514613434642639e-18,3.664510235983537e-95,6.4514613434641144e-18,1.4796725015030235e-64,2.3266230277049987e-62,8.6976651324452229e-100,1.008492287968619e-100,9.6197419476937365e-34,4.1830093346580371e-76,3.5233201492482854e-16,1.0431924751478383e-17,4.1762492862732134e-20,4.1762492856246354e-20,3.1943153593848316e-30,4.5773779246924805e-37,4.9745654847769185e-42,2.9995880882518003e-33,1.2849021275712262e-46,4.1166966308234503e-87,8.1008014193545759e-34,1.9866208552914681e-48,4.3837920129394159e-69,1.5317406881892841e-93,9.8945126697240011e-27,4.6896967947737722e-102,2.5388109641454068e-77
1.4670679200057396e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.1186699660299646,0.022821567693054275,0.0,1.9702689670987927e-47,1.0738624704999763e-31,4.2731295803557755e-76,1.3293163997971073e-47,2.0038205915406196e-115,1.2948037801218605e-17,2.3745480972139779e-93,1.2948037801218003e-17,2.3881973830012519e-63,3.7575024035310867e-61,1.1279615726538012e-97,1.3078688703435176e-98,3.8680559286882475e-33,1.3506683663529315e-74,7.0712789009386557e-16,2.0936800025694344e-17,8.3817031136634231e-20,8.3817031110555214e-20,1.2844199724387729e-29,3.6842713612682089e-36,4.01611902130405e-41,1.2061211775334137e-32,1.0342010164073566e-45,2.6588961471747901e-85,3.2572966214255667e-33,1.5990052957428266e-47,1.4209990233923451e-67,1.9864464877663874e-91,1.9858219673120004e-26,6.0584088207079049e-100,8.2029020494637871e-76
2.9392475749243913e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999844,0.11866996602996388,0.022821567693054264,0.0,1.5810167640439603e-46,4.3066688050359251e-31,2.7648147677570183e-74,1.0677792236363351e-46,5.1862056735066265e-113,2.5941190716727634e-17,1.5291425027429729e-91,2.5941190716725224e-17,3.837769081546706e-62,6.0400753685861839e-60,1.4596594611655935e-95,1.6924718153715997e-96,1.5512634309814034e-32,4.3416027725183084e-73,1.4167196404318762e-15,4.1946550574126189e-17,1.6792610770411318e-19,1.6792610759952464e-19,5.1510970808117839e-29,2.95639475246569e-35,3.2421913594984382e-40,4.8370853721090848e-32,8.2988118424967929e-45,1.7094802695578326e-83,1.3063216308000336e-32,1.2831010468676252e-46,4.5969465564695193e-66,2.5705976868411305e-89,3.9785639512326283e-26,7.7905293991027938e-98,2.6375928231155173e-74
5.883606884761695e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999699,0.11866996602996244,0.022821567693054243,0.0,1.2667373425668823e-45,1.7249138698186184e-30,1.794775007205377e-72,8.5595721228831577e-46,1.3465961270210072e-110,5.19274965477471e-17,9.8168027241569777e-90,5.1927496547737449e-17,6.1537836263701107e-61,9.686636794544215e-59,1.8950234339859335e-93,2.1972753486313455e-94,6.2131450754042628e-32,1.3924347630841082e-71,2.8359031411076443e-15,8.3966051670989558e-17,3.3614426091777051e-19,3.3614426049887059e-19,2.0631244451195168e-28,2.3687118377557414e-34,2.6289599839096477e-39,1.9373571586310852e-31,6.6491482512187553e-44,1.0965654418087066e-81,5.232100256290692e-32,1.0280422333815718e-45,1.4921268608125831e-64,3.3373146161678974e-87,7.964050252039592e-26,9.9948268823184782e-96,8.4606167190475224e-73
1.17723255044363e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999405,0.11866996602995955,0.022821567693054202,0.0,1.0141601075451206e-44,6.9041507448263539e-30,1.1768178557610446e-70,6.8545998165637227e-45,3.5313966430222195e-108,1.039001082097916e-16,6.2924642703367929e-88,1.0390010820975301e-16,9.8567484740219206e-60,1.5516655442011538e-57,2.4849082204345922e-91,2.8812454126939866e-92,2.4868772260100698e-31,4.4607923533706861e-70,5.6742701424581669e-15,1.6800505386471499e-16,6.725805676598826e-19,6.7258056598319062e-19,8.2578649503817619e-28,1.8964072142684602e-33,2.1548228208534867e-38,7.7544775286224985e-31,5.3233615751508269e-43,7.0260227540260234e-80,2.0942036237077919e-31,8.2305887749523475e-45,4.8926346276957482e-63,4.3761572389697649e-85,1.5935032185516345e-25,1.2808084796369604e-93,2.7106530636035381e-71
2.354976274378551e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998822,0.11866996602995376,0.022821567693054119,0.0,8.1163631473000925e-44,2.7625596134323054e-29,7.8785963811533416e-69,5.4864580574091211e-44,9.4546086993694025e-106,2.0784533153390307e-16,4.0302873037802975e-86,2.0784533153374858e-16,1.5779358173516046e-58,2.4841087347978201e-56,3.3266833587689958e-89,3.8572817648672638e-90,9.9507482397375693e-31,1.4282542195577983e-68,1.1351004145155153e-14,3.360830582521605e-16,1.3454531824033033e-18,1.3454531756943433e-18,3.3042140243693883e-27,1.5176980721306474e-32,1.804633369936269e-37,3.1028010754256693e-30,4.26030715019652e-42,4.4992174350061651e-78,8.3795422934700562e-31,6.5869724175101699e-44,1.6382905774560982e-61,5.8586024723702395e-83,3.1877033379921162e-25,1.6403766661362914e-91,8.6793025681579512e-70
4.710463722248394e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997651,0.1186699660299422,0.022821567693053952,0.0,6.4943237529285783e-43,1.1052037390300193e-28,5.4820833050986074e-67,4.390277998640585e-43,2.6303631177360578e-103,4.1573577818221554e-16,2.5803795772556448e-84,4.1573577818159761e-16,2.525382351751247e-57,3.9757294215902624e-55,4.6282301218246723e-87,5.3664222662366697e-88,3.9809472721928808e-30,4.5716949583497497e-67,2.2704472150532899e-14,6.7223906702703038e-16,2.6911984169269678e-18,2.6911983900866985e-18,1.3218946922903655e-26,1.2143825580737655e-31,1.5721965845286393e-36,1.2413224696450746e-29,3.408893028681556e-41,2.8803195348190328e-76,3.3523625380873571e-30,5.2705786511594484e-43,5.7030463435789132e-60,8.150748791425912e-81,6.3761185078536044e-25,2.1002850846053672e-89,2.7782111342345885e-68
9.421438617988079e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995314,0.11866996602991908,0.022821567693053615,0.0,5.1959524399932143e-42,4.4211748085312993e-28,4.0700600185216272e-65,3.5126670736769021e-42,7.8061350197090544e-101,8.3151667147919896e-16,1.6517616256422059e-82,8.3151667147672657e-16,4.0411598748367086e-56,6.3620915064593457e-54,6.8691543125135241e-85,7.9647687493753547e-86,1.5925085268592331e-29,1.4631474497604311e-65,4.541140816122349e-14,1.3445510845766859e-15,5.3826889061219098e-18,5.3826887987516074e-18,5.28796050986423e-26,9.7158790587881971e-31,1.4630381115161643e-35,4.9656939695195416e-29,2.7273733967157024e-40,1.8436670621848963e-74,1.3410541337487425e-29,4.2168631614238835e-42,2.118992691771147e-58,1.2097227115847128e-78,1.275300857149867e-24,2.6887508565430773e-87,8.891610618339887e-67
1.884338840946745e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990634,0.11866996602987283,0.022821567693052942,0.0,4.1569594830618035e-41,1.7685419280358075e-27,3.3231270344156306e-63,2.8103115387319673e-41,2.5470805021735128e-98,1.6630784580745989e-15,1.0572294340462343e-80,1.6630784580647099e-15,6.466294316675407e-55,1.0180085772494537e-52,1.1210183485138561e-82,1.2998182158803847e-83,6.3702934605769693e-29,4.6823999579924376e-64,9.0825280182345003e-14,2.6891751196756588e-15,1.0765669965104791e-17,1.0765669535602228e-17,2.1152313920031315e-25,7.7729060589022667e-30,1.498749718298528e-34,1.9863583954427529e-28,2.1820023487311379e-39,1.1800309430872798e-72,5.3644346726107274e-29,3.3736504912800981e-41,8.6612992453700658e-57,1.9742187770315071e-76,2.5507027594477188e-24,3.4418481157638569e-85,2.8455289217794575e-65
3.7687287992426193e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981281,0.11866996602978033,0.022821567693051596,0.0,3.3256468337323143e-40,7.0743119765673487e-27,3.0460119498217222e-61,2.2483203835166733e-40,9.3293063013390608e-96,3.3262020312711321e-15,6.7665947677745723e-79,3.3262020312315763e-15,1.0346421720180537e-53,1.6288727969327363e-51,2.0536910933733749e-80,2.381250130772605e-81,2.5481693421390654e-28,1.4984204829422436e-62,1.8165302422354942e-13,5.3784231898722453e-15,2.1531632405462956e-17,2.1531630687386674e-17,8.4607866560126639e-25,6.2182065551350315e-29,1.7242299633609779e-33,7.9455950924729687e-28,1.7456433907404653e-38,7.5524668888306935e-71,2.1458174115976517e-28,2.6989841514135106e-40,3.9748941139343848e-55,3.6167431534850128e-74,5.1016021223187712e-24,4.4057236682814634e-83,9.1060336074896325e-64
7.537508715834368e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679962573,0.11866996602959533,0.022821567693048907,0.0,2.6605495387173974e-39,2.8297538458359496e-26,3.125846203333234e-59,1.7986847657695264e-39,3.8261638788710744e-93,6.6524491776871352e-15,4.3307250886657258e-77,6.6524491775289102e-15,1.6554555367955064e-52,2.6062434849297556e-50,4.212563286208465e-78,4.8844574915679068e-79,1.0192781976154447e-27,4.7950295116671516e-61,3.63308512301804e-13,1.0756919330259963e-14,4.3063558575911843e-17,4.3063551703288492e-17,3.3841002697693778e-24,4.9741988938873815e-28,2.2196287682685364e-32,3.1782702534607916e-27,1.3965314104741432e-37,4.8336648025037338e-69,8.5833560462990315e-28,2.1592124597446124e-39,2.0419395292965073e-53,7.4187198153694597e-72,1.0203783081162267e-23,5.6394274209798799e-81,2.9139849437505142e-62
1.5075068549017865e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679925159,0.11866996602922532,0.02282156769304353,0.0,2.1284530555854189e-38,1.1319075110173232e-25,3.5059443662960021e-57,1.4389591923000661e-38,1.7154940587036588e-90,1.3304943470610879e-14,2.7716974638219103e-75,1.3304943469977977e-14,2.6487512954842959e-51,4.1700263847900011e-49,9.4456665527184121e-76,1.0952228690157485e-76,4.0771342647604834e-27,1.5344228595398814e-59,7.2661948844169585e-13,2.1513911611013398e-14,8.6127416077046219e-17,8.6127388584424366e-17,1.3534479768106311e-23,3.9787022447865301e-27,3.1197532914096078e-31,1.27131447594217e-26,1.1172319562748604e-36,3.0935729393279123e-67,3.433359149799198e-27,1.7273794391755731e-38,1.1460765002671611e-51,1.6634705096819193e-69,2.0409673931254787e-23,7.2185316977275511e-79,9.3248360849331759e-61
3.0150188215384854e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767985033,0.1186699660284853,0.022821567693032774,0.0,1.7027687676640156e-37,4.527643281764505e-25,4.1697613474454691e-55,1.1511718993553789e-37,8.1580955261525049e-88,2.660993205682533e-14,1.7738970501263706e-73,2.6609932054293708e-14,4.2380199810506652e-50,6.6720691050069216e-48,2.2462479558182214e-73,2.6045193187193138e-74,1.6308584429222765e-26,4.9101744948189236e-58,1.4532414406550104e-12,4.3027896172430656e-14,1.7225515173069594e-16,1.7225504174403035e-16,5.4122141973187002e-23,3.1818829168263562e-26,4.6452126042650138e-30,5.085270102791331e-26,8.9378853399405023e-36,1.979895403026889e-65,1.3733465671599725e-26,1.3819064052928183e-37,6.8188676878922025e-50,3.955852779571827e-67,4.0827571361061558e-23,9.2397616038835887e-77,2.9839594686896719e-59
6.0300427548118834e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679700666,0.11866996602700527,0.02282156769301126,0.0,1.3622190687441217e-36,1.8110609930991286e-24,5.1314308254710049e-53,9.2093932749259379e-37,4.0149809103298288e-85,5.3219909230722052e-14,1.1352975057068489e-71,5.3219909220595558e-14,6.7808461648350156e-49,1.0675323894183351e-46,5.5278118432747859e-71,6.4094849176253062e-72,6.5234467829224766e-26,1.5712591759319393e-56,2.9064853448157633e-12,8.60558652948942e-14,3.4451070572694644e-16,3.4451026565261842e-16,2.1636162946982593e-22,2.5437702438727122e-25,7.1518123984748706e-29,2.0341100408266789e-25,7.1503239492452676e-35,1.2671357628986646e-63,5.493388570953353e-26,1.1055247704414469e-36,4.1969431108104513e-48,9.7349906223072322e-65,8.1687829139159095e-23,1.1826920312247722e-74,9.5486793842039786e-58
1.2060090621358681e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679401345,0.11866996602404523,0.022821567692968232,0.0,1.0897793173600144e-35,7.2442595801251664e-24,6.4302441108891515e-51,7.3675216887600981e-36,2.0122624351504165e-82,1.0643986358438683e-13,7.2659146166484102e-70,1.0643986354388084e-13,1.0849364799076652e-47,1.7080502698640378e-45,1.3852888653091372e-68,1.6062391265603663e-69,2.6093841451590859e-25,5.0280342071013121e-55,5.8129731520737614e-12,1.7211180353823727e-13,6.8902214514069168e-16,6.8902038382761596e-16,8.6443102985914494e-22,2.0322385590781814e-24,1.1207578324265139e-27,8.1364406419551096e-25,5.7202715012008933e-34,8.1096764371310966e-62,2.1973530791229833e-25,8.844172822489608e-36,2.6300008641474409e-46,2.4396209182746608e-62,1.6350619636926624e-22,1.5138472244364697e-72,3.0555724628359267e-56
2.4120186354452273e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678802696,0.11866996601812513,0.022821567692882176,0.0,8.7182898362864667e-35,2.8977135259149625e-23,8.1265018534210984e-49,5.8940199173847075e-35,1.0171819901008723e-79,2.1287977231520164e-13,4.6501883825413018e-68,2.1287977215317769e-13,1.7358991080257356e-46,2.7328708075884037e-44,3.5013198125225838e-66,4.0597715638591073e-67,1.0437570082431439e-24,1.6089714038723062e-53,1.1625948762335729e-11,3.4422368001778566e-13,1.3780463549659112e-15,1.3780393016114195e-15,3.4496235631435928e-21,1.621359615191215e-23,1.7709125004483786e-26,3.2545735358975171e-24,4.576231815097721e-33,5.1901939275580158e-60,8.7893851406290354e-25,7.0752898407432196e-35,1.6620022543563216e-44,6.1661377919150841e-60,3.2753433752493955e-22,1.9377248343265245e-70,9.7777830583283376e-55
