Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),CH2X(27),HX(19),CHX(28),CX(26),H2OX(23),OCX(25),CO2X(24),COX(47),CHOX(50),CH4OX(57),CH3OX(56),CH2OX(181),CHOX(183),CH3OX(55),C2H6X(49)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1418014810577116e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-6.2865568166054505e-129,7.7144941534085915e-69,1.8342431687517607e-54,2.9929909072561775e-100,4.8586876417364948e-57,6.7761406216485296e-161,3.772806825764988e-37,-4.5734444379331326e-141,3.7728036711544189e-37,3.5553821450944532e-91,7.7782791616156565e-70,4.0387277569003919e-138,1.2331386276143253e-139,1.2160372423482385e-57,8.6472293168112015e-111,2.9331044296157727e-18,1.2833153947986418e-18,2.3041793149042326e-23,6.2268495859359206e-38,9.7053200037233769e-37,2.3041793149044204e-23,6.5003461808855192e-44,6.8186825953739343e-53,2.105492632884396e-54,5.557782379837138e-82,-2.8502986592366181e-116,6.6437163984735155e-117,-2.3504409756154178e-115,1.6143127703943025e-86,8.9947081710640631e-90,3.6931260359185234e-100,1.1463779484497524e-109,1.3263618266023267e-61,1.0409316341658981e-73
3.1970441469615927e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,2.1199680537781441e-126,2.0086769065885024e-67,2.0864564117076417e-53,6.0875732854243885e-98,7.3424487642229268e-56,3.8574584072245487e-158,1.0563869333115085e-36,8.8256788500427746e-140,1.0563850279267249e-36,1.0026746510350052e-89,2.4456156205066208e-68,1.4826685621372309e-135,4.5269722918942327e-137,1.4436794141159048e-56,4.4760549346035243e-109,8.2126924029241583e-18,3.5932831054361971e-18,6.4517020817315564e-23,3.7610171499055125e-37,5.862012903148564e-36,6.451702081732692e-23,7.7172105219263239e-43,1.5077038491129333e-51,2.4996408537604825e-53,6.2492419165805076e-80,5.3557498807664357e-114,2.4389731517273531e-114,4.4165104876625988e-113,9.2976157750913452e-85,5.1790821530820553e-88,2.849781487066767e-98,1.4762010737874896e-107,2.0043980386730182e-60,2.935593757421137e-72
7.307529478769355e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999992,0.10000000000000001,1.7638330863230533e-123,4.2190049905376015e-66,2.0012481271665111e-52,1.0955617327488633e-95,7.8986713254520201e-55,7.2931730447643058e-155,2.4146035231707762e-36,9.3191741081605178e-138,2.4145943495632418e-36,2.181036377541787e-88,5.4560339301972657e-67,5.3369428239975272e-133,1.6294988884872465e-134,1.4174130096813362e-55,1.9544207593282182e-107,1.8771868349540891e-17,8.2132185267113046e-18,1.4746747615385023e-22,1.8107678595904814e-36,2.8223064884322952e-35,1.4746747615390487e-22,7.5768020699753423e-42,2.9591739091578719e-50,2.4541622128904338e-52,5.6196668913601062e-78,2.2187594035307283e-111,8.7791658166453075e-112,1.8296549300257803e-110,4.169441175061148e-83,2.3230131316690641e-86,3.1058309014001687e-96,3.2459792964006133e-105,2.156239947292721e-59,6.3855576362790662e-71
1.552850014238488e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999993,0.099999999999999964,0.10000000000000001,1.1336898069193653e-120,7.7119428405867891e-65,1.7497224246138352e-51,1.6568670510639893e-93,7.2602397693227234e-54,9.958200606062568e-152,5.1310530564463018e-36,7.3660521352679458e-136,5.1310129928920791e-36,4.0432738686449578e-87,1.0218547721449337e-65,1.6151283081320033e-130,4.9313305297722194e-132,1.2536857553718178e-54,7.2758184552709238e-106,3.9890220242774227e-17,1.7453089369261524e-17,3.1336838682687243e-22,7.9080989741418587e-36,1.2325750528675416e-34,3.1336838682711106e-22,6.7015938778703653e-41,5.2481931105523246e-49,2.1706786847992935e-51,4.2449258249665101e-76,7.1279238727870599e-109,2.6568271217260039e-109,5.8778978145000379e-108,1.5686479771840768e-81,8.7405715358701686e-85,2.5407619148180737e-94,5.3454301980378368e-103,1.9819559992600194e-58,1.1837747684242054e-69
3.1970441469615926e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999987,0.099999999999999922,0.099999999999999992,6.4847455835700336e-118,1.3173710774913267e-63,1.4623450779723156e-50,2.3016667971840481e-91,6.2112879769644198e-53,1.1725682112010203e-148,1.0564017537225317e-35,5.220825710873668e-134,1.0563850279772965e-35,6.9493547192580949e-86,1.7650000015562612e-64,4.4887843066552091e-128,1.370493414002338e-129,1.0537984176239689e-53,2.5066297749709347e-104,8.2126924029240406e-17,3.5932831054361942e-17,6.4517020817272804e-22,3.3014756504661254e-35,5.1457553775289097e-34,6.4517020817372411e-22,5.6330905142696286e-40,8.8372091651964821e-48,1.8245862277769274e-50,2.9467175000047638e-74,2.0382059151552966e-106,7.383735587149959e-107,1.680765156501266e-105,5.4317299132558787e-80,3.0267127128929963e-83,1.8286039328435013e-92,7.7211873051210918e-101,1.6956050847352369e-57,2.0346063711593458e-68
6.485432412407802e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999976,0.099999999999999839,0.099999999999999978,3.5067865044613323e-115,2.1772424928441052e-62,1.1955076010644744e-49,3.0678893475149693e-89,5.135613013879319e-52,1.2862200432338895e-145,2.1430208155695198e-35,3.5134151174602923e-132,2.1429524854427588e-35,1.1518045805594033e-84,2.9325739003953762e-63,1.196851179330458e-125,3.6540175757276789e-127,8.6396761058757521e-53,8.3185903163289052e-103,1.6660033160217066e-16,7.289231442456274e-17,1.3087738508636845e-21,1.348760527714513e-34,2.1022066565408142e-33,1.3087738508677542e-21,4.6183431169550909e-39,1.4503170343085833e-46,1.4959060263894631e-49,1.9632372687552683e-72,5.5104938498264839e-104,1.9686559113898137e-104,4.5441169474671655e-103,1.8071707554828927e-78,1.0070272468674909e-81,1.2394861085599012e-90,1.0485871713105764e-98,1.4019590738478292e-56,3.3722108492206976e-67
1.3062208943300222e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999951,0.099999999999999672,0.099999999999999936,1.8448974942086687e-112,3.5402341259717132e-61,9.6677731333766995e-49,4.0067761606233267e-87,4.1761952127723242e-51,1.3628287783971553e-142,4.3163636020282396e-35,2.3053310148821606e-130,4.3160874007308226e-35,1.8754151735852305e-83,4.7808356010828649e-62,3.1267615439177958e-123,9.5453041873041201e-125,6.9966337092800447e-52,2.7104915426806576e-101,3.35547146748023e-16,1.468112811649641e-16,2.6359811362425793e-21,5.4519057012871454e-34,8.4974366872716034e-33,2.6359811362590287e-21,3.7400461819643782e-38,2.3500549217352997e-45,1.2114234841550297e-48,1.2818306643009754e-70,1.4494424865222065e-101,5.1426735435443351e-102,1.1952533336447084e-100,5.8959041379926159e-77,3.2854651165751169e-80,8.1613175815087463e-89,1.3820967907813326e-96,1.1400498357045972e-55,5.4907711793304488e-66
2.621576200508506e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999901,0.099999999999999339,0.099999999999999867,9.5745301918007396e-110,5.7101295139547139e-60,7.7759185652664321e-48,5.1804135420985415e-85,3.3682527321431971e-50,1.4194664778823852e-139,8.6634678260046477e-35,1.4938860828221562e-128,8.6623572327355081e-35,3.0269276512547801e-82,7.7210622660170741e-61,8.0868994047193206e-121,2.4683464889469424e-122,5.6314995026241978e-51,8.7520129435816008e-100,6.7344077703969464e-16,2.9464921464576591e-16,5.2903957069882909e-21,2.1921873041433951e-33,3.4167668543978431e-32,5.2903957070544346e-21,3.0103019671102748e-37,3.7838982543390164e-44,9.7505901151246374e-48,8.2858295507332947e-69,3.7610133640895724e-99,1.3298581099048582e-99,3.101443328201254e-98,1.9049675157592768e-75,1.0615396168469869e-78,5.2975608232857302e-87,1.7950513811009214e-94,9.1949149363476264e-55,8.8621268205113398e-65
5.252286812865474e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999804,0.099999999999998659,0.099999999999999714,4.9353446879810467e-107,9.1729870016222971e-59,6.2374240341295561e-47,6.6642067711547488e-83,2.7055637678681876e-49,1.4659106084280425e-136,1.7359350878193318e-34,9.6210568451680649e-127,1.7354896902459111e-34,4.8641914754487679e-81,1.2411382090360752e-59,2.0813562975346716e-118,6.3508037142627759e-120,4.5189236914369272e-50,2.8132563557686503e-98,1.3492280376229065e-15,5.9032508160736628e-16,1.0599224848431413e-20,8.7916515694167566e-33,1.3702642443164529e-31,1.0599224848696678e-20,2.4155575624471468e-36,6.0733220109741782e-43,7.8242344967238314e-47,5.3293342024224204e-67,9.6932450506992059e-97,3.4215892548425296e-97,7.9933376604899954e-96,6.1253061672198311e-74,3.4133240241597208e-77,3.4143911286091406e-85,2.3144114351345556e-92,7.3858557177577412e-54,1.4241199890186994e-63
