Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH2X(27),CHX(28),CX(26),CH3OO(77),H2X(49),HOX(22),C2H4(47),H2OX(23),OCX(25),COX(50),CH4OX(60),CHOX(53),C2H4X(209),C2H4X(65)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.473197266622491e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.6529624131914921e-65,3.1305481795146781e-36,3.1050005019881011e-89,1.9937200706352828e-54,1.1130408444563641e-132,5.7131099221802602e-20,-7.8564753352901561e-106,5.713109922180259e-20,2.9547210003195232e-72,3.8359781653891798e-70,7.1521421497261028e-113,8.2928925069714847e-114,4.9970866576674949e-50,1.4240337195398842e-85,3.1200861683966903e-18,9.2380206021829239e-20,3.6982894204655765e-22,3.6982894204579757e-22,3.7443712425318599e-34,8.2717251501921122e-43,8.9626582909113779e-48,3.5161117575542534e-37,2.3219309553870118e-52,9.4957448429979579e-38,2.427081080930129e-98,3.5899983075223995e-54,1.1925364451463754e-78,1.2595595452899031e-106,7.1363892011765607e-87,-8.7127848700368635e-110,4.8256369368158721e-115,2.8313309224821714e-102
1.8124952346542977e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,3.6978621821395004e-64,1.8908511004320921e-35,3.4312604708838894e-87,3.0129098124589304e-53,4.0163468145571832e-130,1.5996707782104731e-19,1.5167033668239318e-104,1.5996707782104721e-19,8.3327860875404671e-71,1.206092914865331e-68,1.4298106159459813e-110,1.6578621474695288e-111,5.932541279979966e-49,7.371208750585005e-84,8.7362412715107316e-18,2.5866457686112186e-19,1.0355210377315942e-21,1.0355210377270023e-21,2.2616002256628775e-33,9.8201920743922855e-42,1.0640940326597129e-46,2.1237315015605467e-36,2.7565964302424291e-51,5.7354298851677207e-37,2.2856595617890751e-96,4.2620459906732302e-53,7.2550979534010596e-77,2.5180310619756215e-104,4.1101948101945083e-85,8.8179535248496411e-108,8.2282771883808764e-113,2.6663545136774324e-100
4.1428462506383946e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,7.3065747931271839e-63,9.1036341061070769e-35,3.1046374045718149e-85,3.2411508921893037e-52,1.4543590286098125e-127,3.6563903501953685e-19,1.6014786295999754e-102,3.6563903501953632e-19,1.8125629872435621e-69,2.6907269462587756e-67,2.5887681874380458e-108,3.0016708077692373e-109,5.8246042081682828e-48,3.2185582250735225e-82,1.9968551477738794e-17,5.9123331853970705e-19,2.366905229106597e-21,2.3669052290844886e-21,1.0888631500887163e-32,9.6415227609249847e-41,1.0448338955122962e-45,1.0224852990934429e-35,2.7064427216207021e-50,2.7613626003392344e-36,1.9976782594259125e-94,4.1845020271942768e-52,3.2756071124706238e-75,4.5590644211929728e-102,1.8431838688166108e-83,1.8467876881155846e-105,1.4381043641592909e-110,2.3304076128739945e-98
8.803548282606588e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,1.3001841078385835e-61,3.9757961880646468e-34,2.3500784207309372e-83,2.9791760712890494e-51,4.4106870233818944e-125,7.7698294941651621e-19,1.2658353868918795e-100,7.76982949416514e-19,3.3601863032004745e-68,5.0394337818142458e-66,3.923416310454226e-106,4.5491922617658104e-107,5.1517964605700795e-47,1.1981885285197848e-80,4.2433171890194856e-17,1.2563708018968776e-18,5.0296736118763217e-21,5.0296736117797687e-21,4.7553514032067983e-32,8.5278176051502817e-40,9.2432175391635078e-45,4.4654619320594515e-35,2.3938179378111576e-49,1.2059595950560152e-35,1.4903299643467148e-92,3.7011446550102413e-51,1.2370414143983113e-73,6.9095053768072197e-100,6.9345183812867043e-82,2.9684522786707616e-103,2.1478448961520291e-108,1.7385563853200747e-96
1.8124952346542976e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,2.1929653182066247e-60,1.6598166448515872e-33,1.6332710725419837e-81,2.5487478514433022e-50,1.2272420939768814e-122,1.5996707782104763e-18,8.9717929348001888e-99,1.5996707782104672e-18,5.7753017239764825e-67,8.7043686393037372e-65,5.4566880721555827e-104,6.3270173716977772e-105,4.3303953441140065e-46,4.1279411520987934e-79,8.7362412715106715e-17,2.5866457686112184e-18,1.0355210377494649e-20,1.0355210377091556e-20,1.9852655654625957e-31,7.1681443850847198e-39,7.7724758314115092e-44,1.8642424538242601e-34,2.0121482151254014e-48,5.0346439157149763e-35,1.0280212293516975e-90,3.1110350931208735e-50,4.2934993442292174e-72,9.6097412536098178e-98,2.4012035505858491e-80,4.245639841609535e-101,2.9647811871529121e-106,1.1992464181743598e-94
3.6767760474415754e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996514,0.022821567693054285,0.0,3.6019640741710167e-59,6.7808925793732319e-33,1.0893873588090543e-79,2.1073540115243746e-49,3.2757722006242298e-120,3.2450464357984016e-18,6.0376053504547522e-97,3.2450464357983643e-18,9.5721390669057178e-66,1.4462438678687618e-63,7.2814208974290058e-102,8.4427909199148997e-103,3.5503197345413422e-45,1.3699131653620863e-77,1.7722089436492946e-16,5.2471957020398973e-18,2.1006283909046814e-20,2.1006283907400056e-20,8.1104573161317276e-31,5.8768775993222863e-38,6.377256070177763e-43,7.6160387110703049e-34,1.6496806757068924e-47,2.0568163159367084e-34,6.8271401831512074e-89,2.5506145299833297e-49,1.4309990255303347e-70,1.2823267494116916e-95,7.9889554592465895e-79,5.7433670731269708e-99,3.9389718260764627e-104,7.9642551817703234e-93
7.40533767301613e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.022821567693054282,0.0,5.8389486037558661e-58,2.7409451979854632e-32,7.1248149602906221e-78,1.7136652841189682e-48,8.5716281929215022e-118,6.5357977509742758e-18,3.9614937069594763e-95,6.5357977509741233e-18,1.5585747055303517e-64,2.3577425176137337e-62,9.5258333207395148e-100,1.1045182004573396e-100,2.8751409692380419e-44,4.4636626011177002e-76,3.5693785766457076e-16,1.0568295568897251e-17,4.2308430973413172e-20,4.2308430966756707e-20,3.2783762837508143e-30,4.7592474455970948e-37,5.1724212682002447e-42,3.0785246168871754e-33,1.3359541821645927e-46,8.3139804055008593e-34,4.4503267138746917e-87,2.0655537752354609e-48,4.6780991342340736e-69,1.6775889004489257e-93,2.6064009393082637e-77,7.5647031005032731e-97,5.1360388647201009e-102,5.1915643402430538e-91
1.486246092416524e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.1186699660299646,0.022821567693054275,0.0,9.4034544404983523e-57,1.1021220092026992e-31,4.6197943877557274e-76,1.3821331334252051e-47,2.2233930096043406e-115,1.3117300381326116e-17,2.5669889666608109e-93,1.3117300381325501e-17,2.5155458584101699e-63,3.8077604634167418e-61,1.2354104319893915e-97,1.4324555775754571e-98,2.3141635835756775e-43,1.4412896054161368e-74,7.1637178426383719e-16,2.1210495302611934e-17,8.4912725107194028e-20,8.4912725080428718e-20,1.3182204930839262e-29,3.8306557411671228e-36,4.1760187734356773e-41,1.2378612085188572e-32,1.0752921513820307e-45,3.3430149547164514e-33,2.8743814797012796e-85,1.6625373769559274e-47,1.5164570709424719e-67,2.1756740415446336e-91,8.4212853622611976e-76,9.8439372835722004e-95,6.6350181095262986e-100,3.3531327675520713e-89
2.977670742646346e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999844,0.11866996602996387,0.022821567693054264,0.0,1.5094633107577436e-55,4.4200021946851059e-31,2.9893432616083006e-74,1.1102044963832068e-46,5.7549308287252754e-113,2.6280305642030147e-17,1.65306903557699e-91,2.6280305642027694e-17,4.0424146627635782e-62,6.1208637338054322e-60,1.5988272488506585e-95,1.8538365475827917e-96,1.8569705347619546e-42,4.6328966478798966e-73,1.4352396374623052e-15,4.2494894770041211e-17,1.7012131339494826e-19,1.701213132876074e-19,5.2866522274657165e-29,3.0738589457029967e-35,3.3715411278521927e-40,4.9643770924094698e-32,8.6285423225291139e-45,1.3406985167423676e-32,1.8480219439747634e-83,1.3340815413048992e-46,4.9061318652183295e-66,2.8156852585065566e-89,2.7078126381946935e-74,1.2761643056030929e-92,8.5319933295248776e-98,2.1558248025544731e-87
