Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),H2OX(23),OCX(25),CO2X(24),COX(47),CHOX(50),CH4OX(57)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0699165957605889e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-3.5072234655889068e-129,5.947629912524296e-69,1.5178100824664886e-54,1.9016835644778597e-100,3.9975749668662812e-57,3.5425054937594798e-161,3.5352793858093211e-37,-3.0960628753336372e-141,3.5352766159084342e-37,2.7410904454163141e-91,6.4455399769358259e-72,2.4045662378683539e-138,7.3418258670555491e-140,1.07538374870657e-59,6.2470291332531179e-111,2.7484437167113773e-18,1.2025211573715935e-18,2.1591122464595841e-23,5.4674776852118186e-38,2.1591122464597492e-23,8.5217403385006848e-37,5.3482812214985309e-44,5.2656833260163661e-53,1.7323342512916712e-54,3.7685514355654477e-82,-1.6970003081921415e-116,3.9555170696468898e-117,-1.3994002283928714e-115,1.2534955163829735e-88
2.995766468129649e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,1.1818113566404654e-126,1.5486262722469149e-67,1.7218969606922735e-53,3.8650014182997225e-98,6.0411352899274273e-56,2.0151255566637765e-158,9.8987912547755933e-37,5.9745215329063268e-140,9.8987745245742405e-37,7.730313630544167e-90,2.0265809511079966e-70,8.8208312146136044e-136,2.6932303855847623e-137,1.2766955864644506e-58,3.233642193810398e-109,7.6956424067918495e-18,3.3670592406404622e-18,6.0455142900865776e-23,3.3023565218679686e-37,6.0455142900875744e-23,5.1471308525425044e-36,6.3494791084171441e-43,1.1634248527604501e-51,2.0566272231334857e-53,4.2341986364260788e-80,3.1862589618912755e-114,1.4510176290716784e-114,2.6274901004626471e-113,7.2194925727100503e-87
6.847466212867769e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999992,0.10000000000000001,9.8284831289889302e-124,3.2527193830783974e-66,1.6490803839008582e-52,6.9526204173833595e-96,6.4987776721331047e-55,3.8081401120934282e-155,2.2625850890746113e-36,6.3085994281127805e-138,2.2625770342028343e-36,1.6815120658145123e-88,4.5211906236197217e-69,3.1736841364164583e-133,9.6900406021833009e-135,1.2534672974924086e-57,1.4119347336338044e-107,1.7590039786952765e-17,7.6961354071781984e-18,1.3818318377339525e-22,1.5899425108596386e-36,1.3818318377344321e-22,2.4781216225681905e-35,6.233955482766485e-42,2.2824449286353816e-50,2.0192088033056092e-52,3.8059336204244699e-78,1.3194105536789946e-111,5.2206524237379925e-112,1.088027749474987e-110,3.2375234947093584e-85
1.455086570234401e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999993,0.099999999999999978,0.10000000000000001,6.3157590455598751e-121,5.9456641003081682e-65,1.4407156959709353e-51,1.0512389127451552e-93,5.9734963214850623e-54,5.1984657951591901e-152,4.8080113754839078e-36,4.9864359459259573e-136,4.8079761977426544e-36,3.1172399807387505e-87,8.4676896684913099e-68,9.6023998592955453e-131,2.9318215108818503e-132,1.1086776295665873e-56,5.2562789990736788e-106,3.7378834547274486e-17,1.6354287740253667e-17,2.9363926551841282e-22,6.9436966602194254e-36,2.9363926551862234e-22,1.0822605395263014e-34,5.5138616791910457e-41,4.0470915067440868e-49,1.7859673197117368e-51,2.8742416278488569e-76,4.2377484215702963e-109,1.579562120028987e-109,3.4945816244955424e-108,1.2180372541915994e-83
2.995766468129649e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999987,0.099999999999999936,0.099999999999999992,3.6122294462448447e-118,1.0156514595959103e-63,1.2036305535591006e-50,1.4601827013180471e-91,5.1104518667355405e-53,6.1204265005970321e-149,9.8989213851632641e-36,3.5342274903445033e-134,9.8987745250182836e-36,5.3577390686294641e-86,1.462582813664132e-66,2.6684051390571818e-128,8.1470653269184495e-130,9.3191035048924474e-56,1.8108678117288707e-104,7.6956424067917465e-17,3.3670592406404586e-17,6.0455142900828235e-22,2.8988566686996757e-35,6.0455142900915692e-22,4.5182223763055898e-34,4.6347307087175541e-40,6.8139700890652347e-48,1.5012131448214745e-50,1.9950002162084569e-74,1.2116336268660727e-106,4.3893517160018701e-107,9.991514793578649e-106,4.2176762952751423e-82
6.077126263920145e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999976,0.099999999999999853,0.099999999999999978,1.9532924077123842e-115,1.6785851492156412e-62,9.8381375280456357e-50,1.9461662533995338e-89,4.2254204298606398e-52,6.7132614064816688e-146,2.0080971151965028e-35,2.3783976631622271e-132,2.0080371180353507e-35,8.880059588250278e-85,2.4301032196783125e-65,7.1143869300278023e-126,2.1720523722963523e-127,7.6403640898303313e-55,6.0096100322495494e-103,1.5611160310920162e-16,6.8303201738706404e-17,1.2263757559873583e-21,1.1842775365279319e-34,1.2263757559909316e-21,1.8458393602956932e-33,3.7998285347650413e-39,1.1182117411949687e-46,1.2307852356026881e-49,1.3290854533809039e-72,3.275588755781189e-104,1.1702252805169032e-104,2.7011542706584307e-103,1.4032474697065614e-80
1.2239845855501137e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999954,0.0999999999999997,0.09999999999999995,1.0275855539169765e-112,2.7294086270033761e-61,7.9551005737989966e-49,2.5416931377219245e-87,3.4360417195469412e-51,7.1129048028305958e-143,4.0445989675340779e-35,1.5605859546273664e-130,4.0443564494159809e-35,1.4458875034218155e-83,3.9616815744559864e-64,1.8585643484860371e-123,5.6738412095040192e-125,6.1873649297621436e-54,1.9581439339847847e-101,3.1442196119176272e-16,1.3756842040330984e-16,2.4700244099428602e-21,4.7870391523343893e-34,2.4700244099573036e-21,7.4611624062051924e-33,3.0771936412469901e-38,1.8118705850216215e-45,9.9672179405336854e-49,8.6775805091919611e-71,8.6156425572163396e-102,3.0568657117495902e-102,7.1047318042224829e-101,4.5781022840022847e-79
2.456528503866312e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999909,0.099999999999999381,0.099999999999999881,5.332823507157655e-110,4.4023293999438332e-60,6.3980901965836688e-48,3.2861428713021361e-85,2.7712921259596046e-50,7.4084036114225498e-140,8.117970268118115e-35,1.0112782718896741e-128,8.1169951134315842e-35,2.3336682598904288e-82,6.3981263249229401e-63,4.8067813665628557e-121,1.4671937881820188e-122,4.9801295840583606e-53,6.3227281051345413e-100,6.3104267735685617e-16,2.7609885773251601e-16,4.957321717843261e-21,1.9248473889916272e-33,4.9573217179013383e-21,3.0000881935669258e-32,2.4767834559392387e-37,2.9173110060312135e-44,8.0224841269077796e-48,5.6091623906170568e-69,2.2355560458197378e-99,7.9047231284314108e-100,1.8435103276493691e-98,1.4791855380796096e-77
4.921616340498709e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999818,0.099999999999998743,0.099999999999999742,2.7488711634427795e-107,7.0720830916129706e-59,5.1320846347681529e-47,4.2273443567481434e-83,2.2260525448781272e-49,7.6507505830077909e-137,1.6266183252921733e-34,6.5128873106095807e-127,1.6262272446480159e-34,3.7501422445913536e-81,1.0284801202815551e-61,1.2371061736909903e-118,3.7749150813340568e-120,3.9962403536048459e-52,2.0323844516961769e-98,1.2642841096869273e-15,5.5315973239092533e-16,9.9319163336016491e-21,7.7194989389010799e-33,9.9319163338345663e-21,1.2031596063726123e-31,1.9874471797788633e-36,4.6823817068905612e-43,6.4375382734457085e-47,3.6077144049343516e-67,5.761652242715289e-97,2.0337912272790635e-97,4.7512408793339994e-96,4.7562303419108838e-76
