Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CO2X(24),C2H4(47),COX(50),CH4OX(60),CHOX(53),C2H4X(210),C2H4X(65)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.555661701545902e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,-1.1203704358315383e-122,1.5662445712477418e-65,3.2108195669317054e-36,3.3500287092335581e-89,2.0708922851247347e-54,1.2316674659826981e-132,5.7858929879186103e-20,-8.4764532389617537e-106,5.7858929879186091e-20,3.1081888494897546e-72,4.035223790658631e-70,7.8148530088875107e-113,9.0613015252889449e-114,8.4673234223996046e-51,1.5170809597276032e-85,3.1598340908207258e-18,9.3557071359608951e-20,3.745403286254094e-22,9.7392254762527674e-38,3.6062699498690399e-37,3.7454032862462967e-22,3.7289565248143633e-54,3.8403814602069671e-34,8.5919020713019759e-43,9.3095839423698414e-48,1.2704584872261011e-78,2.4118067286501945e-52,-4.413453363776352e-110,2.6186091577665213e-98,1.3762687529511437e-106,7.6026976304537244e-87,-9.5200989480257056e-110,5.2727688572930664e-115,3.054757986376197e-102
1.8355852764328526e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,2.0298066285597751e-120,3.5038908955033528e-64,1.9393350184321781e-35,3.7020372104628819e-87,3.1295324026795317e-53,4.4444068902829087e-130,1.6200500366172111e-19,1.6363909565002959e-104,1.6200500366172101e-19,8.7655898155241473e-71,1.2687389285598828e-68,1.5622963951010368e-110,1.811478564186098e-111,1.0052406367069569e-49,7.8528479227149445e-84,8.8475354542980296e-18,2.6195979980690506e-19,1.0487129201524102e-21,5.8824921876546046e-37,2.1781870497185916e-36,1.0487129201477005e-21,4.4270171862421016e-53,2.3195903969518262e-33,1.0200306113891728e-41,1.1052834996590705e-46,7.7291607434624584e-77,2.8632969482608409e-51,4.4667289552088488e-108,2.4660276066664355e-96,2.7513501648407233e-104,4.3787645946386975e-85,9.6350177839412467e-108,8.9906894110252586e-113,2.876762843099397e-100
4.1956234889893776e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,8.5694863386474676e-118,6.9233317623483403e-63,9.3370633007188224e-35,3.3496427955705707e-85,3.3666081487849946e-52,1.6093657408667377e-127,3.7029715122679126e-19,1.7278560849267899e-102,3.7029715122679063e-19,1.9067072482298526e-69,2.8304867567419482e-67,2.8286459576714399e-108,3.2798075538401138e-109,9.8695121811389311e-49,3.4288607298352498e-82,2.0222938181252617e-17,5.9876525670149738e-19,2.3970581032114687e-21,2.832166768491199e-36,1.048703301418454e-35,2.3970581031887931e-21,4.3464717252693328e-52,1.1167829211084137e-32,1.0014720976319866e-40,1.0852791557866929e-45,3.4896461079969748e-75,2.8112019229373892e-50,9.3549028595788043e-106,2.1553208569010499e-94,4.9815102603420348e-102,1.9636218328293666e-83,2.0179119062712556e-105,1.5713556253515387e-110,2.5143055732814137e-98
8.915699914102427e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,2.7569003977462715e-115,1.2319890015410889e-61,4.0777408500874056e-34,2.5355431517920658e-83,3.09449290413227e-51,4.8807930896641455e-125,7.868814463569319e-19,1.3657262325380707e-100,7.8688144635692949e-19,3.5347138960418115e-68,5.3011884393399144e-66,4.2869741005418876e-106,4.9707352027991988e-107,8.7294717555359921e-48,1.2764788778360236e-80,4.297374363516173e-17,1.2723761704906819e-18,5.0937484693498093e-21,1.2368816354808916e-35,4.579962836297897e-35,5.0937484692507811e-21,3.8444050187086071e-51,4.8772843767585377e-32,8.8579071956510828e-40,9.6010437419374328e-45,1.3178769711289295e-73,2.4864762650169244e-49,1.5036730905385153e-103,1.6079362328818818e-92,7.5497626027110718e-100,7.3876361029711816e-82,3.2435182677738798e-103,2.346858992385917e-108,1.875749969127964e-96
1.8355852764328527e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,7.8892277066683726e-113,2.0779450715966728e-60,1.7023765344629167e-33,1.7621748647060521e-81,2.6474038297448499e-50,1.3580522102366058e-122,1.6200500366172142e-18,9.6797838727987512e-99,1.6200500366172046e-18,6.0752700639469221e-67,9.156484716399729e-65,5.9623527616447856e-104,6.9133323571932522e-105,7.3376470006384442e-47,4.397663275883172e-79,8.8475354542979692e-17,2.6195979980690504e-18,1.0487129201707392e-20,5.1637373474803204e-35,1.9120443273883598e-34,1.0487129201293964e-20,3.2314540608928806e-50,2.0361701802678549e-31,7.4456045674163345e-39,8.0734058517129652e-44,4.5740839133856698e-72,2.0900331222271776e-48,2.1506443400186582e-101,1.1091453720580946e-90,1.050026122102983e-97,2.5581038315194734e-80,4.6390763025371062e-101,3.2394906176711897e-106,1.2938817807560214e-94
3.7236158464780725e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996514,0.022821567693054285,2.1349102353108546e-110,3.4130435946415999e-59,6.9547636153979035e-33,1.1753770872653079e-79,2.1889246822004489e-49,3.624966932228581e-120,3.2863872171377851e-18,6.5140507952195673e-97,3.2863872171377466e-18,1.0069314591742673e-65,1.521363630277019e-63,7.9562572276075393e-102,9.2252593451494535e-103,6.0158463330486432e-46,1.4594241042845052e-77,1.7947857635861455e-16,5.3140416532257863e-18,2.1273890666746156e-20,2.1095551950337857e-34,7.8113249619416641e-34,2.1273890665057175e-20,2.6493412751688884e-49,8.3184192659598778e-31,6.1043562073229491e-38,6.6242317480437995e-43,1.5245309814070037e-70,1.7135354281605771e-47,2.9093514893612506e-99,7.3658896550998514e-89,1.4011713591811939e-95,8.5109725767295048e-79,6.2756557587450413e-99,4.3039473972268084e-104,8.5927333370738523e-93
7.499676986568512e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.022821567693054282,5.6245399755586719e-108,5.5327008650267833e-58,2.8112266507153199e-32,7.6873521039053521e-78,1.7799971988208688e-48,9.4855371051126219e-118,6.6190615781789491e-18,4.27410699013684e-95,6.6190615781787935e-18,1.6395268513148777e-64,2.4802066895946845e-62,1.0408878048276461e-99,1.2069066740707123e-100,4.8717883317970797e-45,4.7553209635292537e-76,3.6148501998988009e-16,1.0702928963539251e-17,4.2847413598118075e-20,8.5271593870808734e-34,3.1574624418436443e-33,4.2847413591290942e-20,2.1455052531479813e-48,3.3624378196657114e-30,4.9434654992222672e-37,5.3728417030750905e-42,4.9839617162655884e-69,1.3876654162539365e-46,3.8320382482958337e-97,4.8015149277912565e-87,1.8331008393148303e-93,2.7767092996914935e-77,8.2659496261279582e-97,5.6119317628814664e-102,5.6012429233703697e-91
1.5051799266749392e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.11866996602996459,0.022821567693054275,1.4639650671093e-105,8.9102522993994161e-57,1.1303818722443543e-31,4.9847381043995806e-76,1.4356322256706296e-47,2.4605446895801424e-115,1.3284410300261371e-17,2.769557721809088e-93,1.3284410300260744e-17,2.6462029480797242e-63,4.0055404283050686e-61,1.3499841115195927e-97,1.5653030292856797e-98,3.9212390853483451e-44,1.5354643232743884e-74,7.2549790725239455e-16,2.1480703584166156e-17,8.5994459466039482e-20,3.4287332856534229e-33,1.2696017607492677e-32,8.5994459438587891e-20,1.7268892819973294e-47,1.3520212595355672e-29,3.9789304236645983e-36,4.3379996211942316e-41,1.6156676977221343e-67,1.1169138513626358e-45,4.9868162672631704e-95,3.1012072753938217e-85,2.3774483629892684e-91,8.9715519313601304e-76,1.0756879038042327e-94,7.2498027871058016e-100,3.617736380308414e-89
3.015604382711115e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999838,0.11866996602996385,0.022821567693054264,3.796100078390349e-103,1.4302934764622795e-55,4.5333368850792901e-31,3.2257315276094337e-74,1.1531778766797527e-46,6.3692408761410336e-113,2.6615107744426584e-17,1.7835176432879228e-91,2.6615107744424066e-17,4.2523770982749819e-62,6.4387892510440918e-60,1.7472358865888487e-95,2.0259154183259717e-96,3.1465474148392599e-43,4.9356128633011282e-73,1.4535236817773566e-15,4.303625282541988e-17,1.7228855122259264e-19,1.3750754013253255e-32,5.091670903134952e-32,1.7228855111249938e-19,1.3857198923528301e-46,5.4222083591544899e-29,3.1928399863601129e-35,3.5025878721083664e-40,5.2275010242848619e-66,8.9625302525998481e-45,6.4653789784013032e-93,1.9938547260380562e-83,3.0770459163608174e-89,2.8847474772968126e-74,1.3946232497689344e-92,9.322547127808514e-98,2.3259460205231217e-87
