Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),CO2X(24),CHOX(50),COX(47),C2H6X(49)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0699165957605889e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-3.5072234655889023e-129,3.6352948535338323e-69,1.5178100824664886e-54,1.9016835644778597e-100,3.9975749668662812e-57,3.5425054937594798e-161,3.5352793858093211e-37,-3.0960628753336372e-141,3.5352766159084342e-37,2.7410904454163141e-91,6.9278418533145469e-74,2.4045662378683539e-138,7.3418258670555491e-140,1.155851731479818e-61,6.2470291332531179e-111,2.7484437167113773e-18,1.2025211573715935e-18,2.1591122464595841e-23,5.4674776852021768e-38,2.1591122464597492e-23,8.5217403385006848e-37,5.3482812214985309e-44,5.2656833260163661e-53,3.7685514355654477e-82,1.732334251288616e-54,-1.6970003081921396e-116,-1.3994002283928714e-115,3.9555170696468898e-117,8.0252610109782251e-74
2.995766468129649e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,1.1818113566404616e-126,8.2159112000096064e-68,1.7218969606922735e-53,3.8650014182997225e-98,6.0411352899274273e-56,2.0151255566637765e-158,9.8987912547755933e-37,5.9745215329063268e-140,9.8987745245742405e-37,7.730313630544167e-90,2.1782243818875974e-72,8.8208312146136044e-136,2.6932303855847623e-137,1.3722271756107114e-60,3.233642193810398e-109,7.6956424067918495e-18,3.3670592406404622e-18,6.0455142900865776e-23,3.3023565218565212e-37,6.0455142900875744e-23,5.1471308525425044e-36,6.3494791084171441e-43,1.1634248527604501e-51,4.2341986364260788e-80,2.0566272231266522e-53,3.1862589618912651e-114,2.6274901004626471e-113,1.4510176290716784e-114,2.2632520092717014e-72
6.847466212867769e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999992,0.10000000000000001,9.8284831289888495e-124,1.6307439555732085e-66,1.6490803839008582e-52,6.9526204173833595e-96,6.4987776721331033e-55,3.8081401120934282e-155,2.2625850890746113e-36,6.3085994281127805e-138,2.2625770342028343e-36,1.6815120658145123e-88,4.8594987760599272e-71,3.1736841364164583e-133,9.6900406021833009e-135,1.3472607782062748e-59,1.4119347336338041e-107,1.7590039786952765e-17,7.6961354071781984e-18,1.3818318377339525e-22,1.5899425108483989e-36,1.3818318377344321e-22,2.4781216225681905e-35,6.233955482766485e-42,2.2824449286353816e-50,3.8059336204244699e-78,2.0192088032921058e-52,1.3194105536789837e-111,1.088027749474987e-110,5.2206524237379925e-112,4.923067476243362e-71
1.455086570234401e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999993,0.099999999999999978,0.10000000000000001,6.3157590455597573e-121,2.9078836351147136e-65,1.4407156959709353e-51,1.0512389127451552e-93,5.9734963214850623e-54,5.1984657951591901e-152,4.8080113754839078e-36,4.9864359459259573e-136,4.8079761977426544e-36,3.1172399807387505e-87,9.1013033966826969e-70,9.6023998592955453e-131,2.9318215108818503e-132,1.1916369010725686e-58,5.2562789990736788e-106,3.7378834547274486e-17,1.6354287740253667e-17,2.9363926551841282e-22,6.9436966601200146e-36,2.9363926551862234e-22,1.0822605395263012e-34,5.5138616791910446e-41,4.0470915067440868e-49,2.8742416278488569e-76,1.7859673196877083e-51,4.2377484215702164e-109,3.4945816244955424e-108,1.579562120028987e-109,9.1265374045273396e-70
2.995766468129649e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999987,0.099999999999999936,0.099999999999999992,3.6122294462447034e-118,4.9095042873520241e-64,1.2036305535591004e-50,1.4601827013180466e-91,5.1104518667355386e-53,6.1204265005970312e-149,9.8989213851632641e-36,3.5342274903445019e-134,9.8987745250182836e-36,5.357739068629462e-86,1.5720238283267037e-68,2.6684051390571807e-128,8.1470653269184479e-130,1.0016426168475504e-57,1.81086781172887e-104,7.6956424067917465e-17,3.3670592406404586e-17,6.0455142900828235e-22,2.8988566686161144e-35,6.0455142900915692e-22,4.5182223763055881e-34,4.6347307087175525e-40,6.8139700890652323e-48,1.9950002162084561e-74,1.5012131447809464e-50,1.2116336268660252e-106,9.9915147935786451e-106,4.3893517160018683e-107,1.568618595798791e-68
6.077126263920145e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999976,0.099999999999999853,0.099999999999999978,1.9532924077122287e-115,8.067865390438993e-63,9.8381375280456319e-50,1.9461662533995328e-89,4.2254204298606376e-52,6.7132614064816661e-146,2.0080971151965028e-35,2.3783976631622252e-132,2.0080371180353507e-35,8.8800595882502711e-85,2.6119411022955721e-67,7.1143869300277997e-126,2.1720523722963511e-127,8.2120713396741306e-57,6.0096100322495464e-103,1.5611160310920162e-16,6.8303201738706404e-17,1.2263757559873583e-21,1.1842775364594231e-34,1.2263757559909316e-21,1.8458393602956921e-33,3.7998285347650387e-39,1.1182117411949677e-46,1.3290854533809032e-72,1.2307852355361205e-49,3.2755887557809282e-104,2.7011542706584298e-103,1.1702252805169025e-104,2.5998702854883633e-67
1.2239845855501137e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999954,0.0999999999999997,0.09999999999999995,1.0275855539168116e-112,1.3081568618981227e-61,7.9551005737989905e-49,2.5416931377219223e-87,3.4360417195469377e-51,7.1129048028305904e-143,4.0445989675340779e-35,1.5605859546273644e-130,4.0443564494159809e-35,1.4458875034218137e-83,4.2581232163945406e-66,1.8585643484860354e-123,5.6738412095040139e-125,6.6503482828368748e-56,1.9581439339847825e-101,3.1442196119176272e-16,1.3756842040330984e-16,2.4700244099428602e-21,4.7870391517795875e-34,2.4700244099573036e-21,7.4611624062051841e-33,3.0771936412469869e-38,1.8118705850216193e-45,8.677580509191953e-71,9.9672179394545939e-49,8.6156425572149548e-102,7.1047318042224778e-101,3.0568657117495874e-102,4.2332147875209747e-66
2.456528503866312e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999909,0.099999999999999381,0.099999999999999881,5.3328235071559354e-110,2.1070040028371887e-60,6.3980901965836554e-48,3.2861428713021286e-85,2.7712921259595975e-50,7.408403611422533e-140,8.117970268118115e-35,1.0112782718896714e-128,8.1169951134315842e-35,2.3336682598904229e-82,6.8768803677159913e-65,4.8067813665628445e-121,1.4671937881820156e-122,5.3527788646744758e-55,6.322728105134525e-100,6.3104267735685617e-16,2.7609885773251601e-16,4.957321717843261e-21,1.9248473885450745e-33,4.9573217179013383e-21,3.0000881935669186e-32,2.4767834559392328e-37,2.9173110060312065e-44,5.6091623906170445e-69,8.0224841251699369e-48,2.2355560458190158e-99,1.8435103276493649e-98,7.9047231284313925e-100,6.8324257340592933e-65
4.921616340498709e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999818,0.099999999999998743,0.099999999999999742,2.7488711634410036e-107,3.3824145526831988e-59,5.1320846347681286e-47,4.2273443567481244e-83,2.2260525448781158e-49,7.6507505830077584e-137,1.6266183252921733e-34,6.5128873106095504e-127,1.6262272446480159e-34,3.7501422445913354e-81,1.1054384341569452e-63,1.2371061736909846e-118,3.774915081334039e-120,4.2952679317367826e-54,2.0323844516961671e-98,1.2642841096869273e-15,5.5315973239092533e-16,9.9319163336016491e-21,7.7194989353177736e-33,9.9319163338345663e-21,1.2031596063726064e-31,1.9874471797788533e-36,4.6823817068905389e-43,3.6077144049343344e-67,6.4375382706560863e-47,5.7616522427115612e-97,4.7512408793339794e-96,2.0337912272790539e-97,1.0979524733099248e-63
