Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),H2OX(23),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),COX(58)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.494490786932799e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,1.3193165961235628e-139,3.3910079066277162e-65,1.6657803863225533e-46,1.7167586519607507e-74,8.7792585407397619e-58,4.4834051666604535e-49,4.3960786068898533e-29,-3.5611504665066462e-114,4.396078606744361e-29,3.0780851077789614e-74,3.5849784930060034e-70,4.0541400603110632e-75,3.6882391283139835e-106,4.4834559918096033e-49,6.2860900656240079e-92,2.6725134708517623e-18,7.7953303112818144e-19,1.7666427745363397e-23,2.0444485413903583e-37,6.9311052104557908e-54,1.7666427745367825e-23,2.3156712205292357e-36,1.2476874575952395e-44,2.659985282557225e-52,6.531860542988005e-82,2.4520489585981636e-92
2.378457420341184e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,1.0180481870393799e-137,6.8579350102576283e-64,1.0061328492630901e-45,2.0381358716674544e-73,1.3267215506769174e-56,2.7079767207494589e-48,1.2309020099763024e-28,-3.3621327424678117e-114,1.2309020098884247e-28,4.6516022358089871e-73,1.1271746051428243e-68,4.8130750797421623e-74,8.2504434007057274e-105,2.7080370603665287e-48,1.77277798364193e-90,7.4830377183849315e-18,2.1826924871589081e-18,4.9465997687010675e-23,1.2348469189981071e-36,8.2286081058146097e-53,4.9465997687037424e-23,1.3986654099229841e-35,1.4812545416028497e-43,3.2576332488643919e-51,4.097038956631817e-80,5.485135438563469e-91
5.436474103636992e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,1.1095376139015402e-135,1.2732123237329235e-62,4.844111802287184e-45,2.0010538849103661e-72,1.4272265024506138e-55,1.3037742225946761e-47,2.8134903087395101e-28,6.4250300389761807e-114,2.8134903083164157e-28,5.003981420724896e-72,2.5146645387877665e-67,4.7255056547352566e-73,1.6301485842177357e-103,1.3038334643885241e-47,3.8561793382988134e-89,1.7104086213451246e-17,4.9890113992203615e-18,1.1306513757027785e-22,5.9452563583381182e-36,8.0788962331879006e-52,1.1306513757040661e-22,6.733971800148898e-35,1.4543044756049327e-42,3.4095448781959664e-50,1.9699896373892954e-78,1.0837703302821472e-89
1.1552507470228608e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,9.0770228188687326e-134,2.1933046502858184e-61,2.1155642774511935e-44,1.7699095002137749e-71,1.3118670452239227e-54,5.6939245630002048e-47,5.9786669070202172e-28,3.8875880347548866e-112,5.9786669051724529e-28,4.5995210407635925e-71,4.7096883778471718e-66,4.1796562374953187e-72,2.9007623074699583e-102,5.6944485499578687e-47,7.1487066094771213e-88,3.6346183203583789e-17,1.0601649223343268e-17,2.4026341733670264e-22,2.5964496475398736e-35,7.1456922275208193e-51,2.4026341733726505e-22,2.9409023372836731e-34,1.286315808849423e-41,3.3913770810528165e-49,8.3516458633421185e-77,1.9285113973234123e-88
2.378457420341184e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,6.5332555752934556e-132,3.6388649487263987e-60,8.8321762896623229e-44,1.4877155803552764e-70,1.1223298767340298e-53,2.3771014205706572e-46,1.2309020106598803e-27,1.3857359720226564e-110,1.2309020098884751e-27,3.9349870981194831e-70,8.1348154558529552e-65,3.513252911688344e-71,4.8925596170923379e-101,2.3775418631811512e-46,1.2286800192850345e-86,7.4830377183848542e-17,2.1826924871589078e-17,4.9465997686911391e-22,1.0839666166218741e-34,6.0063848772428056e-50,4.946599768714617e-22,1.2277687796149938e-33,1.0812258926243362e-40,3.4826421905211833e-48,3.5316736457487152e-75,3.2527163494560807e-87
4.82487076697783e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999853,0.099999999999999992,4.4290722314577531e-130,5.9274311678046064e-59,3.6083236315418641e-43,1.2197191173847674e-69,9.279640458115112e-53,9.7112349374148799e-46,2.4969726517824655e-27,4.6566483599263095e-109,2.4969726486310232e-27,3.2535234474212408e-69,1.3516117546028745e-63,2.8803770002668365e-70,8.0360438664929189e-100,9.7148459520398516e-46,2.036447036632028e-85,1.517987651443766e-16,4.427747616808069e-17,1.0034530959321835e-21,4.4283573183959457e-34,4.9243972124526006e-49,1.0034530959417754e-21,5.0158356310672085e-33,8.8645422796412635e-40,3.8916811853186658e-47,1.5985930695854943e-73,5.3425963736377226e-86
9.717697460251123e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.0999999999999997,0.099999999999999964,2.9171150799276406e-128,9.5686702450134923e-58,1.4586160221290103e-42,9.8776016561619344e-69,7.5460495081058591e-52,3.9254364352673712e-45,5.0291139388551095e-27,1.5265252096698139e-107,5.0291139261164758e-27,2.6457112664051861e-68,2.2034682890888603e-62,2.332603976004606e-69,1.3026773417134183e-98,3.9283607285324236e-45,3.3158261236463034e-84,3.0573554106542723e-16,8.917857876106381e-17,2.0210393340513101e-21,1.7900128313550083e-33,3.9879045356152405e-48,2.0210393340900826e-21,2.0274805988268068e-32,7.1787348107265353e-39,4.8302325547242173e-46,7.9756734471981067e-72,8.6605789574265668e-85
1.950335084679771e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999927,0.099999999999999395,0.099999999999999922,1.8945824439369485e-126,1.5377919724449767e-56,5.8656253209247187e-42,7.9503531609741289e-68,6.086162302599971e-51,1.5784007293634178e-44,1.009339653231029e-26,4.9439082281650773e-106,1.00933964810888e-26,2.1338620357791079e-67,3.5586071722961869e-61,1.8774826156660512e-68,2.0979217036839721e-97,1.5807544549906941e-44,5.3517568580466627e-83,6.1360909290750631e-16,1.7898078394702975e-16,4.0562118102615135e-21,7.1975628665904775e-33,3.2098125090729783e-47,4.0562118104174152e-21,8.152407424451209e-32,5.7780681284516688e-38,6.5900489031552454e-45,4.3600219027412708e-70,1.3947595444818606e-83
3.9074657619890876e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999849,0.099999999999998784,0.099999999999999839,1.2224721294007828e-124,2.465919665885194e-55,2.352854901406398e-41,6.3796577419310552e-67,4.8887365409850979e-50,6.3300929093122982e-44,2.0221961796460214e-26,1.5915599700370781e-104,2.0221961591039141e-26,1.7140341150520127e-66,5.7203570952415041e-60,1.50656156547434e-67,3.3676289673621329e-96,6.3489800751433152e-44,8.6001300046182284e-82,1.2293561965915748e-15,3.5858519431896056e-16,8.1265567625697235e-21,2.8865446278377961e-32,2.5756723899250532e-46,8.1265567631949601e-21,3.2694776832181141e-31,4.6365322795653056e-37,9.6248830489024395e-44,2.5485178080405553e-68,2.2388979694693547e-82
7.821727116607723e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999688,0.099999999999997549,0.099999999999999659,7.8689233591605707e-123,3.9498369204182483e-54,9.4275114097530145e-41,5.1114896017002883e-66,3.9189274415326866e-49,2.5353389447508179e-43,4.047909263371834e-26,5.1082594173391038e-103,4.0479091810962563e-26,1.3740106320048056e-65,9.1738957163908335e-59,1.2070825876141572e-66,5.3969873180414408e-95,2.5504716610852662e-43,1.3790132516019587e-80,2.4608504039593553e-15,7.1779401506281763e-16,1.6267246666737352e-20,1.1561234643920279e-31,2.0636722289967005e-45,1.6267246669241561e-20,1.3094945659182225e-30,3.7148623768858213e-36,1.4661014795002389e-42,1.5530494342508226e-66,3.5880745932340474e-81
