Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),H2OX(23),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),COX(50)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.005623792273728e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,7.8693002392829711e-66,7.6174078118290914e-42,8.3209840801461875e-93,3.6166880408451259e-57,3.7849070686331291e-142,7.1237143035492645e-25,-7.1281820653162203e-118,7.1237143035489762e-25,1.1403508667506178e-79,1.4063258562366182e-70,1.7465729266244543e-120,1.0553601606547486e-121,1.3589901289942287e-53,7.1578130352635741e-95,2.8251634421299508e-18,1.3583636890012977e-19,5.2358675890937879e-23,6.0742375806955474e-38,2.1531673116326008e-54,5.2358675890963863e-23,1.3012402518733068e-35,4.6705376858789989e-44,9.1117244055478509e-51,2.7561475502770554e-81,1.5460273741032942e-110
1.9615746618366438e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.7604044463912341e-64,4.6009143236416394e-41,9.2204188781003214e-91,5.4655389672924808e-56,1.3694623588608264e-139,1.9946400049938866e-24,1.3758710333735509e-116,1.9946400049937132e-24,3.2159719003568754e-78,4.4217135370189068e-69,3.5011211350606153e-118,2.1155393555253476e-119,1.6133930811399614e-52,3.7050901720468861e-93,7.9104576379638617e-18,3.8034183292036332e-19,1.4660429249458402e-22,3.6688394987351773e-37,2.5562402323588164e-53,1.4660429249474099e-22,7.8594910940743097e-35,5.5448623199982656e-43,1.0848218582674168e-49,1.6813914250444562e-79,3.0991142896658207e-108
4.483599227055186e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.4783274835974831e-63,2.2151421996251996e-40,8.3919101101690221e-89,5.8795774141973877e-55,4.9880587940222485e-137,4.5591771542721777e-24,1.4527866212949092e-114,4.5591771542713431e-24,6.9954413393989717e-77,9.8645996652367703e-68,6.3762682424530315e-116,3.8528362452851534e-117,1.5840388943495141e-51,1.6177873715168182e-91,1.8081046029631668e-17,8.6935276096083047e-19,3.3509552570170807e-22,1.7663882884588652e-36,2.5097318184035959e-52,3.3509552570246382e-22,3.7840066115868828e-34,5.443978662560992e-42,1.0716042008422966e-48,7.6363878234846139e-78,5.6441303406961945e-106
9.52764835749227e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,6.1895509853090543e-62,9.6741080031243762e-40,6.427041954269983e-87,5.4043446056217008e-54,1.5304392878156294e-134,9.6882514528302419e-24,1.1483068364448509e-112,9.6882514528265978e-24,1.2968369284631407e-75,1.8475303436663369e-66,9.7768135723097854e-114,5.9076030465583521e-115,1.4010644633749555e-50,6.0226167564909799e-90,3.8422222812967213e-17,1.8473746170417649e-18,7.1207799211528319e-22,7.7142817274068748e-36,2.2198293715264821e-51,7.1207799211858407e-22,1.6525750776563838e-33,4.8151373980247223e-41,9.5941970767677637e-48,2.9180880971925236e-76,8.6542171721944944e-104
1.9615746618366439e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,1.0439625615282699e-60,4.0387496957230712e-39,4.5705534697537102e-85,4.6235305910945744e-53,4.3567765399604701e-132,1.9946400049952298e-23,8.1387921991115139e-111,1.9946400049937095e-23,2.2289313367513949e-74,3.191149220295298e-65,1.3912527324332457e-111,8.406592618204728e-113,1.1776791019208673e-49,2.0748827884880292e-88,7.9104576379638032e-17,3.8034183292036333e-18,1.4660429249397415e-21,3.2205607652159543e-35,1.8659003414490887e-50,1.4660429249535225e-21,6.8991754354278392e-33,4.0474129857604236e-40,8.2596096825806653e-47,1.0365344669962599e-74,1.2315058683118606e-101
3.9791943140114775e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.7147151353073267e-59,1.6499610642347129e-38,3.18693572456853e-83,3.8228245029980894e-52,1.2154115975287192e-129,4.0462697244220124e-23,5.4770340426896884e-109,4.0462697244158011e-23,3.6942902285439002e-73,5.3021421570557112e-64,1.9404516161175801e-109,1.1725106338877526e-110,9.6553248010845505e-49,6.8857794813002148e-87,1.6046928351297846e-16,7.7155057535273671e-18,2.9739727905778892e-21,1.3157041568707044e-34,1.5297778327516658e-49,2.9739727906341899e-21,2.8185381134305863e-32,3.3183134851720621e-39,7.0916886350745745e-46,3.6127261917313778e-73,1.7176444628912883e-99
8.014433618361144e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,2.779629937520124e-58,6.6694066894482947e-38,2.2649335572086461e-81,3.1086573979201251e-51,3.454445292411469e-127,8.1495291632850664e-23,3.5936823679613136e-107,8.1495291632599555e-23,6.0151939548405423e-72,8.6438299071327353e-63,2.7577609868269061e-107,1.6663667653014597e-108,7.8191323547839798e-48,2.2436309926125664e-85,3.2319869777965478e-16,1.5539680602174825e-17,5.9898325218111122e-21,5.318286564823472e-34,1.2388537509389108e-48,5.9898325220386909e-21,1.1392980353925112e-31,2.6872559452314652e-38,6.2612720733381849e-45,1.2841226263897621e-71,2.4411084766804448e-97
1.6084912227060478e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,0.0,4.4765105781436199e-57,2.6817393071971185e-37,1.7017737907230305e-79,2.5072448101816175e-50,1.0376154452723987e-124,1.6356048041049123e-22,2.3286526927448104e-105,1.6356048040948157e-22,9.7085472942147795e-71,1.3959808387400623e-61,4.1425444764312067e-105,2.503117011327498e-106,6.2935179677324618e-47,7.2445485175675215e-84,6.4865752631298909e-16,3.1188030299469699e-17,1.2021551984105269e-20,2.1384596368453804e-33,9.971372762869274e-48,1.2021551985020354e-20,4.581066209687182e-31,2.1629368102637409e-37,5.8738679842714288e-44,4.8278990488036402e-70,3.6668879150266322e-95
3.2225869444459145e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996403,0.022821567693054254,0.0,7.1857926791371704e-56,1.0754975747371583e-36,1.4002335640212703e-77,2.0139553812166583e-49,3.4120655395091234e-122,3.276908579672903e-22,1.4995871469595451e-103,3.2769085796324109e-22,1.5601374867747368e-69,2.2439984266182049e-60,6.8130830561551017e-103,4.1167799632436199e-104,5.050151816323724e-46,2.3286953860718557e-82,1.299575183379584e-15,6.248472969405931e-17,2.408499090800442e-20,8.5761795916266395e-33,8.0013986621184831e-47,2.4084990911674318e-20,1.8372115750329883e-30,1.7356196737947895e-36,6.0522784456081315e-43,1.9885441935826955e-68,6.0307890617310072e-93
