Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),H2OX(23),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),CO2X(24),H2X(49),CHOX(53),CH4OX(60)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.430586134937856e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-1.4174775362804801e-125,9.9595831153404666e-66,8.569583788927538e-42,1.1849963751413138e-92,4.3155865785095427e-57,6.0638726833293648e-142,7.555840036912951e-25,-1.0149211722249384e-117,7.5558400369126268e-25,1.4432565657306242e-79,1.7798811635306486e-70,2.6381854201940687e-120,1.594113676270951e-121,1.6216050416242271e-53,9.6086341169894347e-95,2.9965383418356271e-18,1.4407622637155886e-19,5.5534762164645339e-23,6.8335172782819181e-38,2.569251161954512e-54,5.5534762164674585e-23,1.4638952830387182e-35,5.5730849658088924e-44,1.0874620847028678e-50,3.7005692295743717e-81,2.3352628541691241e-110,-1.5474800557638857e-113,6.1043846231395386e-58,-2.1527850333411427e-113,3.180143069559879e-87
2.0805641177825996e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,2.5757075063907032e-123,2.2280118774626593e-64,5.1760286148326817e-41,1.3133049645175442e-90,6.5217144374068884e-56,2.1944060677296147e-139,2.1156352103357305e-24,1.9590048175145594e-116,2.1156352103355355e-24,4.0702144363887603e-78,5.5962311954616546e-69,5.2892972085457896e-118,3.1960380620753507e-119,1.925169505413768e-52,4.9737057475898009e-93,8.3903073571397515e-18,4.0341343384036481e-19,1.5549733406095961e-22,4.127444436076393e-37,3.0502149794579596e-53,1.5549733406113626e-22,8.8419274770493781e-35,6.6163664452386358e-43,1.2949305007705627e-49,2.2579179849279662e-79,4.6819678407880488e-108,1.5707837319032494e-111,7.2471254326952902e-57,2.1852040622990169e-111,1.8315995964255065e-85
4.755575126360228e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,1.0941700766239161e-120,4.4022582214230916e-63,2.4920349753008003e-40,1.1957258003778422e-88,7.0157627889013529e-55,7.995646401840804e-137,4.8357376236250183e-24,2.0685184604614087e-114,4.8357376236240808e-24,8.8536054451756687e-77,1.2484883951327817e-67,9.6363543074718807e-116,5.8227310607505869e-117,1.8901428365094036e-51,2.1717145803352904e-91,1.9177845387747985e-17,9.2208784877797658e-19,3.5542247785339894e-22,1.9871868245155514e-36,2.9947191543294223e-52,3.554224778542493e-22,4.2570074343198701e-34,6.4959877550208312e-42,1.2796218986443793e-48,1.0258508512214603e-77,8.5298857655571403e-106,3.3103023425568041e-109,7.115270741853936e-56,4.6051445393318853e-109,8.213661363205278e-84
1.0105597143515485e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,3.5640720874698997e-118,7.833650465764015e-62,1.0883371509904906e-39,9.1640841179496709e-87,6.4486947124738681e-54,2.4549551154150277e-134,1.0275942450205262e-23,1.6349915699539436e-112,1.0275942450201164e-23,1.6413092375857406e-75,2.3382805912010571e-66,1.4785959735467362e-113,8.9343608863315622e-115,1.6718099336965419e-50,8.0847488688073912e-90,4.0752921448964372e-17,1.9594366786532002e-18,7.5527276543752059e-22,8.6785669433267848e-36,2.648795177834632e-51,7.5527276544123421e-22,1.8591469590772257e-33,5.7456275059857088e-41,1.1464897051246225e-47,3.922871949917214e-76,1.3088201559182738e-103,5.3875029842923982e-107,6.2933764238291589e-55,7.4948531506415523e-107,3.0901846888398922e-82
2.0805641177825999e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,1.0450880878270923e-115,1.3212651169282145e-60,4.5435934130596133e-39,6.5258849693224752e-85,5.5169940948491397e-53,6.9981328095338688e-132,2.115635210337242e-23,1.1588241236629419e-110,2.1156352103355313e-23,2.8209912230745223e-74,4.0387982319299012e-65,2.1069233467493506e-111,1.2731005545173853e-112,1.4052569833611874e-49,2.7853185675566623e-88,8.3903073571396819e-17,4.0341343384036471e-18,1.554973340602735e-21,3.6231308608629461e-35,2.2264719487606601e-50,1.5549733406182391e-21,7.7615723372337742e-33,4.8295459529204315e-40,9.8838715415878058e-47,1.3953609160323435e-74,1.8650015232580553e-101,7.8961551256427432e-105,5.2899621399754171e-54,1.0984777782997745e-104,1.0700328471057176e-80
4.2205729246447026e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,2.9642672091019738e-113,2.1701863431036035e-59,1.8562062016676515e-38,4.5619311188404235e-83,4.5615574057834307e-52,1.9572190635374809e-129,4.2917171409733422e-23,7.7983551115565739e-109,4.2917171409663538e-23,4.6755860704960124e-73,6.710523667502441e-64,2.9460937158176155e-109,1.7801661121159495e-110,1.1521145769842001e-48,9.2434568100746359e-87,1.7020337781626039e-16,8.183529657904537e-18,3.1543744909210499e-21,1.4801671764754412e-34,1.825396221213125e-49,3.1543744909843886e-21,3.1708553549627792e-32,3.9595532890380248e-39,8.5083464343050341e-46,4.875849137531402e-73,2.6078164044893594e-99,1.1196953496913744e-102,4.3370306526464788e-53,1.5576700800964508e-102,3.5600666813220241e-79
8.500590538368908e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,8.5252623629910666e-111,3.5179691396099071e-58,7.5030825612908135e-38,3.2566032063924987e-81,3.7093827258849185e-51,5.5875294433195396e-127,8.6438810022562154e-23,5.116786027809993e-107,8.6438810022279683e-23,7.6129798490791964e-72,1.0939847226145621e-62,4.2056064609282126e-107,2.5412219781785101e-108,9.330122549870244e-48,3.0118458243193386e-85,3.4280398630598244e-16,1.6482320296906309e-17,6.3531767915092231e-21,5.983072385393193e-34,1.4782531862882776e-48,6.3531767917652492e-21,1.2817102714767509e-31,3.2065484711899968e-38,7.5461754420925988e-45,1.7408732634886261e-71,3.7227089745080166e-97,1.6102060527181898e-100,3.5122400040754063e-52,2.240046621691587e-100,1.1614736356523009e-77
1.706062576581732e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999925,0.11866996602996464,0.022821567693054271,2.5898583640428518e-108,5.6655837002568268e-57,3.016956749300206e-37,2.4640625471975987e-79,2.9917515499310788e-50,1.6900849658608488e-124,1.7348208724864651e-22,3.3156011972741659e-105,1.7348208724751068e-22,1.228738016918931e-70,1.7667882490079982e-61,6.3616984224670296e-105,3.8440324814662468e-106,7.5096943297708879e-47,9.725067657521688e-84,6.8800520328540598e-16,3.3079901574909804e-17,1.2750781392491743e-20,2.4057670914243171e-33,1.1898267690541328e-47,1.2750781393521213e-20,5.1536993382832827e-31,2.5809084637164902e-37,7.1296680063816975e-44,6.5913243597769112e-70,5.6312334530307478e-95,2.446247793353367e-98,2.8269565329080133e-51,3.4031104721858731e-98,3.7527230670101363e-76
3.418069622071414e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999853,0.11866996602996395,0.022821567693054254,8.6215911966721699e-106,9.0945188588709332e-56,1.2099347946119901e-36,2.0464787322802656e-77,2.403137543152212e-49,5.6097014505944205e-122,3.4756864170252296e-22,2.1351543557129124e-103,3.4756864169796773e-22,1.9745490066827857e-69,2.8400605086166343e-60,1.0560926568491198e-102,6.3814003775775022e-104,6.0260567545180151e-46,3.1260360984949638e-82,1.3784076372441701e-15,6.6275064130916615e-17,2.5545990593681472e-20,9.6482020403654285e-33,9.5476104886533855e-47,2.5545990597810103e-20,2.0668629034606386e-30,2.0710153638417935e-36,7.4156158820849833e-43,2.7404091846288999e-68,9.3482964690912679e-93,4.0729331044662198e-96,2.2684549346714103e-50,5.6660822390371965e-96,1.2066650768715365e-74
6.842083713050777e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999709,0.11866996602996258,0.022821567693054219,3.2146129659206857e-103,1.457494549806923e-54,4.8460517785582315e-36,1.9052922071661138e-75,1.9264121893066379e-48,2.0870307825792465e-119,6.9574175061710652e-22,1.3707283039830843e-101,6.957417505988619e-22,3.1661486366512649e-68,4.554683999447973e-59,1.9651810141934677e-100,1.1874532745454631e-101,4.8281784729147285e-45,1.0025793611074939e-80,2.7592125051613691e-15,1.3266538924292958e-16,5.1136408992959716e-20,3.8643132901054732e-32,7.6497068087882767e-46,5.1136409009495799e-20,8.2782240144810057e-30,1.6593306726788222e-35,8.6568474262506978e-42,1.2773521172110741e-66,1.7395343640520082e-90,7.5955417385156219e-94,1.8175249813477135e-49,1.0566577513968551e-93,3.8706242454150154e-73
1.3690111895009504e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999942,0.11866996602995981,0.022821567693054153,1.3372041365668177e-100,2.3338903965243538e-53,1.9396849207880734e-35,1.9799536062426012e-73,1.5426921400129103e-47,8.6679435749793499e-117,1.3920879684735961e-21,8.7862200327349032e-100,1.3920879684005702e-21,5.0713402729280671e-67,7.2959752537531226e-58,4.0820807597131191e-98,2.4665820129891689e-99,3.8654785147346359e-44,3.2118548498877584e-79,5.5208222409944452e-15,2.6544603946695271e-16,1.0231724577911128e-19,1.5467323839464244e-31,6.1244167801456828e-45,1.023172458452988e-19,3.3134403297071618e-29,1.3284705614053626e-34,1.1278559338981879e-40,6.6445357654410806e-65,3.6133667409317338e-88,1.5802246358391139e-91,1.455126022575061e-48,2.1983376659004162e-91,1.2400892076445437e-71
2.7386168258926964e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998843,0.11866996602995429,0.022821567693054021,6.0542419243427892e-98,3.7357446717676843e-52,7.7612765776576115e-35,2.2401349334194355e-71,1.2347789723049241e-46,3.9204719629587861e-114,2.7847804042958666e-21,5.6275235756793608e-98,2.7847804040036673e-21,8.1185489067242161e-66,1.168034952162622e-56,9.2333484134010654e-96,5.5792161494732314e-97,3.0935576051281819e-43,1.0283700466427927e-77,1.1044041712655316e-14,5.3100733991498832e-16,2.0467891930179487e-19,6.1889442383850137e-31,4.901394733610682e-44,2.0467891956663164e-19,1.3258024109511665e-28,1.0631755233804522e-33,1.5985382013579215e-39,3.7618167197624439e-63,8.1731537506992977e-86,3.5779634105413515e-89,1.1645445083038547e-47,4.977501920963792e-89,3.9706702487119325e-70
5.477828098676187e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997683,0.11866996602994324,0.022821567693053754,2.8966827539553591e-95,5.9784077622688839e-51,3.1050242866119073e-34,2.6788877688328363e-69,9.8807334215536711e-46,1.8746623286563592e-111,5.5701652763775705e-21,3.6030053933628154e-96,5.5701652752085829e-21,1.2993202819529343e-64,1.8693992256927962e-55,2.2078286091841088e-93,1.334072131165928e-94,2.4753160964747338e-42,3.2917068195452417e-76,2.2090480655955932e-14,1.0621299408110158e-15,4.0940226614868341e-19,2.4759806874957262e-30,3.9218604388412676e-43,4.0940226720820738e-19,5.3040304158715943e-28,8.5069447079305154e-33,2.39272777068615e-38,2.2503841177757116e-61,1.9543205179214198e-83,8.5604914936666852e-87,9.3181485846858645e-47,1.1908969367803183e-86,1.2709961738680763e-68
1.0956250644243171e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995368,0.11866996602992115,0.022821567693053223,1.43106030636369e-92,9.566425424729449e-50,1.2421174165535815e-33,3.3082488830020314e-67,7.9055875023582612e-45,9.2585116288279303e-109,1.1140935022289632e-20,2.3063684458028896e-94,1.1140935017613299e-20,2.0791944531471814e-63,2.9914734581632858e-54,5.4523174170208234e-91,3.2945421611863343e-92,1.9804408935852424e-41,1.0534938302149569e-74,4.4183358542472661e-14,2.1243751426028964e-15,8.1884895904854665e-19,9.9047287454304006e-30,3.1377861941356843e-42,8.1884896328702157e-19,2.1217508064979663e-27,6.8060822520009947e-32,3.6963346009764465e-37,1.3899083814010803e-59,4.8262692368768278e-81,2.1147273855133442e-84,7.4552637567136529e-46,2.9419124295004113e-84,4.0677985414407813e-67
