Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),CHOX(50),H2X(46),CO2X(24),COX(47),C2H6X(49)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0846747632061226e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-3.9660213519513082e-129,3.7434167497278136e-69,1.5795410091168888e-54,2.0923322071455089e-100,4.1652919960913617e-57,4.0611391495095609e-161,3.5840442024239275e-37,-3.3612832729153948e-141,3.5840413555813507e-37,2.8954882868530006e-91,7.8656584579056787e-76,2.6821231810947042e-138,8.1892867531159595e-140,1.2944629410736032e-63,6.689930246316868e-111,2.7863550761075892e-18,1.2191084396584628e-18,2.18889451191206e-23,5.6193520644119173e-38,2.1888945119122292e-23,8.7584553403212562e-37,5.5726667116680782e-44,5.5603008153867696e-53,4.0899426909189166e-82,1.8050138021374843e-54,-1.5609318347433111e-115,1.2415679827086064e-70,-1.8928836472533686e-116,4.4120991326609237e-117,8.4773011759180657e-74
3.0370893369771433e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,1.3366305784441929e-126,8.3748261289460252e-68,1.7929618258207037e-53,4.2531698638925432e-98,6.2945892645133686e-56,2.3105219779465496e-158,1.0035332990588422e-36,6.4863581765658708e-140,1.0035315795659255e-36,8.1657402470765134e-90,2.4730888574151473e-74,9.8406100700281909e-136,3.0045953790132502e-137,1.5367864034141538e-62,3.4629005654951649e-109,7.8017942131012404e-18,3.4135036310436956e-18,6.1289046333535026e-23,3.3940886463538972e-37,6.1289046333545276e-23,5.2901067005559625e-36,6.6158695421956182e-43,1.2287217885923772e-51,4.5960530844677051e-80,2.142912385579096e-53,2.9312610566327156e-113,2.6609387949118885e-69,3.5546306376751532e-114,1.6187701158098033e-114,2.3907345684350659e-72
6.941918484519185e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999992,0.10000000000000001,1.1117080073245785e-123,1.6548087403620642e-66,1.7177004654381287e-52,7.6516209693884453e-96,6.7714318922277169e-55,4.3668178475502226e-155,2.293794746212311e-36,6.8490547252216424e-138,2.2937864675940962e-36,1.776226865817875e-88,5.5173251937951316e-73,3.540936805553638e-133,1.0811352330938952e-134,1.5088260034072621e-61,1.5120379109672314e-107,1.7832672487088514e-17,7.8022940138141596e-18,1.400892487623532e-22,1.6341075795046307e-36,1.400892487624025e-22,2.5469583254683642e-35,6.4954991476406045e-42,2.4107773664206751e-50,4.1315856563699248e-78,2.1039240867840143e-52,1.2139328023337884e-110,5.1266899653568115e-68,1.4720909017595365e-111,5.8247756709795993e-112,5.2003698880994338e-71
1.4751576779603269e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999993,0.099999999999999978,0.10000000000000001,7.1441555044757292e-121,2.9447125604491423e-65,1.5009130328434957e-51,1.1569844164336847e-93,6.2241125239375678e-54,5.9614156611756974e-152,4.8743323986015291e-36,5.4136221832065516e-136,4.8742962437007966e-36,3.2928252574315457e-87,1.0333339466788257e-71,1.0714095606199158e-130,3.2712455837341341e-132,1.3345395122421674e-60,5.6289380294272704e-106,3.7894429035062951e-17,1.6579874779355088e-17,2.9768965361994702e-22,7.1365771132641265e-36,2.9768965362016237e-22,1.1123233244739638e-34,5.7451940129545217e-41,4.2748481613709748e-49,3.1203253918902244e-76,1.8608970273780417e-51,3.8991591018109596e-108,9.0069695564447612e-67,4.7283643951787554e-109,1.7624318500290762e-109,9.6406093416649147e-70
3.0370893369771435e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999987,0.099999999999999936,0.099999999999999992,4.0861212259378869e-118,4.9667441487990965e-64,1.2540251866992367e-50,1.6071035963965009e-91,5.3248593043112191e-53,7.0188646352450777e-149,1.0035466735709083e-35,3.8370038066736341e-134,1.0035315796115633e-35,5.6595252970320857e-86,1.7848274184935783e-70,2.9774072290898907e-128,9.0904931911281146e-130,1.121760870629347e-59,1.9392544980018587e-104,7.8017942131011356e-17,3.4135036310436925e-17,6.1289046333496435e-22,2.9793804568660843e-35,6.1289046333586346e-22,4.6437284877190248e-34,4.8291793463296596e-40,7.1976096955971215e-48,2.1658585312954175e-74,1.5641960769493683e-50,1.1148531390574755e-105,1.5094812953609216e-65,1.351940701917886e-106,4.8976374052070715e-107,1.6569744271979159e-68
6.160952655010776e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999976,0.099999999999999853,0.099999999999999978,2.2095735609016842e-115,8.1579374578158331e-63,1.0250471277877593e-49,2.1420120333867931e-89,4.4026966454812082e-52,7.6988206542051702e-146,2.0357971539240664e-35,2.5821547179105547e-132,2.0357354901751044e-35,9.380248129872045e-85,2.9655174422380556e-69,7.9383363095926158e-126,2.4236050738660028e-127,9.1968733330448842e-59,6.4356786347372236e-103,1.5826496832290629e-16,6.9245359372600557e-17,1.2432920827643179e-21,1.2171741280531466e-34,1.2432920827679903e-21,1.8971126219896857e-33,3.9592490664976907e-39,1.181183310297832e-46,1.4429301291361658e-72,1.2824224453182884e-49,3.013984325842867e-103,2.4714179238462071e-64,3.6549460634127698e-104,1.3057530120365126e-104,2.7463135963220922e-67
1.240867929107804e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999954,0.099999999999999686,0.099999999999999936,1.1624166632935918e-112,1.3224404560868484e-61,8.2886833485752509e-49,2.7974847294467016e-87,3.5801997939601876e-51,8.1571859197172124e-143,4.1003925663569713e-35,1.694281657197314e-130,4.1001433116244833e-35,1.5273302408829622e-83,4.834541862912333e-68,2.073827944949117e-123,6.3309864920837841e-125,7.447866431681851e-58,2.0969721848937482e-101,3.1875902070668877e-16,1.3946600549692765e-16,2.504095321620301e-21,4.920012407768597e-34,2.5040953216351457e-21,7.668416481238951e-33,3.2062961818192117e-38,1.9139165980160021e-45,9.4209276498581411e-71,1.0385389399028052e-48,7.9276034597913174e-101,3.9998744860463293e-63,9.6135082410297586e-102,3.4109124338522405e-102,4.47165975626217e-66
2.4904132563212574e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999907,0.099999999999999367,0.099999999999999867,6.0325696910927938e-110,2.1297524905774962e-60,6.6664508048507457e-48,3.616865445566699e-85,2.8875608354579477e-50,8.4960946480098873e-140,8.2299611981291378e-35,1.0979153042529526e-128,8.228958955812426e-35,2.4651171665042673e-82,7.8077979386880112e-67,5.3635423468793186e-121,1.6371293608321149e-122,5.9946907920389473e-57,6.7709961147397304e-100,6.3974712547422405e-16,2.7990729774558097e-16,5.0257017993213692e-21,1.9783153282712653e-33,5.0257017993810594e-21,3.0834236255925648e-32,2.5806958660936373e-37,3.0816253437135433e-44,6.0896779128610243e-69,8.3590648104608317e-48,2.0570322605853989e-98,6.4365090127538624e-62,2.4944861107305461e-99,8.8202761128361339e-100,7.2172768749427195e-65
4.989503910748164e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999815,0.099999999999998729,0.099999999999999728,3.1095685771607184e-107,3.4187266925735553e-59,5.3473710235520803e-47,4.6527975449683183e-83,2.3194458953095275e-49,8.7740355238448329e-137,1.6490609689298893e-34,7.0708597267159496e-127,1.6486590249345053e-34,3.9613771086759831e-81,1.255080688206739e-65,1.380405789217411e-118,4.2121451130453926e-120,4.8103617288076353e-56,2.176476197816429e-98,1.2817233350091759e-15,5.607898822428848e-16,1.0068914754679914e-20,7.9339291139322779e-33,1.0068914754919303e-20,1.2365804247950987e-31,2.0708294682374433e-36,4.9461185682223551e-43,3.9167790458653431e-67,6.7076229363243696e-47,5.3015540314110041e-96,1.032782061618941e-60,6.4289964369671227e-97,2.2693553614748333e-97,1.1597970184883003e-63
9.987685219601978e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999632,0.099999999999997438,0.09999999999999945,1.5974520152114864e-104,5.4788785278084901e-58,4.2835387090038963e-46,5.9704125202093377e-81,1.8593229748632068e-48,9.0226205962013818e-134,3.3017951582139949e-34,4.5401176164909253e-125,3.300185285703727e-34,6.3519865503556888e-80,2.0128077091521501e-64,3.5448720878620454e-116,1.0810052056933455e-117,3.8541429231447728e-55,6.9803740180481543e-97,2.565675754078604e-15,1.1225550512374801e-15,2.0155340665222641e-20,3.1777098203678682e-32,2.015534066618145e-20,4.9526886937904087e-31,1.6591572142908377e-35,7.9261364708430789e-42,2.5129317739534323e-65,5.3742605917398899e-46,1.3617519465388604e-93,1.6547888702103208e-59,1.6513457366126349e-94,5.8240751291192749e-95,1.8597106158961313e-62
