Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HOX(23),HX(19),CH2X(134),CHX(26),H2OX(35),H2X(36),CXHO(27),OCX(21),COX(37),CH3OHX(46),C2H6X(39),HOCXO(25),CO2X(34),CX(24),HO2X(135),CH2O3(144),SX(162),CH2O2(69),SX(192),CHO3X(143)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.295710078232993e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-3.2091127311059434e-131,2.4017372273138039e-75,2.5368122601192942e-62,4.5838901959281452e-108,3.8629860804820899e-56,-5.531330093375953e-123,1.7757578880494634e-42,0.0,1.1202831596797739e-50,-1.9884326318759313e-116,4.4945200682611461e-74,8.5547498806556729e-104,-2.6343625034534725e-117,1.4165351432291984e-62,-3.8377949264396167e-157,3.3284708708225515e-18,4.1386188587386074e-19,2.8388748468005328e-24,6.7694332255590716e-39,2.8388748468006404e-24,5.7060685866461964e-38,2.264300439339048e-48,7.5437143882200438e-92,2.3819696728413279e-78,5.592421184110688e-84,7.7961523467408407e-94,1.1546679958208228e-124,1.0585337638687948e-90,9.3916868930371919e-73,-8.9338949375355272e-133,-6.4489945602788534e-148,1.5802198509227627e-71,4.7301667218904889e-76,-8.1120962349662317e-217,-1.3731903179516907e-233,-5.5177279226849806e-131,-1.0842809909355874e-147,8.3641825480799242e-168
3.6279882190523805e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,5.9254561563818834e-129,7.5513501927266341e-74,3.8336305166155849e-61,9.1634267201469317e-106,5.8377445648231449e-55,5.6033206045242685e-121,1.0725577643818581e-41,0.0,6.7665102844659653e-50,5.9103868683303591e-115,1.4131490449213927e-72,9.4532368645154632e-102,2.666043312107037e-115,1.68171052204119e-61,-2.2851353867260696e-155,9.3197184383021417e-18,1.15881328044681e-18,7.9488495710413295e-24,4.0887376682363113e-38,7.948849571041979e-24,3.4464654262021909e-37,2.6881774814889536e-47,4.3447390147418413e-90,6.7175353037547087e-77,3.4021427462849722e-82,8.6149658704644136e-92,4.1663774469260228e-122,6.0966126086899177e-89,2.6486059708260196e-71,2.876154887431229e-130,2.136941652601933e-145,3.5348885976016457e-70,1.4872401374386097e-74,2.0464740685823396e-177,6.2355733116749891e-194,1.7763629685992386e-128,6.2724280006784165e-145,1.3579789725770647e-164
8.292544500691156e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.099999999999999992,0.10000000000000001,2.4698984029621096e-126,1.6846555590043229e-72,4.1240447123856718e-60,1.6589450039829001e-103,6.2799792113160497e-54,1.1733184242909393e-118,5.1639039384475664e-41,0.0,3.2577834283489789e-49,7.6258073031331143e-113,3.1526577836167646e-71,8.552577896266586e-100,5.5831046022031159e-113,1.6511133629463568e-60,5.1497619959806917e-153,2.1302213573257312e-17,2.6487160695927088e-18,1.816879901952227e-23,1.9685511819905255e-37,1.8168799019525394e-23,1.6593247447985448e-36,2.6392685918010614e-46,1.9483525915344814e-88,1.4612106358042259e-75,1.5358898612116664e-80,7.7941733412690755e-90,1.5085458969776509e-119,2.7339769866706044e-87,5.7612965144579269e-70,1.5019782948103925e-127,1.7889891253946388e-142,6.9843441886732711e-69,3.3179509362762641e-73,1.2490046561541273e-173,7.6120174368216598e-190,9.2764775437467519e-126,6.5687398522854101e-142,3.2412369969542941e-161
1.7621657063968706e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999964,0.10000000000000001,7.9499794624113218e-124,3.1551668222427387e-71,3.7907075796976961e-59,2.5137485953122356e-101,5.7723828403399443e-53,1.8855283884120401e-116,2.2552125178225333e-40,0.0,1.4227596127935144e-48,6.5450992212642214e-111,5.9045791174437974e-70,6.4727198897915581e-98,8.9723633152995971e-111,1.4603910712602185e-59,8.8305798402196725e-151,4.5267203843151572e-17,5.6285216478845053e-18,3.8608697916481529e-23,8.5971801964388042e-37,3.8608697916495159e-23,7.2467071029929173e-36,2.3344031803266631e-45,7.3301735884726672e-87,2.7088382411482885e-74,5.7992278738488487e-79,5.8987479031257975e-88,4.5741659528459573e-117,1.0285904726938749e-85,1.068047277261618e-68,5.2990788335683364e-125,1.1520742110660848e-139,1.2428267309833293e-67,6.214154899110524e-72,4.1147578266711209e-170,5.0158013592305004e-186,3.2728026744898476e-123,4.6371326227833333e-139,4.8612069708576211e-158
3.627988219052381e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999999,0.099999999999999922,0.10000000000000001,2.2750791244908212e-121,5.4497610502345054e-70,3.2430301344064427e-58,3.4948118486742794e-99,4.9383950494513388e-52,2.6957260670851157e-114,9.4150683224356837e-40,0.0,5.9397413126239742e-48,4.8108608583995354e-109,1.0198692060242368e-68,4.4967558972337015e-96,1.2827908799832531e-108,1.2275466905540424e-58,1.2917585800035835e-148,9.319718438287582e-17,1.1588132804468095e-17,7.9488495710389585e-23,3.5891534961723253e-36,7.9488495710446503e-23,3.0253575627968347e-35,1.9622065308096324e-44,2.5382039802423282e-85,4.6558008128632192e-73,2.012021548046504e-77,4.098003607494977e-86,1.2722529273662225e-114,3.5616822386000053e-84,1.8357003823525909e-67,1.5810732383275605e-122,6.5951601289040699e-137,2.0962089365588083e-66,1.0733407237019412e-70,1.0554021475356041e-166,2.5731361677072995e-182,9.7649815857137937e-121,2.7678572558966944e-136,5.9732234328337257e-155
7.359633244363401e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999979,0.099999999999999825,0.10000000000000001,6.1532233590006973e-119,9.0548555910077721e-69,2.6814000260024391e-57,4.6599946468313225e-97,4.0831605260804482e-51,3.6439145646621177e-112,3.8463626158284816e-39,0.0,2.4265781351943137e-47,3.2935111447943098e-107,1.6945279392336984e-67,2.9970687535961717e-94,1.7340088904524095e-106,1.0064169421580304e-57,1.7641430921464442e-146,1.8905714546206727e-16,2.3507355117635259e-17,1.612480912981638e-22,1.4662863143728304e-35,1.6124809129839634e-22,1.2359572785815232e-34,1.6087354645019443e-43,8.4447607577376098e-84,7.716648397216734e-72,6.7008717901886808e-76,2.7313020440228922e-84,3.3933773386723312e-112,1.1849941150727195e-82,3.0425387598484003e-66,4.3623809070242137e-120,3.5678430504490209e-134,3.4430294707873966e-65,1.7833716655894576e-69,2.412003554016882e-163,1.1761510301292909e-178,2.6942818458142637e-118,1.5275825737550146e-133,6.687059332827082e-152
1.4822923294985442e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999957,0.099999999999999631,0.099999999999999992,1.6188038462648277e-116,1.4761696855575736e-67,2.1804699683255544e-56,6.0872649619210086e-95,3.3203583283904585e-50,4.7922207655090326e-110,1.5547612673641388e-38,0.0,9.8086167989256972e-47,2.179087235759975e-105,2.7625082176879246e-66,1.957200673632115e-92,2.2804546096815299e-104,8.1502253287217848e-57,2.331391156870443e-144,3.8077706761942194e-16,4.7345799743969529e-17,3.2476728247354469e-22,5.926963721638809e-35,3.2476728247448461e-22,4.9959369260654418e-34,1.3027956868483458e-42,2.7551070639678112e-82,1.2564561496478338e-70,2.1872761459796432e-74,1.7836448350141199e-82,8.8661076830943163e-110,3.8660495613155044e-81,4.9539856436989115e-65,1.1589242981817161e-117,1.8773700588957719e-131,5.5812991357710042e-64,2.9073459146465231e-68,5.2146661351483145e-160,5.0856571683248863e-175,7.1577167701640368e-116,8.1170205519748791e-131,7.1563610300108547e-149
2.974950339622952e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999912,0.099999999999999242,0.099999999999999964,4.2008744393406097e-114,2.3840177397544278e-66,1.7586280219084565e-55,7.8710612680579752e-93,2.6779892800811208e-49,6.2173538866497175e-108,6.2516266751791164e-38,0.0,3.9440016749892751e-46,1.4178334995330056e-103,4.4614581504961592e-65,1.265266852500191e-90,2.9586319070998063e-102,6.5600103979941528e-56,3.0318799014870319e-142,7.642169119300182e-16,9.5022688996637853e-17,6.5180566482363632e-22,2.3832060446831064e-34,6.5180566482741568e-22,2.0088442597921535e-33,1.0486033068810217e-41,8.9017541296785375e-81,2.0279252905371634e-69,7.0688984733687289e-73,1.1530686235810508e-80,2.2929323478761224e-107,1.2491211960112113e-79,7.9957528018445893e-64,3.0220247408833612e-115,9.743988835284306e-129,8.9885101750758548e-63,4.6953714179653074e-67,1.0970926718869472e-156,2.1399156609511251e-171,1.8664547120406251e-113,4.2333581429780642e-128,7.4906611373758988e-146
5.960266359871768e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999826,0.099999999999998479,0.099999999999999922,1.0827479159125029e-111,3.8322386927890293e-65,1.4126256652998851e-54,1.0126065642231967e-90,2.151106625054743e-48,8.0119795924655922e-106,2.5071819075779939e-37,0.0,1.5817210714611656e-45,9.1491106494693774e-102,7.1716636746968952e-64,8.1384623944573201e-89,3.8126377865530031e-100,5.2639952091417423e-55,3.9115901363052691e-140,1.5310966005347589e-15,1.9037646750197358e-16,1.3058824295211388e-21,9.557722153698617e-34,1.3058824295362957e-21,8.0563639172125113e-33,8.4143811093761975e-41,2.8623042722232977e-79,3.2588215001934304e-68,2.2732517637100242e-71,7.4167797991484576e-79,5.8998000252916549e-105,4.0164725654430114e-78,1.2848960100623832e-62,7.8078033838318256e-113,5.0229651983111938e-126,1.4428549417602655e-61,7.5476724204537099e-66,2.2771874084283992e-153,8.8834879067363145e-168,4.8222343204729484e-111,2.1875279884671175e-125,7.7548167614645572e-143
