Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),COX(58)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.494490786932799e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,1.3193012855406866e-139,3.3909998315932212e-65,1.6657797026054779e-46,1.7167579473192234e-74,8.7792580939693788e-58,4.4834033264521856e-49,4.396076802524666e-29,-3.5611475356598666e-114,4.3960768023791731e-29,3.0780825809869114e-74,1.8455178710841732e-71,4.0541383267103021e-75,3.6882351455036261e-106,4.4834058018041981e-49,6.2860870333881254e-92,2.6725134708517623e-18,7.7953303112818144e-19,1.7666427745363397e-23,2.0444485413342933e-37,1.7666427745367825e-23,2.3156707438089056e-36,1.2476869720396693e-44,2.6599846777982182e-52,6.5318590579435575e-82,6.9311052102657172e-54,2.4520479521575904e-92
2.378457420341184e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,1.0180321907577265e-137,6.8579172450277145e-64,1.0061324362976455e-45,2.0381350351170321e-73,1.3267214831609758e-56,2.7079756092636645e-48,1.23090150475405e-28,-3.362130056680689e-114,1.230901504666172e-28,4.6515984173206925e-73,5.8026035069062125e-70,4.8130730216113358e-74,8.2504344913182652e-105,2.7079785480015744e-48,1.772777128502836e-90,7.4830377183849315e-18,2.1826924871589081e-18,4.9465997687010675e-23,1.2348469189315464e-36,4.9465997687037424e-23,1.3986651219839075e-35,1.4812539651512809e-43,3.2576324920953043e-51,4.097038005186888e-80,8.2286081053894252e-53,5.4851331871961631e-91
5.436474103636992e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,1.1095022011781641e-135,1.2732088471186483e-62,4.8441098140329626e-45,2.001053063580201e-72,1.4272264298200447e-55,1.3037736874621114e-47,2.8134891539457899e-28,6.425020673380649e-114,2.813489153522696e-28,5.0039773129694265e-72,1.2945289225018696e-68,4.7255036340502074e-73,1.6301468238729089e-103,1.3037765727324176e-47,3.8561774781844862e-89,1.7104086213451246e-17,4.9890113992203615e-18,1.1306513757027785e-22,5.9452563576846186e-36,1.1306513757040661e-22,6.7339704138462196e-35,1.4543039096413732e-42,3.4095440530113633e-50,1.9699891610099014e-78,8.078896232347804e-52,1.0837698854499063e-89
1.1552507470228608e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,9.0764323005918093e-134,2.1932984932842297e-61,2.1155634091253754e-44,1.769908773756545e-71,1.3118669784639161e-54,5.6939222259357033e-47,5.978664453083562e-28,3.8875832332477409e-112,5.9786644512357987e-28,4.5995172650286207e-71,2.424509403297202e-67,4.1796544502222764e-72,2.9007591750303947e-102,5.6939477458248138e-47,7.1487031611386636e-88,3.6346183203583789e-17,1.0601649223343268e-17,2.4026341733670264e-22,2.5964496469618615e-35,2.4026341733726505e-22,2.940901731848898e-34,1.2863153082610813e-41,3.3913762049877223e-49,8.3516437091848124e-77,7.1456922260259119e-51,1.9285106057682067e-88
2.378457420341184e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,6.5323964736768831e-132,3.638854588118972e-60,8.8321726645481973e-44,1.4877149697242029e-70,1.1223298196194384e-53,2.3771004448922334e-46,1.2309015054376279e-27,1.3857342655569523e-110,1.2309015046662226e-27,3.934983867898713e-70,4.1877370603258687e-66,3.513251409377661e-71,4.8925543337751646e-101,2.377121895896714e-46,1.2286794266037579e-86,7.4830377183848542e-17,2.1826924871589078e-17,4.9465997686911391e-22,1.0839666161360196e-34,4.946599768714617e-22,1.227768526857914e-33,1.0812254718497002e-40,3.4826412081894627e-48,3.5316726516024362e-75,6.0063848747214228e-50,3.2527150143825316e-87
4.82487076697783e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999853,0.099999999999999992,4.4279011804810232e-130,5.9274141683522351e-59,3.6083221505442211e-43,1.2197186167525202e-69,9.2796399858806263e-53,9.7112309514501594e-46,2.4969716269030389e-27,4.6566426259669954e-109,2.496971623751597e-27,3.2535207766122451e-69,6.9579877554297219e-65,2.8803757685817725e-70,8.0360351886285976e-100,9.7114068197449637e-46,2.0364460543062822e-85,1.517987651443766e-16,4.427747616808069e-17,1.0034530959321835e-21,4.428357314412618e-34,1.0034530959417754e-21,5.0158345984722381e-33,8.8645388298770348e-40,3.8916799766135343e-47,1.5985925741109067e-73,4.9243972083112204e-49,5.3425941807754092e-86
9.717697460251123e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.0999999999999997,0.099999999999999964,2.9155686669648943e-128,9.5686426967899956e-58,1.4586154234697216e-42,9.8775976019121982e-69,7.5460491240926202e-52,3.9254348240767007e-45,5.0291118746613348e-27,1.5265233299891589e-107,5.0291118619227012e-27,2.6457090945476715e-68,1.1343276136326976e-63,2.3326029785541069e-69,1.3026759349942145e-98,3.9255772467814009e-45,3.3158245241834968e-84,3.0573554106542723e-16,8.917857876106381e-17,2.0210393340513101e-21,1.7900128281292062e-33,2.0210393340900826e-21,2.0274801814355497e-32,7.1787320170187679e-39,4.8302309226134427e-46,7.9756707567271895e-72,3.9879045289018856e-48,8.6605754027022607e-85
1.950335084679771e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999927,0.099999999999999395,0.099999999999999922,1.8925720785230437e-126,1.537787534704385e-56,5.8656229136104598e-42,7.9503498977612276e-68,6.0861619928793809e-51,1.5784000815107357e-44,1.0093392389487818e-26,4.943902140504207e-106,1.0093392338266332e-26,2.1338602840973467e-67,1.8319421225817203e-62,1.8774818128311126e-68,2.0979194382060581e-97,1.5785147156937702e-44,5.3517542765073009e-83,6.1360909290750631e-16,1.7898078394702975e-16,4.0562118102615135e-21,7.1975628406264176e-33,4.0562118104174152e-21,8.1524057461404472e-32,5.7780658798338091e-38,6.5900465378684892e-45,4.3600203395726187e-70,3.2098124982613289e-47,1.3947589720044694e-83
3.9074657619890876e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999849,0.099999999999998784,0.099999999999999839,1.2198788627766203e-124,2.4659125353527751e-55,2.3528539358601663e-41,6.3796551234082127e-67,4.8887362922006779e-50,6.3300903111332819e-44,2.0221953496380343e-26,1.5915580102763945e-104,2.0221953290959281e-26,1.7140327080059706e-66,2.944793447264768e-61,1.506560921249863e-67,3.367625330768345e-96,6.331010178254791e-44,8.6001258561539571e-82,1.2293561965915748e-15,3.5858519431896056e-16,8.1265567625697235e-21,2.8865446070032719e-32,8.1265567631949601e-21,3.2694770101413372e-31,4.6365304751930119e-37,9.6248794631883295e-44,2.5485168592112085e-68,2.5756723725699616e-46,2.2388970505163569e-82
