Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),COX(50),H2X(49),CHOX(53)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.221231717221184e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,8.8834005774064903e-66,8.0934958003654036e-42,9.9817000551984971e-93,3.9609964956608935e-57,4.8240742551387988e-142,7.342956630064251e-25,-8.5499483555288883e-118,7.3429566300639433e-25,1.2873492206574421e-79,1.2486158444019533e-71,2.1596382838244472e-120,1.3049533583534502e-121,1.1162471742999354e-54,8.3291886197808025e-95,2.912111820383841e-18,1.4001692419390023e-19,5.3970087778954042e-23,6.453877429374068e-38,5.397008777898163e-23,1.382567767462652e-35,5.1151725544020006e-44,9.9801482298424875e-51,3.2075085206219976e-81,2.358148692821847e-54,1.9116636094076749e-110,5.6028179854274037e-58,-1.7622858992400202e-113
2.0219448808219315e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.9872641050594109e-64,4.8884714692218322e-41,1.1061583858876135e-90,5.9858579042512703e-56,1.7456027546669844e-139,2.0560278564180883e-24,1.6503066619103909e-116,2.0560278564179042e-24,3.6305307781342778e-78,3.9258480212238386e-70,4.3295034257187175e-118,2.6160862573824854e-119,1.3252086453063808e-53,4.3114279102366021e-93,8.1539130970747509e-18,3.9204738774292063e-19,1.5111624578102659e-22,3.8981419672696575e-37,1.5111624578119341e-22,8.3507092856406626e-35,6.0727328332433433e-43,1.1883178999822952e-49,1.9569122830731926e-79,2.7995941280612352e-53,3.8323798052143048e-108,6.6516655195280058e-57,1.7886742558249829e-111
4.621588299021558e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.9265723124698019e-63,2.353588587447952e-40,1.0069469179621452e-88,6.4393127830686365e-55,6.3592457044578754e-137,4.6994922432418092e-24,1.742563644390399e-114,4.6994922432409231e-24,7.8971974495547016e-77,8.7583509763719888e-69,7.8863558022587036e-116,4.7653010070810167e-117,1.3010977062942456e-52,1.882538157644378e-91,1.8637515650456551e-17,8.9610831484096137e-19,3.4540856178499288e-22,1.8767875563535573e-36,3.4540856178579612e-22,4.0205070230307617e-34,5.9622450570485677e-42,1.1740576542031613e-48,8.889352729479061e-78,2.7486581161768692e-52,6.9808261458095831e-106,6.5306446662228195e-56,3.7688249233902534e-109
9.820875135420811e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,0.0,6.9871855498368771e-62,1.0278739756381541e-39,7.7145892657369505e-87,5.9188378435251079e-54,1.9518444052243984e-134,9.9864210168908246e-24,1.3773514374079156e-112,9.9864210168869558e-24,1.4640073137726368e-75,1.6403422072156075e-67,1.20965759784539e-113,7.3093108066166803e-115,1.1508061866697662e-51,7.0082175523058912e-90,3.9604720757220076e-17,1.904230169037043e-18,7.3399319379221064e-22,8.1964243341846987e-36,7.3399319379571812e-22,1.755861018435252e-33,5.2735381447252433e-41,1.0515336722571376e-47,3.3981118204622311e-76,2.4311569759814286e-51,1.0707619080186723e-103,5.7762812773143708e-55,6.1316028407998238e-107
2.0219448808219317e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,0.0,1.1784958459583505e-60,4.2911715542794633e-39,5.4899891403411203e-85,5.0636903880623033e-53,5.5602426342854169e-132,2.0560278564195153e-23,9.7621792173442355e-111,2.0560278564178999e-23,2.5162545168788378e-74,2.8332832382298153e-66,1.7225469554361567e-111,1.0408425572484004e-112,9.67321941027751e-51,2.4144372064826117e-88,8.1539130970746812e-17,3.9204738774292058e-18,1.5111624578037856e-21,3.4218458120457978e-35,1.5111624578184284e-21,7.3303738869061492e-33,4.4327264171831605e-40,9.0590338196173061e-47,1.2078868733759877e-74,2.0435339261487081e-50,1.5247601203644284e-101,4.855312506460518e-54,8.98068391680658e-105
4.1016596153816325e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,0.0,1.935686908738119e-59,1.753083632859458e-38,3.8329896500787319e-83,4.1867571349825292e-52,1.5531400473395603e-129,4.1707993658829022e-23,6.5694990848929102e-109,4.1707993658763018e-23,4.1705073283149334e-73,4.7075424741950577e-65,2.4056231274700986e-109,1.4535887799793335e-110,7.9306897015066153e-50,8.01263679448435e-87,1.6540795139779909e-16,7.9529612942135291e-18,3.0655009858154944e-21,1.3979356658584179e-34,3.0655009858753149e-21,2.9946967346683847e-32,3.6342166882013838e-39,7.7883498887607101e-46,4.2154416977555987e-73,1.6754125771850308e-49,2.1294039022647047e-99,3.9806786135657687e-53,1.2718871947661636e-102
8.261089084501034e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,0.0,3.1378350652673515e-58,7.0862446246267484e-38,2.7302641980911299e-81,3.4046013702025528e-51,4.4243153743445564e-127,8.400342384819754e-23,4.3104886410587232e-107,8.400342384793075e-23,6.7905900505745179e-72,7.6744823505534949e-64,3.4265995269358411e-107,2.0705099512541768e-108,6.4224781335069276e-49,2.6108010419829648e-85,3.3314559225189876e-16,1.6017936127782166e-17,6.1741780417931467e-21,5.650679468511046e-34,6.1741780420349495e-21,1.2105041538166277e-31,2.9430825045098204e-38,6.8922506261215072e-45,1.5017764038672971e-71,1.3567925420514281e-48,3.0331494232143637e-97,3.2236568690374379e-52,1.8250647104055978e-100
1.6579948022739839e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996466,0.022821567693054271,0.0,5.0533891788277477e-57,2.8493480276507895e-37,2.0587507376700243e-79,2.7459343451225722e-50,1.3336805508034297e-124,1.6859428422733781e-22,2.7931324900958724e-105,1.6859428422626503e-22,1.0960039718836442e-70,1.2394309480360734e-62,5.165629127722188e-105,3.1213120830612147e-106,5.1693691387167859e-48,8.4301183575278866e-84,6.6862087396007864e-16,3.2147885794919389e-17,1.2391532153565396e-20,2.2721133588247777e-33,1.239153215453767e-20,4.8673827770598721e-31,2.3688482093341373e-37,6.4892746282381671e-44,5.6665216791969091e-70,1.092064674585164e-47,4.5724996092942858e-95,2.5946796959361179e-51,2.7631612589512758e-98
3.3217665899217445e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996399,0.022821567693054254,0.0,8.1118108077880257e-56,1.1427161841948206e-36,1.7020897459250979e-77,2.2056837961565273e-49,4.40665808835441e-122,3.3777600498723114e-22,1.7986991340290971e-103,3.3777600498292897e-22,1.7612489596718283e-69,1.9923490450561867e-61,8.5364528435955698e-103,5.1581197018717935e-104,4.1480931685346985e-47,2.7097862172597301e-82,1.3395714373763604e-15,6.4407785129193685e-17,2.482624037637766e-20,9.1121907733860701e-33,2.4826240380276921e-20,1.952037241714016e-30,1.9008504877584915e-36,6.7186920726511757e-43,2.34519132154361e-68,8.763131230501677e-47,7.5562775165044146e-93,2.0820673632052274e-50,4.5796695163090953e-96
