Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),CHOX(50),H2X(46),H2OX(23),CO2X(24),COX(47),C2H6X(49)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0846747632061226e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-3.9660259104808921e-129,3.7423800672645285e-69,1.5795417557879273e-54,2.0923302541063731e-100,4.1652951514149317e-57,4.0611415632792717e-161,3.584045253971359e-37,-3.3612858783902941e-141,3.5840424071276747e-37,2.895489682712379e-91,8.4542274511910409e-78,2.6821214733870691e-138,8.1892791090155276e-140,1.3913240919166183e-65,6.6899310943517131e-111,2.7863550761075892e-18,1.2191084396584628e-18,2.1888964012053816e-23,5.6193519774561214e-38,2.1888964012055503e-23,8.7584595449049044e-37,5.5726695186712261e-44,5.5603036142020726e-53,4.0899447496262863e-82,-1.5609288856296194e-115,1.2415685696150875e-70,1.8050137742060768e-54,-1.8928845961102822e-116,4.4120950142889706e-117,8.4773075977075245e-74
3.0370893369771433e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,1.3366321127604096e-126,8.3715646434401574e-68,1.7929626882628658e-53,4.2531658945463041e-98,6.2945940328383588e-56,2.3105233512970208e-158,1.0035335934924813e-36,6.4863632067056569e-140,1.0035318739988962e-36,8.165744183623297e-90,2.6581443266352873e-76,9.840603806110672e-136,3.0045925749199989e-137,1.6517799390767339e-64,3.462901004462427e-109,7.8017942131012404e-18,3.4135036310436956e-18,6.1289099233748008e-23,3.3940885431199765e-37,6.1289099233758246e-23,5.2901092401243179e-36,6.6158728746695531e-43,1.2287224072781923e-51,4.5960553986650811e-80,2.9312555189905724e-113,2.6609400738336183e-69,2.1429123230976551e-53,3.5546324142179366e-114,1.6187686050631687e-114,2.3907363794824447e-72
6.941918484519185e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999992,0.10000000000000001,1.1117092793779809e-123,1.6540809580634225e-66,1.7177012997362294e-52,7.6516138291057276e-96,6.7714370217741536e-55,4.3668204460627273e-155,2.2937954192051765e-36,6.8490600365139774e-138,2.293787140583744e-36,1.7762277221027867e-88,5.9301735838001594e-75,3.5409345519603743e-133,1.0811342242078764e-134,1.6217272907133166e-63,1.5120381026375186e-107,1.7832672487088514e-17,7.8022940138141596e-18,1.4008936967712573e-22,1.6341074781489585e-36,1.4008936967717501e-22,2.5469595481610417e-35,6.4955024194828542e-42,2.4107785805229098e-50,4.1315877370916087e-78,1.2139305091257199e-110,5.1266924540715862e-68,2.1039239633312196e-52,1.4720916320766615e-111,5.8247702354572366e-112,5.2003738275230685e-71
1.4751576779603269e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999993,0.099999999999999978,0.10000000000000001,7.1441636258003885e-121,2.9433492564108105e-65,1.5009137654028368e-51,1.156983336823233e-93,6.2241172388744868e-54,5.961419210026027e-152,4.8743338287185831e-36,5.4136263813527808e-136,4.8742976738037985e-36,3.2928268448394605e-87,1.1106558126226578e-73,1.0714088787887673e-130,3.2712425312543616e-132,1.4343993370705075e-62,5.6289387429676904e-106,3.7894429035062951e-17,1.6579874779355088e-17,2.9768991056383867e-22,7.1365762167847356e-36,2.9768991056405397e-22,1.1123238584558328e-34,5.7451969068611885e-41,4.2748503144490485e-49,3.120326963477182e-76,3.8991517362005811e-108,9.0069739511788483e-67,1.8608968077004024e-51,4.7283667056796437e-109,1.7624302054605363e-109,9.6406166446924104e-70
3.0370893369771435e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999987,0.099999999999999936,0.099999999999999992,4.0861258097385556e-118,4.9643887548528135e-64,1.2540258002437402e-50,1.6071020968075436e-91,5.324863338039016e-53,7.0188688143474545e-149,1.0035469680097461e-35,3.8370067821885192e-134,1.0035318740445342e-35,5.6595280253807037e-86,1.9183814767915216e-72,2.9774053344058753e-128,9.0904847087847762e-130,1.205698927027431e-61,1.9392547438273515e-104,7.8017942131011356e-17,3.4135036310436925e-17,6.1289099233709405e-22,2.9793797033212322e-35,6.1289099233799297e-22,4.6437307169869867e-34,4.8291817788313206e-40,7.1976133209289806e-48,2.1658596222062629e-74,1.1148510330984041e-105,1.5094820337697407e-65,1.5641957064309646e-50,1.351941342266022e-106,4.8976328352193781e-107,1.6569756824017488e-68
6.160952655010776e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999976,0.099999999999999853,0.099999999999999978,2.2095759733112652e-115,8.1540220279443433e-63,1.025047629908795e-49,2.1420100347003492e-89,4.4026999806453556e-52,7.6988252385452652e-146,2.0357977512263477e-35,2.5821567203192249e-132,2.0357360874534169e-35,9.3802526519097921e-85,3.1874187214695032e-71,7.938331258245116e-126,2.4236028124282666e-127,9.8850458813944497e-61,6.4356794505424072e-103,1.5826496832290629e-16,6.9245359372600557e-17,1.243293155882924e-21,1.217173510251699e-34,1.2432931558865964e-21,1.897113532717387e-33,3.9592510608074465e-39,1.1811839052566892e-46,1.4429308559359291e-72,3.0139786324586e-103,2.4714191343730666e-64,1.2824218367408403e-49,3.6549476848306406e-104,1.3057517936535476e-104,2.7463156767303923e-67
1.240867929107804e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999954,0.099999999999999686,0.099999999999999936,1.1624178626553459e-112,1.3218015333011488e-61,8.2886874112502191e-49,2.7974821191630706e-87,3.5802025060602839e-51,8.1571907771930288e-143,4.1003937694228559e-35,1.694282971081798e-130,4.1001445145934785e-35,1.5273309771795827e-83,5.1962943898967719e-70,2.0738266254130781e-123,6.3309805847518689e-125,8.0051625951351325e-60,2.0969724507119895e-101,3.1875902070668877e-16,1.3946600549692765e-16,2.5040974829718596e-21,4.9200074046547289e-34,2.504097482986704e-21,7.6684201625378456e-33,3.2062977968596059e-38,1.9139175620618423e-45,9.4209323952083038e-71,7.9275884846802733e-101,3.9998764464904515e-63,1.0385379533730003e-48,9.6135119282767201e-102,3.4109092511899649e-102,4.4716631436677755e-66
2.4904132563212574e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999907,0.099999999999999367,0.099999999999999867,6.032575191243166e-110,2.1287186721048049e-60,6.6664540733772752e-48,3.6168620707439649e-85,2.8875630228649274e-50,8.4960997074014433e-140,8.2299636128690845e-35,1.0979161556706058e-128,8.2289613701627885e-35,2.4651183548899819e-82,8.392020957017036e-69,5.3635389345729935e-121,1.6371278332603715e-122,6.4432450975643135e-59,6.7709969730507227e-100,6.3974712547422405e-16,2.7990729774558097e-16,5.0257061371388333e-21,1.9783113013338746e-33,5.0257061371985236e-21,3.0834251058201537e-32,2.5806971660132537e-37,3.0816268959467686e-44,6.0896809802681496e-69,2.0570283748917456e-98,6.4365121684737393e-62,8.3590489227173893e-48,2.4944867677549532e-99,8.8202678828178556e-100,7.2172823422290253e-65
4.989503910748164e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999815,0.099999999999998729,0.099999999999999728,3.1095706657246948e-107,3.4170585778032212e-59,5.3473736457345476e-47,4.6527932035448444e-83,2.3194476523537706e-49,8.7740407488000968e-137,1.6490614527974391e-34,7.070865210123249e-127,1.6486595086458153e-34,3.9613790183799248e-81,1.3489901704546511e-67,1.3804049112028393e-118,4.2121411827850301e-120,5.1702884713752882e-58,2.1764764737128288e-98,1.2817233350091759e-15,5.607898822428848e-16,1.0068923445429189e-20,7.9338968003585715e-33,1.0068923445668574e-20,1.2365810184273491e-31,2.0708305113324065e-36,4.9461210596184316e-43,3.9167810187754971e-67,5.3015440168866455e-96,1.0327825680573465e-60,6.7075974330254892e-47,6.4289965852875547e-97,2.269353243989042e-97,1.1597978970665325e-63
