Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HOX(23),HX(19),CH2X(134),CHX(26),H2X(36),CXHO(27),OCX(21),COX(37),H2OX(35),C2H6X(39),CO2X(34),HO2X(135),CH3OHX(46),HOCXO(25)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2062404373050766e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-1.8104754911688592e-131,1.9388593136945694e-77,2.0467578644541417e-62,2.7778950761704886e-108,3.1167450838963561e-56,-3.352060938092879e-123,1.5389901696428666e-42,0.0,9.7091207172246917e-51,-1.2947307892578725e-116,3.9000020610813119e-78,5.5688254130202241e-104,-1.5964593498417433e-117,1.3203309722267713e-66,-2.3263572322032606e-157,3.098637747923936e-18,3.8528444795396649e-19,2.6428486543293586e-24,6.3058416505560901e-41,2.6428486543294574e-24,4.9452594417735807e-38,1.8268891256043156e-48,1.7891238876028658e-78,3.9104803847445517e-84,5.0749983186821393e-94,6.5142557848547505e-125,5.6693346242184594e-94,7.0542003774369576e-73,-3.3870821790164887e-148,8.9525690528972711e-79,8.5509087994061494e-95,-5.417362247933543e-135
3.3774732244542146e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,3.3429466118734575e-129,6.0960965758709202e-76,3.0930603468926279e-61,5.5531514307269999e-106,4.7100251707829708e-55,3.3956881464993682e-121,9.2955006246427492e-42,0.0,5.864308913203819e-50,3.8474094689097425e-115,1.2262230449332942e-76,6.1537070813847467e-102,1.615658341174453e-115,1.5674969302271755e-65,-1.384848486894203e-155,8.6761856941861517e-18,1.0787964542711063e-18,7.3999762321220438e-24,3.808728356934691e-40,7.3999762321226418e-24,2.9869367027246452e-37,2.1688827698465604e-47,5.045615405932019e-77,2.3789360353988721e-82,5.6080143971962578e-92,2.3505325182376987e-122,3.2652531454444069e-92,1.9893973736426663e-71,1.1223449649808805e-145,2.8148309281902093e-77,4.9248856496783978e-93,1.7440514891115234e-132
7.719938798752491e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.099999999999999992,0.10000000000000001,1.3934350826309939e-126,1.3600037320595456e-74,3.3273731293104896e-60,1.0053414610159094e-103,5.0668301479868393e-54,7.1104684988737619e-119,4.4753834133212044e-41,0.0,2.8234123045690981e-49,4.9641177822405181e-113,2.7356361585916162e-75,5.5674114486293659e-100,3.3834369748240271e-113,1.5389777812261371e-64,3.1208252335018758e-153,1.9831281586707109e-17,2.4658204669053857e-18,1.6914231387706772e-23,1.8337387519799301e-39,1.6914231387709649e-23,1.4380814455078604e-36,2.129421964584652e-46,1.0975315442263583e-75,1.0739654414663175e-80,5.0737097405037101e-90,8.5107175830102748e-120,1.4642746349238841e-90,4.3273738264151017e-70,9.3959651776989113e-143,6.2797329555351207e-76,2.2085254354006028e-91,9.1077413482986224e-130
1.6404869947349042e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999964,0.10000000000000001,4.4851157641219564e-124,2.5471351259254217e-73,3.0584291445431673e-59,1.5233631454902706e-101,4.6572898439622135e-53,1.1426557303200383e-116,1.9545175154461796e-40,0.0,1.2330583310876985e-48,4.260617178612727e-111,5.1235437662978486e-74,4.2135009182693885e-98,5.4373736400621045e-111,1.3612084191239995e-63,5.3514509316131293e-151,4.2141473371735081e-17,5.2398684921739437e-18,3.5942741698873654e-23,8.0084188961878371e-39,3.5942741698886215e-23,6.2804794894001743e-36,1.8834496124715729e-45,2.0346385011293853e-74,4.0550891579159613e-79,3.8398600225437505e-88,2.5805933109856957e-117,5.508964140174805e-89,8.022221771431848e-69,6.0508188619234138e-140,1.176124483405668e-74,8.3090246645349168e-90,3.2132714279866581e-127
3.377473224454214e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999999,0.099999999999999922,0.10000000000000001,1.2835244770135528e-121,4.3995415447156106e-72,2.6165505175925901e-58,2.1178997666052301e-99,3.9844095143086742e-52,1.6336464924832198e-114,8.1597258794441283e-40,0.0,5.1477758042739965e-48,3.131692238752686e-109,8.8496477209037835e-73,2.9272215431132033e-96,7.7738864021154583e-109,1.1441776952308802e-62,7.828231876876932e-149,8.6761856941735354e-17,1.0787964542711057e-17,7.3999762321197157e-23,3.3433572431082809e-38,7.3999762321249572e-23,2.6219765545413068e-35,1.5831528851854834e-44,3.4970237216624796e-73,1.4068988050134853e-77,2.6676441274268016e-86,7.177630683998358e-115,1.9075789462665201e-87,1.3788149538559954e-67,3.4638497127008956e-137,2.0314625635740515e-73,2.8771514371688445e-88,9.5873596566941173e-125
6.851445683892835e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999979,0.099999999999999839,0.10000000000000001,3.4714453243008044e-119,7.3099033618534583e-71,2.1634145645067294e-57,2.824015139124973e-97,3.294386837353463e-51,2.2082615593749635e-112,3.3335142670512445e-39,0.0,2.1030343838349758e-47,2.143953773366321e-107,1.4703822045878287e-71,1.9509807567497966e-94,1.0508328635184651e-106,9.3806600285027058e-62,1.0690945973293652e-146,1.7600262408151312e-16,2.1884156643785267e-17,1.5011380356580304e-22,1.3658705248630315e-37,1.5011380356601712e-22,1.0711629748668922e-34,1.2979643846067206e-43,5.796060351689799e-72,4.685560413125823e-76,1.7779735089441445e-84,1.9144313815290728e-112,6.3466346648674661e-86,2.2852846685085191e-66,1.873869910111342e-134,3.3753054324533288e-72,9.5724640572067777e-87,2.6452737107721509e-122
1.3799390602770076e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999959,0.099999999999999659,0.099999999999999992,9.1327564676557327e-117,1.1916986851657835e-69,1.7592527937643411e-56,3.688958831631151e-95,2.678940664340218e-50,2.9041506645023342e-110,1.3474597650488348e-38,0.0,8.5008012257348346e-47,1.4185050835448326e-105,2.3970940987587445e-70,1.2740651505418012e-92,1.3819863679361836e-104,7.5967017010413094e-61,1.4128546041232334e-144,3.5448415836017747e-16,4.4076540845933642e-17,3.0234188605485034e-22,5.5210670453457583e-37,3.0234188605571579e-22,4.3298120033694154e-34,1.0511252094602203e-42,9.4373817462520891e-71,1.5294449508670655e-74,1.161084792094853e-82,5.0019650295061293e-110,2.0705928133002589e-84,3.7209936612677201e-65,9.8601513957927456e-132,5.5025997379470814e-71,3.1230214562570117e-85,7.0275201662390908e-120
2.7695280440524558e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999921,0.099999999999999298,0.099999999999999964,2.3699945681525271e-114,1.9245965162849305e-68,1.418901111080181e-55,4.7699617440581961e-93,2.1606626970749804e-49,3.7678006331475534e-108,5.4180764518212113e-38,0.0,3.4181347849900865e-46,9.2295709584382581e-104,3.8713133723742759e-69,8.236418604334377e-91,1.792970993135584e-102,6.1144864269881221e-60,1.8373602667828327e-142,7.1144722691394149e-16,8.8461309250230195e-17,6.0679805103228704e-22,2.2199967763513316e-36,6.0679805103576688e-22,1.7409983591138342e-33,8.4603701247883403e-42,1.523197218228391e-69,4.9429017483860981e-73,7.506037174590274e-81,1.2935966756810407e-107,6.6900883448466055e-83,6.0056987711650067e-64,5.1176487400086323e-129,8.8867132747912996e-70,1.0090487032679619e-83,1.8325044919451482e-117
5.548706011603352e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999984,0.09999999999999859,0.099999999999999922,6.108506026188953e-112,3.0937326553891963e-67,1.1397385354172021e-54,6.1365226557313285e-91,1.7355617801593898e-48,4.8553681156716718e-106,2.1728909865670422e-37,0.0,1.3708249285991809e-45,5.9557321768503801e-102,6.223023179768835e-68,5.2978376095821087e-89,2.3105101219734195e-100,4.9064902805587117e-59,2.3704765788548869e-140,1.4253733640072116e-15,1.7723084605882256e-16,1.2157103809845292e-21,8.9031799906167502e-36,1.215710380998485e-21,6.9821820666178779e-33,6.7889141788094648e-41,2.447737037931745e-68,1.5895630947418776e-71,4.8280409183566628e-79,3.3284722583251187e-105,2.1511568352527641e-81,9.6509966978074928e-63,2.6381158668054744e-126,1.4285132042204377e-68,3.244534194782068e-82,4.7345194091364024e-115
