Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),H2OX(23),COX(58)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.630411269939308e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,1.4511376535645262e-139,3.6014827471629457e-65,1.7195145740887041e-46,1.8004932322125885e-74,9.207468534909692e-58,4.6280292402111593e-49,4.4664184977881581e-29,-3.7949165190711122e-114,4.4664184976379703e-29,3.2282168047875404e-74,9.5775388389879319e-73,4.2518799060134883e-75,3.9300237138373784e-106,4.6280293666494159e-49,6.6981822291639451e-92,2.7152764016631495e-18,7.9200635163297998e-19,1.7949108538406688e-23,2.1103984930722759e-37,1.7949108538411257e-23,2.3903697998547174e-36,1.3085432063168382e-44,2.791319858761206e-52,7.0754743677325173e-82,1.3171130282117377e-62,7.269171542308298e-54,2.612796152976656e-92
2.4165151555830062e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,1.1197628361492212e-137,7.2931043452937103e-64,1.0385883716375659e-45,2.1375455653463454e-73,1.3914326449986081e-56,2.7953296611783052e-48,1.2505971794293483e-28,-3.5794588625594146e-114,1.2505971793386352e-28,4.8784812573772841e-73,3.0113315219637772e-71,5.0478318245693126e-74,8.7913058471573354e-105,2.7953298112858032e-48,1.8889945677500284e-90,7.6027739246568145e-18,2.2176177845723436e-18,5.0257503907531663e-23,1.2746806890755076e-36,5.0257503907559276e-23,1.4437833514806563e-35,1.5535024859571279e-43,3.4200895367040817e-51,4.4400759467254387e-80,1.5636787502180228e-61,8.6299604504093133e-53,5.8447204825117548e-91
5.523463212761157e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,1.2203723645227556e-135,1.3551900582401338e-62,5.0003719147668224e-45,2.0986549116640294e-72,1.4968397447859096e-55,1.3458309031895523e-47,2.8585078389250694e-28,7.0161761091510476e-114,2.8585078384883266e-28,5.2480475191192338e-72,6.7181149694269098e-70,4.9559912189146268e-73,1.7370138893331365e-103,1.3458310505659843e-47,4.1089757937074292e-89,1.737776897064412e-17,5.0688406504510709e-18,1.1487429464575333e-22,6.1370388067519714e-36,1.1487429464588628e-22,6.951195263503619e-35,1.5252379346780171e-42,3.5828896847356203e-50,2.1368834350562002e-78,1.5352336513704322e-60,8.4729463353953436e-52,1.1548182754450081e-89
1.1737359327117458e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,9.9834045137025867e-134,2.3356408655045841e-61,2.1838078268516432e-44,1.8562365030956653e-71,1.3758536082354998e-54,5.8775971364750253e-47,6.0743291586951354e-28,4.2093277188469637e-112,6.0743291567877668e-28,4.8238598344370531e-71,1.2582285799861693e-68,4.3835181088808041e-72,3.0909234081611397e-102,5.8775984400028723e-47,7.6173486340780618e-88,3.6927759062618649e-17,1.0771286382208527e-17,2.4410787612208368e-22,2.6802060747295093e-35,2.4410787612266419e-22,3.0357695275257969e-34,1.3490556481141401e-41,3.5693263459951084e-49,9.0730742964968941e-77,1.3579049295064822e-59,7.4942250631878201e-51,2.0549374196811658e-88
2.4165151555830064e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,7.1851299479303659e-132,3.8759769311924784e-60,9.1170851316345757e-44,1.5602786278944202e-70,1.1770717285389191e-53,2.453781104426125e-46,1.2505971801349768e-27,1.500211243463248e-110,1.2505971793386873e-27,4.1269136599971809e-70,2.1732769621727696e-67,3.6846110982455997e-71,5.2132941080389338e-101,2.4537822001198183e-46,1.3092276097404276e-86,7.6027739246567356e-17,2.2176177845723436e-17,5.0257503907429177e-22,1.1189332707018676e-34,5.0257503907671545e-22,1.26737396142225e-33,1.1339625045382462e-40,3.6736498916449196e-48,3.8453356839002149e-75,1.1414146251030839e-58,6.2993476972634982e-50,3.4659523150376861e-87
4.902073601325527e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999853,0.099999999999999992,4.8703166836553701e-130,6.314470169498724e-59,3.7247226493523769e-43,1.279210687872682e-69,9.7322566748715254e-53,1.0024496466187206e-45,2.5369257099117023e-27,5.0413131196417529e-109,2.5369257066586006e-27,3.4122120415615826e-69,3.6109321421673678e-66,3.0208667947280308e-70,8.5628512313070206e-100,1.0024505449346008e-45,2.1699487617090862e-85,1.5422769961446328e-16,4.4985960772753233e-17,1.0195093649768986e-21,4.5712074645154856e-34,1.0195093649867999e-21,5.1776356999099449e-33,9.2969088313427002e-40,4.1162234265844889e-47,1.7452654952885378e-73,9.3582315741219859e-58,5.1645857847568544e-49,5.6928370876080146e-86
9.873190492810568e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.0999999999999997,0.099999999999999964,3.2068373666145308e-128,1.019412203295306e-57,1.5056699715450482e-42,1.0359379818862768e-68,7.9141094987080339e-52,4.0520617540266508e-45,5.1095827744483523e-27,1.6526243941535641e-107,5.1095827612987942e-27,2.7747541978338932e-68,5.886730631166751e-65,2.4463762541586602e-69,1.3880750858234816e-98,4.0520690288214177e-45,3.5331990780895876e-84,3.1062762035024943e-16,9.0605526626812747e-17,2.0533780167748735e-21,1.8477551079034429e-33,2.053378016814896e-21,2.0928827560759708e-32,7.5288763652531803e-39,5.1221186298751119e-46,8.7300010222047682e-72,7.5789027670948077e-57,4.1824153916520603e-48,9.2283342483015698e-85
1.981542427578065e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999927,0.099999999999999381,0.099999999999999922,2.0815883529275025e-126,1.6383617816853876e-56,6.0548561762261487e-42,8.3381301411290694e-68,6.383016018902624e-51,1.6293162132858806e-44,1.0254896923454441e-26,5.3523015951569469e-106,1.0254896870580649e-26,2.2379398382841301e-67,9.5070853293016524e-64,1.9690564433392288e-68,2.2354521382511134e-97,1.6293220686733855e-44,5.7025976933170186e-83,6.2342746182179865e-16,1.818446583349315e-16,4.1211153203418682e-21,7.4297417275387771e-33,4.1211153205028e-21,8.4153864812216949e-32,6.0598923700502423e-38,7.0021341563652067e-45,4.7819233046402103e-70,6.1007465950245867e-56,3.3663716439198642e-47,1.4861947839889575e-83
3.9699891841720814e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999843,0.099999999999998757,0.099999999999999825,1.3416420044619366e-124,2.6272301949942057e-55,2.4287681939071406e-41,6.690824348871626e-67,5.1271855895060219e-50,6.534286773693578e-44,2.0545525301197782e-26,1.7230313710130924e-104,2.0545525089150227e-26,1.7976350714932971e-66,1.5282360830589448e-62,1.580043795465534e-67,3.5883957743456273e-96,6.5343337594872415e-44,9.163921841822524e-82,1.2490271447648051e-15,3.6432292175116776e-16,8.2565899273600414e-21,2.9796585001534741e-32,8.2565899280054476e-21,3.3749439338844636e-31,4.8626782551018055e-37,1.0239858839404553e-43,2.7987536409974383e-68,4.8964058663381526e-55,2.7013010366386747e-46,2.3856717793853631e-82
