Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(56),COX(57),H2OX(23),CHOX(60)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.221231717221643e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,2.3396832301532585e-133,1.5750047355848787e-63,1.3066515064421173e-43,2.0653762300435126e-70,3.9609958845665744e-57,7.2266873364265093e-47,1.5272826648022555e-26,-1.1160280787898004e-108,1.5272826647992152e-26,5.1879244593478273e-69,7.0231213668528378e-74,5.8134588751538233e-71,4.4368567171405252e-100,7.2266873370543678e-47,4.6748589547647029e-86,2.9121118203840255e-18,1.4001692419390909e-19,5.3970087778957462e-23,6.4538774074579539e-38,5.3970087778985075e-23,1.3825677674628276e-35,5.1151725544029764e-44,9.9801482298443937e-51,5.5344160652229921e-76,9.0454492614299561e-60,3.955543200933753e-88,2.3581486848141812e-54,7.1233797901279246e-66
2.02194488082206e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.8054043982515637e-131,1.8791700859787704e-62,7.8921756790233013e-43,2.4520146603119751e-69,5.985856980806866e-56,4.3649191512100036e-46,4.2763914614561682e-26,6.6803904808566342e-108,4.2763914614378057e-26,7.839991442944239e-68,2.2081816920224725e-72,6.901738376596167e-70,1.0107092972296716e-98,4.3649191519553964e-46,1.318385022983325e-84,8.1539130970752701e-18,3.9204738774294557e-19,1.5111624578103618e-22,3.8981419412503674e-37,1.51116245781203e-22,8.3507092856417232e-35,6.0727328332445023e-43,1.1883178999825229e-49,1.2380391300982248e-74,1.0738758086031619e-58,8.8483919187584416e-87,2.7995941101479338e-53,8.4568764862737871e-65
4.6215882990218517e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,1.9676180284774663e-129,1.8647313565087336e-61,3.7997434509030127e-42,2.4074025337521005e-68,6.4393117896721517e-55,2.1015206774454165e-45,9.7746090548034064e-26,3.9008753633975113e-106,9.7746090547149964e-26,8.433905035140427e-67,4.926331847672338e-71,6.7761676649212912e-69,2.0700731478300764e-97,2.1015206781772481e-45,2.8677753963298276e-83,1.863751565045774e-17,8.9610831484101838e-19,3.4540856178501494e-22,1.8767875308074172e-36,3.4540856178581813e-22,4.0205070230312741e-34,5.9622450570497071e-42,1.174057654203387e-48,2.4462069215193901e-73,1.0543377899994802e-57,1.7482931349891592e-85,2.7486580807826738e-52,8.3030114816182382e-64
9.820875135421434e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,1.6096337175134696e-127,1.6844691375718373e-60,1.6594483123564414e-41,2.1293202781537626e-67,5.9188369304228321e-54,9.1778929173917405e-45,2.0771044241655526e-25,1.5367819483638779e-104,2.0771044241269413e-25,7.7522117613557659e-66,9.2264742174574964e-70,5.9934435620167713e-68,3.9430351494126472e-96,9.1778929238647056e-45,5.3163722718162515e-82,3.9604720757222603e-17,1.9042301690371643e-18,7.3399319379225737e-22,8.1964241082309181e-36,7.3399319379576477e-22,1.7558610184354757e-33,5.2735381447262517e-41,1.0515336722573405e-47,4.3530761451350235e-72,9.3255010763949743e-57,3.1109942227658124e-84,2.4311569129988791e-51,7.3439196247450543e-63
2.02194488082206e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,1.158465077454451e-125,1.4750051349813196e-59,6.9278743797303836e-41,1.7898219949870151e-66,5.0636896068841e-53,3.8315896258903998e-44,4.2763914615990344e-25,5.4299343783638973e-103,4.2763914614378401e-25,6.6321803742514209e-65,1.5936439315195274e-68,5.037850446026291e-67,7.5253525240932915e-95,3.8315896313313169e-44,9.1374855966772614e-81,8.1539130970752014e-17,3.9204738774294554e-18,1.5111624578038818e-21,3.4218456221175948e-35,1.5111624578185248e-21,7.3303738869070825e-33,4.4327264171840072e-40,9.0590338196190661e-47,7.3427339191024023e-71,7.8386501404889355e-56,5.2471464691572766e-83,2.0435338199190423e-50,6.173006945362148e-62
4.101659615381893e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,7.8524535199052253e-124,1.3062291714573827e-58,2.8302662807263571e-40,1.4674042080254412e-65,4.1867564890892871e-52,1.5653293839184426e-43,8.6749655367182304e-25,1.8242322343906433e-101,8.6749655360596964e-25,5.4836149877342507e-64,2.6478630831566686e-67,4.130334169896809e-66,1.5234092174713302e-93,1.5653293883792352e-43,1.5144712266369123e-79,1.6540795139780964e-16,7.9529612942140344e-18,3.0655009858156893e-21,1.3979355101436308e-34,3.0655009858755101e-21,2.9946967346687657e-32,3.6342166882020774e-39,7.7883498887622441e-46,1.2062693980729661e-69,6.4266064908526939e-55,8.6184538317453125e-82,1.6754124027021719e-49,5.0610040452938039e-61
8.261089084501559e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,5.1704080144495729e-122,1.2148162249594247e-57,1.1440417492477985e-39,1.1883419727549742e-64,3.4046008449728972e-51,6.3273116448488548e-43,1.7472113687965544e-24,5.9800864537142793e-100,1.7472113685303648e-24,4.4591846392818048e-63,4.316684642077448e-66,3.3448516971553624e-65,3.4011700405634824e-92,6.3273116809735043e-43,2.4659237919792313e-78,3.3314559225191996e-16,1.6017936127783183e-17,6.174178041793541e-21,5.6506782074917377e-34,6.1741780420353437e-21,1.210504153816782e-31,2.9430825045103842e-38,6.8922506261229012e-45,1.9562331065124251e-68,5.2044447282978027e-54,1.3970885055517592e-80,1.3567922592069635e-48,4.0985322817383824e-60
1.6579948022740892e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996466,0.022821567693054271,3.3561560442540581e-120,1.2305223438150687e-56,4.6001646093943338e-39,9.5648100320540172e-64,2.7459339215058254e-50,2.5441841841995943e-42,3.506640999449587e-24,1.9367509331545288e-98,3.5066409983792495e-24,3.5964939579760392e-62,6.9714557105735195e-65,2.6922276417587824e-64,8.4782831467235956e-91,2.5441842132758489e-42,3.9800109435435832e-77,6.6862087396012133e-16,3.2147885794921435e-17,1.2391532153566186e-20,2.2721123438466586e-33,1.2391532154538462e-20,4.8673827770604931e-31,2.3688482093345904e-37,6.4892746282395292e-44,3.1537010530574207e-67,4.1890094864201283e-53,2.2499679683106171e-79,1.0920642190727585e-47,3.298855329249609e-59
3.321766589921956e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996399,0.022821567693054254,2.1631307603407329e-118,1.3930208890818614e-55,1.8448902459154253e-38,7.675157681908561e-63,2.2056834558845185e-49,1.0203316495503387e-41,7.0255002623699316e-24,6.234854971128094e-97,7.0255002580773994e-24,2.8888995349273973e-61,1.1206406569030804e-63,2.1603431325260811e-63,2.3243423651277775e-89,1.0203316728821919e-41,6.395770744604021e-76,1.339571437376446e-15,6.440778512919779e-17,2.4826240376379239e-20,9.1121826288281497e-33,2.4826240380278501e-20,1.9520372417142648e-30,1.9008504877588543e-36,6.7186920726526541e-43,5.0767444731983721e-66,3.3614477419692906e-52,3.611696881745903e-78,8.7631239185200689e-47,2.6471236224466602e-58
