Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),COX(50),CHOX(53),H2OX(23),CO2X(24)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.326656734914361e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-1.2663613032862393e-125,9.4126493657029798e-66,8.331539794643291e-42,1.0889123528163513e-92,4.1370250361824596e-57,5.4174076985070859e-142,7.4501587477858904e-25,-9.3267403737946923e-118,7.4501587477855755e-25,1.3641892692882217e-79,7.4423213875386986e-74,2.3903637296343835e-120,1.4443683463276308e-121,6.5576070103611353e-57,8.9552046555362244e-95,2.9546266505694328e-18,1.4206107501034383e-19,5.475801395025083e-23,6.6436973308746275e-38,5.4758013950279242e-23,1.423231525252321e-35,5.3424932195478823e-44,1.0424175406287469e-50,3.4487496087911988e-81,5.8518098425015843e-58,2.1158966246415971e-110,-1.95056011509538e-113,2.4629459173634215e-54,-1.4021153205084331e-113
2.051463885776021e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,2.3010168531888793e-123,2.1055725237440017e-64,5.0322500420234825e-41,1.2067678626798637e-90,6.2518722347180377e-56,1.960382542623861e-139,2.0860444493801507e-24,1.8002469583321151e-116,2.0860444493799612e-24,3.8472320096990809e-78,2.3399849229811267e-72,4.7922446511470564e-118,2.8956959127008477e-119,7.785191018848013e-56,4.6354718396270491e-93,8.2729546215944087e-18,3.9777101002896271e-19,1.5332243906065632e-22,4.0127931744227896e-37,1.5332243906082801e-22,8.5963183813644385e-35,6.34260792551124e-43,1.2412402064101424e-49,2.104182379348087e-79,6.9472686526779405e-57,4.2419880103567856e-108,1.9798513447030938e-111,2.9240093841252183e-53,1.4231706491277256e-111
4.6890603103451914e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,9.7739536915796064e-121,4.1602569183948722e-63,2.4228117813706683e-40,1.0986305029226246e-88,6.725478860858324e-55,7.1423230543902373e-137,4.7681015985836806e-24,1.9008858217087595e-114,4.7681015985827681e-24,8.3685699616813977e-77,5.2203776055959891e-71,8.7300311573243112e-116,5.2750886859443726e-117,7.6435466573334842e-55,2.0240284189999545e-91,1.8909610563644344e-17,9.0919088006620048e-19,3.5045128928128332e-22,1.9319871636801138e-36,3.5045128928211002e-22,4.1387572286943815e-34,6.2272100200233982e-42,1.2264564020079771e-48,9.5591897158393355e-78,6.8208695761660238e-56,7.7276287406778358e-106,4.1720148753368969e-109,2.8708097334760344e-52,2.9989570353172577e-109
9.964253159483531e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,3.1831472079831543e-118,7.4029551830530974e-62,1.0581055633110436e-39,8.418487323311314e-87,6.1818737710868336e-54,2.1925768761511483e-134,1.0132215896992359e-23,1.5024919316021942e-112,1.0132215896988375e-23,1.5513918333662252e-75,9.7771893701722353e-70,1.3392997164126095e-113,8.0926684608108229e-115,6.7606303681206534e-54,7.5349503194938133e-90,4.0182922447744138e-17,1.9320306201406762e-18,7.4470898972180114e-22,8.4374954021157467e-36,7.4470898972541179e-22,1.8075039887731016e-33,5.507896648593702e-41,1.0986612722610604e-47,3.6548147022648848e-76,6.032981925092403e-55,1.1855182179712526e-103,6.7887586401058934e-107,2.5391986645791739e-51,4.8799431686538997e-107
2.0514638857760212e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,9.3307843341072874e-116,1.2486165937252946e-60,4.4173824836419777e-39,5.9929367192801883e-85,5.2887231619478766e-53,6.2481223795935356e-132,2.0860444493816201e-23,1.0649130723174927e-110,2.0860444493799571e-23,2.6664461792181495e-74,1.6887662755773343e-68,1.9077998231586943e-111,1.1527809099100397e-112,5.6827170317422194e-53,2.5959046311850008e-88,8.2729546215943406e-17,3.9777101002896277e-18,1.5332243905998924e-21,3.5224881375442023e-35,1.5332243906149658e-21,7.5459731122117036e-33,4.6297188520117524e-40,9.4683166833054415e-47,1.2995769461555318e-74,5.0710848710273184e-54,1.6887418243102348e-101,9.9465681299673717e-105,2.1343494189239056e-50,7.1498619699584951e-105
4.161541025431357e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,2.6449214186079193e-113,2.0508564234140729e-59,1.8046449172409591e-38,4.1867751599661389e-83,4.3728185841360025e-52,1.746380173252769e-129,4.2316901687489823e-23,7.1663767877243284e-109,4.2316901687421885e-23,4.4194389941042215e-73,2.805910269659161e-67,2.6660124861584789e-109,1.6109280763459016e-110,4.6590345099670387e-52,8.6148610147970824e-87,1.678227937523407e-16,8.069069060587526e-18,3.1102551923442974e-21,1.4390512580883629e-34,3.1102551924058768e-21,3.082776044931792e-32,3.7957229735717304e-39,8.1454646190432242e-46,4.5383134986580232e-73,4.1575818389400155e-53,2.3598947510341792e-99,1.4095717102020439e-102,1.749868512362314e-49,1.0132382389700879e-102
8.381695304742029e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,7.5985758106942953e-111,3.3245263167202071e-58,7.2946635927757874e-38,2.9855578196931831e-81,3.555903450620089e-51,4.9802479408728394e-127,8.5229816074940834e-23,4.7021219337803832e-107,8.5229816074666203e-23,7.1959107369805337e-72,4.5743414098316821e-66,3.8016782039502052e-107,2.2971498393095584e-108,3.7730065381846418e-51,2.8070270362744388e-85,3.3800928882513025e-16,1.6251786981183313e-17,6.2643167957859971e-21,5.8168746062997417e-34,6.2643167960349107e-21,1.246107212740799e-31,3.0738744582767738e-38,7.2163717742893477e-45,1.6185955379394766e-71,3.3669176947360053e-52,3.3651606967185611e-97,2.0248697339787092e-100,1.4170887387090582e-48,1.4555310900963436e-100
1.6822003863363374e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996464,0.022821567693054271,2.3044299160280597e-108,5.3540460552670655e-57,2.9331523883282082e-37,2.2551540533656997e-79,2.8679649542675894e-50,1.503854768051548e-124,1.7105564485025793e-22,3.0469050354352042e-105,1.7105564484915363e-22,1.1614228940796499e-70,7.3875719647287807e-65,5.7409693569011482e-105,3.468959264944155e-106,3.0368432595710382e-50,9.0637202023594726e-84,6.7838227897068934e-16,3.2617222822374845e-17,1.2572440002480955e-20,2.3389391621488466e-33,1.2572440003481826e-20,5.0105410584290528e-31,2.4741209146044394e-37,6.8063697260815397e-44,6.117930385287577e-70,2.7099884835629962e-51,5.0817779387176586e-95,3.0709894935747721e-98,1.1405960577588959e-47,2.207510256059148e-98
3.370262098060606e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996396,0.022821567693054254,7.6541725725954441e-106,8.5944261285900253e-56,1.1763254892852145e-36,1.8687687732058402e-77,2.3037054177213699e-49,4.980380094931954e-122,3.4270730240255235e-22,1.962121549240508e-103,3.4270730239812366e-22,1.8663754114130813e-69,1.1875300927926813e-63,9.5090918823370009e-103,5.7458332028776841e-104,2.436874424529369e-49,2.9134518686199804e-82,1.3591282592617271e-15,6.5348094504757748e-17,2.5188686415117094e-20,9.3801878771688331e-33,2.5188686419131045e-20,2.0094500731951528e-30,1.9853251432877646e-36,7.0633576580664588e-43,2.5378682077131883e-68,2.1745954221502389e-50,8.4172358831449313e-93,5.1016185070200122e-96,9.1525611399474738e-47,3.6671813106043799e-96
