Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53),H2OX(23),CO2X(24)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531594134e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,-8.2021540393414936e-123,1.3110901485629608e-65,2.9700072472316536e-36,2.6513829470095915e-89,1.8423403295075858e-54,9.0169363208044756e-133,5.5646920903778498e-20,-6.7087114431361221e-106,5.5646920903778486e-20,2.6594431780123696e-72,2.5277624051211368e-73,5.9486097694584741e-113,6.897399457577602e-114,8.7029122354852032e-55,1.2484267573010577e-85,3.0390311159895404e-18,8.9980309981672622e-20,3.6022135345399712e-22,9.00878354701952e-38,3.335798334090027e-37,3.6022135345327574e-22,3.5523522046572668e-34,7.6436672192470067e-43,8.2821281858020028e-48,1.0454755625071151e-78,2.1456307125198896e-52,2.0725052467419737e-98,1.0476061660230355e-106,-7.2466341086560955e-110,3.3174158731344919e-54,-3.3594925494728084e-110
1.7654093888463576e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,1.4860047682931056e-120,2.9328572268275279e-64,1.7938843773327484e-35,2.9299754641885482e-87,2.7841447288682691e-53,3.2537083713574816e-130,1.5581137853057985e-19,1.2951259393886966e-104,1.558113785305797e-19,7.5000553324473355e-71,7.9476894768630105e-72,1.1892067748113609e-110,1.3788825425454729e-111,1.0332097383675643e-53,6.462216493008782e-84,8.5092871247707105e-18,2.5194486794868334e-19,1.0086197896723611e-21,5.4413052495789958e-37,2.0148221937883234e-36,1.0086197896680047e-21,2.1456207271530821e-33,9.074561701164273e-42,9.8329677765074126e-47,6.3604085667375593e-77,2.5472927819098854e-51,1.9517441944580003e-96,2.0943050531946872e-104,7.3340970272248659e-108,3.9384361160732944e-53,3.4000397936588602e-108
4.035221460220246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,6.2736280015568188e-118,5.7948325219972758e-63,8.6367810750220923e-35,2.6510634663500519e-85,2.9950558531105137e-52,1.1781972275709673e-127,3.5614029378418252e-19,1.3675162600474902e-102,3.5614029378418209e-19,1.6314258577857375e-69,1.7730857938960439e-70,2.1531335429384449e-108,2.4965534312530936e-109,1.0144114432575138e-52,2.8216566287240686e-82,1.9449799142333041e-17,5.7587398388270478e-19,2.3054166621137658e-21,2.6197542362420821e-36,9.7005015555029922e-36,2.3054166620927916e-21,1.0330240144244721e-32,8.9094584440243986e-41,9.6549667157663905e-46,2.8716564001589272e-75,2.5009471585326275e-50,1.7058345029976874e-94,3.7918708122738315e-102,1.5360125413534603e-105,3.8667799153384367e-52,7.1208544761759048e-106
8.574845602968022e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,2.0182821545802503e-115,1.0311595495291474e-61,3.7719092040590556e-34,2.0067324441971197e-83,2.7529723318249849e-51,3.573143824358461e-125,7.5679812429138821e-19,1.0809076325079176e-100,7.5679812429138618e-19,3.0243885924487972e-68,3.3207934285407924e-69,3.2631728831868865e-106,3.7836415140151833e-107,8.9723542531723513e-52,1.0504320156118984e-80,4.1330823177457633e-17,1.2237322157507477e-18,4.8990104070152841e-21,1.1441154905992446e-35,4.2364638842624999e-35,4.8990104069236835e-21,4.511487230786162e-32,7.8803150162220704e-40,8.5413108894375417e-45,1.0844830538478538e-73,2.212059439420337e-49,1.2726054667951541e-92,5.7467545622830038e-100,2.4689126937318762e-103,3.4201230131537702e-51,1.1445719052201075e-103
1.7654093888463574e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,5.7754916326261572e-113,1.739201325770433e-60,1.5746978425495926e-33,1.3946368776342605e-81,2.3552257899147733e-50,9.9419203745024503e-123,1.5581137853058011e-18,7.6610905026532627e-99,1.5581137853057924e-18,5.198151255838885e-67,5.735844713318928e-68,4.5383772353245582e-104,5.2622380512722481e-105,7.5418042333802621e-51,3.6188975620129093e-79,8.5092871247706566e-17,2.5194486794868328e-18,1.0086197896893154e-20,4.7764568577796361e-35,1.7686402767058814e-34,1.0086197896510735e-20,1.8834570766935727e-31,6.6238794592829631e-39,7.1821817417419744e-44,3.7639656820145412e-72,1.8593692454524153e-48,8.7783609518743071e-91,7.9925094427362228e-98,3.5311368685093657e-101,2.8748194164694244e-50,1.6370121408555244e-101
3.581259045945468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,1.5628648641827622e-110,2.8566433445130662e-59,6.4331544983640456e-33,9.3020084372090651e-80,1.9473462287020743e-49,2.6536601528422556e-120,3.1607451073346323e-18,5.1555627002587084e-97,3.1607451073345965e-18,8.6155544921738397e-66,9.5301914074750165e-67,6.0559064237622193e-102,7.0218096833905802e-103,6.1832265354078278e-50,1.2009801573293697e-77,1.7261696738820348e-16,5.1108816069590024e-18,2.0460572876948223e-20,1.9513383999921904e-34,7.2254726233297849e-34,2.0460572875385914e-20,7.6945364426161591e-31,5.4306563548931276e-38,5.8928065552423144e-43,1.2544837733653599e-70,1.5244232458451831e-47,5.8297532274197502e-89,1.0665021166234459e-95,4.7767164788885916e-99,2.3569505584101571e-49,2.2144547677044661e-99
7.21295836014369e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,4.1172150698161809e-108,4.6307416648999216e-58,2.6003839057683742e-32,6.0834657998372384e-78,1.5835496124700986e-48,6.9434948407204634e-118,6.3660077513923144e-18,3.3827532618327106e-95,6.3660077513921703e-18,1.4028197053724097e-64,1.5536616082189321e-65,7.9222610259676604e-100,9.1858435869431783e-101,5.007336784005132e-49,3.9132189897154068e-76,3.4766515966919347e-16,1.0293747461903335e-17,4.1209322838255663e-20,7.8876211714214612e-34,2.9206515596163153e-33,4.1209322831940563e-20,3.1102544347809799e-30,4.3978859530323914e-37,4.7793066176880496e-42,4.1008896277051097e-69,1.2345174679326822e-46,3.8001719354343596e-87,1.3951847272742776e-93,6.2912623290403587e-97,1.9087195269523986e-48,2.9165884006536025e-97
1.4476356988540132e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996462,0.022821567693054278,1.0715118066496903e-105,7.4576656408475917e-57,1.0456029317974613e-31,3.9442682625963682e-76,1.277190130476971e-47,1.8009329390936655e-115,1.2776533039507768e-17,2.1919737711072883e-93,1.2776533039507187e-17,2.2641566602003113e-63,2.5091672570916014e-64,1.0273629074809148e-97,1.1912249475238534e-98,4.0303396680034527e-48,1.2635546988215203e-74,6.9776154423115806e-16,2.0659479171791989e-17,8.2706822765659845e-20,3.1715772725390035e-33,1.1743811465478816e-32,8.2706822740267096e-20,1.2506194516021612e-29,3.5398006389910363e-36,3.8583263298422681e-41,1.3292443789168826e-67,9.9364705895462129e-46,2.4544588595809016e-85,1.8092827704749355e-91,8.1861732012104046e-95,1.5363032994264361e-47,3.7950567963784414e-95
2.9003154245333017e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996391,0.022821567693054268,2.7778206156450918e-103,1.1971201522804059e-55,4.1933354153884128e-31,2.551836312442318e-74,1.025908569370672e-46,4.6607416094590081e-113,2.5597583615739011e-17,1.4115697476211082e-91,2.5597583615736684e-17,3.6384389699717414e-62,4.0334118281845316e-63,1.3293754177608277e-95,1.541407764147652e-96,3.2340927919506714e-47,4.0615836724208436e-73,1.3979543133550254e-15,4.1390942591569213e-17,1.657018226396252e-19,1.2719439299063636e-32,4.7097936518079926e-32,1.6570182253778896e-19,5.0155419326215227e-29,2.8404661475839518e-35,3.1145593950700475e-40,4.2997839670877346e-66,7.9733918737794306e-45,1.5780416987537281e-83,2.3411552245803876e-89,1.0610886050523069e-92,1.2327862745253978e-46,4.9191379681522264e-93
