Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),COX(58),CHOX(61)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.630411269939308e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,1.4511388051576985e-139,7.2709753671010602e-66,1.7195152798611783e-46,1.8004939712231776e-74,9.2074690034714178e-58,4.6280311397809834e-49,4.4664203310250202e-29,-3.7949196424348292e-114,4.4664203308748346e-29,3.2282194539651849e-74,1.106444874717459e-76,4.2518817241738546e-75,4.3897227341839438e-105,4.6280311397955899e-49,6.6981854584005133e-92,2.7152764016631495e-18,7.9200635163297998e-19,1.7949108538406688e-23,2.1103875087269919e-37,1.7949108538411257e-23,2.3903702919531227e-36,1.3085437155554992e-44,2.7913204936377245e-52,2.575370841564229e-78,1.3171135688190319e-62,2.6127972253961642e-92,2.7727904020694453e-68
2.4165151555830062e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,1.1197637131201585e-137,8.6321019787757658e-65,1.0385887979244877e-45,2.137546442699718e-73,1.3914327158076567e-56,2.7953308085184798e-48,1.2505976927356699e-28,-3.5794617206236986e-114,1.2505976926449572e-28,4.8784852620273948e-73,3.4788228713562043e-75,5.047833983092248e-74,2.5193129317507785e-103,2.7953308085358203e-48,1.8889954788993297e-90,7.6027739246568145e-18,2.2176177845723436e-18,5.0257503907531663e-23,1.2746676485208176e-36,5.0257503907559276e-23,1.4437836487080902e-35,1.5535030905252618e-43,3.4200903317722278e-51,5.7638588787511739e-77,1.5636793920274809e-61,5.8447228814713003e-91,3.2918567651644526e-67
5.523463212761157e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,1.220373270195239e-135,8.4750489565252708e-64,5.0003739671583858e-45,2.0986557730547762e-72,1.4968398209590525e-55,1.3458314555844576e-47,2.8585090121966618e-28,7.016186297977053e-114,2.8585090117599194e-28,5.2480518272228818e-72,7.7609824525488303e-74,4.9559933381714911e-73,1.1150202408100082e-101,1.3458314556014828e-47,4.1089777757533297e-89,1.737776897064412e-17,5.0688406504510709e-18,1.1487429464575333e-22,6.1369107750842748e-36,1.1487429464588628e-22,6.9511966945257382e-35,1.525238528246586e-42,3.5828905529101914e-50,1.1401009845459681e-75,1.535234281503778e-60,1.1548187494389899e-89,3.2319644921177261e-66
1.1737359327117458e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,9.9834110845249327e-134,7.4960849065493533e-63,2.1838087231880681e-44,1.8562372649860377e-71,1.375853678251742e-54,5.8775995489287044e-47,6.0743316518972694e-28,4.2093329174857445e-112,6.0743316499899e-28,4.8238637943335627e-71,1.4535160221243841e-72,4.3835199833506086e-72,4.175427127431208e-100,5.8775995490792877e-47,7.6173523084758402e-88,3.6927759062618649e-17,1.0771286382208527e-17,2.4410787612208368e-22,2.6800928344312493e-35,2.4410787612266419e-22,3.0357701524907263e-34,1.3490561731187998e-41,3.5693272696686464e-49,2.0340193919966166e-74,1.3579054868540952e-59,2.0549382631281436e-88,2.858635991795231e-65
2.4165151555830064e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,7.1851334675122075e-132,6.3009111736758625e-62,9.1170888736886801e-44,1.5602792683092246e-70,1.1770717884392884e-53,2.4537821115780467e-46,1.2505976934412984e-27,1.5002130908993732e-110,1.2505976926450092e-27,4.1269170477726615e-70,2.5104834208600968e-71,3.6846126738691038e-71,1.4431390769595091e-98,2.4537821117046155e-46,1.3092282412758888e-86,7.6027739246567356e-17,2.2176177845723436e-17,5.0257503907429177e-22,1.1188380892128647e-34,5.0257503907671545e-22,1.2673742223327829e-33,1.1339629458362668e-40,3.6736509301178308e-48,3.453821299350986e-73,1.1414150935903703e-58,3.4659537376343772e-87,2.4028557957508014e-64
4.902073601325527e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999853,0.099999999999999992,4.8703174290488131e-130,5.1658678893310969e-61,3.7247241781248047e-43,1.2792112129235587e-69,9.7322571701393598e-53,1.0024500580731434e-45,2.5369267511902412e-27,5.0413193272650168e-109,2.5369267479371391e-27,3.4122148426399263e-69,4.1708600064183065e-70,3.0208680865500205e-70,4.7974560525585703e-97,1.0024500581769038e-45,2.1699498084328676e-85,1.5422769961446328e-16,4.4985960772753233e-17,1.0195093649768986e-21,4.5704271715526035e-34,1.0195093649867999e-21,5.1776367658144258e-33,9.2969124493700008e-40,4.1162247077585624e-47,5.7842786820789937e-72,9.3582354151135835e-58,5.6928394242278941e-86,1.9700063539968134e-63
9.873190492810568e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.0999999999999997,0.099999999999999964,3.2068356971738201e-128,4.1834541138687427e-60,1.5056705895164671e-42,1.0359384070865034e-68,7.914109901451614e-52,4.0520634171912125e-45,5.1095848716713249e-27,1.6526264291084429e-107,5.1095848585217668e-27,2.7747564756242844e-68,6.7984274132437188e-69,2.4463773003592357e-69,1.5645625722557401e-95,4.0520634180313581e-45,3.5332007824079141e-84,3.1062762035024943e-16,9.0605526626812747e-17,2.0533780167748735e-21,1.8471233074610183e-33,2.0533780168148975e-21,2.0928831869314569e-32,7.5288792952246969e-39,5.1221203634993398e-46,9.9666502401769876e-71,7.5789058777100101e-57,9.2283380360665988e-85,1.5953622184278473e-62
1.981542427578065e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999927,0.099999999999999381,0.099999999999999922,2.0815844647758189e-126,3.3672084070508121e-59,6.0548586612000493e-42,8.3381335635237518e-68,6.3830163437299111e-51,1.6293168820370364e-44,1.0254901132566283e-26,5.3523081856994073e-106,1.0254901079692488e-26,2.2379416754045945e-67,1.0975839691366426e-67,1.9690572854923743e-68,5.0541452938205261e-94,1.629316882713042e-44,5.7026004440936141e-83,6.2342746182179865e-16,1.818446583349315e-16,4.1211153203418682e-21,7.4246580735231082e-33,4.1211153205028045e-21,8.4153882136714773e-32,6.0598947283449424e-38,7.0021366722996737e-45,1.9426967697439904e-69,6.1007490988481021e-56,1.4861953939991032e-83,1.2840863020943136e-61
3.9699891841720814e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999843,0.099999999999998757,0.099999999999999825,1.3416358832848009e-124,2.701973623487608e-58,2.4287691906035098e-41,6.6908270951706502e-67,5.1271858504249637e-50,6.5342894556848193e-44,2.0545533734087364e-26,1.7230334926631434e-104,2.0545533522039797e-26,1.7976365471683508e-66,1.7631654419396144e-66,1.5800444713686323e-67,1.6249773226844818e-92,6.5342894611058741e-44,9.1639262622464667e-82,1.2490271447648051e-15,3.6432292175116776e-16,8.2565899273600414e-21,2.9755817944286562e-32,8.2565899280054898e-21,3.374944628673364e-31,4.8626801474827285e-37,1.0239862656645275e-43,5.1496083541908306e-68,4.8964078757071221e-55,2.3856727586012881e-82,1.0303983810011171e-60
