Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),COX(50),CHOX(53)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.114244592107898e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,2.9246911926466545e-74,7.855451806093974e-42,9.1261634749350418e-93,3.7875379447260297e-57,4.2808768598784448e-142,7.2341660732110962e-25,-7.8175306065670131e-118,7.2341660732107995e-25,1.2127364197948569e-79,3.7213565059437188e-76,1.9452806083715373e-120,1.1754285344202829e-121,3.3768774321132335e-59,7.7301915236632495e-95,2.8689670379046562e-18,1.3794248471136902e-19,5.317048671923309e-23,6.2640537581290418e-38,5.3170486719259892e-23,1.3419040096696636e-35,4.8911707360182909e-44,9.5426322035522939e-51,2.976692929143455e-81,5.3574613712125793e-58,1.7219189791932145e-110,-1.5873679443736669e-113
1.9919884857902116e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,9.1295647232411489e-73,4.7446928964278471e-41,1.0113064208780276e-90,5.7237273421281648e-56,1.5489807885130728e-139,2.0255665004992024e-24,1.5089319972506121e-116,2.0255665004990235e-24,3.4201107416821978e-78,1.1700533782183176e-74,3.8996096706935273e-118,2.3563245632415067e-119,4.0090267669461388e-58,4.0013697622024539e-93,8.0331077061330364e-18,3.8623895719183324e-19,1.4887736281380925e-22,3.7834862846782424e-37,1.4887736281397114e-22,8.1051001898774849e-35,5.80679787581111e-43,1.13617460889615e-49,1.8160137390410238e-79,6.3603781467132083e-57,3.4518474477722254e-108,1.6110679870033696e-111
4.5531165389490546e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,2.0325934953317885e-71,2.2843653935327577e-40,9.205190617156277e-89,6.1573246860421176e-55,5.6424427426046586e-137,4.6298662868557698e-24,1.5932859153155476e-114,4.629866286854911e-24,7.4394879087928298e-77,2.6103216303070659e-73,7.1026481860185169e-116,4.2917486101880621e-117,3.9360817614565466e-57,1.747154635779261e-91,1.8361389042589783e-17,8.8283190215276172e-19,3.4029111500278812e-22,1.8215835550201413e-36,3.4029111500356762e-22,3.9022568173284575e-34,5.7011485417345302e-42,1.1224364820056166e-48,8.2485650029762887e-78,6.2446569953952483e-56,6.2871056549685619e-106,3.3942938293806704e-109
9.67537264526674e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,3.8038031779383836e-70,9.9764238797191871e-40,7.0511778633957891e-87,5.6596422000878715e-54,1.7315292615619103e-134,9.8384658595704335e-24,1.259359826109347e-112,9.8384658595666793e-24,1.3791556788049197e-75,4.8888318903600334e-72,1.0892544323291084e-113,6.5817791807925682e-115,3.4814117532714012e-56,6.5042186450998665e-90,3.9017951715503193e-17,1.8760177920746187e-18,7.2311861938005185e-22,7.9553144018492457e-36,7.2311861938345608e-22,1.7042180480631841e-33,5.0426012388518032e-41,1.0051164812733665e-47,3.1525936219259089e-76,5.5233284195960368e-55,9.6418371310809046e-104,5.5212809464487707e-107
1.9919884857902113e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,6.567764978308697e-69,4.1649606249728812e-39,5.016156281016811e-85,4.8419430580971079e-53,4.9309422336081386e-132,2.0255665005005881e-23,8.9258964617766475e-111,2.0255665004990203e-23,2.3704162360565834e-74,8.4442011085674911e-71,1.5505622490432232e-111,9.3692144146032906e-113,2.9263229080876511e-55,2.2408019412384272e-88,8.0331077061329741e-17,3.8623895719183326e-18,1.4887736281318033e-21,3.3211708188228832e-35,1.4887736281460153e-21,7.1147746613129701e-33,4.2386100413801268e-40,8.6561034439235786e-47,1.1202274114854599e-74,4.6426903853394662e-54,1.3725230967019666e-101,8.0839831241062599e-105
4.0408909283172856e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.0910497599857851e-67,1.7015223485238126e-38,3.4999255991356066e-83,4.0034121543966193e-52,1.3764796769760225e-129,4.1090063295901229e-23,6.0067191281766136e-109,4.1090063295837164e-23,3.928791073128162e-73,1.4030032782607868e-69,2.1640548752029239e-109,1.307622066793151e-110,2.3991542787186079e-54,7.4364046558402939e-87,1.6295732775298161e-16,7.8351331316057558e-18,3.0200836456242008e-21,1.3567932908988058e-34,3.0200836456822619e-21,2.9066174241691651e-32,3.4750683693645353e-39,7.4370682368134811e-46,3.9069935523939586e-73,3.8063581482280431e-53,1.9155730768361519e-99,1.1441559211005056e-102
8.138695813371434e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,1.77850636470078e-66,6.8778256568490483e-38,2.4902221105941162e-81,3.2555082769100859e-51,3.9166941731415844e-127,8.2758859877789761e-23,3.9412281267505392e-107,8.2758859877530811e-23,6.3970177898611901e-72,2.2872058656566062e-68,3.079056887921197e-107,1.8605086111926837e-108,1.9428616363990913e-53,2.4230441890794923e-85,3.2820982913628068e-16,1.5780620250980593e-17,6.0827036805645771e-21,5.4842674411950949e-34,6.0827036807992698e-21,1.1749010947014894e-31,2.8142000924961337e-38,6.5738654407304908e-45,1.3903182596860939e-71,3.0824876295895918e-52,2.7255124359664598e-97,1.6399313790758423e-100
1.6334305583479732e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996467,0.022821567693054271,0.0,2.8720664828197743e-65,2.7655436672722543e-37,1.8744304163224644e-79,2.6256853641198004e-50,1.1785827102806639e-124,1.6609645304195816e-22,2.553857172213353e-105,1.6609645304091695e-22,1.0324812503309199e-70,3.6937028331765445e-67,4.6335239237895516e-105,2.7997895034912537e-106,1.5637266026775928e-52,7.8238628570319642e-84,6.5871483190285983e-16,3.167159448973023e-17,1.2207943750267659e-20,2.2051129903170075e-33,1.2207943751211341e-20,4.7242244941536238e-31,2.265112468298629e-37,6.1784257285758145e-44,5.2366586943283064e-70,2.4810543992266819e-51,4.1014919592131607e-95,2.4784724161286678e-98
3.2725525123696327e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996401,0.022821567693054254,0.0,4.6163182724443826e-64,1.1091068793442597e-36,1.5460429917055618e-77,2.1090932752043529e-49,3.8850163593070063e-122,3.3277163937186027e-22,1.6446125274712551e-103,3.3277163936768468e-22,1.659169651459044e-69,5.9370669732531726e-66,7.639066974961895e-103,4.6158776473983479e-104,1.2546999003059086e-51,2.5149108039278637e-82,1.3197248374359425e-15,6.3453542967229351e-17,2.445842388896312e-20,8.8427929962701465e-33,2.4458423892747702e-20,1.8946244089994792e-30,1.8176091474762968e-36,6.3816536433597889e-43,2.1621573468412637e-68,1.9908902002429137e-50,6.7619315762659272e-93,4.0981176705953747e-96
