Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),COX(50),CHOX(53),CO2X(24)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.221231717221184e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-1.1276649323594898e-125,3.1046308352370422e-74,8.0934958003654036e-42,9.9817000551914357e-93,3.9609964956608935e-57,4.824074255135385e-142,7.342956630064251e-25,-8.5499483555288883e-118,7.3429566300639433e-25,1.2873492206574421e-79,3.950310441515743e-76,2.1596382838229193e-120,1.3049533583525273e-121,3.5315288584908999e-59,8.3291886197808025e-95,2.912111820383841e-18,1.4001692419390023e-19,5.3970087778954042e-23,6.4538735109253303e-38,5.397008777898163e-23,1.382567767462652e-35,5.1151725544020006e-44,9.9801482298424875e-51,3.2075085206197303e-81,5.6028179854274037e-58,1.9116636094063229e-110,-1.7622858992387743e-113,-1.2667786708023706e-113
2.0219448808219315e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,2.0489142060867634e-123,9.6912549455090865e-73,4.8884714692218322e-41,1.1061583858861997e-90,5.9858579042512703e-56,1.7456027546647603e-139,2.0560278564180883e-24,1.6503066619103909e-116,2.0560278564179042e-24,3.6305307781342778e-78,1.2420401116299291e-74,4.3295034257131949e-118,2.6160862573791482e-119,4.1926288098819547e-58,4.3114279102366021e-93,8.1539130970747509e-18,3.9204738774292063e-19,1.5111624578102659e-22,3.8981373152898137e-37,1.5111624578119341e-22,8.3507092856406626e-35,6.0727328332433433e-43,1.1883178999822952e-49,1.9569122830706808e-79,6.6516655195280058e-57,3.8323798052094172e-108,1.7886742558226772e-111,1.2857472889946224e-111
4.621588299021558e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,8.7023360358580069e-121,2.1576473810034726e-71,2.353588587447952e-40,1.0069469179595693e-88,6.4393127830686365e-55,6.3592457044416738e-137,4.6994922432418092e-24,1.742563644390399e-114,4.6994922432409231e-24,7.8971974495547016e-77,2.7709198331910847e-73,7.8863558022385831e-116,4.7653010070688598e-117,4.116343059617688e-57,1.882538157644378e-91,1.8637515650456551e-17,8.9610831484096137e-19,3.4540856178499288e-22,1.8767829890174513e-36,3.4540856178579612e-22,4.0205070230307617e-34,5.9622450570485677e-42,1.1740576542031613e-48,8.8893527294561935e-78,6.5306446662228195e-56,6.9808261457917721e-106,3.7688249233805838e-109,2.7091327674451368e-109
9.820875135420811e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,2.8336480217025908e-118,4.0378293496433524e-70,1.0278739756381541e-39,7.7145892656974352e-87,5.9188378435251079e-54,1.9518444052144495e-134,9.9864210168908246e-24,1.3773514374079156e-112,9.9864210168869558e-24,1.4640073137726368e-75,5.1896136491914037e-72,1.2096575978392142e-113,7.3093108065793625e-115,3.6408503385202992e-56,7.0082175523058912e-90,3.9604720757220076e-17,1.904230169037043e-18,7.3399319379221064e-22,8.1963839367081947e-36,7.3399319379571812e-22,1.755861018435252e-33,5.2735381447252433e-41,1.0515336722571376e-47,3.3981118204447099e-76,5.7762812773143708e-55,1.0707619080132058e-103,6.1316028407683167e-107,4.4075604055862882e-107
2.0219448808219317e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,8.3034765385690237e-116,6.9718413526998633e-69,4.2911715542794633e-39,5.4899891402848522e-85,5.0636903880623033e-53,5.5602426342287291e-132,2.0560278564195153e-23,9.7621792173442355e-111,2.0560278564178999e-23,2.5162545168788378e-74,8.9637236816072776e-71,1.7225469554185638e-111,1.04084255723777e-112,3.060339818918676e-55,2.4144372064826117e-88,8.1539130970746812e-17,3.9204738774292058e-18,1.5111624578037856e-21,3.4218118556909853e-35,1.5111624578184284e-21,7.3303738869061492e-33,4.4327264171831605e-40,9.0590338196173061e-47,1.2078868733635194e-74,4.855312506460518e-54,1.5247601203488559e-101,8.9806839167142234e-105,6.4555541469224772e-105
4.1016596153816325e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,2.3522314043435838e-113,1.1581755393183195e-67,1.753083632859458e-38,3.8329896500001492e-83,4.1867571349825292e-52,1.5531400473078899e-129,4.1707993658829022e-23,6.5694990848929102e-109,4.1707993658763018e-23,4.1705073283149334e-73,1.4893216951386643e-69,2.4056231274209566e-109,1.4535887799496394e-110,2.5090280830492123e-54,8.01263679448435e-87,1.6540795139779909e-16,7.9529612942135291e-18,3.0655009858154944e-21,1.3979078266468147e-34,3.0655009858753149e-21,2.9946967346683847e-32,3.6342166882013838e-39,7.7883498887607101e-46,4.2154416976685465e-73,3.9806786135657687e-53,2.1294039022212056e-99,1.2718871947399993e-102,9.1426571319220029e-103
8.261089084501034e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,6.7502425354320765e-111,1.8879267051432813e-66,7.0862446246267484e-38,2.7302641979791957e-81,3.4046013702025528e-51,4.4243153741641259e-127,8.400342384819754e-23,4.3104886410587232e-107,8.400342384793075e-23,6.7905900505745179e-72,2.4279232941041454e-68,3.4265995267958536e-107,2.0705099511695902e-108,2.0318380953802683e-53,2.6108010419829648e-85,3.3314559225189876e-16,1.6017936127782166e-17,6.1741780417931467e-21,5.6504540235627398e-34,6.1741780420349495e-21,1.2105041538166277e-31,2.9430825045098204e-38,6.8922506261215072e-45,1.5017764038052897e-71,3.2236568690374379e-52,3.0331494230904499e-97,1.8250647103305285e-100,1.3119024667305992e-100
1.6579948022739839e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996466,0.022821567693054271,2.0436056953132741e-108,3.0487649723983232e-65,2.8493480276507895e-37,2.0587507375012823e-79,2.7459343451225722e-50,1.3336805506946615e-124,1.6859428422733781e-22,2.7931324900958724e-105,1.6859428422626503e-22,1.0960039718836442e-70,3.9209509498602477e-67,5.1656291273002041e-105,3.1213120828062335e-106,1.6353390620945576e-52,8.4301183575278866e-84,6.6862087396007864e-16,3.2147885794919389e-17,1.2391532153565396e-20,2.2719319078859852e-33,1.239153215453767e-20,4.8673827770598721e-31,2.3688482093341373e-37,6.4892746282381671e-44,5.6665216787293429e-70,2.5946796959361179e-51,4.5724996089207563e-95,2.7631612587241027e-98,1.9862247907802029e-98
3.3217665899217445e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996399,0.022821567693054254,6.7721787987774443e-106,4.9003229635755284e-64,1.1427161841948206e-36,1.7020897456462442e-77,2.2056837961565273e-49,4.4066580876357466e-122,3.3777600498723114e-22,1.7986991340290971e-103,3.3777600498292897e-22,1.7612489596718283e-69,6.3023266257483733e-66,8.5364528422012831e-103,5.1581197010293009e-104,1.312158715638545e-51,2.7097862172597301e-82,1.3395714373763604e-15,6.4407785129193685e-17,2.482624037637766e-20,9.1107348524963063e-33,2.4826240380276921e-20,1.952037241714016e-30,1.9008504877584915e-36,6.7186920726511757e-43,2.3451913211570461e-68,2.0820673632052274e-50,7.5562775152702228e-93,4.5796695155567288e-96,3.2919564312952786e-96
