Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3OO(77),C2H4(47),COX(50),CHOX(53),CO2X(24)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2192467651223754e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,-7.3507345419939102e-123,6.8635741746659008e-72,2.8897367810901485e-36,2.4421621763397413e-89,1.7681578265248484e-54,8.0809388676169364e-133,5.4889784659455025e-20,-6.1793308399179942e-106,5.4889784659455013e-20,2.5176321309318935e-72,3.9036715088748509e-74,5.4046541773889444e-113,6.2666841894573099e-114,1.3630172183027248e-55,1.1657757407024751e-85,2.9976818271489012e-18,8.8756031030454665e-20,3.5532015428160878e-22,8.7653028026682343e-38,3.5532015428090706e-22,3.4563426857137125e-34,7.3358921200236213e-43,7.9486399292672958e-48,9.7626009901735748e-79,2.0592360949788702e-52,3.2456416223579114e-37,1.9089650285812643e-98,9.5181046679589017e-107,-6.5839839510230069e-110,-3.0522922360249049e-110
1.7413890942342651e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,1.3317501826031595e-120,1.6919717036590696e-70,1.7454010157830846e-35,2.6987693900867729e-87,2.6720401087749835e-53,2.9159575374844917e-130,1.5369139704647408e-19,1.1929282735660129e-104,1.5369139704647396e-19,7.1001254337789973e-71,1.2273767639263439e-72,1.0804621470289169e-110,1.2527933947027092e-111,1.6181740204652178e-54,6.0343909801307845e-84,8.3935091160169208e-18,2.4851688688527303e-19,9.9489643198964223e-22,5.294242817383598e-37,9.9489643198540368e-22,2.0876309778907544e-33,8.7091711045140936e-42,9.4370278454600388e-47,5.9393157660882591e-77,2.4447250919648526e-51,1.960367539902207e-36,1.7977331496988571e-96,1.9027955291183656e-104,6.6634451456245817e-108,3.0891299285243343e-108
3.9803179296783205e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,5.6223876963538911e-118,3.481527249019954e-69,8.4033545594796727e-35,2.4418634683508936e-85,2.8744588169480485e-52,1.0558932909207642e-127,3.5129462182051219e-19,1.2596063142235246e-102,3.5129462182051176e-19,1.5444323680591619e-69,2.7382099623764906e-71,1.956242144080205e-108,2.2682583034307654e-109,1.5887328042319472e-53,2.6348512639867487e-82,1.9185163693752944e-17,5.6803859859490978e-19,2.2740489874102598e-21,2.5489499418738998e-36,2.2740489873898524e-21,1.0051044465850557e-32,8.5507157919278895e-41,9.2661825179929301e-46,2.6815341539009138e-75,2.4002455923257771e-50,9.4383258377872359e-36,1.5712280532484714e-94,3.4451265283596752e-102,1.3955532078325448e-105,6.4696941011920857e-106
8.458175600566431e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,1.8087678105061471e-115,6.3083471507546773e-68,3.6699657120563279e-34,1.848373113635146e-83,2.6421228784267173e-51,3.2022221362318238e-125,7.4650107136858875e-19,9.9561381365050179e-101,7.4650107136858682e-19,2.8631173234861184e-68,5.1283639149168667e-70,2.9647675548652025e-106,3.4376412165567864e-107,1.4052160939957956e-52,9.8088906198995771e-81,4.0768472849224944e-17,1.2070820220141834e-18,4.8323540982696979e-21,1.1131933390254486e-35,4.8323540981805725e-21,4.3895551445113348e-32,7.5630112073991079e-40,8.1973502359734823e-45,1.0126807105809114e-73,2.1229900445180682e-49,4.1219648603639937e-35,1.1721848786769263e-92,5.2212346945569942e-100,2.2431395031664654e-103,1.0399049130215057e-103
1.741389094234265e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,5.1759220582814419e-113,1.0732040831390907e-66,1.532138441398653e-33,1.2845740684068428e-81,2.2603917487390304e-50,8.909823203322732e-123,1.5369139704647436e-18,7.0565581207879286e-99,1.5369139704647349e-18,4.9209671494341326e-67,8.8579722882905813e-69,4.1233386220761602e-104,4.781001726010024e-105,1.1811686638489778e-51,3.3793115425312875e-79,8.3935091160168672e-17,2.4851688688527302e-18,9.9489643200613842e-21,4.6473624937540594e-35,9.9489643196892975e-21,1.8325528322548382e-31,6.3571664962546008e-39,6.8929183649563925e-44,3.514740299724074e-72,1.7845010522012975e-48,1.7208391881466671e-34,8.0856653815444622e-91,7.261587383270152e-98,3.2082110421932265e-101,1.487305805911818e-101
3.532532162589509e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,1.400605599069247e-110,1.7701882865163009e-65,6.25928545785993e-33,8.5678215078188021e-80,1.868935609546407e-49,2.3781530984889374e-120,3.1177397686570583e-18,4.7487401208875957e-97,3.1177397686570229e-18,8.1561421635203702e-66,1.4717649980466427e-67,5.5020338493224056e-102,6.3795956968435713e-103,9.6839321444765841e-51,1.1214702926687956e-77,1.7026832778205523e-16,5.0413425625298211e-18,2.0182184763935995e-20,1.8985987573892104e-34,2.0182184762415913e-20,7.4865760054138348e-31,5.2119889656160707e-38,5.6554152702936477e-43,1.1714082414411226e-70,1.4630417776687281e-47,7.0301895794593188e-34,5.369730649292102e-89,9.6895994347193764e-96,4.3398378247613323e-99,2.0119206118141094e-99
7.114818299299997e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,3.6896853036474074e-108,2.8755443723538546e-64,2.5301032596602191e-32,5.6031999636530164e-78,1.5197873991833595e-48,6.2224876553984053e-118,6.2793913650417066e-18,3.1158220872225399e-95,6.2793913650415671e-18,1.3280163171386623e-64,2.399347273377181e-66,7.1975493766611659e-100,8.3455420828241209e-101,7.8422957702082979e-50,3.6541476717082977e-76,3.4293480102582457e-16,1.0153689949884001e-17,4.0648625652850172e-20,7.674436010067929e-34,4.0648625646705746e-20,3.026193509936065e-30,4.2208034511872087e-37,4.5866792520769886e-42,3.8292401958709957e-69,1.1848091635757271e-46,2.8417150309807181e-33,3.5003024859274394e-87,1.2675561851872454e-93,5.7157492214225518e-97,2.6497841355282465e-97
1.4279390572720972e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996463,0.022821567693054278,9.6020838261661993e-106,4.6357818993434107e-63,1.0173433930951556e-31,3.6327399480194675e-76,1.2257635955166387e-47,1.6138619484473782e-115,1.2602694557811086e-17,2.0190063424634064e-93,1.2602694557810522e-17,2.1434236900073812e-63,3.8749486128469283e-65,9.3334513417639006e-98,1.0822115538586011e-98,6.3121561801673529e-49,1.1799021401333407e-74,6.8826774751334837e-16,2.0378384724592344e-17,8.1581507435338351e-20,3.0858539689093649e-33,8.1581507410631907e-20,1.2168189305715223e-29,3.3972692667876807e-36,3.7026685361827473e-41,1.2411436210810626e-67,9.5363749107433644e-46,1.1426411155622597e-32,2.2607788788951234e-85,1.6437086231942886e-91,7.4370216637877227e-95,3.4477546851944087e-95
2.8608535119562925e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996392,0.022821567693054268,2.4890782300150959e-103,7.4452978462750192e-62,4.080002025742582e-31,2.3501014081450048e-74,9.845999797959765e-47,4.1762836553157647e-113,2.524930094335018e-17,1.3001835655347666e-91,2.5249300943347915e-17,3.4444243280386955e-62,6.2288550120709262e-64,1.2076249747822131e-95,1.4002384032688295e-96,5.0650986289920896e-48,3.7926899974268245e-73,1.3789336404883359e-15,4.0827774274008945e-17,1.6344727101895394e-19,1.2375630555886675e-32,1.6344727091987007e-19,4.879986782874318e-29,2.7260937476325203e-35,2.9886675721133158e-40,4.0144818823911492e-66,7.6523402885403902e-45,4.5825019315061811e-32,1.4535193077831782e-83,2.1267412359873016e-89,9.6390794452758209e-93,4.468613903661912e-93
5.726682421324683e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996252,0.022821567693054247,6.4669071602483319e-101,1.1934933046956762e-60,1.6341289292370098e-30,1.5250972369160234e-72,7.8927875282639302e-46,1.0840400481140605e-110,5.0542513714429696e-17,8.3469300900072871e-90,5.0542513714420618e-17,5.5230634209047114e-61,9.9893504053510997e-63,1.567337725063318e-93,1.817324516430402e-94,4.0582278801905786e-47,1.2163879734590037e-71,2.76026542643807e-15,8.172655337284182e-17,3.2717879826074237e-19,4.9566880589029174e-32,3.2717879786388982e-19,1.9545390078883169e-28,2.1841909442354604e-34,2.4226283573105812e-39,1.3026619731793106e-64,6.131184320360457e-44,1.835390992414919e-31,9.3237638965717888e-82,2.7602292424915766e-87,1.2521822124307575e-90,5.8050334540148313e-91
1.1458340240061464e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999422,0.1186699660299597,0.022821567693054205,1.6959229374126389e-98,1.9113775278156497e-59,6.5407743893163876e-30,9.9940066935473442e-71,6.3206313547869976e-45,2.8411799379477258e-108,1.0112893925659405e-16,5.3502918245665852e-88,1.011289392565577e-16,8.8465000154894846e-60,1.6001440569076074e-61,2.0540081432092837e-91,2.3816177555285034e-92,3.2490263266701596e-46,3.8968103315220252e-70,5.5229289983365781e-15,1.6352411157050634e-16,6.5464185304254862e-19,1.9839515574182606e-31,6.5464185145410343e-19,7.8232409587149549e-28,1.7486785625810795e-33,1.9845016402762692e-38,4.2688386088208185e-63,4.9086754854630032e-43,7.3463471325999812e-31,5.9740143901249383e-80,3.6173016486975933e-85,1.6419606893882525e-88,7.6120178833090107e-89
2.2921655877535026e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999885,0.11866996602995408,0.022821567693054122,4.5378903279339918e-96,3.0596023902973202e-58,2.6171617386256927e-29,6.6834095425049799e-69,5.0590668678629786e-44,7.5983114755624926e-106,2.0230179034094391e-16,3.4268312517527713e-86,2.0230179034079854e-16,1.416208323614055e-58,2.5616809465656381e-60,2.7467792062099596e-89,3.1848842212551503e-90,2.6001708072096568e-45,1.2476787435858461e-68,1.1048256142129752e-14,3.2711922796583032e-16,1.3095679637990831e-18,7.9382670781180685e-31,1.3095679574432265e-18,3.1303084067555986e-27,1.399470668754415e-32,1.6601129087133384e-37,1.4278198105120552e-61,3.9284322456666188e-42,2.939495755843107e-30,3.8255483425356241e-78,4.8373366820054616e-83,2.196919070041665e-86,1.0184759992334488e-86
4.584828715248215e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997712,0.11866996602994283,0.022821567693053959,1.260874025146984e-93,4.8963770151690429e-57,1.0470351208539221e-28,4.6413746279168605e-67,4.0482784578485119e-43,2.1098169758188515e-103,4.0464749250972856e-16,2.1940186171039115e-84,4.0464749250914688e-16,2.2665481495186159e-57,4.0997577504680847e-59,3.814007291753821e-87,4.4223327477208704e-88,2.0804713744208678e-44,3.993691419680001e-67,2.2098910429700723e-14,6.5430946075645822e-16,2.6194201900838778e-18,3.1757250338799564e-30,2.619420164656257e-18,1.2523215944237222e-26,1.1197833377803437e-31,1.4434170839660025e-36,4.9606211591944541e-60,3.1433426797176956e-41,1.175989708226182e-29,2.4490484804927176e-76,6.7168257574605566e-81,3.0525489304546408e-84,1.4151379133941241e-84
