Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),H2X(46),CHOX(50),CO2X(24),CH4OX(57),COX(47)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0846747550372963e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-9.0414925747812313e-126,3.4478911874635717e-68,3.0818126655239619e-50,3.2582721182664761e-99,4.1652950572420339e-57,9.2523850822562046e-158,3.5840452269794269e-37,-3.3600866992078453e-141,3.584042380243614e-37,2.8954895954421225e-91,8.7486010579412883e-69,4.1765334187833374e-137,1.2752718905769119e-138,9.6991797558079375e-56,6.6899308423339985e-111,2.7863550551231877e-18,1.2191084304771985e-18,2.6484327009810053e-22,2.6484327009835684e-22,1.2821973954718261e-34,9.8708416486525701e-41,1.2676025272041399e-49,5.6193519807203752e-38,1.8050137616608076e-54,9.3239951101769873e-79,2.422399851171611e-66,-3.5585113263217531e-112,-4.3152774429215065e-113,1.7248514565075689e-85,6.8707155726112114e-116
3.0370893141044295e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,2.7328849312343973e-123,1.0501149947668004e-66,3.6587188222157092e-49,5.9490690512468122e-97,6.2945938906043338e-56,4.7231372501476466e-155,1.0035335859347268e-36,6.486482816315058e-140,1.0035318665062957e-36,8.1657439376073944e-90,2.7507001982384945e-67,1.3769257236231494e-134,4.2039388658585695e-136,1.1514866206106231e-54,3.4629008740524646e-109,7.8017941543449173e-18,3.4135036053361566e-18,7.4156115627426627e-22,7.4156115627581473e-22,7.7444665119793369e-34,1.1718655218142962e-39,2.5120601226065682e-48,3.3940885963586615e-37,2.1429123378457634e-53,9.4060231941273272e-77,5.4187985907756171e-65,5.9953082613089085e-110,7.270292517740062e-111,9.934261435898987e-84,2.2649341246667738e-113
6.941918432238696e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999992,0.10000000000000001,2.1233768212654145e-120,2.3213878550239848e-65,3.5921429723473315e-48,9.9844615468833136e-95,6.7714368687577246e-55,8.3379169284629428e-152,2.2937954019302432e-36,6.8490609260274286e-138,2.2937871236224995e-36,1.7762276685878287e-88,6.1366608298305811e-66,4.6218760422056355e-132,1.4110370604720029e-133,1.1305363923403337e-53,1.512038045694839e-107,1.7832672352788347e-17,7.8022939550540709e-18,1.6949969286249362e-21,1.6949969286323916e-21,3.7286213910390894e-33,1.1505428265578982e-38,4.5997164812140723e-47,1.6341075559987152e-36,2.1039240405980787e-52,7.8893536524954515e-75,1.0706606649970349e-63,2.3184272920430309e-107,2.8114725488699336e-108,4.4549397985448346e-82,7.6021704677661557e-111
1.4751576668507232e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999993,0.099999999999999978,0.10000000000000001,1.3150396831882547e-117,4.3322435070352287e-64,3.1771988260583039e-47,1.4548548155462822e-92,6.2241170982016427e-54,1.097158568601699e-148,4.8743337920090713e-36,5.4136261486773714e-136,4.8742976384642483e-36,3.2928267456194473e-87,1.1493286577166052e-64,1.3476917186410564e-129,4.1139567810054985e-131,9.9994663611176899e-53,5.628938530963861e-106,3.7894428749675096e-17,1.65798746544899e-17,3.6018684733196311e-21,3.6018684733521921e-21,1.6283817694495151e-32,1.0176390910053643e-37,7.8634465691329844e-46,7.1365770155684504e-36,1.8608969877348161e-51,5.7426330866203372e-73,1.9051770145237596e-62,7.1768318656231129e-105,8.7030832736005767e-106,1.6760596945689224e-80,2.2164549480906424e-108
3.03708931410443e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999987,0.099999999999999936,0.099999999999999992,7.3795552501384898e-115,7.470919593709403e-63,2.6706106150195866e-46,1.9826735529053652e-90,5.3248632176478904e-53,1.2675140491477473e-145,1.0035469604517903e-35,3.8370066088675854e-134,1.0035318670585106e-35,5.6595278548031278e-86,1.9851794383653146e-63,3.6750039819052176e-127,1.1215666348096918e-128,8.4051539896333939e-52,1.9392546707740812e-104,7.8017941543448131e-17,3.4135036053361541e-17,7.4156115626824402e-21,7.4156115628183777e-21,6.7981302860690702e-32,8.5538191041209142e-37,1.2993959944071227e-44,2.9793804202259569e-35,1.5641960456585321e-50,3.9111535992129278e-71,3.2133402868007598e-61,2.0133594497222618e-102,2.4415278626093376e-103,5.8036625882720433e-79,6.0426058164116895e-106
6.1609526086118435e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999976,0.099999999999999853,0.099999999999999978,3.9520999747595469e-112,1.2403604634716482e-61,2.1895017792199055e-45,2.6171070900191145e-88,4.4026998810332023e-52,1.3769795941059282e-142,2.035797735894026e-35,2.5821566035616012e-132,2.0357360744576269e-35,9.3802523690447344e-85,3.2984053277434942e-62,9.7076445992507632e-125,2.9612659377548456e-126,6.8910530588268202e-51,6.4356792080071789e-103,1.5826496713099232e-16,6.9245358851104766e-17,1.5043097741301741e-20,1.5043097741857083e-20,2.7772228559599947e-31,7.0128546752896213e-36,2.112268089904546e-43,1.2171741164725241e-34,1.2824224229959448e-49,2.5807208338170894e-69,5.2778599944372521e-60,5.3907844315463964e-100,6.5372084525825513e-101,1.9309150992031639e-77,1.5954257396798508e-103
1.240867919762667e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999954,0.099999999999999686,0.099999999999999936,2.0689935555457303e-109,2.0213495403539527e-60,1.7730732695169761e-44,3.4012687816898749e-86,3.5802024249427597e-51,1.4518770044406798e-139,4.1003937385403741e-35,1.694282894418143e-130,4.1001444931556375e-35,1.5273309310750396e-83,5.3772331588384236e-61,2.5257854242363369e-122,7.6975555806420517e-124,5.5805534298328663e-50,2.0969723716215043e-101,3.1875901830607331e-16,1.3946600444659108e-16,3.029807009811507e-20,3.029807010035988e-20,1.1225694388409426e-30,5.6790570643458628e-35,3.4062379603847299e-42,4.9200123883491311e-34,1.0385389272220349e-48,1.6767895239621665e-67,8.5554421383485807e-59,1.4110243703378582e-97,1.7110980022217679e-98,6.2996207132932833e-76,4.1471717043007829e-101
2.4904132375656323e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999907,0.099999999999999367,0.099999999999999867,1.0710780296393237e-106,3.2638855581260324e-59,1.4270560831970766e-43,4.386568548654148e-84,2.8875629572558841e-50,1.508462026340148e-136,8.229963550880556e-35,1.0979161059237891e-128,8.2289613461507708e-35,2.4651182803243701e-82,8.6842459151526384e-60,6.527345159409448e-120,1.9855452006928751e-121,4.4917148977940427e-49,6.7709967172595909e-100,6.3974712065620558e-16,2.799072956375629e-16,6.0808014810040597e-20,6.0808014819067141e-20,4.5135736151103274e-30,4.5707827359511099e-34,5.4711069432172732e-41,1.9783153424907917e-33,8.3590647952659373e-48,1.0812013007179723e-65,1.3777644753937451e-57,3.6522215763044254e-95,4.4289164778394591e-96,2.0354084021662205e-74,1.0697417885001723e-98
4.989503873171563e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999815,0.099999999999998729,0.099999999999999728,5.5138072801956934e-104,5.2461218030086048e-58,1.1450143104538501e-42,5.635576762109701e-82,2.3194475993561036e-49,1.5557834600364472e-133,1.6490614403750693e-34,7.0708648888672512e-127,1.6486595114537494e-34,3.9613788980642451e-81,1.3959671676456483e-58,1.6834815846881996e-117,5.1018743942206596e-119,3.6043183276194915e-48,2.1764763912257087e-98,1.2817233253563514e-15,5.6078987801950357e-16,1.2182790422708723e-19,1.2182790426328954e-19,1.809961461028206e-29,3.6674179500122583e-33,8.7700783095320244e-40,7.9339293476436425e-33,6.707623063548569e-47,6.9450748968920075e-64,2.2114146477115381e-56,9.400541449056835e-93,1.1399695393049312e-93,6.5447308346777504e-73,2.7487101463421725e-96
